dataset,effective_group_id,canonical_smiles,PE/EA,rows,distinct_loading_conditions,ignored_loading_conditions_differ,V1_range,V2_range
4g,b3ca4b2e2833e37b,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,0/1,3,3,True,1.3000000000000003,1.791666666666666
4g,7ef17133cee1e7b8,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,1/1,3,3,True,0.9999999999999996,0.47499999999999964
4g,428b90c0c2ad9c46,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,10/1,3,3,True,1.1583333333333332,0.5416666666666643
4g,f30d86dd768b6af7,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,2/1,3,3,True,1.1333333333333329,1.0416666666666679
4g,f9a34c14ac6ddeab,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,20/1,3,3,True,0.8999999999999999,2.083333333333332
4g,ebd940a9f00e00bf,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,5/1,3,3,True,1.1583333333333332,0.45833333333333215
4g,3a2731b108de4d94,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,50/1,3,3,True,0.36666666666666714,1.9499999999999993
4g,6b5b5fb643d53267,BrCCCc1ccccc1,0/1,3,3,True,0.47499999999999964,0.6749999999999998
4g,42eb680fc9d05953,BrCCCc1ccccc1,1/1,3,3,True,1.4000000000000004,0.7749999999999995
4g,274e2d53c1c82555,BrCCCc1ccccc1,10/1,3,3,True,1.4666666666666668,1.1083333333333343
4g,41e469c8fe3d027c,BrCCCc1ccccc1,2/1,3,3,True,1.375,0.9833333333333325
4g,00c4d970e43db38b,BrCCCc1ccccc1,20/1,3,3,True,1.541666666666667,1.2416666666666671
4g,f31d88a037893195,BrCCCc1ccccc1,5/1,3,3,True,1.416666666666666,0.8416666666666659
4g,f9965cccaaee75e8,BrCCCc1ccccc1,50/1,3,3,True,1.5499999999999998,1.3583333333333325
