epoch,train_loss,validation_V1_rmse,validation_V1_mae,validation_V1_r2,validation_V1_q10_q90_coverage,validation_V1_interval_width,validation_V1_mean_pinball_loss,validation_V1_quantile_crossing_rate,validation_V2_rmse,validation_V2_mae,validation_V2_r2,validation_V2_q10_q90_coverage,validation_V2_interval_width,validation_V2_mean_pinball_loss,validation_V2_quantile_crossing_rate,validation_within_target_quantile_crossing_rate,validation_q50_V1_gt_q50_V2_rate,validation_V1_q90_gt_V2_q10_rate,validation_combined_normalized_rmse,validation_all_outputs_finite
1,674.9272155761719,10.197929382324219,7.650793552398682,-1.2853507995605469,0.0,1.2967932224273682,3.6304636510499235,0.0,19.667037963867188,14.875622749328613,-1.2953135967254639,0.0,1.0257686376571655,7.2973988676234605,0.0,0.0,0.0,0.15681233933161953,1.268910616825376,True
2,619.9451293945312,10.123006820678711,7.554511547088623,-1.2518939971923828,0.0,1.287097454071045,3.61561788352208,0.0,18.711097717285156,13.608318328857422,-1.0776035785675049,0.0,0.914448618888855,6.676747193924872,0.0,0.0,0.0,0.0,1.2355408227293683,True
3,582.4574279785156,10.031210899353027,7.434926986694336,-1.2112383842468262,0.0,1.3160110712051392,3.571348511488293,0.0,18.022117614746094,12.622361183166504,-0.927417516708374,0.0,0.927139163017273,6.165658998101209,0.0,0.0,0.0,0.0,1.20924725995196,True
4,574.8468933105469,9.879283905029297,7.2307915687561035,-1.1447656154632568,0.0,1.3774319887161255,3.4609597976226123,0.0,17.62163734436035,12.031621932983398,-0.8427085876464844,0.0,1.0095566511154175,5.829350602882176,0.0,0.0,0.0,0.0,1.1872644884675068,True
5,557.6968078613281,9.67432975769043,6.951461315155029,-1.0566985607147217,0.0,1.4211828708648682,3.2968231806616144,0.0,17.3342227935791,11.607278823852539,-0.7830884456634521,0.002570694087403599,1.1260178089141846,5.569382550232209,0.0,0.0,0.0,0.0,1.1648801739685832,True
6,530.1260681152344,9.452139854431152,6.638787746429443,-0.9633113145828247,0.0,1.4776809215545654,3.1058485177407027,0.0,17.090076446533203,11.244901657104492,-0.7332139015197754,0.005141388174807198,1.258110761642456,5.338076573472403,0.0,0.0,0.0,0.0,1.1425689345694174,True
7,529.6696472167969,9.23044204711914,6.315948009490967,-0.87229323387146,0.0,1.5500925779342651,2.901175172847872,0.0,16.862613677978516,10.904163360595703,-0.6873838901519775,0.015424164524421594,1.4024156332015991,5.115076194344776,0.0,0.0,0.0,0.0,1.12080046760253,True
8,506.2865905761719,9.0193510055542,5.999257564544678,-0.7876373529434204,0.0,1.6443232297897339,2.6914841368551836,0.0,16.64244842529297,10.56983757019043,-0.6436090469360352,0.07455012853470437,1.5602093935012817,4.896918935416188,0.0,0.0,0.0,0.0,1.0999969761911474,True
9,502.7928009033203,8.822665214538574,5.69642448425293,-0.7105214595794678,0.038560411311053984,1.762620449066162,2.4832027625404267,0.0,16.4260196685791,10.234124183654785,-0.6011382341384888,0.12082262210796915,1.7332937717437744,4.684861423301207,0.0,0.0,0.0,0.0,1.080306417518707,True
10,493.5769958496094,8.63965129852295,5.406680107116699,-0.6402924060821533,0.11311053984575835,1.9084488153457642,2.2838851109466294,0.0,16.211503982543945,9.894079208374023,-0.5595910549163818,0.20822622107969152,1.9220507144927979,4.481204186613579,0.0,0.0,0.0,0.0,1.0616166038710309,True
11,467.2166442871094,8.468036651611328,5.126897811889648,-0.5757756233215332,0.26735218508997427,2.079573631286621,2.10490242918026,0.0,15.99906063079834,9.557914733886719,-0.5189837217330933,0.2570694087403599,2.125427484512329,4.288431958694589,0.0,0.0,0.0,0.0,1.0437712731496511,True
12,462.08485412597656,8.30600643157959,4.855650424957275,-0.5160495042800903,0.4473007712082262,2.269468069076538,1.9556551052345206,0.0,15.790732383728027,9.239927291870117,-0.47968292236328125,0.30077120822622105,2.3422091007232666,4.11257237117313,0.0,0.0,0.0,0.0,1.0267036280810853,True
13,453.84889221191406,8.151172637939453,4.589695453643799,-0.46005451679229736,0.5604113110539846,2.4695589542388916,1.8327111722060316,0.0,15.58836555480957,8.951478004455566,-0.442000150680542,0.29562982005141386,2.5702738761901855,3.956699433976396,0.0,0.0,0.0,0.0,1.0103052980736804,True
14,443.2109680175781,8.002738952636719,4.337191581726074,-0.4073631763458252,0.622107969151671,2.6725292205810547,1.7305121562372647,0.0,15.393017768859863,8.695327758789062,-0.40608537197113037,0.3059125964010283,2.808319568634033,3.8203259678916637,0.0,0.0,0.0,0.0,0.9945530298158954,True
15,432.98561096191406,7.859899997711182,4.09675931930542,-0.3575723171234131,0.6401028277634961,2.873015880584717,1.6451373251258767,0.0,15.205761909484863,8.47973918914795,-0.37208330631256104,0.31876606683804626,3.054455518722534,3.7095090191897517,0.0,0.0,0.0,0.0,0.9794243859535339,True
16,425.0014343261719,7.723591327667236,3.8821868896484375,-0.3108937740325928,0.6143958868894601,3.06888747215271,1.573466682434082,0.0,15.026957511901855,8.292007446289062,-0.34000444412231445,0.30848329048843187,3.3056459426879883,3.6165618672571127,0.0,0.0,0.0,0.0,0.9649918902102723,True
17,419.2351837158203,7.594123363494873,3.707479476928711,-0.2673138380050659,0.5681233933161953,3.260141134262085,1.5208616201348457,0.0,14.856626510620117,8.135838508605957,-0.30979859828948975,0.2827763496143959,3.559178113937378,3.539199678287,0.0,0.0,0.0,0.0,0.9512759457256638,True
18,408.9504089355469,7.473243713378906,3.5884978771209717,-0.22729003429412842,0.4755784061696658,3.4462084770202637,1.4888402571919237,0.0,14.694215774536133,8.009313583374023,-0.28131794929504395,0.2699228791773779,3.813019037246704,3.4756716803393,0.0,0.0,0.0,0.0,0.9383741910788326,True
19,405.8453063964844,7.362884521484375,3.527517557144165,-0.19131028652191162,0.38817480719794345,3.6265339851379395,1.4799823107429315,0.0,14.539421081542969,7.904537677764893,-0.25446438789367676,0.2570694087403599,4.06583309173584,3.423614172171402,0.0,0.0,0.0,0.0,0.9264027711010892,True
20,397.23704528808594,7.262916088104248,3.495973825454712,-0.1591801643371582,0.35732647814910024,3.8018381595611572,1.4841075915603834,0.0,14.391837120056152,7.821251392364502,-0.22912657260894775,0.2519280205655527,4.316871166229248,3.38428757482854,0.0,0.0,0.0,0.0,0.9153383167985778,True
21,391.0841064453125,7.173112869262695,3.49292254447937,-0.1306917667388916,0.30848329048843187,3.9727632999420166,1.4978766172485873,0.0,14.25150203704834,7.75374174118042,-0.20527279376983643,0.2519280205655527,4.5658860206604,3.354204326628004,0.0,0.0,0.0,0.0,0.9051650731650958,True
22,380.12310791015625,7.092996120452881,3.51172137260437,-0.1055753231048584,0.2493573264781491,4.139932155609131,1.5182552984052982,0.0,14.118524551391602,7.706822872161865,-0.18288564682006836,0.2365038560411311,4.812578201293945,3.334012022606818,0.0,0.0,0.0,0.0,0.8958533646418989,True
23,365.30078125,7.022311687469482,3.552072525024414,-0.08365011215209961,0.21079691516709512,4.303833484649658,1.5430852074038808,0.0,13.9931001663208,7.681628227233887,-0.16196227073669434,0.2133676092544987,5.056550979614258,3.323509406103675,0.0,0.0,0.0,0.0,0.8873914572622781,True
24,374.72296142578125,6.961408615112305,3.6064910888671875,-0.06493508815765381,0.18251928020565553,4.466651439666748,1.570756780580261,0.0,13.875224113464355,7.671336650848389,-0.14246821403503418,0.20822622107969152,5.298155307769775,3.3196389492495815,0.0,0.0,0.0,0.0,0.8798015265560772,True
25,365.5028381347656,6.908764839172363,3.6614203453063965,-0.0488893985748291,0.16195372750642673,4.6327433586120605,1.5961233345790102,0.0,13.764134407043457,7.676098346710205,-0.12424755096435547,0.2133676092544987,5.538776397705078,3.32389362877827,0.0,0.0,0.0,0.0,0.8729603402322638,True
26,370.0558319091797,6.8636088371276855,3.714644193649292,-0.03522300720214844,0.15681233933161953,4.808087348937988,1.6156583285066137,0.0,13.660181045532227,7.690333843231201,-0.1073298454284668,0.21079691516709512,5.779575347900391,3.334092557379192,0.0,0.0,0.0,0.0,0.8668281308832028,True
27,366.97845458984375,6.823888778686523,3.763392686843872,-0.02327597141265869,0.15424164524421594,5.001269817352295,1.6279155121160147,0.0,13.563261985778809,7.706997394561768,-0.09167253971099854,0.2210796915167095,6.024509906768799,3.3453095460612245,0.0,0.0,0.0,0.002570694087403599,0.8612674045798471,True
28,358.8262939453125,6.78852653503418,3.808190107345581,-0.012697935104370117,0.15938303341902313,5.222071647644043,1.630668577539073,0.0,13.473099708557129,7.732453346252441,-0.07720708847045898,0.20308483290488433,6.279364109039307,3.3565127621988204,0.0,0.0,0.0,0.005141388174807198,0.8561990977214823,True
29,353.11021423339844,6.757226467132568,3.8489837646484375,-0.003380894660949707,0.16709511568123395,5.480782508850098,1.62116602690892,0.0,13.389490127563477,7.759942531585693,-0.06387889385223389,0.20565552699228792,6.55113410949707,3.364656910655227,0.0,0.0,0.0,0.012853470437017995,0.8515977001428907,True
30,350.21620178222656,6.728268623352051,3.882697582244873,0.005200505256652832,0.18508997429305912,5.785894393920898,1.59748264940355,0.0,13.312262535095215,7.7885212898254395,-0.05164194107055664,0.20822622107969152,6.848489761352539,3.367838367602717,0.0,0.0,0.0,0.06683804627249357,0.847344932205195,True
31,341.41285705566406,6.700143814086914,3.906639814376831,0.013499796390533447,0.2185089974293059,6.141575813293457,1.5588957044132363,0.0,13.24060344696045,7.817172527313232,-0.04035043716430664,0.20565552699228792,7.179596900939941,3.3641846705014213,0.0,0.0,0.0,0.16966580976863754,0.8433165784944526,True
32,340.62335205078125,6.671258926391602,3.9192044734954834,0.02198737859725952,0.2879177377892031,6.544322967529297,1.5088808842162955,0.0,13.173746109008789,7.842231750488281,-0.02987074851989746,0.2133676092544987,7.550330638885498,3.350415029664681,0.0,0.0,0.0,0.26735218508997427,0.8393841820957478,True
33,335.1203308105469,6.639702320098877,3.918689012527466,0.031217873096466064,0.38817480719794345,6.981447696685791,1.456290162314486,0.0,13.110284805297852,7.861145973205566,-0.01997220516204834,0.2236503856041131,7.963192939758301,3.3246371077183685,0.0,0.0,0.0,0.41131105398457585,0.8353789032545673,True
34,330.0814971923828,6.604991912841797,3.9029948711395264,0.04132050275802612,0.5038560411311054,7.427000522613525,1.411215284346717,0.0,13.048124313354492,7.869192123413086,-0.010323166847229004,0.23136246786632392,8.41242504119873,3.284876168928498,0.0,0.0,0.0,0.6272493573264781,0.8312053412307621,True
35,331.6766052246094,6.568785190582275,3.8683254718780518,0.05180203914642334,0.5912596401028277,7.839469909667969,1.3760310728936085,0.0,12.984626770019531,7.861748695373535,-0.0005137920379638672,0.2442159383033419,8.881843566894531,3.230759476512134,0.0,0.0,0.0,0.6889460154241646,0.8268926887771886,True
36,332.95237731933594,6.533656120300293,3.8090157508850098,0.06191658973693848,0.699228791773779,8.170954704284668,1.350490782949387,0.0,12.915239334106445,7.828001976013184,0.010150790214538574,0.27249357326478146,9.343697547912598,3.1609414757677095,0.0,0.0,0.0,0.7326478149100257,0.8224721693974554,True
37,325.6774139404297,6.4954833984375,3.7317874431610107,0.07284605503082275,0.7455012853470437,8.391547203063965,1.3322141362544095,0.0,12.834115982055664,7.751345634460449,0.02254664897918701,0.2982005141388175,9.770866394042969,3.071856731048688,0.0,0.0,0.0,0.7609254498714653,0.8174948324733184,True
38,324.30638122558594,6.466423034667969,3.6282920837402344,0.08112359046936035,0.7660668380462725,8.44991397857666,1.312556011511305,0.0,12.73410415649414,7.584231853485107,0.037721216678619385,0.33676092544987146,10.0881929397583,2.9487218391006587,0.0,0.0,0.0,0.7532133676092545,0.8125453324042423,True
39,314.6091613769531,6.496669292449951,3.7066540718078613,0.07250744104385376,0.7866323907455013,8.309019088745117,1.3259436922392072,0.0,12.613594055175781,7.287371635437012,0.05584824085235596,0.4087403598971722,10.229657173156738,2.7824413534097423,0.0,0.0,0.0,0.6503856041131105,0.8109084084949375,True
