outer_seed,arm,gain
17,hybrid,0.04732627470111084
17,random_0,0.003961525769556329
17,random_1,0.026631329776729662
17,random_2,0.024728024368913082
17,random_3,0.0016624247264238612
17,random_4,0.057490404972088904
17,random_5,-0.046640679295696486
17,random_6,0.014714749055492304
17,random_7,0.05626257473619434
17,random_8,0.035205701128393274
17,random_9,0.01714115712766151
137,hybrid,-0.05043228351301088
137,random_0,-0.013584763888679907
137,random_1,-0.04333989509176717
137,random_2,-0.0014577307195853262
137,random_3,0.006725906171568541
137,random_4,0.04318438341763653
137,random_5,-0.0027408519932990982
137,random_6,0.014045395502018332
137,random_7,-0.015947429593990203
137,random_8,0.019380026047099652
137,random_9,0.012719944180389797
941,hybrid,0.04824329204117728
941,random_0,0.08375509051608099
941,random_1,-0.0016351746648377574
941,random_2,0.030393582626974336
941,random_3,0.033750978237580664
941,random_4,0.09433232771861333
941,random_5,0.031593667632083156
941,random_6,0.02626639363984329
941,random_7,0.032538531940973336
941,random_8,0.03862199032348934
941,random_9,0.012815668865416963
2027,hybrid,0.03587286223787067
2027,random_0,0.01895098076081647
2027,random_1,0.007658929341683884
2027,random_2,0.027563855972459472
2027,random_3,0.06651733415789951
2027,random_4,0.06933774624805189
2027,random_5,0.03852808733841373
2027,random_6,0.0007221094116650617
2027,random_7,0.058244561325197286
2027,random_8,0.01462736782351437
2027,random_9,0.041386171810007255
4099,hybrid,0.009166195049910453
4099,random_0,0.07390740822299535
4099,random_1,0.02109317773678021
4099,random_2,0.1023973360467223
4099,random_3,-0.01596338221083171
4099,random_4,0.010144527233600042
4099,random_5,0.015910041232251704
4099,random_6,0.04873503999309192
4099,random_7,0.01996545991788856
4099,random_8,0.03225021603844702
4099,random_9,0.027615223276564627
