outer_seed,budget,selected_alpha,selection_policy,number_of_groups,number_of_folds,fit_truth_role
769539383,30,100.0,groupkfold_5_gradient_train_only,20,5,gradient_train_only
769539383,50,100.0,groupkfold_5_gradient_train_only,34,5,gradient_train_only
769539383,70,10.0,groupkfold_5_gradient_train_only,45,5,gradient_train_only
769539383,100,100.0,groupkfold_5_gradient_train_only,59,5,gradient_train_only
1425370602,30,1.0,groupkfold_5_gradient_train_only,19,5,gradient_train_only
1425370602,50,10.0,groupkfold_5_gradient_train_only,31,5,gradient_train_only
1425370602,70,10.0,groupkfold_5_gradient_train_only,44,5,gradient_train_only
1425370602,100,10.0,groupkfold_5_gradient_train_only,56,5,gradient_train_only
536279090,30,10.0,groupkfold_5_gradient_train_only,17,5,gradient_train_only
536279090,50,0.01,groupkfold_5_gradient_train_only,33,5,gradient_train_only
536279090,70,1.0,groupkfold_5_gradient_train_only,44,5,gradient_train_only
536279090,100,1.0,groupkfold_5_gradient_train_only,59,5,gradient_train_only
2767143051,30,1.0,groupkfold_5_gradient_train_only,19,5,gradient_train_only
2767143051,50,10.0,groupkfold_5_gradient_train_only,34,5,gradient_train_only
2767143051,70,0.01,groupkfold_5_gradient_train_only,45,5,gradient_train_only
2767143051,100,100.0,groupkfold_5_gradient_train_only,58,5,gradient_train_only
1362771960,30,1.0,groupkfold_5_gradient_train_only,18,5,gradient_train_only
1362771960,50,100.0,groupkfold_5_gradient_train_only,33,5,gradient_train_only
1362771960,70,100.0,groupkfold_5_gradient_train_only,44,5,gradient_train_only
1362771960,100,100.0,groupkfold_5_gradient_train_only,58,5,gradient_train_only
