epoch,step,grad_norm_4g,grad_norm_25g,grad_norm_40g,cos_4g_25g,cos_4g_40g,cos_25g_40g,protocol,outer_seed,inner_fold,arm
1,0,1614.236328125,2199.59814453125,5263.8134765625,-0.171844482421875,-0.3492329716682434,0.8672412633895874,compound,769539383,1,A1
10,0,1254.5906982421875,2033.9228515625,5301.1455078125,-0.2740713059902191,-0.4962342083454132,0.8485597372055054,compound,769539383,1,A1
20,0,1491.3218994140625,1515.432861328125,5319.4462890625,-0.4823043048381805,-0.7078259587287903,0.8125518560409546,compound,769539383,1,A1
30,0,1390.627685546875,1047.407470703125,5015.8623046875,-0.4041430950164795,-0.842527449131012,0.6326912045478821,compound,769539383,1,A1
40,0,1771.666259765625,823.8428344726562,4544.01025390625,0.1676792800426483,-0.8208494782447815,0.096854567527771,compound,769539383,1,A1
50,0,1568.9195556640625,892.49658203125,4099.45556640625,0.358424574136734,-0.8251023292541504,-0.3728865087032318,compound,769539383,1,A1
60,0,1584.5947265625,1028.14111328125,3604.642822265625,0.5620716214179993,-0.8412206172943115,-0.6197537183761597,compound,769539383,1,A1
70,0,1618.986083984375,1015.7017211914062,2812.64794921875,0.6715706586837769,-0.847836971282959,-0.6873582601547241,compound,769539383,1,A1
80,0,1360.2440185546875,774.4663696289062,2433.24365234375,0.5577437281608582,-0.8222532272338867,-0.6731036305427551,compound,769539383,1,A1
90,0,1236.292236328125,698.4393920898438,1686.9764404296875,0.6106371879577637,-0.7971488833427429,-0.6669162511825562,compound,769539383,1,A1
100,0,1198.1142578125,574.5809326171875,1692.560302734375,0.4124320447444916,-0.8047624826431274,-0.4866407513618469,compound,769539383,1,A1
110,0,1104.9072265625,375.6603698730469,1392.0919189453125,0.0782062411308288,-0.7398338913917542,-0.2504916191101074,compound,769539383,1,A1
120,0,870.5799560546875,385.7678833007813,1106.5577392578125,-0.0140332132577896,-0.7111883759498596,-0.2691291272640228,compound,769539383,1,A1
130,0,865.0814208984375,375.6199340820313,855.4287109375,0.0791019648313522,-0.6214265823364258,-0.4461324214935303,compound,769539383,1,A1
140,0,646.9869384765625,378.3030700683594,951.4337768554688,-0.1483892798423767,-0.6607640981674194,-0.0520970113575458,compound,769539383,1,A1
150,0,666.9270629882812,405.1589660644531,1009.8788452148438,-0.3790295124053955,-0.5353138446807861,0.1736124604940414,compound,769539383,1,A1
160,0,529.8275146484375,320.2821960449219,511.5436401367187,0.0017672288231551,-0.4013327658176422,-0.5037046074867249,compound,769539383,1,A1
170,0,569.5886840820312,385.5238952636719,656.4603271484375,0.3136333227157593,0.2824799716472626,-0.0132212499156594,compound,769539383,1,A1
