outer_seed,focal_column,donor_column,role,heldout_molecules,molecules_seen_in_other_target_train,heldout_rows_seen_in_other_target_train,heldout_rows
769539383,25g,40g,validation,1,1,6,6
769539383,25g,40g,test,16,7,34,92
769539383,40g,25g,validation,1,0,0,7
769539383,40g,25g,test,16,7,39,82
1425370602,25g,40g,validation,1,1,6,6
1425370602,25g,40g,test,16,9,36,84
1425370602,40g,25g,validation,1,0,0,7
1425370602,40g,25g,test,16,9,52,86
536279090,25g,40g,validation,1,0,0,7
536279090,25g,40g,test,16,7,39,95
536279090,40g,25g,validation,1,0,0,7
536279090,40g,25g,test,16,10,59,90
2767143051,25g,40g,validation,1,1,6,6
2767143051,25g,40g,test,16,11,47,68
2767143051,40g,25g,validation,1,0,0,7
2767143051,40g,25g,test,16,9,52,89
1362771960,25g,40g,validation,1,1,6,6
1362771960,25g,40g,test,16,7,32,91
1362771960,40g,25g,validation,1,0,0,7
1362771960,40g,25g,test,16,9,48,94
