protocol,outer_seed,column,method,classification,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,769539383,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,33.74,22,3970.8176455070306,10196.268201617955,13.434720360298181,0.3894383285128707
compound,769539383,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,55.8575,20,8580.863812638792,18538.6428912209,20.713357782646916,0.46286364449591494
compound,769539383,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,33.74,22,3000.200417493991,7806.839858201119,11.677874217927117,0.3843040810350769
compound,769539383,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,55.8575,20,6617.399672288254,15338.835228949947,18.189831874275605,0.43141474391737517
compound,769539383,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,33.74,22,3505.9150205848637,6821.388698128739,12.623778105739516,0.5139591329177028
compound,769539383,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,55.8575,20,8878.15038652617,13424.941812219795,21.06911292215001,0.6613176064901081
compound,769539383,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,33.74,22,2199.6779990556975,5343.137101773199,9.99926815289203,0.4116828666675429
compound,769539383,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,55.8575,20,6126.38312345331,9147.409012021048,17.50197577911321,0.6697397170501873
compound,769539383,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,70.95500000000001,19,14204.107202245754,21435.86843348449,27.341993153241074,0.6626326918510955
compound,769539383,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,104.43500000000002,18,23209.535807104152,39686.04763876866,35.9084761017539,0.5848286031998594
compound,769539383,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,70.95500000000001,19,13442.799115809192,22220.41476400878,26.599168087316677,0.6049751662414055
compound,769539383,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,104.43500000000002,18,14392.340013970159,33165.243777894575,28.276747430009774,0.433958517246389
compound,769539383,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,70.95500000000001,19,12233.930881129781,21926.716316027,25.375009340034353,0.557946329254398
compound,769539383,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,104.43500000000002,18,10508.091186068817,31280.059588216962,24.161598533012874,0.3359357790362766
compound,769539383,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,70.95500000000001,19,13368.136715546214,19286.495149766775,26.525198263603706,0.6931345800124742
compound,769539383,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,104.43500000000002,18,9762.173320746588,24917.38924381355,23.288258034118808,0.3917815476262355
compound,1425370602,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,34.11,17,2420.4618034024516,3074.36557823985,11.932313525988878,0.7873044834141766
compound,1425370602,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,56.35000000000002,17,3955.6633962685,6161.400417734599,15.254051335086071,0.6420071944817545
compound,1425370602,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,34.11,17,3229.325353176626,4307.71534840703,13.782609146774158,0.7496608043915466
compound,1425370602,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,56.35000000000002,17,3602.422095079312,7079.09123871485,14.557032048583562,0.5088819982115814
compound,1425370602,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,34.11,17,3228.5869554738015,5073.664882476873,13.781033333308248,0.6363421767615174
compound,1425370602,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,56.35000000000002,17,4403.990708430638,8316.667904137938,16.09528741484625,0.5295378821414094
compound,1425370602,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,34.11,17,1677.6154108803448,3805.402895113412,9.933944808763016,0.44085093145711374
compound,1425370602,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,56.35000000000002,17,1802.2264092311789,6859.299512449425,10.296276909158443,0.2627420490911924
compound,1425370602,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,72.255,16,21444.62907728339,24426.979387175692,36.60996199574935,0.8779075274670247
compound,1425370602,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,109.29500000000002,12,28806.814628336822,37320.18134676183,48.99559047194691,0.7718830292028126
compound,1425370602,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,72.255,16,24369.38160836283,28607.458062674912,39.026738917345845,0.851854140796884
compound,1425370602,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,109.29500000000002,12,30616.28772116435,42710.94393416516,50.51096227649033,0.7168253590544951
compound,1425370602,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,72.255,16,14512.436151956521,23063.324827541197,30.116893257726346,0.6292430194031008
compound,1425370602,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,109.29500000000002,12,19124.91472818977,49712.75731589192,39.92170955778089,0.3847083879629428
compound,1425370602,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,72.255,16,12944.840859771095,18558.526524197605,28.443849137127934,0.6975144736244505
compound,1425370602,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,109.29500000000002,12,18917.841162722347,33438.51660689207,39.704996707721754,0.5657500117341675
compound,536279090,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,34.9375,12,2045.1799193272616,5187.564164510062,13.054947718927812,0.3942466742520606
compound,536279090,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,59.7625,11,2329.69373859515,7945.798382040329,14.553018239261792,0.2931981943892376
compound,536279090,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,34.9375,12,1441.7306417518964,4203.668119614818,10.96103189239003,0.3429696638097115
compound,536279090,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,59.7625,11,1466.99231299639,5957.360034495504,11.54828721261843,0.2462487250228148
compound,536279090,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,34.9375,12,1890.4779441808716,5060.076671426405,12.551487110368209,0.3736065808757711
compound,536279090,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,59.7625,11,1185.6716163265169,8703.241921720275,10.382115813116133,0.13623332856777098
compound,536279090,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,34.9375,12,1719.1045862141102,3172.2289865474936,11.96907329402918,0.5419232323720438
compound,536279090,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,59.7625,11,1168.5399456969847,5962.074522445039,10.306837737845266,0.19599552828430059
compound,536279090,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,70.42000000000004,21,19554.03609896461,34601.264737267054,30.514661658638325,0.5651248949262849
compound,536279090,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,102.19000000000008,22,27669.151342160687,46804.04365793874,35.463906967097415,0.5911701036854226
compound,536279090,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,70.42000000000004,21,17191.527628439908,32459.299869457165,28.61195856251111,0.5296333469169004
compound,536279090,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,102.19000000000008,22,21379.22902434487,45327.46543623103,31.173436407785097,0.4716616916165818
compound,536279090,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,70.42000000000004,21,15494.659709200416,35728.92003357698,27.163227689900054,0.4336727696957813
compound,536279090,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,102.19000000000008,22,24203.744236914805,59168.232974736115,33.16881355410586,0.40906653824273265
compound,536279090,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,70.42000000000004,21,16549.327117376797,32826.50249097067,28.072463305979433,0.5041453052127284
compound,536279090,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,102.19000000000008,22,25282.091404612154,48304.58452898514,33.899645616686264,0.5233890665065476
compound,2767143051,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,34.01,16,881.0495505580305,1217.333694838898,7.420619711983421,0.7237535232068218
compound,2767143051,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,56.30250000000003,14,2738.6032399636474,4251.781900207983,13.986225979164661,0.6441071777058188
compound,2767143051,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,34.01,16,723.4785836418613,1255.2766309926442,6.724389301461979,0.5763499182405323
compound,2767143051,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,56.30250000000003,14,2418.800280318813,4062.154714543262,13.144255345747089,0.5954476011607983
compound,2767143051,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,34.01,16,2902.466955066372,4543.290400400213,13.468637076246736,0.6388468927301449
compound,2767143051,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,56.30250000000003,14,4719.069448885154,8160.679712073895,18.35964022539882,0.5782691657293194
compound,2767143051,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,34.01,16,2035.6746739689208,2575.95885035748,11.279612897748644,0.7902590034333891
compound,2767143051,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,56.30250000000003,14,3404.7055148500326,5077.843464067104,15.594654566892997,0.6705022592648081
compound,2767143051,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,72.55499999999999,16,13725.594178965273,18708.160292860986,29.289070251295612,0.7336688356365508
compound,2767143051,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,108.365,14,22845.134480053188,35584.170514683436,40.395486381572375,0.6420027262017076
compound,2767143051,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,72.55499999999999,16,7462.010149451793,14503.436424613952,21.59573185471465,0.5144994559212138
compound,2767143051,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,108.365,14,12828.09649949602,31739.20818380706,30.27032552033193,0.4041719133384289
compound,2767143051,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,72.55499999999999,16,6578.603715334857,15838.877839417728,20.277148029454946,0.41534531562349
compound,2767143051,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,108.365,14,11141.666067008136,33769.00314777008,28.21051737385511,0.32993766556428156
compound,2767143051,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,72.55499999999999,16,10504.986534767466,16368.181822788676,25.623459142414138,0.6417931232986336
compound,2767143051,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,108.365,14,18247.753525942935,33686.19112833262,36.10278335722581,0.5416983314149519
compound,1362771960,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,34.0875,19,2297.6201630676446,3002.7601496549078,10.99669845924495,0.7651693936765808
compound,1362771960,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,55.325,23,5320.466113779248,7460.575638986009,15.209359409343183,0.713144182330463
compound,1362771960,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,34.0875,19,2781.8951535694227,3568.7883777484,12.100228691987216,0.7795068967705394
compound,1362771960,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,55.325,23,6862.257014531759,9009.722330763081,17.273071545958917,0.7616502221273846
compound,1362771960,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,34.0875,19,4687.645462066285,6343.401340144421,15.707265268467806,0.7389798013252558
compound,1362771960,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,55.325,23,9994.48760372057,13634.715987463582,20.845693543084593,0.7330176596938276
compound,1362771960,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,34.0875,19,2945.5379813340264,4071.6455941110034,12.451036696076917,0.7234269076842751
compound,1362771960,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,55.325,23,5451.826580013817,7902.367431026835,15.395971494565398,0.6898978853613499
compound,1362771960,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,70.445,22,24662.44909253695,27595.364487037063,33.48164293007639,0.89371709890341
compound,1362771960,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,104.95999999999998,20,41062.39577115535,49302.23442080667,45.31136489400609,0.8328708881767453
compound,1362771960,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,70.445,22,19744.991967776066,24647.86446883257,29.95829826440267,0.8010832740801449
compound,1362771960,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,104.95999999999998,20,28234.3980487531,41327.09119557781,37.57286124901396,0.6831934508803348
compound,1362771960,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,70.445,22,14838.833913973529,21731.682617119153,25.970992484600206,0.6828202940109306
compound,1362771960,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,104.95999999999998,20,20476.738153587146,44360.08819046189,31.997451581014342,0.46160273770578225
compound,1362771960,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,70.445,22,14495.900409777692,19546.15801613046,25.669136410888548,0.7416240264616175
compound,1362771960,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,104.95999999999998,20,21261.485475230635,39997.65849522955,32.60481979342213,0.5315682536208076
