protocol,outer_seed,column,candidate,reference,combined_normalized_rmse_relative_gain,V1_rmse_relative_gain,V2_rmse_relative_gain,Center_rmse_relative_gain,Width_rmse_relative_gain
compound,769539383,25g,A2,A1,0.11149461824923168,0.12498195345253182,0.09038582043686316,0.1142179679858728,0.05994446835233758
compound,769539383,25g,A2,paper_style_current_v2,-0.06943724409328222,-0.06979665771080223,-0.06890715740205522,-0.08497422226482021,-0.021324312847986526
compound,769539383,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,-0.24143491009394324,-0.2087583198826244,-0.2949325331215542,-0.39276984858559416,-0.0031583945658146817
compound,769539383,40g,A2,A1,0.0316096334286744,-0.01813540303305028,0.08583903618238031,0.038832716652178356,0.11822856350886013
compound,769539383,40g,A2,paper_style_current_v2,-0.01657251553612138,-0.006674996072436379,-0.02969312027630866,-0.016840455460041426,-0.05141923820464234
compound,769539383,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,-0.10645460774793025,-0.07336992963140898,-0.1536931889046973,-0.12243594747814202,-0.0937687076733047
compound,1425370602,25g,A2,A1,-0.1410864820717581,-0.18371116594707826,-0.07188708458002702,-0.12430255085119946,-0.03345730596742147
compound,1425370602,25g,A2,paper_style_current_v2,0.07816408399064512,0.0785694449549793,0.07739867295572733,0.09241506275592537,-0.03278799622316275
compound,1425370602,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,-0.0465308308146013,-0.06395479625156342,-0.01589511377994479,-0.03329801817332734,-0.03331538554495039
compound,1425370602,40g,A2,A1,-0.07673769856250945,-0.08219307868306358,-0.06978797561424144,-0.076875170166822,-0.03750305457751768
compound,1425370602,40g,A2,paper_style_current_v2,-0.019560397629931225,-0.11372681731575862,0.07309407374404076,-0.01133194824295991,0.25420307816000887
compound,1425370602,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,-0.18915891274497776,-0.2415605053402019,-0.13017600712685296,-0.1868707360710593,0.036980418539701465
compound,536279090,25g,A2,A1,0.11117877384168418,0.09981355346761922,0.13411911313861524,0.1310228368889631,0.04624531900550943
compound,536279090,25g,A2,paper_style_current_v2,0.11805892034574905,0.08854409728946588,0.17265547750489174,0.10336829040627826,0.29770563866362854
compound,536279090,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,-0.09564180953951684,-0.151150074480624,0.0003954513056942943,-0.09175632039812798,0.11044514424363794
compound,536279090,40g,A2,A1,0.025061640960592046,0.03144656124604994,0.015900457705177562,0.026272089969622936,-0.044139877867798605
compound,536279090,40g,A2,paper_style_current_v2,0.08173929933668389,0.04685356141191954,0.1247413370089201,0.09162449944931983,0.1385278861267928
compound,536279090,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.016557885911130055,0.005608811093109178,0.03130615076803278,0.020915962536800503,0.019424654853611223
compound,2767143051,25g,A2,A1,0.004620440221186128,-0.015464862423929748,0.022554074174938488,0.02030667599187852,-0.012756702365513295
compound,2767143051,25g,A2,paper_style_current_v2,0.4014852669089233,0.4743647605767398,0.29447068497567475,0.3989455891170205,-0.07215762903613632
compound,2767143051,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.21909036810470905,0.30192793128331774,0.10558602607496392,0.21568660286113994,-0.20153438431544912
compound,2767143051,40g,A2,A1,0.08689177942577608,0.11951914614623826,0.05557033363041908,0.08753330063003217,-0.06722745311788048
compound,2767143051,40g,A2,paper_style_current_v2,0.036405780971764945,0.043085240595104435,0.03051984481045622,0.04005193682834096,-0.033299805107562364
compound,2767143051,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.04327361939092178,0.058684440451323594,0.029328921680497277,0.046627813474119484,-0.06156980871137829
compound,1362771960,25g,A2,A1,-0.09419531832533412,-0.09018468352617037,-0.0989287474169771,-0.1180442079226578,-0.004382734260813592
compound,1362771960,25g,A2,paper_style_current_v2,0.22280249190673596,0.24993430479891188,0.18710836335766112,0.23335317459673321,0.010820443098388588
compound,1362771960,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.009423580432158962,0.06378539150726603,-0.06776847350446125,-0.010306905722714088,-0.10905573764572707
compound,1362771960,40g,A2,A1,0.06905858802662257,0.0549134527768973,0.08444567589268959,0.076045039109634,0.033090446770574045
compound,1362771960,40g,A2,paper_style_current_v2,-0.014702313642758424,-0.06498372698218802,0.03479131992213258,-0.014027730590630227,0.17898717960987565
compound,1362771960,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,-0.06924495983956902,-0.12294618987728789,-0.01648303634061299,-0.07224592635184113,0.1671889066396215
