protocol,outer_seed,column,method,classification,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
row,769539383,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,32.492500000000014,23,1996.3810360419343,4201.644645495115,9.316607509178654,0.4751427606288404
row,769539383,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,57.155,16,3709.938988080276,6254.931201464892,15.227317122691614,0.5931222692283835
row,769539383,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,32.492500000000014,23,2330.3575547635055,4655.888702657668,10.065778344736675,0.5005183120965272
row,769539383,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,57.155,16,3740.3387680628375,6699.933123646271,15.289577267011909,0.5582650899696222
row,769539383,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,32.492500000000014,23,1987.51802928814,4185.380951487272,9.295903794701939,0.47487147581676575
row,769539383,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,57.155,16,3839.0594152794147,7010.237927473243,15.490035941048149,0.5476361080747452
row,769539383,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,32.492500000000014,23,2027.986434047343,4316.108511270534,9.390065133930099,0.4698645617346548
row,769539383,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,57.155,16,4172.3137170783075,7377.830245188076,16.14836237261829,0.5655204278791246
row,769539383,25g,P0,DEVELOPMENTAL CONFIRMATION,V1,32.492500000000014,23,2016.4145615631792,4233.6578256560215,9.36323653064654,0.47628189253833425
row,769539383,25g,P0,DEVELOPMENTAL CONFIRMATION,V2,57.155,16,3890.737132702444,7068.960191650335,15.593943401009982,0.55039737489229
row,769539383,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,70.08000000000001,18,5517.865747965171,14442.443176194274,17.50851498868982,0.38205902426954763
row,769539383,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,101.31,20,5553.231379620179,15244.830012056913,16.663180038066233,0.3642698131253815
row,769539383,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,70.08000000000001,18,5228.918485157461,17175.69065671602,17.043927698674292,0.304437160034252
row,769539383,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,101.31,20,3307.2341777063043,19359.234269258628,12.85930437019496,0.170834968558545
row,769539383,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,70.08000000000001,18,5376.0122354332925,18228.19001383435,17.281994862080033,0.2949284724019855
row,769539383,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,101.31,20,5779.643349837789,22164.520350549617,16.99947550637635,0.2607610387424635
row,769539383,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,70.08000000000001,18,7389.501997895026,23630.872737472382,20.261487822268776,0.31270542057370604
row,769539383,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,101.31,20,6746.66313445932,25016.484038276794,18.366631610694597,0.2696887030222353
row,769539383,40g,P0,DEVELOPMENTAL CONFIRMATION,V1,70.08000000000001,18,6187.152767312228,19705.77980645578,18.539975978817335,0.31397655043751505
row,769539383,40g,P0,DEVELOPMENTAL CONFIRMATION,V2,101.31,20,5942.911325133786,23272.907279397157,17.237910727715505,0.2553574958980254
row,1425370602,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,34.6325,9,232.6431106279548,4949.773504490076,5.08421424747396,0.04700075880581562
row,1425370602,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,57.080000000000005,15,2140.4181729653556,13294.585929128925,11.94548219471935,0.1609992356569467
row,1425370602,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,34.6325,9,492.0888465152205,4701.640276191216,7.39435855917815,0.104663227641452
row,1425370602,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,57.080000000000005,15,2197.031780553053,10871.306915977873,12.102428903745047,0.20209454093546123
row,1425370602,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,34.6325,9,410.7752179486961,5424.3506445557605,6.755863444681846,0.07572799858743967
row,1425370602,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,57.080000000000005,15,1732.3643891240342,14219.613391110446,10.74667200927504,0.12182921866265659
row,1425370602,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,34.6325,9,235.53232652210778,7821.632532171414,5.115687490695304,0.030112936852163794
row,1425370602,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,57.080000000000005,15,1271.90450873921,14763.12027848938,9.208345883813626,0.08615417911296434
row,1425370602,25g,P0,DEVELOPMENTAL CONFIRMATION,V1,34.6325,9,387.1345374970471,4633.9695371595235,6.558578246143216,0.08354274545670586
row,1425370602,25g,P0,DEVELOPMENTAL CONFIRMATION,V2,57.080000000000005,15,1458.6765916572829,12741.053690819737,9.861293328488182,0.11448633896804764
row,1425370602,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,71.95500000000001,16,6718.957631356332,17892.575072389827,20.492312020847496,0.3755165259428984
row,1425370602,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,106.55000000000001,17,15744.596227899625,28050.927720504445,30.43275733955458,0.5612861144835065
row,1425370602,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,71.95500000000001,16,8207.377968498402,23541.69904227049,22.648645059498595,0.34863150504819457
row,1425370602,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,106.55000000000001,17,18537.45264272646,38417.63769784018,33.02178660745986,0.48252453179255805
row,1425370602,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,71.95500000000001,16,8132.152566091781,24662.80583636601,22.544612114222243,0.32973347071891923
row,1425370602,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,106.55000000000001,17,15170.203916008126,34907.187624108745,29.872477905854616,0.4345868271991864
row,1425370602,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,71.95500000000001,16,8054.208024260107,26657.192445639223,22.4363098908055,0.30214014625451197
row,1425370602,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,106.55000000000001,17,15216.944891975036,40396.62871905402,29.918462617759893,0.3766884855120994
row,1425370602,40g,P0,DEVELOPMENTAL CONFIRMATION,V1,71.95500000000001,16,8552.488227529324,24602.77248754917,23.119915964825278,0.34762294500985685
row,1425370602,40g,P0,DEVELOPMENTAL CONFIRMATION,V2,106.55000000000001,17,18636.945255028208,39418.99998491058,33.11028386097891,0.4727909196621515
row,536279090,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,34.6375,10,338.41385310042034,6414.7110538867955,5.817334897531862,0.052755899721370764
row,536279090,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,57.6,11,2119.746543965673,10987.323167255357,13.881794958491739,0.19292656743573217
row,536279090,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,34.6375,10,604.8908029781747,5927.311109263247,7.777472616333501,0.10205146850362667
row,536279090,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,57.6,11,2225.5456637938137,10326.967349671155,14.224005521377052,0.21550815340426951
row,536279090,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,34.6375,10,826.0286333015779,6141.7536720069265,9.088611738332636,0.13449393730433648
row,536279090,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,57.6,11,2906.420080856082,14117.445722331553,16.254845657543257,0.20587435843713484
row,536279090,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,34.6375,10,502.33800282595837,8360.114585640722,7.087580707307384,0.06008745426632917
row,536279090,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,57.6,11,2343.383934919733,13709.66917693327,14.59571523340056,0.1709292839000457
row,536279090,25g,P0,DEVELOPMENTAL CONFIRMATION,V1,34.6375,10,935.229543480227,6071.29415126491,9.670726671146419,0.1540412176019142
row,536279090,25g,P0,DEVELOPMENTAL CONFIRMATION,V2,57.6,11,3227.6456477087286,13725.417213341554,17.129574764420873,0.23515829045774664
row,536279090,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,74.20000000000002,15,2582.792005464707,6407.522403084832,13.12197141048734,0.4030874717224945
row,536279090,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,108.105,15,6052.080278368978,12881.58573239799,20.086612919004832,0.46982416637942476
row,536279090,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,74.20000000000002,15,4677.70963095832,8905.57702923402,17.6591989832652,0.5252562091825123
row,536279090,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,108.105,15,8776.525839600396,18036.108041876905,24.188876010266092,0.48660863082116895
row,536279090,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,74.20000000000002,15,4094.896843418457,10219.3007672637,16.522503529869915,0.40070225318506786
row,536279090,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,108.105,15,6223.050462762103,23107.759933051726,20.36835857036121,0.2693056566621625
row,536279090,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,74.20000000000002,15,4259.382627384306,10252.347509797035,16.851078357945536,0.4154543750408465
row,536279090,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,108.105,15,8427.558263960287,21622.281832779598,23.70310565300152,0.3897626683962663
row,536279090,40g,P0,DEVELOPMENTAL CONFIRMATION,V1,74.20000000000002,15,5150.199311929657,11128.069315379003,18.529614696353253,0.46281157727981403
row,536279090,40g,P0,DEVELOPMENTAL CONFIRMATION,V2,108.105,15,7881.663920036355,20369.11398178334,22.922571001869684,0.38694191249973586
row,2767143051,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,34.0375,20,2241.495429701424,3210.566658651529,10.586537275477342,0.6981619346420533
row,2767143051,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,56.81,19,3092.8887190122373,5605.630169903119,12.758668300027152,0.5517468376023263
row,2767143051,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,34.0375,20,2450.8804069970383,3858.9984763904504,11.069960268666366,0.6351078970338159
row,2767143051,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,56.81,19,3487.1894742782883,7290.400322819296,13.547556536878151,0.4783261988183586
row,2767143051,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,34.0375,20,2581.817563662467,3626.798706722707,11.361816676180062,0.7118723073537988
row,2767143051,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,56.81,19,4053.196821586453,7737.0228078378195,14.605688908933743,0.523870346805809
row,2767143051,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,34.0375,20,2741.0991668976335,3543.079827424541,11.70704737945831,0.7736487181803449
row,2767143051,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,56.81,19,3499.7700026155253,6894.091622169916,13.57197189763856,0.5076477358323782
row,2767143051,25g,P0,DEVELOPMENTAL CONFIRMATION,V1,34.0375,20,2472.2579131620123,3641.571130677482,11.11813364095344,0.6788987018089828
row,2767143051,25g,P0,DEVELOPMENTAL CONFIRMATION,V2,56.81,19,4132.990790790279,8307.10206561964,14.748756933864806,0.49752498020884645
row,2767143051,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,74.70500000000001,12,5966.990468191421,10263.998489002552,22.299085310447566,0.5813514562170682
row,2767143051,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,108.45500000000001,12,6431.86197209498,16327.86941424229,23.15142539185399,0.39391924377375703
row,2767143051,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,74.70500000000001,12,5727.817203491609,10718.379977344866,21.84761086002237,0.5343920644349549
row,2767143051,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,108.45500000000001,12,5395.179511540231,17011.01209237165,21.203732988046056,0.317158055161199
row,2767143051,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,74.70500000000001,12,5683.110982769214,10534.722723573917,21.762182379013243,0.5394646951696145
row,2767143051,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,108.45500000000001,12,4598.326009312197,15127.394805651187,19.575337394521448,0.30397342492802437
row,2767143051,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,74.70500000000001,12,7761.35144793226,13609.948777515609,25.431855758628554,0.5702704378104967
row,2767143051,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,108.45500000000001,12,7292.1531394356825,22887.948029093408,24.651154704928263,0.31860231114499454
row,2767143051,40g,P0,DEVELOPMENTAL CONFIRMATION,V1,74.70500000000001,12,7231.284975329321,13489.49834682521,24.54805656823862,0.5360677461390715
row,2767143051,40g,P0,DEVELOPMENTAL CONFIRMATION,V2,108.45500000000001,12,6376.397488902404,17682.65966764062,23.05138732069143,0.3606017199195013
row,1362771960,25g,A1,DEVELOPMENTAL CONFIRMATION,V1,34.6175,14,1169.2889047700166,2265.8564093966443,9.138962526184315,0.5160472216689921
row,1362771960,25g,A1,DEVELOPMENTAL CONFIRMATION,V2,57.205,17,3888.5530575370476,5795.744632850753,15.1241004740526,0.6709324347205382
row,1362771960,25g,A2,DEVELOPMENTAL CONFIRMATION,V1,34.6175,14,1302.1716506470302,2428.0118264305843,9.644286430861651,0.5363119060920516
row,1362771960,25g,A2,DEVELOPMENTAL CONFIRMATION,V2,57.205,17,4056.763895219489,6329.707988841099,15.447756157676388,0.6409085383356268
row,1362771960,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,34.6175,14,1802.6372237730197,2755.5595230929553,11.347237624112436,0.6541819215538717
row,1362771960,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,57.205,17,4726.047512759759,7024.598416758653,16.67341581285074,0.6727854366001594
row,1362771960,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,34.6175,14,1603.2007076615298,2497.183214554111,10.701137148057576,0.6420036376657258
row,1362771960,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,57.205,17,4061.799030961011,6774.799234832766,15.45733983460325,0.5995452987119072
