protocol,outer_seed,column,candidate,reference,combined_normalized_rmse_relative_gain,V1_rmse_relative_gain,V2_rmse_relative_gain,Center_rmse_relative_gain,Width_rmse_relative_gain
row,769539383,25g,A2,A1,-0.04718721312193641,-0.05266851980513998,-0.0349609535374511,-0.03901458045004369,-0.05926780410468191
row,769539383,25g,A2,paper_style_current_v2,-0.029362598972931364,-0.0547117841451179,0.022382752877526224,-0.006430272242273993,-0.010915334872167781
row,769539383,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,-0.010158563530155984,-0.03861626071378921,0.04704826594519029,0.012853743323615663,0.02360886248912608
row,769539383,25g,A2,P0,-0.024015918895163857,-0.04868104427387032,0.026451782632950116,-0.0019083909152275425,-0.004741388401622526
row,769539383,40g,A2,A1,-0.10357701363859384,-0.09052787501383941,-0.12689329436451535,-0.12938871979279698,0.019765762106794926
row,769539383,40g,A2,paper_style_current_v2,0.04315619433861273,0.02929932579691419,0.06542336551382888,0.058102976381934734,-0.0351528464227322
row,769539383,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.13770000230276547,0.14745517186114376,0.1203073730912747,0.15008543143760222,-0.0484399113875007
row,769539383,40g,A2,P0,0.0745558035167101,0.06640118458598776,0.08794974725081905,0.08638813464552209,0.0016296915560366498
row,1425370602,25g,A2,A1,0.05797822063095548,0.02538736859235624,0.09571886509060468,0.07155380776511289,0.10879189852432636
row,1425370602,25g,A2,paper_style_current_v2,0.09498220900854826,0.06899755576350297,0.12562650559747446,0.09318132372527621,0.21127221730505952
row,1425370602,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.19167475672695078,0.2246889124305067,0.14187254040665587,0.18514673442378793,0.011976689026555576
row,1425370602,25g,A2,P0,0.031810742184219754,-0.007275131385561906,0.07628455462585582,0.037512583252144016,0.15253486800559868
row,1425370602,40g,A2,A1,-0.15779060906783715,-0.14705033913912335,-0.17028520255996815,-0.1844639890454045,0.00927396590677021
row,1425370602,40g,A2,paper_style_current_v2,-0.008953719175812891,0.022993035047217503,-0.049078286246394986,-0.015014164336964786,-0.07047780765310385
row,1425370602,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.04408905406618602,0.060251376953133984,0.024802078694175056,0.046606522552490204,-0.04880462149615039
row,1425370602,40g,A2,P0,0.01759637080261023,0.021801761509448014,0.012783223546333877,0.01633746884763232,0.015288695934995489
row,536279090,25g,A2,A1,0.03576428921491148,0.03874123665894191,0.030516431554143186,0.042465102307986835,-0.09608082971291276
row,536279090,25g,A2,paper_style_current_v2,0.07028563053993808,0.0176128698132183,0.144719956491138,0.09610043589225137,0.18706715997620638
row,536279090,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.14880409634982283,0.1579793422604473,0.13209355300918268,0.1454335556999482,0.09485561932702724
row,536279090,25g,A2,P0,0.06156499692463202,0.011928838104408368,0.13259159779911345,0.08763180473035315,0.15944598330709137
row,536279090,40g,A2,A1,-0.1811505190787588,-0.178924425126207,-0.18327789089832303,-0.18153379390723923,-0.18408994658360478
row,536279090,40g,A2,paper_style_current_v2,0.093175572519555,0.06648684660020343,0.11652860886720628,0.10543314915664015,0.0644146913213065
row,536279090,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.0777183307310827,0.06799257338942932,0.08668487008654446,0.08807845045342633,0.018238645840225165
row,536279090,40g,A2,P0,0.08250233943866725,0.10541601076653773,0.05900927039554049,0.08107572138209673,0.02658418055208711
row,2767143051,25g,A2,A1,-0.11154152491645508,-0.09634302491930358,-0.14041643454071928,-0.12933290504197026,-0.10163055322996195
row,2767143051,25g,A2,paper_style_current_v2,-0.008435887697446187,-0.03151507057093195,0.0292916851650884,-0.006323810028919352,0.0785918776197676
row,2767143051,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,-0.03807417391700829,-0.043630673169379186,-0.028341026818922588,-0.051291627633416326,0.04328870820908215
row,2767143051,25g,A2,P0,0.006836248434782255,-0.029420718649983968,0.06319130064964629,0.018726426575865207,0.1009912608050132
row,2767143051,40g,A2,A1,-0.021358792065125698,-0.021895025062743878,-0.020705176907013012,-0.03235193072934006,0.03761950256886182
row,2767143051,40g,A2,paper_style_current_v2,-0.0310236450915089,-0.008679094498633466,-0.06043244236138223,-0.037283414757991906,-0.05272614220173755
row,2767143051,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.12424139868741002,0.11256545740852164,0.1378920553100419,0.14395674314281226,0.016380553033879086
row,2767143051,40g,A2,P0,0.07148770434769947,0.10861222227695344,0.01917555203027299,0.07465846782610386,-0.07283552319579023
row,1362771960,25g,A2,A1,-0.039602913689135155,-0.03516411093391203,-0.045050353843420377,-0.04398426708641501,-0.03306562036384708
row,1362771960,25g,A2,paper_style_current_v2,0.056576841338417116,0.061313654394804074,0.05074894879232272,0.05522004077765008,0.04530226369204893
row,1362771960,25g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.022897449505075107,0.013947143895083447,0.033407051399617416,0.025689159267978545,0.041212580442484104
row,1362771960,25g,A2,P0,0.04912852917634303,0.05455026996223755,0.04244258841280113,0.04658667003435524,0.04174272827774794
row,1362771960,40g,A2,A1,-0.02781875846998183,-0.05673334337899494,0.005320992366954824,-0.034419563521543406,0.10176796214217798
row,1362771960,40g,A2,paper_style_current_v2,-0.10018861577501337,-0.07501175427235895,-0.13444218886955772,-0.11762748548556745,-0.04059695971745003
row,1362771960,40g,A2,HIER_CW_SHARED_LAMBDA_CORRECTED,0.04816221973675172,0.061705211256235404,0.03030460145170233,0.04689543086927683,0.008313811887871947
row,1362771960,40g,A2,P0,-0.04537145832444689,-0.0200384825447113,-0.08000923895560041,-0.05745441066269752,-0.029363147969657
