protocol,outer_seed,inner_fold,epoch,step,permutation_seed,grad_norm_4g,grad_norm_25g,grad_norm_40g,cos_4g_25g,cos_4g_40g,cos_25g_40g
compound,769539383,1,1,0,9379918042003115756,1614.236328125,2199.59814453125,5263.8134765625,-0.171844482421875,-0.3492329716682434,0.8672412633895874
compound,769539383,1,10,0,9379918042003115815,740.5155029296875,1975.6175537109375,5431.0048828125,-0.3772928416728973,-0.5661689639091492,0.8197084069252014
compound,769539383,1,20,0,9379918042003125148,507.8669738769531,1549.6209716796875,5653.8623046875,-0.8280369639396667,-0.6364206671714783,0.7245224118232727
compound,769539383,1,30,0,9379918042003124240,401.5174865722656,1292.60546875,4899.81201171875,-0.6418510675430298,-0.3441784083843231,0.5219061374664307
compound,769539383,1,40,0,9379918042003125389,419.1179504394531,927.0774536132812,2523.496337890625,-0.1051195487380027,-0.5756009817123413,-0.0489358678460121
compound,769539383,1,50,0,9379918042003127665,367.1171875,567.9539184570312,1631.60009765625,0.4087454378604889,-0.3926436901092529,-0.2857820987701416
compound,769539383,1,60,0,9379918042003126778,503.2157897949219,700.3855590820312,1017.7408447265624,0.2575799524784088,-0.5632314682006836,-0.0759702771902084
compound,769539383,1,70,0,9379918042003127834,480.9685974121094,439.5555114746094,878.4031982421875,0.0245124008506536,-0.5947191715240479,0.1397344470024109
compound,769539383,1,80,0,9379918042003120811,379.6837463378906,375.6220397949219,667.366455078125,0.0342757292091846,-0.5583124160766602,-0.1965285986661911
compound,769539383,1,90,0,9379918042003120931,254.35525512695312,258.7835693359375,647.7882690429688,0.1844542026519775,-0.3686227202415466,-0.2469077110290527
compound,769539383,1,100,0,9379918042003122096,229.95123291015625,293.98199462890625,659.0761108398438,0.2691377401351928,-0.1186112612485885,0.0067165149375796
compound,769539383,1,110,0,9379918042003121204,215.3726348876953,261.03900146484375,614.3094482421875,-0.0487588457763195,-0.1897924989461898,0.0595151223242282
compound,769539383,1,120,0,9379918042003122249,161.96096801757812,231.9756774902344,495.7586975097656,-0.0281827375292778,-0.3696630299091339,-0.059765238314867
compound,769539383,1,130,0,9379918042002117069,171.9295196533203,221.97950744628903,511.7059631347656,0.1351592242717743,-0.2695116698741913,-0.1834220290184021
compound,769539383,1,140,0,9379918042003123550,196.923828125,241.69281005859375,501.7254638671875,0.108400784432888,-0.0966044217348098,0.1072349846363067
compound,769539383,1,150,0,9379918042002117374,264.9991760253906,364.1997375488281,816.45166015625,0.071437269449234,-0.0567010939121246,0.5010389685630798
compound,769539383,1,160,0,9379918042002118247,158.3195037841797,250.619384765625,718.7413940429688,0.2810010910034179,0.2849383354187011,0.4686487019062042
compound,769539383,1,170,0,9379918042002118639,368.8870239257813,293.9842224121094,789.0584716796875,-0.040988590568304,0.1373290866613388,0.1279131770133972
compound,769539383,2,1,0,9379918042002176214,1833.9044189453125,2166.49853515625,5079.28271484375,-0.0900358781218528,-0.354055643081665,0.8392534852027893
compound,769539383,2,10,0,9379918042002171423,1064.752197265625,1862.90234375,5179.27880859375,-0.3674535453319549,-0.5584303736686707,0.8440813422203064
compound,769539383,2,20,0,9379918042002170798,579.353271484375,1257.1219482421875,4986.21435546875,-0.7845379710197449,-0.6797118782997131,0.7168184518814087
compound,769539383,2,30,0,9379918042002170166,646.6454467773438,735.2591552734375,4091.622314453125,-0.5645856261253357,-0.3963235020637512,0.4707278907299042
compound,769539383,2,40,0,9379918042002173621,621.93896484375,566.7862548828125,1863.75146484375,0.3256365656852722,-0.5595439076423645,-0.4103819131851196
compound,769539383,2,50,0,9379918042002173129,340.4250183105469,518.6463012695312,2154.298583984375,0.3598217666149139,-0.1349987834692001,-0.1825003027915954
compound,769539383,2,60,0,9379918042002172252,354.48291015625,600.3125,1033.257568359375,0.1135416328907013,-0.3973549604415893,-0.3761978447437286
compound,769539383,2,70,0,9379918042002216904,505.07708740234375,383.43890380859375,909.1122436523438,0.1925816982984542,-0.4878308176994324,-0.240224614739418
compound,769539383,2,80,0,9379918042002216051,275.8619079589844,510.648193359375,712.2944946289062,0.1963986456394195,-0.320778489112854,-0.4184933304786682
compound,769539383,2,90,0,9379918042002215675,246.2688751220703,337.34027099609375,718.5185546875,-0.1992616206407547,-0.149076372385025,-0.2478927671909332
compound,769539383,2,100,0,9379918042002218850,257.5398864746094,307.07958984375,624.9905395507812,0.2892644107341766,-0.051718533039093,-0.3845698237419128
compound,769539383,2,110,0,9379918042002218394,255.86412048339844,256.7725524902344,602.8026123046875,-0.0979238972067833,-0.1718427091836929,-0.4429605901241302
compound,769539383,2,120,0,9379918042002217489,272.95196533203125,289.7326965332031,717.267822265625,-0.1250194907188415,-0.302071213722229,-0.0004036638420075
compound,769539383,2,130,0,9379918042002217141,219.3633728027344,269.82147216796875,532.709228515625,-0.2426595389842987,0.2116118967533111,-0.4619598686695099
compound,769539383,2,140,0,9379918042002212096,265.98675537109375,259.3974609375,580.1924438476562,-0.1812124997377395,0.0599481239914894,-0.2740157842636108
