protocol,outer_seed,inner_fold,method,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,769539383,1,A2_PCGRAD,4g,V1,9.958333333333334,73,2705.9372087399465,4075.558807287379,6.08831939014681,0.6639426239909838
compound,769539383,1,A2_PCGRAD,4g,V2,22.503333333333337,75,4653.879451298461,8793.775822281938,7.877291794602559,0.5292242542169792
compound,769539383,1,A2_PCGRAD,25g,V1,33.74,15,1268.990679753401,3951.8491618034914,9.197792052999825,0.3211131366092618
compound,769539383,1,A2_PCGRAD,25g,V2,55.8575,15,2736.0170087228344,7752.81965771479,13.505596392416576,0.352906056056681
compound,769539383,1,A2_PCGRAD,40g,V1,70.95500000000001,14,9483.287459587442,23927.00221557331,26.026480278455196,0.3963424826121793
compound,769539383,1,A2_PCGRAD,40g,V2,104.43500000000002,13,10126.37708841369,34201.74881956438,27.90971307133289,0.2960777573637144
compound,769539383,2,A2_PCGRAD,4g,V1,9.958333333333334,73,2820.4874559988657,4473.767387709971,6.215851869674654,0.6304501802545918
compound,769539383,2,A2_PCGRAD,4g,V2,22.503333333333337,75,5107.598599953498,9599.670143913603,8.252352068716327,0.5320598024080884
compound,769539383,2,A2_PCGRAD,25g,V1,33.74,15,1068.1484187244098,1820.48197037891,8.43859553371456,0.5867393558982013
compound,769539383,2,A2_PCGRAD,25g,V2,55.8575,13,2902.671550097577,4162.09974353023,14.942637883940804,0.6974055714569625
compound,769539383,2,A2_PCGRAD,40g,V1,70.95500000000001,18,11577.919072118611,16512.716737188286,25.361737444994024,0.7011516794231675
compound,769539383,2,A2_PCGRAD,40g,V2,104.43500000000002,17,14003.354474744165,22419.590666741704,28.700639954685336,0.6246034855363087
compound,769539383,3,A2_PCGRAD,4g,V1,9.958333333333334,73,2813.6088679601876,4080.069718131316,6.208267651473423,0.6895982329558891
compound,769539383,3,A2_PCGRAD,4g,V2,22.503333333333337,75,4694.381996983654,10209.80136156359,7.91149543131904,0.4597917070802569
compound,769539383,3,A2_PCGRAD,25g,V1,33.74,12,1306.8843475746737,3361.830701515804,10.435853053994013,0.3887418682283487
compound,769539383,3,A2_PCGRAD,25g,V2,55.8575,14,4593.938503089667,7312.623589713378,18.114592584609923,0.6282202887554519
compound,769539383,3,A2_PCGRAD,40g,V1,70.95500000000001,13,7173.72577026362,13514.58342463596,23.490956967544932,0.5308136806634021
compound,769539383,3,A2_PCGRAD,40g,V2,104.43500000000002,15,17633.25268370368,27766.36753044393,34.28629724705744,0.6350579586750056
compound,769539383,4,A2_PCGRAD,4g,V1,9.958333333333334,73,2720.8699290370023,4367.601753979806,6.105095479083522,0.6229665803567636
compound,769539383,4,A2_PCGRAD,4g,V2,22.503333333333337,75,5462.699982988776,9933.466726031222,8.534400961589728,0.5499288550162912
compound,769539383,4,A2_PCGRAD,25g,V1,33.74,13,830.7728309532413,1553.8684213260185,7.9940979716925264,0.5346481204916231
compound,769539383,4,A2_PCGRAD,25g,V2,55.8575,11,1346.7714227101171,4477.1790516060355,11.064979245390376,0.300808032733694
compound,769539383,4,A2_PCGRAD,40g,V1,70.95500000000001,15,11802.986628248062,14019.81093888787,28.05112787779731,0.8418791579784557
compound,769539383,4,A2_PCGRAD,40g,V2,104.43500000000002,16,15705.893362893725,23645.21462854614,31.33078893326591,0.6642313723780914
compound,769539383,5,A2_PCGRAD,4g,V1,9.958333333333334,73,3266.8839141336457,4614.036946822152,6.6896811912218155,0.7080315896437853
compound,769539383,5,A2_PCGRAD,4g,V2,22.503333333333337,75,6458.326419722831,10262.34483072768,9.279602304497631,0.6293226866032804
compound,769539383,5,A2_PCGRAD,25g,V1,33.74,7,1412.472465244915,3347.9033582338357,14.204991402646945,0.4218976219164389
compound,769539383,5,A2_PCGRAD,25g,V2,55.8575,9,3857.259822882125,7396.766315394164,20.702280665778844,0.5214792056975477
compound,769539383,5,A2_PCGRAD,40g,V1,70.95500000000001,14,12628.760303210462,16584.373055048236,30.03421894060466,0.7614855419190117
compound,769539383,5,A2_PCGRAD,40g,V2,104.43500000000002,13,17698.580189090266,27057.5618639572,36.89755066823049,0.6541084624725987
compound,1425370602,1,A2_PCGRAD,4g,V1,9.958333333333334,73,2991.41469606831,4904.948524832145,6.401428239680976,0.6098768786101951
compound,1425370602,1,A2_PCGRAD,4g,V2,22.503333333333337,75,7008.0640482362,12524.818450645034,9.666480951022594,0.5595341821402035
compound,1425370602,1,A2_PCGRAD,25g,V1,34.11,19,771.250059704111,5582.502009161474,6.371193640557437,0.1381549094722059
compound,1425370602,1,A2_PCGRAD,25g,V2,56.35000000000002,20,2947.340624989739,9299.451337062028,12.139482330375005,0.3169370447956869
compound,1425370602,1,A2_PCGRAD,40g,V1,72.255,11,8388.750652208157,11110.39879538899,27.615461170425657,0.755035962857574
compound,1425370602,1,A2_PCGRAD,40g,V2,109.29500000000002,10,12148.361319683385,19841.840317011913,34.854499450836165,0.6122598068319134
compound,1425370602,2,A2_PCGRAD,4g,V1,9.958333333333334,73,3039.6920170026997,4399.047134654478,6.452876619870386,0.6909887355052065
compound,1425370602,2,A2_PCGRAD,4g,V2,22.503333333333337,75,6584.47429006638,10959.527489312986,9.369791381573998,0.6007991034729488
compound,1425370602,2,A2_PCGRAD,25g,V1,34.11,8,840.5359461907881,4316.120982165119,10.250219181746726,0.1947433701844811
compound,1425370602,2,A2_PCGRAD,25g,V2,56.35000000000002,10,4824.813946912254,7351.337702107669,21.965459127712887,0.6563178216569963
compound,1425370602,2,A2_PCGRAD,40g,V1,72.255,19,17177.42585301747,21529.75407242454,30.067840708897876,0.7978458924906363
compound,1425370602,2,A2_PCGRAD,40g,V2,109.29500000000002,18,25515.30569952396,33552.97701209666,37.649926737071965,0.760448340852887
compound,1425370602,3,A2_PCGRAD,4g,V1,9.958333333333334,73,3034.545913428316,4868.109118793933,6.447412046841566,0.6233520735418767
compound,1425370602,3,A2_PCGRAD,4g,V2,22.503333333333337,75,5285.498012003826,10266.197562572568,8.394838106045743,0.5148447592001486
compound,1425370602,3,A2_PCGRAD,25g,V1,34.11,12,914.6819318946698,1921.806723930675,8.730606755807743,0.4759489705727895
compound,1425370602,3,A2_PCGRAD,25g,V2,56.35000000000002,12,2696.600818681289,4374.4329268802685,14.99055485597873,0.6164458030916558
compound,1425370602,3,A2_PCGRAD,40g,V1,72.255,19,17423.151757996417,25354.00528657049,30.282139740496696,0.6871952403995559
compound,1425370602,3,A2_PCGRAD,40g,V2,109.29500000000002,21,27514.054978601904,37811.99388892841,36.19658953850678,0.7276541686593838
compound,1425370602,4,A2_PCGRAD,4g,V1,9.958333333333334,73,3083.526582371079,4186.460524771091,6.499237660638887,0.7365473922723018
compound,1425370602,4,A2_PCGRAD,4g,V2,22.503333333333337,75,5827.466921787718,9694.097705868244,8.814735331090183,0.6011355670842999
compound,1425370602,4,A2_PCGRAD,25g,V1,34.11,11,870.1142344065644,1186.7154846799594,8.893890826683247,0.7332121689144572
