column,protocol,outer_seed,gradient_train_rows,validation_rows,test_rows,gradient_train_ids_sha256,validation_ids_sha256,test_ids_sha256
25g,row,769539383,320,5,83,2756305e342fb2dbd171172fefb04b18775e2641553eb6b5e8a8d162f3a137d3,e56755a15b207a9f32c34f4434570cf760edc76a100c93a7d20411e77ae367b2,13013d4a52db1f80b452df2e2b7a199005604ef87631332342ef33d6ce63157b
25g,row,1425370602,327,7,74,c67e1ec7d8a5089e61873710a003d33ed4c56998c73838daa96043fca35a8f81,b78ffe668c06a8c1e1661a5897d40e69d42ae106a436a9a4fe77b38db0768695,e5fff2f4f90086f469b02f39a48f8debc2551cf6514bc2124eab6ca5d366d4ac
25g,row,536279090,326,8,74,cc5c8a036ad43e7e546dee57a516d7f46afc1893bb91d2b0c72bce19786abe1b,fff44a582d1e6e2611cd66ffb92858d11c996f332e250f4f930612e05cd4d1f8,bf131c2f241912a89ed721e387f88917500089a2fcb6a5a6e4f32772f0b5a45c
25g,row,2767143051,320,5,83,1b65d86cb55191a41d27e6fd61c6938d570d10226bbc78f1b4761783164b77c1,4bbf7f2c56e52d74f1899e74547fc81dbc5a5fb46c94c0d272aa160ca360f3c5,e140073a1fa296865b46997f6ea0a0c5b624269fd755d451adc15a8b01202eb5
25g,row,1362771960,315,7,86,0fa38a06b877fe853d7c99185ee0b148cdde6626265b46bad2dc270a931798c2,dddeca00a526435781265d210039dc1e3b710a72a7c6625346a8a52cfdab0f7c,8bb0250dd10901a88332d8619ba62ee8bfcff3a4f27a1d3c8e86b24f9d4f9813
25g,compound,769539383,310,6,92,b1ea9cae3f42fe2302a2ce9c85b5c69188d7af86d8c4b0dc8051c35bfcdfb940,628f3f1cca87881e471682a5597b1b72dbef44d4946ada2b6014236618dea2da,3092c82b387375d2ec3935cf972fd0d9386c6bf9ffb6414a8b31c71773369b00
25g,compound,1425370602,318,6,84,c4a086c2479cbce03ca2f5e1dcd284f22f4b3aea6ef36da3166b30f0488530c3,628f3f1cca87881e471682a5597b1b72dbef44d4946ada2b6014236618dea2da,7856518dc015799cc080f489558fdd92b362cc7d2709f4a7cd4d9588d5b178ef
25g,compound,536279090,306,7,95,905d73ecae9ee43408493d89bc82759ce3476dbc701224b348a3ff3908f4e02a,9a58b7ae8eb1fa771c8546361643ed81d4ed84fae85255e53b4ccb17673edbb8,8aab4f7cd3a22679bdc5b30428e7aaa8f6309acded3307ea9023beceb29a9f95
25g,compound,2767143051,334,6,68,ab1d20c410a24ab6ccafaaaa70cfe5f6959b0c2487bec14e750de93578534ba3,628f3f1cca87881e471682a5597b1b72dbef44d4946ada2b6014236618dea2da,8d0d7d7880bfb57b3239a08ccdc9902f416b20f38eb01e4d9930ddd6f35d6290
25g,compound,1362771960,311,6,91,5cda531dc8dd21b36ab415e4e1290ce47224401d77eaba2b5ca941de6cc87beb,628f3f1cca87881e471682a5597b1b72dbef44d4946ada2b6014236618dea2da,5843c007335f2a925130372c253eb00b6241dae8f31840243b786ce4064b3af0
40g,row,769539383,364,5,87,e0d2cea5721ca6d2d54f8e6f78567baa0c9f9340edd11d19858eb491da4c3223,930317ae5da4bd0f0db03615c8977bcfe0504477255705365b3960c37c4d2c7b,a775a3c76684b0147e5364b0977e95597f8acdfe9b04aa4d9796e9abcf90a370
40g,row,1425370602,354,6,96,e402eca1d7b5ec0f2fe5caa26180228d215b28aa7260fd97e96e72970f18ce3f,d090183388ed876e077094292a76b054d5b40f5cd0d451e13289244eeb87caf4,667855af48308a1d1ca980b650118ad80583f60b57666ffcdec57d3c52fe2421
40g,row,536279090,348,8,100,d6344c7aa03de956298c6fa9f3628c1a9c0ef73557683c29ad1057d48b0e4132,597687683c0105bf2aec169aaead364e85e8941691106a01576807a2bb8f8789,f17e59980345303c17a71d64585dc40203224020c9ee87802325eb76601eb184
40g,row,2767143051,359,7,90,527df9b3b4fb5c25324f849889d9f16028875d83f35234cbd070909fbbf58013,3eed7b915897a6c908d9b0089d35610ec728414a898dc19d79d6af56d5552fba,0f76d94ab1886dd0a211c50f35c61baa859bc8be31e520e56ef74d34b1803b69
40g,row,1362771960,361,8,87,a92e458daded15b982310b809ea6f4063c57f2243dd728f86be5f2565a5cc4fb,8200bb3e8482fa820602a144f82401e697664467de207683e455df1cc5db511d,3e6eafc6596db08a83ac3022867849687fd4a98feff736c661c2635dba37794e
