column,protocol,seed,fold,method,selected_penalty,free_coefficients,projection_frequency,raw_v2_lt_v1_rate,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,compound,769539383,0,M1_conditional_EA,0.0,6,,,11.790840185184468,5.625712525454592,-0.23974986306234336,13.510364242045858,6.7242275425209135,0.4143875680765702,1.2135368161477194,1.2135368161477194,1.1683717317161209,1.1683717317161209,True
25g,compound,769539383,0,M2_MAG,0.0,8,,,12.528742799039652,5.736166494236949,-0.3997792478231197,14.285088326777165,6.779251432387105,0.3453004655002304,1.287961408376539,1.287961408376539,1.2392898990637429,1.2392898990637429,True
25g,compound,769539383,0,M3_CENTER_WIDTH,0.0,6,0.0,0.0,11.05136749209384,4.908879035523925,-0.08912218546907358,14.126844518530968,6.709145301989999,0.35972506213592037,1.1703027886446422,1.1703027886446422,1.140622169948471,1.140622169948471,True
25g,compound,769539383,1,M1_conditional_EA,0.0,6,,,6.772513335278362,5.0031497513030585,0.5839996200617938,8.654215802396072,6.6107854653265345,0.7768961811440556,0.7171160631195307,0.7171160631195307,0.6989037738881452,0.6989037738881452,True
25g,compound,769539383,1,M2_MAG,0.1,8,,,6.4486796790301275,4.615573993117677,0.6228313392451188,9.953599818141697,7.706925864380808,0.7048709804549644,0.7256394399836034,0.7256394399836034,0.7187675680000725,0.7187675680000725,True
25g,compound,769539383,1,M3_CENTER_WIDTH,0.0,6,0.0,0.0,6.084380184438361,4.365984244943438,0.6642417627794712,8.86952847610425,6.774876345332933,0.7656566533958249,0.6710501125483337,0.6710501125483337,0.661935112933715,0.661935112933715,True
25g,compound,769539383,2,M1_conditional_EA,0.0,6,,,7.043353034622471,5.1675627174743815,0.5118855292534599,10.30286936001166,8.260579942008691,0.5908949827279234,0.7777219034123223,0.7777219034123223,0.7673650109820374,0.7673650109820374,True
25g,compound,769539383,2,M2_MAG,0.1,8,,,6.533100232951991,4.835608819088524,0.5800463004930398,9.977005344203056,8.179777189432361,0.6163644635585146,0.7323117617514734,0.7323117617514734,0.7248523757053562,0.7248523757053562,True
25g,compound,769539383,2,M3_CENTER_WIDTH,0.1,6,0.0,0.0,6.587421193130644,4.755946546125924,0.5730336644176914,10.696789999503642,8.500749607206282,0.5590134343112434,0.7555182753439359,0.7555182753439359,0.7506855092676016,0.7506855092676016,True
25g,compound,769539383,3,M1_conditional_EA,0.0,6,,,6.299945417909119,4.46917757559393,0.5122158254135445,8.09728246655857,5.572075490302318,0.7151257726140194,0.6681756772639823,0.6681756772639823,0.6515958636814568,0.6515958636814568,True
25g,compound,769539383,3,M2_MAG,0.1,8,,,6.631318932531957,4.657217333965103,0.4595519376400481,9.226608485823895,6.541833159969986,0.6301217737389531,0.7202881338257199,0.7202881338257199,0.7077464947345964,0.7077464947345964,True
25g,compound,769539383,3,M3_CENTER_WIDTH,0.1,6,0.0,0.0,6.851339319362634,4.545297538618126,0.423093959264085,8.835727291732821,5.98216776884584,0.6607973880831741,0.7273549254984313,0.7273549254984313,0.709550878424021,0.709550878424021,True
25g,compound,769539383,4,M1_conditional_EA,0.1,6,,,6.231783057125387,4.4100220689396705,0.5773669375675456,10.900688930229583,7.9332999884366,0.5959426213775414,0.7366232284432052,0.7366232284432052,0.7344601786510638,0.7344601786510638,True
25g,compound,769539383,4,M2_MAG,0.1,8,,,5.685055228511087,4.313801149242035,0.6482709875715054,9.914794160568826,7.706391680727067,0.6657260343534717,0.6711523307314898,0.6711523307314898,0.6691052377076516,0.6691052377076516,True
25g,compound,769539383,4,M3_CENTER_WIDTH,0.1,6,0.0,0.0,5.216728981323545,3.7643601733146395,0.7038338864657361,9.260297335019619,6.958262992559839,0.7084016837358287,0.6205250394258625,0.6205250394258625,0.6190321313968433,0.6190321313968433,True
25g,compound,1425370602,0,M1_conditional_EA,0.0,6,,,6.5997980588113165,3.995429180294777,0.5214248997414701,10.078872176338919,5.96372431483928,0.7223749708387122,0.7397883388380047,0.7397883388380047,0.7322528430945623,0.7322528430945623,True
25g,compound,1425370602,0,M2_MAG,0.1,8,,,6.026322601073674,3.9327471392242375,0.6009810165367628,9.777786779343883,6.353576073428665,0.7387141641643583,0.6909495111678161,0.6909495111678161,0.6864990911011637,0.6864990911011637,True
25g,compound,1425370602,0,M3_CENTER_WIDTH,0.1,6,0.0,0.0,6.803668947523561,3.738042672305485,0.49140141000731796,9.376663920132843,5.735092483761695,0.7597123539562529,0.7367918241347451,0.7367918241347451,0.7233497984499999,0.7233497984499999,True
25g,compound,1425370602,1,M1_conditional_EA,0.0,6,,,10.406823786781267,4.813043594426234,-0.11274856641025743,14.86083703651037,8.088020630387959,0.20748265894917184,1.1399086987793128,1.1399086987793128,1.1225510626966018,1.1225510626966018,True
25g,compound,1425370602,1,M2_MAG,0.0,8,,,7.167720887924409,4.315072336848054,0.4721350663611278,16.67527165185247,8.536776717829161,0.0021435577738669886,0.9755349342437278,0.9755349342437278,0.9734465717265515,0.9734465717265515,True
25g,compound,1425370602,1,M3_CENTER_WIDTH,0.0,6,0.0,0.0,10.658373770051046,4.544498288446544,-0.1671926222539093,14.836252322046642,7.909382354790083,0.21010265890891655,1.1578651092038457,1.1578651092038457,1.137748430671859,1.137748430671859,True
25g,compound,1425370602,2,M1_conditional_EA,0.0,6,,,7.624708436078378,5.5330169161853435,0.45434367070897885,9.255087288669685,6.9181183434140605,0.750262613247314,0.7961642075576316,0.7961642075576316,0.7716672783258649,0.7716672783258649,True
25g,compound,1425370602,2,M2_MAG,0.1,8,,,7.3172725310044635,5.502072283992879,0.49745937458475775,10.47225665839101,8.279934038085601,0.6802555022260603,0.8020827672451238,0.8020827672451238,0.7900146033074918,0.7900146033074918,True
25g,compound,1425370602,2,M3_CENTER_WIDTH,0.0,6,0.0,0.0,6.76844712189712,4.8440666962718915,0.5700174851345532,9.516310291782347,7.189107456076087,0.7359660861793922,0.7376426434000022,0.7376426434000022,0.7254579950181037,0.7254579950181037,True
25g,compound,1425370602,3,M1_conditional_EA,0.0,6,,,6.555839919417908,4.938124344371727,0.6217445326356605,8.603399466778502,6.408473504452749,0.7494582961293206,0.6995017952602388,0.6995017952602388,0.6835744127842289,0.6835744127842289,True
25g,compound,1425370602,3,M2_MAG,0.1,8,,,6.300505410416449,4.767253196671682,0.6506350671660484,8.197495679327421,6.25049289056922,0.7725414621580191,0.6705778354851976,0.6705778354851976,0.6547481567723923,0.6547481567723923,True
25g,compound,1425370602,3,M3_CENTER_WIDTH,0.0,6,0.0,0.0,5.975190939033023,4.465140897315265,0.6857812410601808,8.58818725087168,6.392538598266574,0.7503435101687165,0.6558982333567103,0.6558982333567103,0.646256489742087,0.646256489742087,True
25g,compound,1425370602,4,M1_conditional_EA,0.0,6,,,7.126425068128801,5.313741172333698,0.4601029439403368,9.978799892047695,7.399992699897671,0.6068944622843868,0.7756386011029209,0.7756386011029209,0.7625573324277337,0.7625573324277337,True
25g,compound,1425370602,4,M2_MAG,0.1,8,,,7.093254453837592,4.882280298593007,0.46511724997195736,10.304603827610702,7.949476643151836,0.5808059270766671,0.7814098513344286,0.7814098513344286,0.7705854258606182,0.7705854258606182,True
25g,compound,1425370602,4,M3_CENTER_WIDTH,0.1,6,0.0,0.0,7.026355785640038,4.458636929461833,0.47515896040754657,9.80567565381883,7.0850636841287296,0.620416276114977,0.763926638619186,0.763926638619186,0.7508230987714033,0.7508230987714033,True
25g,compound,536279090,0,M1_conditional_EA,0.0,6,,,5.4483707975189875,3.858058270921491,0.7605539627269651,8.230535467374038,5.749645975333321,0.8011884492100909,0.6083597171783925,0.6083597171783925,0.6017039416157581,0.6017039416157581,True
25g,compound,536279090,0,M2_MAG,0.1,8,,,5.560593728419768,4.181305844731133,0.7505883863899164,8.698483495832004,6.191367569076627,0.7779388835050286,0.6287894530927676,0.6287894530927676,0.6233787760176099,0.6233787760176099,True
25g,compound,536279090,0,M3_CENTER_WIDTH,0.1,6,0.0,0.0,4.940973154993204,3.5398403352026855,0.8030756912550626,8.361967368493033,5.611318596611895,0.7947881817670861,0.5760807874157167,0.5760807874157167,0.573594966741451,0.573594966741451,True
25g,compound,536279090,1,M1_conditional_EA,0.0,6,,,11.706080492859895,6.015822685070211,-0.22102318122483777,14.62559625792245,8.22887878628457,0.29017211804464915,1.231802285510724,1.231802285510724,1.197678487381764,1.197678487381764,True
25g,compound,536279090,1,M2_MAG,0.1,8,,,9.633667885921389,5.851005069820148,0.17304050610754074,13.362105999688453,8.667998997159987,0.40751723881925195,1.045364045131049,1.045364045131049,1.0268783730514002,1.0268783730514002,True
25g,compound,536279090,1,M3_CENTER_WIDTH,0.0,6,0.0,0.0,11.476674230631378,5.612468708651942,-0.17363487281356105,14.911436308378896,8.174538536802956,0.26215549188703335,1.2210006117006011,1.2210006117006011,1.1920116135964771,1.1920116135964771,True
25g,compound,536279090,2,M1_conditional_EA,0.0,6,,,7.767712083330372,5.3780230382224845,0.5018442926479921,9.572947872943821,6.555118567909792,0.7548324997455419,0.8143594035640112,0.8143594035640112,0.7906273769879087,0.7906273769879087,True
25g,compound,536279090,2,M2_MAG,0.1,8,,,7.4425296017511835,5.083816244489421,0.5426801921955727,10.37984636887308,7.444368130836759,0.7117605887494641,0.8090098792780308,0.8090098792780308,0.7950886527523457,0.7950886527523457,True
25g,compound,536279090,2,M3_CENTER_WIDTH,0.1,6,0.0,0.0,7.323782446262148,4.4754277971027845,0.5571570439780056,10.335105225151061,6.7945251289377016,0.7142400796306416,0.799114187986783,0.799114187986783,0.786162101956532,0.786162101956532,True
25g,compound,536279090,3,M1_conditional_EA,0.0,6,,,8.252953292611524,5.731527946974263,0.38061117028423674,12.744872272867982,9.145407563520559,0.6048128667231727,0.9288345825950736,0.9288345825950736,0.9200690300863146,0.9200690300863146,True
25g,compound,536279090,3,M2_MAG,0.1,8,,,7.599784007146451,5.336766915281407,0.47477293986523805,11.9200936368701,9.076947085579215,0.6543065464768261,0.8602289263855358,0.8602289263855358,0.8529708150791064,0.8529708150791064,True
25g,compound,536279090,3,M3_CENTER_WIDTH,0.1,6,0.0,0.0,8.103451855942222,5.1503494451220435,0.40284825343524455,12.106800701773286,8.758126169513147,0.6433923891046138,0.9013128453098804,0.9013128453098804,0.8907376462394541,0.8907376462394541,True
