column,protocol,seed,method,n_train,unique_compounds,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,compound,769539383,M1_conditional_EA,310,61,7.912320815779892,4.935124927753127,0.37695937017619385,10.468672434014993,7.020193685719012,0.6240929718248538,0.8462683885797172,0.8462683885797172,0.8276616340083628,0.8276616340083628,True
25g,compound,769539383,M2_MAG,310,61,7.9690715659629925,4.831673557930058,0.3679898589935572,10.826929212652303,7.382835865379466,0.5979243076026375,0.8591784621954848,0.8591784621954848,0.8424049695780207,0.8424049695780207,True
25g,compound,769539383,M3_CENTER_WIDTH,310,61,7.439107948987257,4.468093507705211,0.4492553152377847,10.549699249168171,6.985040403186979,0.6182514626873636,0.8129970783761193,0.8129970783761193,0.8001541751349281,0.8001541751349281,True
25g,compound,1425370602,M1_conditional_EA,318,61,7.797017248276614,4.9125323271526975,0.39661502541141813,10.79684231622551,6.952988136221839,0.6264275134688234,0.8456266183498103,0.8456266183498103,0.8305516040948145,0.8305516040948145,True
25g,compound,1425370602,M2_MAG,318,61,6.797266492279629,4.674038860695212,0.5414295183854276,11.470874439802815,7.470346162697325,0.5783283360587954,0.7915952196995062,0.7915952196995062,0.7880761581992044,0.7880761581992044,True
25g,compound,1425370602,M3_CENTER_WIDTH,318,61,7.632482871587451,4.406273173309817,0.4218118613242332,10.67114905117893,6.858440866901803,0.6350748982755325,0.8303133436643174,0.8303133436643174,0.8162019325841108,0.8162019325841108,True
25g,compound,536279090,M1_conditional_EA,306,61,8.09920340909406,5.105988764692422,0.3979411902074387,10.895056468182759,7.142624774324492,0.6407257901102149,0.8705683273243044,0.8705683273243044,0.8527812682648248,0.8527812682648248,True
25g,compound,536279090,M2_MAG,306,61,7.266901125953559,4.895056118917923,0.5153225597922306,10.648751335493936,7.529092694485891,0.6567864357523625,0.8028900801367699,0.8028900801367699,0.7923075199580556,0.7923075199580556,True
25g,compound,536279090,M3_CENTER_WIDTH,306,61,7.7372818999906166,4.490501521845564,0.45054624769189744,10.892033132528525,6.952973917146863,0.6409251568271368,0.8435672840496858,0.8435672840496858,0.8297216821873239,0.8297216821873239,True
25g,compound,2767143051,M1_conditional_EA,334,61,7.7757889923609165,4.920246049922249,0.37861732629355094,10.507828350893583,6.926629250552257,0.6291189106866892,0.8369649509238151,0.8369649509238151,0.820215871446832,0.820215871446832,True
25g,compound,2767143051,M2_MAG,334,61,6.831384282552365,4.727172338146393,0.5203906532863445,11.340411223835135,7.648610611391892,0.5680172980837217,0.790322767612953,0.790322767612953,0.7861835134769553,0.7861835134769553,True
25g,compound,2767143051,M3_CENTER_WIDTH,334,61,7.700208325229419,4.531315683979827,0.39063829793296423,10.473427352269878,6.8974888903800435,0.6315433497713772,0.8304785176559606,0.8304785176559606,0.8143500212813337,0.8143500212813337,True
25g,compound,1362771960,M1_conditional_EA,311,61,8.513385418471715,5.230208916853498,0.24512196627720462,10.450305635482838,6.989415771382207,0.613650173780433,0.8915901384104239,0.8915901384104239,0.8652306703337587,0.8652306703337587,True
25g,compound,1362771960,M2_MAG,311,61,7.952991464973056,5.049742861161158,0.34123088462898854,10.165718475974396,7.336565109605395,0.6344061398060941,0.8421833512644629,0.8421833512644629,0.8208201152207992,0.8208201152207992,True
25g,compound,1362771960,M3_CENTER_WIDTH,311,61,8.069959840821289,4.718778997441919,0.32171073376037473,10.99854289613514,7.211002212322758,0.5720499882190049,0.8708987191616466,0.8708987191616466,0.8541441918201766,0.8541441918201766,True
25g,row,769539383,M1_conditional_EA,320,77,8.298448245620735,4.974486395897763,0.30659438323998334,10.309922603472662,6.8130406195520905,0.6749355438992997,0.8718919777227692,0.8718919777227692,0.847225842936989,0.847225842936989,True
25g,row,769539383,M2_MAG,320,77,7.904138498544074,4.867837927315762,0.37092466351271636,10.889616080783393,7.3646060259817006,0.6373532314651069,0.8558744686006383,0.8558744686006383,0.8402343145432968,0.8402343145432968,True
25g,row,769539383,M3_CENTER_WIDTH,320,77,7.52166100836412,4.312363321884079,0.4303329654166136,10.447058202741577,6.795405651440038,0.6662304578821214,0.8165420010495417,0.8165420010495417,0.8022002723183435,0.8022002723183435,True
25g,row,1425370602,M1_conditional_EA,327,78,7.133676319485896,4.790572854586149,0.5117090492093685,9.155752079840653,6.638514963061325,0.7315439694598911,0.7562942107697854,0.7562942107697854,0.737419617940253,0.737419617940253,True
25g,row,1425370602,M2_MAG,327,78,7.320319264001618,4.905956105482893,0.48582385838238673,9.527192158330267,7.012319001126569,0.7093201246489879,0.7791860303849973,0.7791860303849973,0.7608152181324395,0.7608152181324395,True
25g,row,1425370602,M3_CENTER_WIDTH,327,78,6.72242387759685,4.42915970354917,0.5663856341198605,9.061651980938718,6.577849761781918,0.7370338347341747,0.7230324878573089,0.7230324878573089,0.7083971573144283,0.7083971573144283,True
25g,row,536279090,M1_conditional_EA,326,77,6.64259598508751,4.449795525156921,0.5842437173835746,9.104146851814782,6.4334398375000825,0.7424480619578693,0.7181070092650522,0.7181070092650522,0.7046533613397886,0.7046533613397886,True
25g,row,536279090,M2_MAG,326,77,6.836986964584249,4.603780280679941,0.5595540234019412,9.113749708880842,6.419628393343238,0.7419044549960161,0.7328829011924499,0.7328829011924499,0.7172870092163739,0.7172870092163739,True
25g,row,536279090,M3_CENTER_WIDTH,326,77,6.269333805424302,4.168506826518539,0.6296554724799586,8.949820516857509,6.335668275948763,0.7511056917101563,0.6866411429723553,0.6866411429723553,0.6761684417188287,0.6761684417188287,True
25g,row,2767143051,M1_conditional_EA,320,78,7.718990134121683,4.9744550746251015,0.3792999826827108,10.289017969601618,6.650783353800362,0.6740416861886811,0.8274174343085692,0.8274174343085692,0.809806444435017,0.809806444435017,True
25g,row,2767143051,M2_MAG,320,78,6.620306765945993,4.721676758844863,0.543419863571043,10.96302686855783,7.220907797911929,0.62993742359877,0.7651546497994328,0.7651546497994328,0.7610525545774227,0.7610525545774227,True
25g,row,2767143051,M3_CENTER_WIDTH,320,78,7.567008944890485,4.448467288062591,0.4035016035610096,10.408387798664217,6.692601519559173,0.6664344885941869,0.8189571273814967,0.8189571273814967,0.8038751049636481,0.8038751049636481,True
25g,row,1362771960,M1_conditional_EA,315,77,8.252916121279604,5.233742132816943,0.35290088897823735,10.39001027222114,6.956423130681056,0.6748229230419794,0.8702493479481863,0.8702493479481863,0.8468274526227235,0.8468274526227235,True
25g,row,1362771960,M2_MAG,315,77,7.429667575830549,5.041072266731667,0.4755613314363051,10.362950875721003,7.5258515793507925,0.6765144781400855,0.8076376481823662,0.8076376481823662,0.7937470276046896,0.7937470276046896,True
25g,row,1362771960,M3_CENTER_WIDTH,315,77,8.031527487685624,4.844919182905001,0.3871527509537226,10.665400723400898,7.130125317768865,0.6573566369418443,0.859952948950256,0.859952948950256,0.8413443377357805,0.8413443377357805,True
40g,compound,769539383,M1_conditional_EA,367,63,15.50290249107049,10.217338765514182,0.6697723201175066,19.743407112945334,13.92696303223115,0.7199747548435362,1.6399846283739457,1.6399846283739457,1.5977744739856417,1.5977744739856417,True
40g,compound,769539383,M2_MAG,367,63,15.565013350875228,10.39343546107146,0.6671209698628143,20.263751585306483,14.358794822966876,0.7050199193944289,1.6569134281465827,1.6569134281465827,1.6178990672453823,1.6178990672453823,True
40g,compound,769539383,M3_CENTER_WIDTH,367,63,14.571985401066959,9.300361447579027,0.708240573037004,19.30069098556391,13.6700066347262,0.7323922420880791,1.5590539309855298,1.5590539309855298,1.5249345371817942,1.5249345371817942,True
40g,compound,1425370602,M1_conditional_EA,363,63,15.938836128984315,10.371671807209191,0.6477793376118541,19.23119183921808,13.915648915947965,0.7350278714569345,1.6617180042141673,1.6617180042141673,1.6095058848874584,1.6095058848874584,True
40g,compound,1425370602,M2_MAG,363,63,15.870405575275377,10.405688690703121,0.6507972386094572,19.561355444002082,14.26918661294006,0.7258516203406207,1.6638976951564375,1.6638976951564375,1.6154321669943048,1.6154321669943048,True
40g,compound,1425370602,M3_CENTER_WIDTH,363,63,14.993350092531331,9.666699462112376,0.6883271430313072,18.973528010815293,13.744899772883722,0.7420806178723475,1.5832708305216077,1.5832708305216077,1.5414968456229734,1.5414968456229734,True
40g,compound,536279090,M1_conditional_EA,359,63,14.14849850147884,9.901297245057448,0.7052670398344894,18.65011189470734,13.754519419445062,0.738227956379527,1.511601258383729,1.511601258383729,1.47782853681109,1.47782853681109,True
40g,compound,536279090,M2_MAG,359,63,14.192353183257815,9.943879512506145,0.7034370997895065,18.840765572526504,13.88134147933309,0.7328485894031458,1.5194654137800794,1.5194654137800794,1.4865408878142212,1.4865408878142212,True
40g,compound,536279090,M3_CENTER_WIDTH,359,63,13.429909503064135,9.274440811362666,0.7344451900631407,17.997819789136738,13.406737781138492,0.756218818350401,1.4419092310363597,1.4419092310363597,1.4119436967793781,1.4119436967793781,True
40g,compound,2767143051,M1_conditional_EA,360,63,15.58063423226713,10.12217408494828,0.6680490761771467,19.325383098692473,14.033703802182426,0.7299404315465642,1.6362799253408005,1.6362799253408005,1.5897058232288184,1.5897058232288184,True
40g,compound,2767143051,M2_MAG,360,63,15.55824281577499,10.194950255558583,0.6690025046817896,19.555746308945828,14.098069622642935,0.7234637083099006,1.6398550932563059,1.6398550932563059,1.5954495769363595,1.5954495769363595,True
40g,compound,2767143051,M3_CENTER_WIDTH,360,63,14.955616332993262,9.606728306610995,0.6941473499430313,18.85830043655832,13.773311376938677,0.7428370221681759,1.5777238772003315,1.5777238772003315,1.5355187430654078,1.5355187430654078,True
40g,compound,1362771960,M1_conditional_EA,355,63,15.403261622067207,9.84916341813596,0.6653132863583806,18.95593421008852,13.520750308165237,0.7350190369443468,1.6142474077709001,1.6142474077709001,1.56696039622335,1.56696039622335,True
40g,compound,1362771960,M2_MAG,355,63,15.369405133589378,9.950575080303203,0.6667829573904833,19.22393176701253,13.831419296500686,0.7274735108861736,1.617776101936544,1.617776101936544,1.5731471155595862,1.5731471155595862,True
40g,compound,1362771960,M3_CENTER_WIDTH,355,63,14.828879078193518,9.435969727904277,0.6898086122150886,18.67109260610786,13.283832156394425,0.7429226853848618,1.5637206740741731,1.5637206740741731,1.5216542882419888,1.5216542882419888,True
40g,row,769539383,M1_conditional_EA,364,80,14.624481310581121,9.7610449192601,0.717806955792426,19.748943766369685,14.033565468271643,0.7316048295790396,1.5738027068441962,1.5738027068441962,1.5422068745914073,1.5422068745914073,True
40g,row,769539383,M2_MAG,364,80,14.65713635747384,9.845178564799385,0.7165453294788648,20.060623082714162,14.43253014109992,0.7230663138026289,1.5838431234521422,1.5838431234521422,1.5539726101951872,1.5539726101951872,True
40g,row,769539383,M3_CENTER_WIDTH,364,80,14.147201298209305,9.452441152774306,0.7359255237412716,19.214610895276508,13.731983842161808,0.7459319005815204,1.5251208568989658,1.5251208568989658,1.495302863994187,1.495302863994187,True
40g,row,1425370602,M1_conditional_EA,354,80,14.60648303879823,9.823504409037172,0.7000389503507916,18.462292873614793,13.265523058321568,0.7398598741456217,1.541916208222137,1.541916208222137,1.5010483151798861,1.5010483151798861,True
40g,row,1425370602,M2_MAG,354,80,14.645866041793507,9.942215552911856,0.6984192184973272,18.633517095982043,13.433521896727832,0.7350122813143936,1.548893420500125,1.548893420500125,1.5088726370378935,1.5088726370378935,True
40g,row,1425370602,M3_CENTER_WIDTH,354,80,13.913870237973612,9.294004300709979,0.7278117052750903,18.021464239593733,12.937902186679672,0.7521344198144003,1.47895811090358,1.47895811090358,1.44338856666662,1.44338856666662,True
40g,row,536279090,M1_conditional_EA,348,79,16.540659899808738,10.892373221250194,0.6231895147987885,20.0328745864311,14.255887725296033,0.7128397138292529,1.7261554463986462,1.7261554463986462,1.672627683122474,1.672627683122474,True
40g,row,536279090,M2_MAG,348,79,16.422152259181903,10.992557099505657,0.6285695847512511,20.20975477144362,14.57631615196732,0.707746365646657,1.7210245743177826,1.7210245743177826,1.6706090372814746,1.6706090372814746,True
40g,row,536279090,M3_CENTER_WIDTH,348,79,15.70746594854587,10.081468571743201,0.6601951534245566,19.981645891653695,14.200472459998771,0.7143065065324146,1.6611058408966002,1.6611058408966002,1.6181644810538884,1.6181644810538884,True
40g,row,2767143051,M1_conditional_EA,359,80,15.836487122026375,10.52236837662356,0.6662028978029495,20.28583240101629,14.28746273873265,0.7173675770888596,1.6780176233440318,1.6780176233440318,1.635812047310805,1.635812047310805,True
40g,row,2767143051,M2_MAG,359,80,15.79750322445942,10.60452953162263,0.667844258739253,20.53337312583597,14.564666305841735,0.7104277680316948,1.6808806926624615,1.6808806926624615,1.6410371757212912,1.6410371757212912,True
40g,row,2767143051,M3_CENTER_WIDTH,359,80,15.26827303941324,9.812667316031396,0.689726493593922,19.646821707293043,13.95809140833703,0.7348931658952103,1.619891518595526,1.619891518595526,1.5798822446164982,1.5798822446164982,True
40g,row,1362771960,M1_conditional_EA,361,80,14.69156189362175,9.897016679778737,0.6898402939615156,18.91060422808148,13.175617157662321,0.7239146868134003,1.5588431667914096,1.5588431667914096,1.520390009535261,1.520390009535261,True
40g,row,1362771960,M2_MAG,361,80,14.756547261416848,10.015011239882494,0.6870903589290777,19.238562010787096,13.374223791653106,0.7142556129888855,1.5714983466502932,1.5714983466502932,1.534713531322902,1.534713531322902,True
40g,row,1362771960,M3_CENTER_WIDTH,361,80,14.202007633016706,9.413758021956264,0.7101662728861033,18.777088924923685,13.1197556350687,0.7277994369855352,1.5186667394198141,1.5186667394198141,1.4851730811644823,1.4851730811644823,True
25g,compound,769539383,M2_WIDTH,310,61,7.887600486275215,4.744349100126002,0.3808463990968931,10.307171858123674,6.887617044829054,0.6356017701798691,0.8405556228894925,0.8405556228894925,0.8210701429289926,0.8210701429289926,True
25g,compound,1425370602,M2_WIDTH,318,61,7.872948223913438,4.834316870308221,0.38480571547049613,10.797224978722731,6.946679466666504,0.6264010326312481,0.8512825939856519,0.8512825939856519,0.8353816691751774,0.8353816691751774,True
25g,compound,536279090,M2_WIDTH,306,61,8.07128671339783,4.992861052062513,0.40208444364337004,10.755565034042283,7.056318656500557,0.6498666063658107,0.8651076920323985,0.8651076920323985,0.8466714657415066,0.8466714657415066,True
25g,compound,2767143051,M2_WIDTH,334,61,7.892440262018286,4.852110612866864,0.35983369333588466,10.496425730809573,6.9059578258144505,0.629923400719854,0.8454380663822983,0.8454380663822983,0.8272632859774729,0.8272632859774729,True
25g,compound,1362771960,M2_WIDTH,311,61,8.71880791720874,5.24185678899917,0.20825301676624253,10.098800111086417,6.783845460884484,0.6392035223254244,0.8997031502254467,0.8997031502254467,0.8673333856744925,0.8673333856744925,True
25g,row,769539383,M2_WIDTH,320,77,8.183449946106803,4.848086128504368,0.3256793857445178,10.35825908261096,6.845768840470983,0.6718803698395861,0.8642134165961761,0.8642134165961761,0.841432007071574,0.841432007071574,True
25g,row,1425370602,M2_WIDTH,327,78,6.925568935129963,4.512223365262054,0.5397828603286936,9.19582352052196,6.7085804136242215,0.7291889558045951,0.7415133036030781,0.7415133036030781,0.7254605363111805,0.7254605363111805,True
25g,row,536279090,M2_WIDTH,326,77,6.547764018298483,4.39398019900809,0.5960299375664455,9.069825351483217,6.508114368873971,0.7443862791314871,0.710209679183598,0.710209679183598,0.6975684016492147,0.6975684016492147,True
25g,row,2767143051,M2_WIDTH,320,78,7.655411789285479,4.835239403597862,0.38948280659457046,10.44036974624417,6.788248402780009,0.6643814396778945,0.826327794394995,0.826327794394995,0.8104793446822852,0.8104793446822852,True
25g,row,1362771960,M2_WIDTH,315,77,8.254138467614554,5.156712716903137,0.35270918999780876,10.586431987482124,7.098450039721061,0.6624118509258883,0.8749098942029346,0.8749098942029346,0.8530139824838808,0.8530139824838808,True
40g,compound,769539383,M2_WIDTH,367,63,15.556509319504086,9.922932551411549,0.6674846111056323,19.649804637993842,14.159458019234881,0.7226236313230183,1.6418965687964389,1.6418965687964389,1.5982649130400715,1.5982649130400715,True
40g,compound,1425370602,M2_WIDTH,363,63,16.381754660777588,10.449321650329503,0.6279318855963241,18.938337243100285,13.946792748025016,0.7430364721492418,1.6896635504877424,1.6896635504877424,1.6285029164073204,1.6285029164073204,True
40g,compound,536279090,M2_WIDTH,359,63,14.049256485181823,9.731045460333624,0.7093872380675106,18.18679462351107,13.887361700490885,0.7510725988940414,1.4931125763214288,1.4931125763214288,1.4571214226155464,1.4571214226155464,True
40g,compound,2767143051,M2_WIDTH,360,63,15.710130168908705,10.016843392769083,0.662508232075491,18.940565238524513,14.031775412324668,0.7405885052010187,1.637545506362813,1.637545506362813,1.5859545986108419,1.5859545986108419,True
40g,compound,1362771960,M2_WIDTH,355,63,15.485904445761937,9.695231357050687,0.6617122755958028,18.79675361281604,13.476131818982475,0.7394506547181298,1.6170114931907205,1.6170114931907205,1.5672537370448354,1.5672537370448354,True
40g,row,769539383,M2_WIDTH,364,80,14.754651995384865,9.772979924225812,0.7127610686775858,19.416226861642816,14.320213790994535,0.7405721324935957,1.5755768940309915,1.5755768940309915,1.540118872118005,1.540118872118005,True
40g,row,1425370602,M2_WIDTH,354,80,14.436482064891267,9.65573783387885,0.7069806514503132,18.0785256740824,13.186552964162978,0.7505622992817285,1.5200712360380073,1.5200712360380073,1.478325334059019,1.478325334059019,True
40g,row,536279090,M2_WIDTH,348,79,16.47509019840712,10.72222095979444,0.6261710620034423,19.987942482985904,14.495846893930164,0.7141264234084123,1.7200873612747192,1.7200873612747192,1.6670695431818623,1.6670695431818623,True
40g,row,2767143051,M2_WIDTH,359,80,15.742803490970836,10.190983691541243,0.6701404918810209,19.580092192444635,14.173136183357716,0.7366909536789517,1.6545360166382723,1.6545360166382723,1.6079179745195418,1.6079179745195418,True
40g,row,1362771960,M2_WIDTH,361,80,14.669594526693878,9.69132173025825,0.6907671250636309,18.656503177709027,13.33657933565995,0.7312843342192332,1.5512352437945656,1.5512352437945656,1.511093213240442,1.511093213240442,True
25g,compound,769539383,M2_LOADING_SOLVENT,310,61,7.7087490452841125,4.869767611317618,0.408606688929238,10.049857965140102,7.000132001550101,0.6535687413998106,0.820936661221152,0.820936661221152,0.8017184191439704,0.8017184191439704,True
25g,compound,1425370602,M2_LOADING_SOLVENT,318,61,7.807901033977289,4.910706106634566,0.3949293304755841,10.765568758319874,7.0811605621734,0.6285885195030043,0.8456639668316746,0.8456639668316746,0.8302695818850703,0.8302695818850703,True
25g,compound,536279090,M2_LOADING_SOLVENT,306,61,8.033029329819335,5.1398297168848925,0.4077391733847042,10.871715357182445,7.530942304351744,0.6422635290803457,0.8650488511579083,0.8650488511579083,0.8478562852828473,0.8478562852828473,True
25g,compound,2767143051,M2_LOADING_SOLVENT,334,61,7.719103482683145,4.886852999248869,0.3876440641103762,10.408822354956772,7.069813977817321,0.6360749558185421,0.8303197351570177,0.8303197351570177,0.8135397064613361,0.8135397064613361,True
25g,compound,1362771960,M2_LOADING_SOLVENT,311,61,8.323352224576617,5.1860985711849965,0.27844615687096563,10.468636238043254,7.108749692272444,0.6122936132057089,0.8774446225405513,0.8774446225405513,0.8537423099665404,0.8537423099665404,True
25g,row,769539383,M2_LOADING_SOLVENT,320,77,8.178455378137954,4.988312467985766,0.3265022446592879,10.287608322322138,6.964253032760349,0.6763411276852345,0.8621976980240952,0.8621976980240952,0.838917750179093,0.838917750179093,True
25g,row,1425370602,M2_LOADING_SOLVENT,327,78,7.167288624466338,4.718014872852155,0.5070967708120734,9.113286829354958,6.655128159522204,0.7340284437482028,0.7578595180581543,0.7578595180581543,0.7382317471170272,0.7382317471170272,True
25g,row,536279090,M2_LOADING_SOLVENT,326,77,6.66008267364065,4.397837993229832,0.5820518724856052,9.174638624146572,6.49663058376727,0.7384442646861479,0.7211405312543222,0.7211405312543222,0.707955355047851,0.707955355047851,True
25g,row,2767143051,M2_LOADING_SOLVENT,320,78,7.650626382138235,4.994947939437486,0.3902458381026638,10.10686697534094,6.7918782632057555,0.6854806927911758,0.8179064497480454,0.8179064497480454,0.7998033264186805,0.7998033264186805,True
25g,row,1362771960,M2_LOADING_SOLVENT,315,77,8.277402679408493,5.246072318628182,0.3490552818467837,10.350292030906958,7.036661712282175,0.6773043018068161,0.8712059924556286,0.8712059924556286,0.8471459473894457,0.8471459473894457,True
40g,compound,769539383,M2_LOADING_SOLVENT,367,63,15.359609815209001,10.128179234250313,0.6758486691362244,19.79645260107403,13.970333728528688,0.7184680209464975,1.6303355593875768,1.6303355593875768,1.5903316881848584,1.5903316881848584,True
40g,compound,1425370602,M2_LOADING_SOLVENT,363,63,15.912915820137048,10.353388851542883,0.6489239939443583,19.267164070027686,13.884287374728144,0.7340356757384591,1.6605231986277595,1.6605231986277595,1.608979906438042,1.608979906438042,True
40g,compound,536279090,M2_LOADING_SOLVENT,359,63,14.178945770981253,9.890533935257528,0.7039971567303169,18.753298110385472,13.931689795908907,0.7353233100311611,1.516360947081204,1.516360947081204,1.482969776978154,1.482969776978154,True
40g,compound,2767143051,M2_LOADING_SOLVENT,360,63,15.605809346514086,10.134715279854143,0.6669754800926195,19.402219347441505,14.0495279738527,0.7277886899738393,1.6399668417530289,1.6399668417530289,1.5936930036442107,1.5936930036442107,True
40g,compound,1362771960,M2_LOADING_SOLVENT,355,63,15.32529332200668,9.812442798732217,0.6686929485332025,19.11417485265793,13.601882954571218,0.7305765470609772,1.6118794515712673,1.6118794515712673,1.5669344412731518,1.5669344412731518,True
40g,row,769539383,M2_LOADING_SOLVENT,364,80,14.83191409167979,9.916347545139427,0.7097449639958161,19.96285476574795,14.261968870607024,0.7257590878532273,1.5945200322643276,1.5945200322643276,1.5620223281807002,1.5620223281807002,True
40g,row,1425370602,M2_LOADING_SOLVENT,354,80,14.594821525216494,9.758319502432833,0.7005177245334426,18.474701928967498,13.311878919479218,0.7395100608161556,1.5413143840005077,1.5413143840005077,1.5006942768918838,1.5006942768918838,True
40g,row,536279090,M2_LOADING_SOLVENT,348,79,16.487900991859085,10.838005655466198,0.6255894679484464,20.17794266806986,14.341814600148915,0.708665712327055,1.7253593647453969,1.7253593647453969,1.6737916946210731,1.6737916946210731,True
40g,row,2767143051,M2_LOADING_SOLVENT,359,80,15.838092724641305,10.484174068456532,0.6661352094747519,20.499184940194564,14.356822870936663,0.711391244166473,1.6831478245910796,1.6831478245910796,1.6425494667850336,1.6425494667850336,True
40g,row,1362771960,M2_LOADING_SOLVENT,361,80,14.754542768625909,9.96036326815902,0.6871753628948806,19.007617820266315,13.220058807951313,0.7210747214434651,1.5659000807060341,1.5659000807060341,1.527403677616444,1.527403677616444,True
