column,protocol,candidate,reference,n_pairs,V1_rmse_delta_mean,V1_rmse_delta_median,V1_rmse_wins,V1_mae_delta_mean,V1_mae_delta_median,V1_mae_wins,V2_rmse_delta_mean,V2_rmse_delta_median,V2_rmse_wins,V2_mae_delta_mean,V2_mae_delta_median,V2_mae_wins,combined_normalized_rmse_delta_mean,combined_normalized_rmse_delta_median,combined_normalized_rmse_wins
25g,compound,M2_MAG,M1_conditional_EA,5,-0.6560201904523189,-0.8323022831404998,4,-0.18528344990464998,-0.19307371177585608,5,0.2667958965917805,0.3582567786373101,2,0.4671197650720325,0.3864679201613992,0,-0.04096970853577886,-0.04940678714596103,4
25g,row,M2_MAG,M1_conditional_EA,5,-0.38704154733778895,-0.3943097470766608,3,-0.05654572880555016,-0.1066484685820015,3,0.32153718306449586,0.3714400784896146,1,0.4102221786238626,0.55156540642961,1,-0.020644856370895547,-0.016017509122130846,3
40g,compound,M2_MAG,M1_conditional_EA,5,-0.0037425834190386808,-0.02239141649213927,3,0.08537673585549008,0.07277617061030206,0,0.30790450442833545,0.2679975569240085,0,0.25744527128236144,0.31066898833544876,0,0.0068153016384813634,0.003575167915505384,0
40g,row,M2_MAG,M1_conditional_EA,5,-0.004093624102138449,0.03265504689271914,2,0.10063687655445186,0.10018387825546249,0,0.2470564462499091,0.24754072481967881,0,0.27264042780113973,0.2772035671090851,0,0.005481001196476765,0.006977212277988087,1
25g,compound,M2_WIDTH,M1_conditional_EA,5,0.06907354376606226,0.07593097563682427,2,-0.08772131240224468,-0.07821545684447617,4,-0.13270349840300072,-0.13949143414047604,4,-0.09028663270095158,-0.08630611782393505,5,0.0022137403854433748,0.005655975635841526,2
25g,row,M2_WIDTH,M1_conditional_EA,5,-0.09605872983202932,-0.09483196678902761,4,-0.13536203396147303,-0.12640026739339483,5,0.0803719822783151,0.04833647913829786,1,0.0913920321750659,0.0746745313738888,0,-0.005357178406716079,-0.007678561126593042,4
40g,compound,M2_WIDTH,M1_conditional_EA,5,0.1218844208532314,0.08264282369473008,1,-0.12925418179412312,-0.15393206108527302,4,-0.2787545599411999,-0.2928545961177953,5,0.06998684421721713,0.03114383207705096,2,0.003079694215120199,0.001911940422493208,1
40g,row,M2_WIDTH,M1_conditional_EA,5,-0.04421019769764918,-0.06556970140161766,4,-0.1726126932502332,-0.17015226145575468,4,-0.3442514933297126,-0.332716904726869,5,0.09885460396422552,0.16096217799762869,2,-0.011445679964772948,-0.007607922996843985,4
25g,compound,M2_LOADING_SOLVENT,M1_conditional_EA,5,-0.10111615352853978,-0.06617407927472385,4,-0.02216919622061031,-0.03339305067338039,4,-0.11082090623144651,-0.03127355790563513,4,0.1517893839930407,0.1281724259515613,1,-0.010320917335953394,-0.00664521576679733,4
25g,row,M2_LOADING_SOLVENT,M1_conditional_EA,5,-0.022554213560751712,0.01748668855313973,2,-0.015573278189891048,0.01233018581123968,2,-0.043231398975857614,-0.03971824131418167,4,0.09046996938856751,0.08023858160111885,0,-0.002729958094823326,0.0009566445074422614,2
40g,compound,M2_LOADING_SOLVENT,M1_conditional_EA,5,-0.03831178020398305,-0.025920308847267037,3,-0.02847704424559545,-0.018282955666308,4,0.08545616518697444,0.07683624874903217,0,0.057227269923563286,0.0433706962975382,1,-0.000953045132541197,-0.0011948055864077212,3
40g,row,M2_LOADING_SOLVENT,M1_conditional_EA,5,0.04151976743727417,0.001605602614930035,2,0.012180486740849617,-0.03819430816702685,3,0.13635085354656837,0.14506808163876173,0,0.09489758416778357,0.06936013220401271,0,0.006301306941385043,0.005130201247047772,2
25g,compound,M3_CENTER_WIDTH,M1_conditional_EA,5,-0.30373499947343297,-0.3619215091034427,5,-0.4978276204183313,-0.5062591538428807,5,0.09322929529619231,-0.0030233356542339607,3,-0.025381065652272206,-0.035153282532033536,4,-0.02055269613606823,-0.020691419248777265,5
25g,row,M3_CENTER_WIDTH,M1_conditional_EA,5,-0.38693433632680935,-0.3732621796632083,5,-0.4439271320326993,-0.38882294991194133,5,0.0566938891304126,0.11936982906259885,2,0.007889724380768116,-0.017634968112052896,3,-0.027766854360680736,-0.031465866292696876,5
40g,compound,M3_CENTER_WIDTH,M1_conditional_EA,5,-0.7588785136037555,-0.718588998414706,5,-0.635489113059144,-0.6268564336947815,5,-0.42091926549392583,-0.4427161273814235,5,-0.25455955117806506,-0.2569563975049505,5,-0.06763053605310816,-0.06969202734736935,5
40g,row,M3_CENTER_WIDTH,M1_conditional_EA,5,-0.6121710215354959,-0.5682140826131352,5,-0.5683936485469232,-0.5295001083271931,5,-0.35978323935453604,-0.44082863402105943,5,-0.21397012320764688,-0.30158162610983474,5,-0.05499841697718688,-0.05812610474850577,5
