column,protocol,seed,planned_budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,normalized_rmse
8g,row,769539383,30,30,zero_shot,0.1843144015813427,12.173240539650303,8.858910165316814,0.47285983647235963,19.38357510211436,14.027986389934151,1.3857182434418716,1.3753011298467896
8g,row,769539383,30,30,column_mass_ratio_scaling,0.7717988166172356,6.4387824621326475,3.3014991251627603,0.7447221238343777,13.488927386829326,7.79699937682221,0.8281651854951989,0.8280927519269041
8g,row,769539383,30,30,scale_only,0.43574212124117206,10.124734003796796,6.664660769779047,0.6113400612660287,16.64392372005359,10.553851025821995,1.1668022884918743,1.1601074657000927
8g,row,769539383,30,30,affine,0.4905501384936627,9.620453185831634,4.734230736811047,0.6212718200848046,16.429889333143112,9.049141879393744,1.1258546148992443,1.1214518242230898
8g,row,769539383,30,30,affine_condition_residual,0.4924345392051225,9.602644186959143,4.713978279481004,0.6303055397332988,16.232757441262063,8.800124198862314,1.1190778658544687,1.1141907088476546
8g,row,769539383,30,30,target_head_only,0.7954176342952572,6.096476506067114,3.303496165621107,0.8016517728655415,11.890085821180445,6.954493814551312,0.7568379974379235,0.7566458742834494
8g,row,769539383,50,50,zero_shot,0.1843144015813427,12.173240539650303,8.858910165316814,0.47285983647235963,19.38357510211436,14.027986389934151,1.3857182434418716,1.3753011298467896
8g,row,769539383,50,50,column_mass_ratio_scaling,0.7717988166172356,6.4387824621326475,3.3014991251627603,0.7447221238343777,13.488927386829326,7.79699937682221,0.8281651854951989,0.8280927519269041
8g,row,769539383,50,50,scale_only,0.5806579407401546,8.728287000358407,5.374054157863608,0.6696110824949175,15.345589034033711,9.464948562395925,1.0339567052640637,1.0311167195863944
8g,row,769539383,50,50,affine,0.5998087549628683,8.526653170967895,4.28916143045266,0.6476567801540796,15.84724554607208,8.788598548062666,1.0350465028108462,1.033924300124216
8g,row,769539383,50,50,affine_condition_residual,0.6041063275564185,8.480746593648046,4.243920875994809,0.6574082690275269,15.626411834196663,8.46137164945587,1.0254695136753567,1.0241431094271394
8g,row,769539383,50,50,target_head_only,0.794821850918555,6.105347111282183,3.2896168769615275,0.8003984815216736,11.927591263600181,6.995067354838053,0.7585535784043218,0.7583752215077475
8g,row,769539383,70,70,zero_shot,0.1843144015813427,12.173240539650303,8.858910165316814,0.47285983647235963,19.38357510211436,14.027986389934151,1.3857182434418716,1.3753011298467896
8g,row,769539383,70,70,column_mass_ratio_scaling,0.7717988166172356,6.4387824621326475,3.3014991251627603,0.7447221238343777,13.488927386829326,7.79699937682221,0.8281651854951989,0.8280927519269041
8g,row,769539383,70,70,scale_only,0.6953682541737823,7.439305369650771,4.105204912255478,0.7570066390864165,13.160367946821532,7.500604763336026,0.8835930417889202,0.8813618364542207
8g,row,769539383,70,70,affine,0.7002966576666652,7.378882580254461,3.5974286678757093,0.7479729171042065,13.402765964963407,7.070663173578696,0.8865567483828547,0.8850666254725101
8g,row,769539383,70,70,affine_condition_residual,0.7013152687945408,7.366332488018168,3.5633116661850424,0.745495193467691,13.468487333252236,7.017554377904379,0.8876424590744851,0.8863142839394595
8g,row,769539383,70,70,target_head_only,0.7951478196607991,6.100495368052258,3.298909549989561,0.8039496992976931,11.82100998498587,6.868017834096714,0.7550032560554334,0.7547525424358443
8g,row,769539383,100,100,zero_shot,0.1843144015813427,12.173240539650303,8.858910165316814,0.47285983647235963,19.38357510211436,14.027986389934151,1.3857182434418716,1.3753011298467896
8g,row,769539383,100,100,column_mass_ratio_scaling,0.7717988166172356,6.4387824621326475,3.3014991251627603,0.7447221238343777,13.488927386829326,7.79699937682221,0.8281651854951989,0.8280927519269041
8g,row,769539383,100,100,scale_only,0.7151565080311986,7.193627690963725,3.8724059528269663,0.7858013707078542,12.356036184862152,6.748309691164792,0.8438493866201437,0.8407567306227597
