canonical_smiles,target_row_count,present_in_4g_canonical,present_in_fixed_4g_source_train,source_canonical_row_count
BrCc1ccccc1CBr,7,True,True,21
Brc1ccc(Br)c2ccccc12,7,True,True,21
Brc1ccc2occc2c1,7,True,True,21
Brc1ccccc1-c1ccccc1,7,True,True,42
C/C(=N\O)c1ccccc1,6,True,True,19
C=CC(=O)OCCOc1ccccc1,5,True,True,18
CC(=O)CC(=O)OC(C)(C)C,5,True,True,30
CC(=O)c1c(C)cc(C)cc1C,7,True,True,19
CC(=O)c1ccc(Br)cc1,7,True,True,7
CC(=O)c1ccc(C)cc1,3,True,True,27
CC(=O)c1ccccc1,4,True,True,26
CC(=O)c1ccccc1Br,7,True,True,21
CC(=O)c1ccccc1C,3,True,True,23
CC(Br)C(=O)OC(C)(C)C,6,True,True,21
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,7,True,True,21
CC(C)C(=O)c1ccccc1,7,True,True,42
CC(C)COC(=O)c1ccccc1,4,True,True,34
CC(C)c1ccccc1O,7,True,True,21
CC1CCC(=O)c2ccccc21,7,True,True,7
CCC(=O)c1cccc(Br)c1,7,True,True,7
CCC(O)c1ccccc1,5,True,True,18
CCCC(=O)c1ccc(-c2ccccc2)cc1,6,True,True,7
CCCCC(=O)c1ccccc1,5,True,True,27
CCCCCCCCCCCCc1cc(Br)sc1Br,7,True,True,21
CCOC(=O)/C=C(/C)N,8,True,True,42
CCOC(=O)/C=C/c1ccccc1,6,True,True,24
CCOC(=O)C(C(=O)OCC)c1ccccc1,5,True,True,27
CCOC(=O)C(C)(C)Br,7,True,True,20
CCOC(=O)C(C)Br,2,True,True,13
CCOC(=O)C(Cc1ccccc1)C(C)=O,6,True,True,21
CCOC(=O)CC(=O)c1ccccc1,5,True,True,30
CCOC(=O)Cc1ccccc1,11,True,True,23
CCOC(=O)c1ccc(OC)cc1,7,True,True,21
CCOC(=O)c1ccccc1,19,False,False,0
CCOC(=O)c1ccccc1N,5,True,True,30
CCOC(=O)c1cccnc1,4,True,True,14
COC(=O)C#CC(=O)OC,4,True,True,17
COC(=O)CC(=O)C1CC1,5,True,True,18
COC(=O)CC(C)=O,4,True,True,20
COC(=O)Cc1ccc(Br)cc1,7,True,True,21
COC(=O)Cc1cccc2ccccc12,6,True,True,21
COC(=O)c1ccc(C(C)(C)C)cc1,3,True,True,21
COC(=O)c1ccc(Cl)cc1,7,True,True,21
COC(=O)c1ccccc1N,6,True,True,28
COC(=O)c1ccccc1O,12,True,True,20
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,5,True,True,6
COCCOC(=O)CC(C)=O,3,True,True,12
COc1ccc(Br)c(C)c1,7,True,True,21
COc1ccc(Br)cc1,7,True,True,21
COc1ccc(CO)cc1,3,True,True,7
COc1ccc(OC)c(Br)c1,7,True,True,21
COc1cccc(OC)c1C=O,4,True,True,24
CSc1ccc(C=O)cc1,6,True,True,7
Cc1ccc(C=O)c(C)c1,7,True,True,21
Cc1ccc(Cl)cc1Br,7,True,True,21
Cc1cccc(C=O)c1Br,7,True,True,21
Cc1ccccc1C#N,7,True,True,20
Cc1ccccc1C=O,7,True,True,7
Clc1cccc(Br)c1,7,True,True,21
FC(F)(F)Oc1ccc(I)c(Br)c1,7,True,True,20
FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1,7,True,True,21
Ic1ccc(I)cc1,7,True,True,21
N#Cc1ccccc1Br,6,True,True,21
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,6,True,True,7
O=C(/C=C/c1ccccc1)c1ccccc1,7,True,True,7
O=C(CCCCl)c1ccc(F)cc1,7,True,True,7
O=C(Cc1ccccc1)c1ccccc1,7,True,True,7
O=C(Cc1ccccc1F)C1CC1,7,True,True,7
O=C(c1ccccc1)C1CCCCC1,7,True,True,21
O=C(c1ccccc1)c1ccc(Cl)cc1,7,True,True,21
O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,6,True,True,7
O=C1CCCc2ccccc21,7,True,True,7
O=Cc1c(F)cccc1F,5,True,True,21
O=Cc1cc(Cl)ccc1Br,6,True,True,21
O=Cc1ccc(-c2ccccc2)cc1,7,True,True,6
O=Cc1ccc(Br)cc1O,6,True,True,7
O=Cc1ccc2c(c1)CCO2,5,True,True,12
O=Cc1ccc2ccccc2c1Br,7,True,True,7
