CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2,source_row_1based,sample_id,decision,decision_reason,quality_flags,label_source,V1_ml,V2_ml
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,0/1,30,2023-10-30_20-00-41.xlsx,Silica-CS 40g,1241,2163,CCOC(=O)/C=C/C1=CC=CC=C1,1241,2163,2,57bcc79ddb88e585e433,keep,,,verified_t1_t2,31.025,54.075
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,1/1,30,2023-10-30_20-05-49.xlsx,Silica-CS 40g,1288,1946,CCOC(=O)/C=C/C1=CC=CC=C1,1288,1946,3,0defe74121fd2cc056a9,keep,,,verified_t1_t2,32.2,48.65
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,2/1,30,2023-10-30_20-11-32.xlsx,Silica-CS 40g,1504,2273,CCOC(=O)/C=C/C1=CC=CC=C1,1504,2273,4,d77499b6e2eaf950c51e,keep,,,verified_t1_t2,37.6,56.825
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,5/1,30,2023-10-30_20-18-21.xlsx,Silica-CS 40g,1827,2908,CCOC(=O)/C=C/C1=CC=CC=C1,1827,2908,5,16e1201373d47de97027,keep,,,verified_t1_t2,45.675,72.7
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,10/1,30,2023-10-30_20-26-35.xlsx,Silica-CS 40g,2357,3775,CCOC(=O)/C=C/C1=CC=CC=C1,2357,3775,6,6f6340b30a916be701cf,keep,,,verified_t1_t2,58.925,94.375
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,20/1,30,2023-10-30_20-37-05.xlsx,Silica-CS 40g,3323,5146,CCOC(=O)/C=C/C1=CC=CC=C1,3323,5146,7,7d976bbe5a51508b1c3b,keep,,,verified_t1_t2,83.075,128.65
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,50/1,30,2023-10-30_20-54-47.xlsx,Silica-CS 40g,6370,9432,CCOC(=O)/C=C/C1=CC=CC=C1,6370,9432,8,46ce843148f5f1efa0a6,keep,,,verified_t1_t2,159.25,235.8
26537-19-9,Methyl 4-tert-butylbenzoate,0.99,0.995,100,PE,300,0/1,30,2023-10-31_09-26-33.xlsx,Silica-CS 40g,1031,2351,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,1031,2351,9,6bc1f063057ff5a6f53b,keep,,,verified_t1_t2,25.775,58.775
26537-19-9,Methyl 4-tert-butylbenzoate,0.99,0.995,100,PE,300,1/1,30,2023-10-31_09-31-20.xlsx,Silica-CS 40g,1214,1822,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,1214,1822,10,39f83f45ff848c0d07c5,keep,,,verified_t1_t2,30.35,45.55
26537-19-9,Methyl 4-tert-butylbenzoate,0.99,0.995,100,PE,300,2/1,30,2023-10-31_09-36-17.xlsx,Silica-CS 40g,1389,1932,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,1389,1932,11,2c25c3255cb2a14dd1d9,keep,,,verified_t1_t2,34.725,48.3
