column,protocol,method,reference,mean_delta,median_delta,std_delta,wins,seeds,stable_improvement,affine_mean,relative_mean_delta
25g,compound,affine_condition_residual,affine,-0.026618539731403844,-0.030454025835763954,0.02041947173974076,5,5,True,1.6753129877870319,-0.015888696575178482
25g,compound,column_mass_ratio_scaling,affine,0.6632670724020435,0.7286017559272031,0.45247295820104666,1,5,False,1.6753129877870319,0.3959063633107576
25g,compound,scale_only,affine,-0.06787892468386669,0.10758028022931465,0.37204808903427405,1,5,False,1.6753129877870319,-0.0405171601836203
25g,compound,target_head_only,affine,1.3746979450402466,1.5145909091091898,0.5322809397751943,0,5,False,1.6753129877870319,0.8205618622082813
25g,compound,zero_shot,affine,3.2140391078875865,3.287062300787729,0.6352844594267792,0,5,False,1.6753129877870319,1.9184708357887807
25g,row,affine_condition_residual,affine,-0.035503994768521355,-0.03408814104326274,0.013866380630639484,5,5,True,2.08828285269644,-0.017001525785971836
25g,row,column_mass_ratio_scaling,affine,0.5706968704584774,0.6132869016393006,0.19237613858818225,0,5,False,2.08828285269644,0.27328523514981706
25g,row,scale_only,affine,-0.028162769044111212,0.07304087354195188,0.25545036012164074,1,5,False,2.08828285269644,-0.013486089304304146
25g,row,target_head_only,affine,1.2878432568910672,1.358680313228699,0.19570397186993305,0,5,False,2.08828285269644,0.6166996272694446
25g,row,zero_shot,affine,3.0489704549978436,3.0926536354865175,0.2104151100644504,0,5,False,2.08828285269644,1.4600371070714586
40g,compound,affine_condition_residual,affine,-0.01636698537993846,-0.055083944711388,0.07744484735041067,3,5,False,3.9158491993151294,-0.004179677139457004
40g,compound,column_mass_ratio_scaling,affine,0.41433157999153786,0.6970343781337696,0.8069718248422586,1,5,False,3.9158491993151294,0.10580887028642555
40g,compound,scale_only,affine,-0.314651080165552,0.02375523974757643,0.7666207935439387,2,5,False,3.9158491993151294,-0.0803532169268887
40g,compound,target_head_only,affine,3.8031582482533737,4.095517115210717,1.0785745913675386,0,5,False,3.9158491993151294,0.9712218358456027
40g,compound,zero_shot,affine,5.720033723299641,5.967365928642732,1.171651435171647,0,5,False,3.9158491993151294,1.4607390203637205
40g,row,affine_condition_residual,affine,-0.08949327213897265,-0.07103501498246034,0.04414041270909696,5,5,True,3.320132334601902,-0.026954730450436483
40g,row,column_mass_ratio_scaling,affine,1.051424401651045,1.2252791008356239,0.4134313131592051,0,5,False,3.320132334601902,0.3166814740163408
40g,row,scale_only,affine,0.3147359721086326,0.4433217639091902,0.20790291626080726,0,5,False,3.320132334601902,0.09479621303901152
40g,row,target_head_only,affine,4.644259326814074,4.238270090670559,0.7179735702122249,0,5,False,3.320132334601902,1.3988175345941267
40g,row,zero_shot,affine,6.5744278900489075,6.147565977001788,0.9026789524741173,0,5,False,3.320132334601902,1.9801704352357419
8g,compound,affine_condition_residual,affine,0.0538968898175467,0.0051232568335937145,0.11103291035902857,1,5,False,0.8500906582151615,0.06340134348812615
8g,compound,column_mass_ratio_scaling,affine,-0.16768665186209492,-0.0925940188699147,0.2669816114914747,4,5,True,0.8500906582151615,-0.19725737513004493
8g,compound,last2,affine,0.08009756565961512,0.1235636784880596,0.20156252221995752,1,5,False,0.8500906582151615,0.09422238073735201
8g,compound,scale_only,affine,-0.11520098132556503,-0.11608907036381344,0.10473909099902101,4,5,True,0.8500906582151615,-0.13551611256079368
8g,compound,target_head_only,affine,-0.1250829061883904,-0.037678412599815636,0.26175946906126835,3,5,False,0.8500906582151615,-0.1471406666802018
8g,compound,zero_shot,affine,0.6567245470902285,0.6935608551215293,0.23319217757879396,0,5,False,0.8500906582151615,0.7725347182017954
8g,row,affine_condition_residual,affine,0.02616917057598813,0.006412011819982855,0.046511362431929715,2,5,False,0.789131685627039,0.0331619817739219
8g,row,column_mass_ratio_scaling,affine,-0.052594188923721516,-0.06431936037520392,0.0791544172931931,4,5,True,0.789131685627039,-0.06664817784110458
8g,row,scale_only,affine,-0.05947698187750028,-0.04891069005970161,0.06632010733230458,4,5,True,0.789131685627039,-0.07537016059650456
8g,row,target_head_only,affine,-0.11015168523186677,-0.12100364645278039,0.1295646187912472,4,5,True,0.789131685627039,-0.13958593633753402
8g,row,zero_shot,affine,0.7240401108035719,0.7320557420914935,0.22205944678364964,0,5,False,0.789131685627039,0.9175149395100696
