column,protocol,seed,planned_budget,target,slope,intercept
8g,row,769539383,30,V1,3.1740530892844783,-6.556599643257676
8g,row,769539383,30,V2,2.3744561755484237,-9.117352793128095
8g,row,769539383,50,V1,2.9490546946153713,-5.902292311761603
8g,row,769539383,50,V2,2.330446441654113,-9.048318156450316
8g,row,769539383,70,V1,2.6222964945954326,-3.74045448964589
8g,row,769539383,70,V2,2.08868910254558,-5.031236022898509
8g,row,769539383,100,V1,2.5228499867695393,-2.610697984577719
8g,row,769539383,100,V2,2.0043785341670968,-3.9395322628054306
8g,row,1425370602,30,V1,1.3076117975519101,2.9640602033060977
8g,row,1425370602,30,V2,1.1708824506941087,4.66819875587181
8g,row,1425370602,50,V1,2.166025823482342,-1.3962704937979828
8g,row,1425370602,50,V2,1.5830400022668034,0.5460434396944769
8g,row,1425370602,70,V1,2.6679087797991556,-4.589896346663614
8g,row,1425370602,70,V2,2.10845608208502,-6.490972615282002
8g,row,1425370602,100,V1,2.4307285854254044,-2.8826432393824657
8g,row,1425370602,100,V2,1.9563815108007507,-4.2929729021895495
8g,row,536279090,30,V1,2.4455780260748203,-1.7369514603842189
8g,row,536279090,30,V2,1.833743049663064,-0.5890465129985842
8g,row,536279090,50,V1,3.4158289708854963,-7.254349256605808
8g,row,536279090,50,V2,1.9921585039453868,-1.1422461261030104
8g,row,536279090,70,V1,2.876263898196564,-4.349792251722292
8g,row,536279090,70,V2,1.7262384522647767,1.9838324050775011
8g,row,536279090,100,V1,2.833658481384172,-4.294075806273752
8g,row,536279090,100,V2,1.7340516241824828,1.471143535234034
8g,row,2767143051,30,V1,2.0806596971662663,1.7878779617237193
8g,row,2767143051,30,V2,1.7342905364374919,3.0161045819190435
8g,row,2767143051,50,V1,2.1339704267453214,0.5398823338351728
8g,row,2767143051,50,V2,1.7373599880002828,1.7349123127558854
8g,row,2767143051,70,V1,2.1636026003620152,0.6308403028556933
8g,row,2767143051,70,V2,1.63276622350094,3.9807913900064
8g,row,2767143051,100,V1,2.4418285770807966,-1.162780023980878
8g,row,2767143051,100,V2,1.7808908273462372,1.980037159680069
8g,row,1362771960,30,V1,2.857933565678524,-5.085803797409363
8g,row,1362771960,30,V2,2.352470844736215,-7.860790533566798
8g,row,1362771960,50,V1,2.669693787331273,-4.443128848598647
8g,row,1362771960,50,V2,2.224211500569338,-7.840086953853343
8g,row,1362771960,70,V1,2.587047969520616,-4.1562094476144855
8g,row,1362771960,70,V2,2.1654397557360663,-6.6322024436258955
8g,row,1362771960,100,V1,2.4831981378345316,-2.13152832060064
8g,row,1362771960,100,V2,1.9589911657488557,-2.277191616343265
8g,compound,769539383,30,V1,5.239290284818678,-17.17052189551259
8g,compound,769539383,30,V2,2.9286562611751483,-12.526544390327395
8g,compound,769539383,50,V1,3.147006544412972,-3.7453513338742326
8g,compound,769539383,50,V2,1.7310968456673346,4.788851362116083
8g,compound,769539383,70,V1,3.2924135411516877,-5.322505429792771
8g,compound,769539383,70,V2,2.0725840745869983,-1.94117974566988
8g,compound,769539383,100,V1,3.276347728214004,-6.271104700429349
8g,compound,769539383,100,V2,2.0694228559165255,-2.947927601720924
8g,compound,1425370602,30,V1,1.676917010061168,7.029021977185091
8g,compound,1425370602,30,V2,1.3274731751189448,13.334900947016054
8g,compound,1425370602,50,V1,1.7200460054806355,3.601711302644073
8g,compound,1425370602,50,V2,1.3630745813918261,7.090811481593232
8g,compound,1425370602,70,V1,1.741729334105992,3.063601738527747
8g,compound,1425370602,70,V2,1.3648612836117895,6.189119589767559
8g,compound,1425370602,100,V1,1.888032424053541,1.7095696749769174
8g,compound,1425370602,100,V2,1.4395965494465925,4.88354799817175
8g,compound,536279090,30,V1,0.8071631312095876,5.631647141947524
8g,compound,536279090,30,V2,1.4143364820197684,2.501008867384426
8g,compound,536279090,50,V1,2.618314645434389,-3.0829409378379187
8g,compound,536279090,50,V2,1.6679973041581457,0.5351930871009941
8g,compound,536279090,70,V1,2.700169278262138,-3.408841741877612
8g,compound,536279090,70,V2,1.699899696476518,0.13382085806000887
8g,compound,536279090,100,V1,2.3740960539649607,-1.4938452868375383
8g,compound,536279090,100,V2,1.8178982192690456,-1.0886333939555726
8g,compound,2767143051,30,V1,2.561959288445312,-0.7269039083520416
8g,compound,2767143051,30,V2,1.5973499324193372,4.8759417362838695
8g,compound,2767143051,50,V1,2.541585171255702,-1.8140881433600013
8g,compound,2767143051,50,V2,1.7404992703471573,0.7156181391469592
8g,compound,2767143051,70,V1,2.7407438029880993,-4.805362858894843
8g,compound,2767143051,70,V2,1.8646359831942068,-2.8732824312962437
8g,compound,2767143051,100,V1,2.5828727889571232,-3.90931873751525
8g,compound,2767143051,100,V2,1.7610060176939755,-1.472768657509629
8g,compound,1362771960,30,V1,1.8100722023657143,1.6643187407972952
8g,compound,1362771960,30,V2,1.779894685397308,2.1724030287843736
8g,compound,1362771960,50,V1,2.3334886940530355,-2.4784469690159434
8g,compound,1362771960,50,V2,1.761120164413754,0.7611449240176157
8g,compound,1362771960,70,V1,2.328906648576661,-2.5311020825781267
8g,compound,1362771960,70,V2,1.776002181940571,-0.6786460603153751
8g,compound,1362771960,100,V1,2.2675220443959514,-1.867744536859102
