column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,Center_rmse,Width_rmse,Var_eC,Var_eW,Cov_eC_eW
25g,compound,769539383,M3_CENTER_WIDTH_FULL,7.432202185141867,4.642513874201964,0.459731387449292,10.278727466072871,6.969634132149729,0.7155486256165826,0.8057410426463933,0.8057410426463933,0.7912884043129824,0.7912884043129824,True,7.178217780872947,10.755114748188168,51.211019019620224,113.36635428881962,24.353923543527067
25g,compound,769539383,HIER_CW_25G_40G,7.620864596171942,4.630703798680305,0.4319544043386606,9.971376977444779,6.973179147247329,0.7323054033678986,0.8124333862879399,0.8124333862879399,0.7937008943564605,0.7937008943564605,True,7.060943361537582,10.751008669870876,49.73628112706471,113.64337491088406,20.19151100197609
25g,compound,769539383,HIER_CW_8G_25G_40G,7.748465348544148,4.682497504071444,0.41277289068388134,9.990081416446014,7.17227080852141,0.7313001714053694,0.8225346613396116,0.8225346613396116,0.8023794711099799,0.8023794711099799,True,7.133423150604481,10.77673329665808,50.79012466312656,115.55957937562492,20.116656391292025
25g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,7.609551833091269,5.102283638517969,0.4336396187952585,10.4611937105212,7.4346643384371465,0.7053599210614097,0.8234210233969895,0.8234210233969895,0.8082169749801171,0.8082169749801171,True,7.417702794882038,10.704879582989197,54.93854983959452,113.38999451334338,26.08328057304693
25g,compound,769539383,M3_LATENT_TINY_ADAPTER,7.430482527776395,4.6428147328283025,0.4599813724177325,10.280395074961417,6.97504376219222,0.7154563200036279,0.805654473591531,0.805654473591531,0.7912311490446962,0.7912311490446962,True,7.17694189626331,10.759331162131044,51.203829182700645,113.47198415801567,24.401727942301342
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,6.734271071264012,4.9098310458661185,0.5564495306421996,9.313509685515168,7.581144861987654,0.7196821729599427,0.7300773258617879,0.7300773258617879,0.7169820119270618,0.7169820119270618,True,7.555843838103083,5.985034220762239,55.33867496022183,34.474796583980094,19.15993538577863
25g,compound,1425370602,HIER_CW_25G_40G,6.73070690329157,4.915868809951324,0.5569189118153891,9.036499738790447,7.2074974308212525,0.7361090736751152,0.7230440527498285,0.7230440527498285,0.7081404858666669,0.7081404858666669,True,7.398721628058004,5.912457947113041,51.97730592419866,32.90031197886211,15.79370272026227
25g,compound,1425370602,HIER_CW_8G_25G_40G,6.817609703971364,4.997316522079364,0.5454034604497213,9.351173661404335,7.56198438311689,0.7174103694490724,0.7372027200385306,0.7372027200385306,0.7234416228567481,0.7234416228567481,True,7.588111857742181,6.126233392584987,51.85693762352904,33.00960927834636,15.395854758735128
25g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,6.6063768240988345,4.8273791097101695,0.5731369733289507,9.17671489697069,7.340848616707521,0.7278561933257006,0.7172027314340145,0.7172027314340145,0.7046120507592029,0.7046120507592029,True,7.447479776012447,5.818316081830753,54.207137712296074,31.770960592751077,18.665739253683387
25g,compound,1425370602,M3_LATENT_TINY_ADAPTER,6.682775901738165,4.896374056192639,0.5632070187163125,9.300995476786571,7.573051706043965,0.7204349716712571,0.7259465262788373,0.7259465262788373,0.7133252026534318,0.7133252026534318,True,7.533187040250445,5.944778657824383,53.84240163225195,33.307199034589104,18.49356729532194
