column,protocol,method,reference,n_pairs,combined_nrmse_delta_mean,relative_gain,wins
25g,compound,HIER_CW_25G_40G,M3_CENTER_WIDTH_FULL,5,-0.015591012312884244,0.021679944186408277,3
25g,compound,HIER_CW_8G_25G_40G,M3_CENTER_WIDTH_FULL,5,-0.01445941265608539,0.02010640829865299,2
25g,compound,M3_LATENT_RESIDUAL_RIDGE,M3_CENTER_WIDTH_FULL,5,0.013900967951373655,-0.01932986795692415,2
25g,compound,M3_LATENT_TINY_ADAPTER,M3_CENTER_WIDTH_FULL,5,0.0009776397190344398,-0.001359448258889967,2
25g,row,HIER_CW_25G_40G,M3_CENTER_WIDTH_FULL,5,-0.006779395464688642,0.007629310871393802,3
25g,row,HIER_CW_8G_25G_40G,M3_CENTER_WIDTH_FULL,5,0.006641408295702411,-0.007474024605244722,2
25g,row,M3_LATENT_RESIDUAL_RIDGE,M3_CENTER_WIDTH_FULL,5,-0.0388764892152359,0.043750334872232614,4
25g,row,M3_LATENT_TINY_ADAPTER,M3_CENTER_WIDTH_FULL,5,-0.014016822100188087,0.015774075105717298,3
40g,compound,HIER_CW_25G_40G,M3_CENTER_WIDTH_FULL,5,-0.07350675081283206,0.04279257291074463,5
40g,compound,HIER_CW_8G_25G_40G,M3_CENTER_WIDTH_FULL,5,-0.06947634038325949,0.040446235598041634,5
40g,compound,M3_LATENT_RESIDUAL_RIDGE,M3_CENTER_WIDTH_FULL,5,-0.08661652169859609,0.050424536237496397,5
40g,compound,M3_LATENT_TINY_ADAPTER,M3_CENTER_WIDTH_FULL,5,-0.09212884961941943,0.05363358427527999,4
40g,row,HIER_CW_25G_40G,M3_CENTER_WIDTH_FULL,5,-0.0012596451289777822,0.0008421684572891695,2
40g,row,HIER_CW_8G_25G_40G,M3_CENTER_WIDTH_FULL,5,0.0032871726463382434,-0.002197724623169375,3
40g,row,M3_LATENT_RESIDUAL_RIDGE,M3_CENTER_WIDTH_FULL,5,-0.05481157953584219,0.0366457046650454,5
40g,row,M3_LATENT_TINY_ADAPTER,M3_CENTER_WIDTH_FULL,5,-0.03600052841546923,0.024069088015173355,5
