column,protocol,method,V1_rmse_mean,V1_mae_mean,V1_r2_mean,V2_rmse_mean,V2_mae_mean,V2_r2_mean,combined_normalized_rmse_mean,normalized_rmse_mean,nrmse_mean,combined_nrmse_mean,all_outputs_finite_mean,Center_rmse_mean,Width_rmse_mean,Var_eC_mean,Var_eW_mean,Cov_eC_eW_mean
25g,compound,HIER_CW_25G_40G,6.556242903362114,4.463470164627433,0.5737310246323419,8.770348692358041,6.666996264674978,0.7710037047532966,0.7035534734307024,0.7035534734307024,0.6887923182883237,0.6887923182883237,1.0,6.934076352905455,6.643101968941549,46.194948617139445,46.306764194333674,15.52108817931032
25g,compound,HIER_CW_8G_25G_40G,6.562978132568249,4.496197617408144,0.571132984104301,8.795382713362896,6.834539293671305,0.7674766012876889,0.7046850730875013,0.7046850730875013,0.6899982890980336,0.6899982890980336,1.0,6.932537644788527,6.747537904028848,45.92233234006592,46.96327977456694,15.249815083466256
25g,compound,M3_CENTER_WIDTH_FULL,6.62425232409006,4.5159336660464495,0.5679352496038244,9.19946215350637,6.893199188091174,0.7499031339890039,0.7191444857435867,0.7191444857435867,0.7064538008314865,0.7064538008314865,1.0,7.204459568795206,6.773827214636,50.500159395302916,47.63264531115588,19.064350192212935
25g,compound,M3_LATENT_RESIDUAL_RIDGE,6.787968291906462,4.757845944095048,0.5416572404022043,9.267874679450511,6.92381071677057,0.7448791952142684,0.7330454536949603,0.7330454536949603,0.7189700363819302,0.7189700363819302,1.0,7.349435790562206,6.688862733053452,52.47803798490405,46.779089608436024,18.681932541776053
25g,compound,M3_LATENT_TINY_ADAPTER,6.629070768291649,4.524717069063362,0.5675033291403626,9.224480194826556,6.909466201455103,0.7486783425207054,0.7201221254626212,0.7201221254626212,0.7075376459757419,0.7075376459757419,1.0,7.2222126879803294,6.771840365084067,50.47785590191665,47.42993032693539,19.041798165466346
25g,row,HIER_CW_25G_40G,8.131997168232036,4.518097828747608,0.1514330855653692,11.23130152549043,7.213245361016119,0.5096064426430249,0.881819270780263,0.881819270780263,0.8653198317376948,0.8653198317376948,1.0,9.193565788596265,6.656017122538627,88.22870802645006,43.99135706930118,30.195790927842488
25g,row,HIER_CW_8G_25G_40G,8.216069944539152,4.556821956709319,0.12434544986003977,11.519896455265513,7.416482694673627,0.48129554831721294,0.8952400745406541,0.8952400745406541,0.8796303008653197,0.8796303008653197,1.0,9.366453106872411,6.844361602647747,91.67072706858343,45.85238518554149,32.304867626162675
25g,row,M3_CENTER_WIDTH_FULL,8.080615139779223,4.62139721461979,0.17468179932829062,11.645691075973948,7.5706284157173,0.4761762461648126,0.8885986662449517,0.8885986662449517,0.874947454459978,0.874947454459978,1.0,9.27707058921963,7.338453521047318,88.09090266196499,49.205286894889916,32.70009393194228
25g,row,M3_LATENT_RESIDUAL_RIDGE,7.7487953592397885,4.484279799970638,0.2581718949563531,11.07517318414248,7.040050633495673,0.5268001181433288,0.8497221770297158,0.8497221770297158,0.8361481529832222,0.8361481529832222,1.0,8.908488878574051,6.819063376494357,82.03393083713141,46.24482668699984,32.058675685537864
25g,row,M3_LATENT_TINY_ADAPTER,7.991853981534365,4.607406821846798,0.19660147812587325,11.348220483440883,7.295500843431768,0.5056512818992155,0.8745818441447636,0.8745818441447636,0.8600634418372989,0.8600634418372989,1.0,9.176149622336082,6.840198192459593,86.82819063090044,46.44084351579972,32.60490558845345
40g,compound,HIER_CW_25G_40G,15.42629375479945,9.94361794027262,0.6852073147138779,20.11299759080132,13.351335901692826,0.7097049093653419,1.644238778677766,1.644238778677766,1.6044080395821616,1.6044080395821616,1.0,17.200993603419477,10.1374104938598,298.5766063060437,101.01744751820115,82.74379809854968
40g,compound,HIER_CW_8G_25G_40G,15.437033006817064,9.94567382243692,0.6849204273201768,20.24941928727258,13.48416719534668,0.7058617913074106,1.6482691891073382,1.6482691891073382,1.6093323828563704,1.6093323828563704,1.0,17.238030086365335,10.450636087078943,299.8818200736813,105.64027030400776,84.78108593473794
40g,compound,M3_CENTER_WIDTH_FULL,15.99360376769738,10.400114391233732,0.6623638308133193,21.411090116495146,14.748912402613623,0.6713457614443269,1.7177455294905979,1.7177455294905979,1.6807787625367023,1.6807787625367023,1.0,17.686155506667237,13.327439979540292,309.775471360896,136.95891464188094,85.13526054123244
40g,compound,M3_LATENT_RESIDUAL_RIDGE,15.405835786569941,9.935244580964966,0.6863831526618888,19.637585499172324,12.952023017813712,0.7233438175531086,1.6311290077920018,1.6311290077920018,1.588323965144324,1.588323965144324,1.0,16.922891590963665,10.04247208333483,288.729226842274,97.81014685830255,74.20201319260227
