focal_column,protocol,seed,focal_target_train_rows,8g_donor_rows,25g_donor_rows,40g_donor_rows,total_target_supervision_rows,focal_validation_rows,focal_test_rows,donor_outer_test_rows_used
25g,compound,769539383,310,437,310,367,1114,6,92,0
40g,compound,769539383,367,437,310,367,1114,7,82,0
25g,compound,1425370602,318,431,318,363,1112,6,84,0
40g,compound,1425370602,363,431,318,363,1112,7,86,0
25g,compound,536279090,306,429,306,359,1094,7,95,0
40g,compound,536279090,359,429,306,359,1094,7,90,0
25g,compound,2767143051,334,440,334,360,1134,6,68,0
40g,compound,2767143051,360,440,334,360,1134,7,89,0
25g,compound,1362771960,311,433,311,355,1099,6,91,0
40g,compound,1362771960,355,433,311,355,1099,7,94,0
25g,row,769539383,320,433,320,364,1117,5,83,0
40g,row,769539383,364,433,320,364,1117,5,87,0
25g,row,1425370602,327,431,327,354,1112,7,74,0
40g,row,1425370602,354,431,327,354,1112,6,96,0
25g,row,536279090,326,437,326,348,1111,8,74,0
40g,row,536279090,348,437,326,348,1111,8,100,0
25g,row,2767143051,320,433,320,359,1112,5,83,0
40g,row,2767143051,359,433,320,359,1112,7,90,0
25g,row,1362771960,315,434,315,361,1110,7,86,0
40g,row,1362771960,361,434,315,361,1110,8,87,0
