column,protocol,seed,method,n_train,n_valid,n_test,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,center_rmse,center_mae,width_rmse,width_mae
25g,compound,769539383,conditional_EA,310,6,92,7.662421737110383,4.987177277670784,0.4257423232362104,10.331735614158458,7.0303875241353255,0.7126071875017599,0.8242067910690215,0.8242067910690215,0.8075454971826281,0.8075454971826281,True,,,,
25g,compound,769539383,scale_only,310,6,92,8.208417943162745,5.253904901064257,0.34098753643775803,10.402792634399635,7.320271453642575,0.7086404771969992,0.8671501134898181,0.8671501134898181,0.8444013897919587,0.8444013897919587,True,,,,
25g,compound,769539383,paper_style_current_v2,310,6,92,8.610779832714705,5.96877593478261,0.2747968595115893,12.079870883730772,9.051772358695652,0.6071254298885242,0.9377582676077736,0.9377582676077736,0.9220923488901895,0.9220923488901895,True,,,,
25g,compound,769539383,M3_CENTER_WIDTH_FULL,310,6,92,7.432202185141867,4.642513874201964,0.459731387449292,10.278727466072871,6.969634132149729,0.7155486256165826,0.8057410426463933,0.8057410426463933,0.7912884043129824,0.7912884043129824,True,7.178217780872947,4.9629665919350625,10.755114748188168,5.718500413871235
25g,compound,769539383,MASS_FLOW_SHARED,310,6,92,7.7185523273450185,4.8068474352014,0.4172981301570171,12.31461796495079,8.14084980189769,0.5917076707123151,0.8792847513851251,0.8792847513851251,0.8727774130825037,0.8727774130825037,True,8.41811712235075,5.672019388433129,11.789527037283744,6.1834592776743715
25g,compound,769539383,ALL_CONTEXT_SHARED_CENTER_WIDTH,310,6,92,7.486984876929976,4.5703389552584435,0.4517374042107435,10.544306377057119,7.081951878001832,0.7006595777937525,0.8163938642998697,0.8163938642998697,0.803024457510026,0.803024457510026,True,7.258144942722463,4.865236159625958,11.124387938353301,5.887256344465983
25g,compound,1425370602,conditional_EA,318,6,84,7.02756273780406,5.100833363915102,0.5169730991191115,9.269465501397097,7.502570486164221,0.7223271858528748,0.7509547803507873,0.7509547803507873,0.7342228640905534,0.7342228640905534,True,,,,
25g,compound,1425370602,scale_only,318,6,84,7.7650245195305185,5.828696730167336,0.41027774393071914,9.209304587109056,7.385605842299219,0.7259198073700361,0.805997403001826,0.805997403001826,0.7791470678245223,0.7791470678245223,True,,,,
25g,compound,1425370602,paper_style_current_v2,318,6,84,7.771793384440876,5.694917714285714,0.4092491598987703,9.950273927874415,7.420532904761904,0.6800412063686538,0.8233731091588542,0.8233731091588542,0.8026216766980729,0.8026216766980729,True,,,,
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,318,6,84,6.734271071264012,4.9098310458661185,0.5564495306421996,9.313509685515168,7.581144861987654,0.7196821729599427,0.7300773258617879,0.7300773258617879,0.7169820119270618,0.7169820119270618,True,7.555843838103083,6.012517818256259,5.985034220762239,4.571811745968775
25g,compound,1425370602,MASS_FLOW_SHARED,318,6,84,7.013145961883674,4.823681843534168,0.518952888693601,10.251492656023144,7.218901097584189,0.6603761454474734,0.7742022244070821,0.7742022244070821,0.7638503544348687,0.7638503544348687,True,8.134964360983515,5.7490677130756325,6.621484372893723,4.593461251941227
25g,compound,1425370602,ALL_CONTEXT_SHARED_CENTER_WIDTH,318,6,84,6.679611573842446,4.758714825035911,0.5636205681175491,9.007941153488767,6.88491868141756,0.7377744182129904,0.7185247714223738,0.7185247714223738,0.7040100476308784,0.7040100476308784,True,7.34624386146528,5.54463073668287,5.970865407609506,4.383327921846726
25g,compound,536279090,conditional_EA,306,7,95,6.321242856988674,4.20085073184729,0.4771000706700983,10.170147990426667,7.833606694935429,0.5913322616369545,0.7224112330481083,0.7224112330481083,0.7174160503351904,0.7174160503351904,True,,,,
25g,compound,536279090,scale_only,306,7,95,6.890786897379408,4.616368860553823,0.3786285859133096,7.883828109730081,6.354028859828371,0.7544216354237376,0.7089578095960976,0.7089578095960976,0.6824487241351906,0.6824487241351906,True,,,,
25g,compound,536279090,paper_style_current_v2,306,7,95,7.298216560392217,5.105643505263158,0.30297697667678825,9.571471823090397,7.469037031578949,0.6380294317585585,0.7785659423685013,0.7785659423685013,0.7607898558161894,0.7607898558161894,True,,,,
25g,compound,536279090,M3_CENTER_WIDTH_FULL,306,7,95,5.8478554966256375,3.9620118713777095,0.5524857218231966,7.733379445384753,6.180716349130538,0.7637050453483767,0.6253702621225713,0.6253702621225713,0.6115908644983273,0.6115908644983273,True,6.136699021868869,4.839073707454755,6.113006099408279,4.410496876084514
25g,compound,536279090,MASS_FLOW_SHARED,306,7,95,6.375107440646811,4.163233630361539,0.46815063120057954,8.350849348386044,5.77354337220642,0.7244647881517695,0.679852333594338,0.679852333594338,0.6642514881254248,0.6642514881254248,True,6.814202032190725,4.673864687876889,5.9181046033684686,3.7969817381900715
25g,compound,536279090,ALL_CONTEXT_SHARED_CENTER_WIDTH,306,7,95,5.896426355774652,3.934380029672994,0.5450209612546895,7.342888506849754,5.54173500340744,0.7869656295038071,0.6199132682689042,0.6199132682689042,0.6025281377553289,0.6025281377553289,True,6.035634615999945,4.478359639320547,5.626381600529158,3.7724524264582042
25g,compound,2767143051,conditional_EA,334,6,68,7.068383886547529,4.943161739908926,0.5785795610507586,8.77893322211561,6.381602777908242,0.7957205911209413,0.7425896593781075,0.7425896593781075,0.7215569695814761,0.7215569695814761,True,,,,
25g,compound,2767143051,scale_only,334,6,68,7.395413998411325,5.29303154823409,0.5386820846874859,8.472357425700888,6.375643984185355,0.809739059253814,0.761116940768347,0.761116940768347,0.7327736099025811,0.7327736099025811,True,,,,
25g,compound,2767143051,paper_style_current_v2,334,6,68,8.17392770481441,6.4825303529411755,0.4364442007382008,10.954907382803041,8.584964838235294,0.6819037701093451,0.8776169529847389,0.8776169529847389,0.8593843027152435,0.8593843027152435,True,,,,
25g,compound,2767143051,M3_CENTER_WIDTH_FULL,334,6,68,6.294244470752142,4.356314517343579,0.6658337747376434,8.975071975055227,6.477077387585398,0.7864906091270394,0.6891095822415257,0.6891095822415257,0.6785344887200776,0.6785344887200776,True,7.374646207261437,5.219607314064441,4.774644918832118,3.564253467418827
25g,compound,2767143051,MASS_FLOW_SHARED,334,6,68,7.247543431343989,4.874489960696115,0.5569456632416392,11.91001765728521,8.688194058275094,0.6240189883392633,0.8351129906495526,0.8351129906495526,0.8303061817570849,0.8303061817570849,True,9.31636556456941,6.604878535043699,6.447646348966959,4.640143091964445
25g,compound,2767143051,ALL_CONTEXT_SHARED_CENTER_WIDTH,334,6,68,6.364395406112408,4.323558272060324,0.658343532731823,9.69815931751791,6.896618331031948,0.7507014629691335,0.7128426043577619,0.7128426043577619,0.7054748235886699,0.7054748235886699,True,7.753313482781374,5.3390284803642505,5.353892622895096,3.9390462361880103
25g,compound,1362771960,conditional_EA,311,6,91,7.616260117697911,5.284502376541684,0.5065419788483425,9.371477744484205,7.08602561388859,0.7796449545002703,0.79814448683167,0.79814448683167,0.774751086292991,0.774751086292991,True,,,,
25g,compound,1362771960,scale_only,311,6,91,8.293514556032099,5.763486502725727,0.41488140636192505,9.226772035777659,7.295742768083114,0.7863974543540071,0.8477018523006007,0.8477018523006007,0.8132254106204849,0.8132254106204849,True,,,,
25g,compound,1362771960,paper_style_current_v2,311,6,91,8.349114146695689,5.930031543956045,0.4070098575100535,12.240590011036279,9.163591384615385,0.6240660513205207,0.9226130318051864,0.9226130318051864,0.9104870481084831,0.9104870481084831,True,,,,
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,311,6,91,6.8126883966666405,4.708997021442879,0.6051758333667898,9.696622195503837,7.257423209602552,0.7640892168930775,0.7454242158456553,0.7454242158456553,0.7338732346989827,0.7338732346989827,True,7.7768909958697,5.693646462254624,6.241336085989199,4.5961713279499055
25g,compound,1362771960,MASS_FLOW_SHARED,311,6,91,7.259879835108697,4.780147645414936,0.551641361813854,12.001748640143802,8.186297028587072,0.6385935522464978,0.8385095954080078,0.8385095954080078,0.8339419332046234,0.8339419332046234,True,9.133626652461865,6.110587789074832,7.733246923290114,5.492337034158381
25g,compound,1362771960,ALL_CONTEXT_SHARED_CENTER_WIDTH,311,6,91,6.649731210370496,4.546683945662317,0.6238380538838166,9.957392077387938,7.190086843720085,0.7512299698389172,0.740206569652503,0.740206569652503,0.7316431409915007,0.7316431409915007,True,7.773657495425078,5.5337890139043004,6.709557428123937,4.924632400588495
25g,row,769539383,conditional_EA,320,5,83,7.281481858712445,5.206917642865397,0.5074157296284695,9.606112200926685,6.88434240959798,0.6393949607204639,0.7781293521902711,0.7781293521902711,0.7608053233515373,0.7608053233515373,True,,,,
25g,row,769539383,scale_only,320,5,83,7.56017641318495,5.368358625267207,0.4689873646790662,9.737922882654424,6.998914785891581,0.6294309506234059,0.8023261963546101,0.8023261963546101,0.7825892338897347,0.7825892338897347,True,,,,
25g,row,769539383,paper_style_current_v2,320,5,83,7.1011461415706005,4.545999385542168,0.5315126196096889,9.190250155537898,6.66714374698795,0.6699413284459579,0.7546365488755138,0.7546365488755138,0.736428365297984,0.736428365297984,True,,,,
25g,row,769539383,M3_CENTER_WIDTH_FULL,320,5,83,7.21242390307992,4.870801950780188,0.5167148131093029,9.445683976910985,6.7419295060758335,0.6513390539323753,0.769098170069377,0.769098170069377,0.7514337609001829,0.7514337609001829,True,7.708329138258201,5.4153312407091825,6.69377743011383,4.649806648120307
