column,protocol,candidate,reference,n_pairs,V1_rmse_delta_mean,V1_rmse_relative_gain,V1_rmse_wins,V1_mae_delta_mean,V1_mae_relative_gain,V1_mae_wins,V2_rmse_delta_mean,V2_rmse_relative_gain,V2_rmse_wins,V2_mae_delta_mean,V2_mae_relative_gain,V2_mae_wins,combined_normalized_rmse_delta_mean,combined_normalized_rmse_relative_gain,combined_normalized_rmse_wins
25g,compound,M3_CENTER_WIDTH_FULL,conditional_EA,5,-0.5149219431396512,0.07212626052612969,5,-0.3873714319303073,0.0790021065770814,5,-0.3848898610100358,0.04015815158156588,2,-0.2736394313151873,0.038181330129888336,2,-0.04851690439195222,0.06320091776842629,5
25g,compound,MASS_FLOW_SHARED,conditional_EA,5,-0.016328467964073213,0.002287164783051243,2,-0.21362499493512566,0.04356755100213394,5,1.3813932388413908,-0.14413006082718383,1,0.43471845230373185,-0.060656933327143836,2,0.03373098895328219,-0.04393993157233922,1
25g,compound,ALL_CONTEXT_SHARED_CENTER_WIDTH,conditional_EA,5,-0.5237443826237154,0.0733620392245935,5,-0.47656989243875947,0.09719360368487073,5,-0.2742145280561097,0.02861064865321994,2,-0.44777647189058867,0.06247893885570399,2,-0.0460851745352564,0.06003320621233732,5
25g,compound,ALL_CONTEXT_SHARED_CENTER_WIDTH,MASS_FLOW_SHARED,5,-0.5074159146596422,0.07123780704503746,5,-0.2629448975036338,0.056068834488964936,5,-1.6556077668975004,0.15097995883048088,5,-0.8824949241943205,0.11609396810011563,5,-0.0798161634885386,0.09959685863158474,5
25g,row,M3_CENTER_WIDTH_FULL,conditional_EA,5,-0.37995552477598266,0.04490897125506821,3,-0.23154674407189227,0.047712635060866426,3,-0.450205142874924,0.03721965985235354,3,-0.30566461721250154,0.038808182470428165,4,-0.040507170590390815,0.04359801540840991,4
25g,row,MASS_FLOW_SHARED,conditional_EA,5,-0.5039291254396115,0.05956207275128367,2,-0.3156771993620663,0.0650485977273001,3,-1.2412579610090337,0.10261810605441524,4,-0.8916826332243526,0.11321095209336918,5,-0.06908021740664198,0.07435128988311845,3
25g,row,ALL_CONTEXT_SHARED_CENTER_WIDTH,conditional_EA,5,-0.4560449605221587,0.0539023877470487,2,-0.31905018857622336,0.06574363753053458,3,-1.1659927296957207,0.09639572865041379,4,-0.8135785030440088,0.10329459552133702,5,-0.06379234204934384,0.06865993035479045,3
25g,row,ALL_CONTEXT_SHARED_CENTER_WIDTH,MASS_FLOW_SHARED,5,0.04788416491745284,-0.006018137763533771,3,-0.0033729892141570517,0.0007433967172465472,3,0.07526523131331295,-0.006933923501223127,3,0.07810413018034375,-0.011182317367857575,2,0.0052878753572981555,-0.0061485091116362245,3
40g,compound,M3_CENTER_WIDTH_FULL,conditional_EA,5,-0.37796381858880534,0.023086599166313948,4,-0.07623635204408145,0.00727699500639567,2,-0.8503255657303107,0.03819728169440939,4,-0.16895226629252313,0.011325499328645683,3,-0.04882583240348568,0.027638754627571593,4
40g,compound,MASS_FLOW_SHARED,conditional_EA,5,1.7612636288737715,-0.10758063451108435,0,0.8923497897161244,-0.08517754049889015,1,0.41711271649837156,-0.018737025643495553,2,-0.33067975876839384,0.022166695174386297,3,0.14245091317452307,-0.08063694241131025,0
40g,compound,ALL_CONTEXT_SHARED_CENTER_WIDTH,conditional_EA,5,1.8912779711513619,-0.11552210630920978,0,0.9385910801340828,-0.08959141433254603,1,0.6672756096779018,-0.02997453617519419,2,-0.14325813420857578,0.00960312600952673,3,0.15812162977448274,-0.08950763789408867,0
40g,compound,ALL_CONTEXT_SHARED_CENTER_WIDTH,MASS_FLOW_SHARED,5,0.13001434227759034,-0.007170107124192304,0,0.046241290417958325,-0.00406742092324075,0,0.2501628931795302,-0.01103082566828295,0,0.18742162455981806,-0.012848375180982696,0,0.015670716599959666,-0.00820876571458351,0
40g,row,M3_CENTER_WIDTH_FULL,conditional_EA,5,-1.042066995487343,0.06793827835206334,4,-0.7806375179726441,0.08071849940682563,5,-1.1110447917113622,0.06000193169411783,4,-0.668514681535424,0.05066248568147713,4,-0.1102742284674191,0.06866430607538077,5
40g,row,MASS_FLOW_SHARED,conditional_EA,5,-0.517294983747458,0.03372540417089487,3,0.2468291347894896,-0.02552231594227683,2,-0.9627525622734087,0.05199341548677483,3,-0.3406834182830611,0.02581823447921916,3,-0.06728584209696357,0.041896785137342185,3
40g,row,ALL_CONTEXT_SHARED_CENTER_WIDTH,conditional_EA,5,-0.5257340516287179,0.03427559503696376,3,0.22567879053002232,-0.023335354630199756,3,-0.9786541727024052,0.052852181352836314,3,-0.41150151164948456,0.031185088402196026,3,-0.06829883840516886,0.04252754619118526,3
40g,row,ALL_CONTEXT_SHARED_CENTER_WIDTH,MASS_FLOW_SHARED,5,-0.008439067881259987,0.0005693939056700126,5,-0.021150344259467248,0.002132534102944117,5,-0.01590161042899645,0.0009058648748758724,4,-0.07081809336642345,0.005509088871220813,5,-0.0010129963082052829,0.000658343531321326,4
