column,protocol,outer_seed,planned_budget,actual_budget,sample_id,canonical_smiles,role,parent_role,full_data_definition,training_label_count,n_total_filtered,parent_budget
25g,compound,536279090,100,98,00a552cee199fca32813,CCOC(=O)/C=C(/C)N,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,020d0072b0c4be89b2ac,O=C(CCCCl)c1ccc(F)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0272fedd4a91d6574501,FC(F)(F)Oc1ccc(I)c(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,03d21b096ab20f7bec36,O=Cc1ccc(Br)cc1O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,061884a87f85c1fc4c8e,CCCC(=O)c1ccc(-c2ccccc2)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,071712d307504ddb0806,CCOC(=O)c1ccccc1N,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,078fe54a23eadda27aa7,COC(=O)Cc1ccc(Br)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,080e7d86cceb8915cc94,CCCCC(=O)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0815f76eede6a2947f79,CCOC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,088024177d9c54addb50,CSc1ccc(C=O)cc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,08a897a8999697187200,CSc1ccc(C=O)cc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0987175fcdab9f0d3a6f,CCC(=O)c1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,09c9551b7568602f1f84,Brc1ccc(Br)c2ccccc12,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
