column,protocol,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,Center_rmse,Width_rmse,Var_eC,Var_eW,Cov_eC_eW
25g,compound,DIRECT_LATENT_PLS,7.871204298735291,5.6810987667254915,0.35105866618067216,9.308567395090048,7.276505219628237,0.7383010192031603,0.8171716029524069,0.8171716029524069,0.7889718552227779,0.7889718552227779,1.0,7.871124300835601,7.007049077407503,57.69410327898114,50.950248004595636,13.19275761659122
25g,compound,DIRECT_LATENT_RIDGE,7.64730792808942,5.453183815436768,0.38214819229922165,9.125112156745246,7.03201593519793,0.7474116527039979,0.7957725295120048,0.7957725295120048,0.7690589255273397,0.7690589255273397,1.0,7.661376976691386,6.910694246924902,55.89046357371586,50.11661438686853,13.339252303794506
25g,compound,HIER_CW_25G_40G,6.556242903362114,4.463470164627433,0.5737310246323419,8.770348692358041,6.666996264674978,0.7710037047532966,0.7035534734307024,0.7035534734307024,0.6887923182883237,0.6887923182883237,1.0,6.934076352905455,6.643101968941549,46.194948617139445,46.306764194333674,15.52108817931032
25g,compound,HIER_CW_V2,6.550062423306025,4.492988074774677,0.5737217406054604,9.29443451594663,6.728252872926548,0.7463950963077585,0.7166989621729798,0.7166989621729798,0.7046998780056307,0.7046998780056307,1.0,7.129067538646997,7.254040948772838,46.853472210129134,49.348974942388324,17.030661002305028
25g,compound,JOINT_HIER_LATENT_FULL128,6.647299926577604,4.653194560792398,0.5564806271338385,9.193731588950593,6.759793894978228,0.7520768581124623,0.7218982676914738,0.7218982676914738,0.7077380475538214,0.7077380475538214,1.0,7.150590717803189,7.103563038770251,46.629576795459236,47.4039276978834,15.334369010654836
25g,compound,JOINT_HIER_LATENT_PCA16,6.544889586396638,4.482032327869627,0.5734897234511244,9.24790115493076,6.644392812521268,0.7490968170228592,0.7153109134635518,0.7153109134635518,0.7029243910927693,0.7029243910927693,1.0,7.100110425858006,7.241661647641554,46.48435971241863,49.19789237480518,16.676478351943306
25g,compound,M3_CENTER_WIDTH_FULL,6.62425232409006,4.5159336660464495,0.5679352496038244,9.19946215350637,6.893199188091174,0.7499031339890039,0.7191444857435867,0.7191444857435867,0.7064538008314865,0.7064538008314865,1.0,7.204459568795206,6.773827214636,50.500159395302916,47.63264531115588,19.064350192212935
25g,compound,paper_style_current_v2,8.040766325811578,5.836379810245741,0.3660954108670804,10.959422805706982,8.337979703577437,0.6462331778891205,0.8679854607850108,0.8679854607850108,0.8510750464456358,0.8510750464456358,1.0,8.850562238816778,7.2743848277309215,49.322984910569424,50.58345658205068,17.355278630243756
25g,row,DIRECT_LATENT_PLS,9.109055545929882,5.657693313363912,-0.053443112641035274,11.9256026638087,7.732270786821134,0.44365072581627396,0.9719185997931712,0.9719185997931712,0.9489122573878724,0.9489122573878724,1.0,10.020162649789373,6.9096509193146245,103.11082859741319,46.90709149112539,32.67826593496864
25g,row,DIRECT_LATENT_RIDGE,8.81547103682322,5.366249016300793,0.007367725134613456,11.52505041334581,7.397740892387605,0.480052437410059,0.9403580909171183,0.9403580909171183,0.9178253055330048,0.9178253055330048,1.0,9.693315855861858,6.645517635678461,96.39460986352005,42.966335491607666,30.60823800522538
25g,row,HIER_CW_25G_40G,8.131997168232036,4.518097828747608,0.1514330855653692,11.23130152549043,7.213245361016119,0.5096064426430249,0.881819270780263,0.881819270780263,0.8653198317376948,0.8653198317376948,1.0,9.193565788596265,6.656017122538627,88.22870802645006,43.99135706930118,30.195790927842488
25g,row,HIER_CW_V2,8.001167875001133,4.5379611993976585,0.19376483621135404,11.075591188428135,7.1247890685216175,0.5330376442257955,0.8690210408745763,0.8690210408745763,0.8521753308824456,0.8521753308824456,1.0,9.01518427585264,6.908387029052993,81.63899017497367,42.49665329764522,26.213409210090827
25g,row,JOINT_HIER_LATENT_FULL128,8.126453147338996,4.766053950357252,0.16514395648644306,11.220841150931236,7.277431984370314,0.5197756591991297,0.8818284585302107,0.8818284585302107,0.8646427075184835,0.8646427075184835,1.0,9.164811355394146,6.8647087926302195,83.95101843017622,41.21191370686192,26.02282532259941
25g,row,JOINT_HIER_LATENT_PCA16,8.003669360119442,4.542608884718537,0.19198013524066507,11.06415695811423,7.064771429376265,0.5339351220542419,0.8689752424601351,0.8689752424601351,0.8519784422449288,0.8519784422449288,1.0,9.01069892541781,6.901768205092897,81.46261775114814,42.315531140947805,25.911170403672582
25g,row,M3_CENTER_WIDTH_FULL,8.080615139779223,4.62139721461979,0.17468179932829062,11.645691075973948,7.5706284157173,0.4761762461648126,0.8885986662449517,0.8885986662449517,0.874947454459978,0.874947454459978,1.0,9.27707058921963,7.338453521047318,88.09090266196499,49.205286894889916,32.70009393194228
25g,row,paper_style_current_v2,7.408778452536362,4.461541322827197,0.3489682704456159,11.111435026814734,6.967134604367944,0.5249340692568047,0.8257145674304758,0.8257145674304758,0.8157003322571554,0.8157003322571554,1.0,8.739766918555521,7.129029061888657,76.54806549900607,51.18858240107348,35.264724733390175
40g,compound,DIRECT_LATENT_PLS,16.686279102756494,10.241288190063486,0.6318366551437826,19.90399757501322,13.067703715593723,0.7162238275383397,1.735060600551624,1.735060600551624,1.6778596402676613,1.6778596402676613,1.0,17.661420937506204,10.089360700805067,308.7055165883526,92.06805593928473,65.68187660076151
40g,compound,DIRECT_LATENT_RIDGE,16.810407040399696,10.286070883495903,0.6265866786702787,19.47411340728023,12.69628603309943,0.728233131382096,1.7352216358101056,1.7352216358101056,1.6723661720575578,1.6723661720575578,1.0,17.520992963256063,9.79917064650393,301.63637206009713,85.42590582574266,56.56637066555787
40g,compound,HIER_CW_25G_40G,15.42629375479945,9.94361794027262,0.6852073147138779,20.11299759080132,13.351335901692826,0.7097049093653419,1.644238778677766,1.644238778677766,1.6044080395821616,1.6044080395821616,1.0,17.200993603419477,10.1374104938598,298.5766063060437,101.01744751820115,82.74379809854968
40g,compound,HIER_CW_V2,15.57630475474349,9.985656550680151,0.6794576258566902,20.040735360541326,13.153066699846912,0.7116003477123629,1.6536811247288572,1.6536811247288572,1.6116794681805469,1.6116794681805469,1.0,17.26959795792174,9.817813491247962,300.0316990558699,95.60490322019932,78.68789532528523
40g,compound,JOINT_HIER_LATENT_FULL128,15.256897152837396,9.71792945535481,0.6922635778913069,19.595213415584475,12.76997038513817,0.7245256145445164,1.6188115647319232,1.6188115647319232,1.5775553093176458,1.5775553093176458,1.0,16.898801987916308,9.581848521159962,286.8093934941162,90.97436055336968,74.48389317306734
40g,compound,JOINT_HIER_LATENT_PCA16,15.49251148514092,9.907647222695562,0.6828490063980653,19.923139306693997,13.085836102175582,0.7150020566414839,1.6445602708498435,1.6445602708498435,1.6027050186708305,1.6027050186708305,1.0,17.168223177312875,9.786501464052472,296.6260604874778,95.00615512841166,77.65031455062612
40g,compound,M3_CENTER_WIDTH_FULL,15.99360376769738,10.400114391233732,0.6623638308133193,21.411090116495146,14.748912402613623,0.6713457614443269,1.7177455294905979,1.7177455294905979,1.6807787625367023,1.6807787625367023,1.0,17.686155506667237,13.327439979540292,309.775471360896,136.95891464188094,85.13526054123244
40g,compound,paper_style_current_v2,16.239652838100444,11.001170568230652,0.6502713567455283,22.08333889854968,15.389487642965259,0.6472129736699784,1.7525430013242882,1.7525430013242882,1.7172994853166297,1.7172994853166297,1.0,18.583710470646047,11.08476650779815,337.41213858909504,112.89271361993137,101.47572254724874
40g,row,DIRECT_LATENT_PLS,14.174867558515993,8.348647359902966,0.673780421185018,16.472358494713497,11.167123831990022,0.7817226166207312,1.4645366833553972,1.4645366833553972,1.4117708578580124,1.4117708578580124,1.0,14.530469264844214,9.974030083548792,212.42326953540424,95.05653392881015,36.22286071313511
40g,row,DIRECT_LATENT_RIDGE,13.653260066204535,7.962465599954942,0.6983205527886143,15.988049110838801,10.757201015647642,0.7952143405371425,1.4135270772080741,1.4135270772080741,1.3636098626006816,1.3636098626006816,1.0,14.070784954265605,9.63669653152883,199.06989416339778,89.45230338243343,35.714457442245326
40g,row,HIER_CW_25G_40G,14.269542587183713,8.895327033226625,0.6677152563929678,17.4411247332782,12.568312341224768,0.756481268553278,1.494456702444067,1.494456702444067,1.4479082851074687,1.4479082851074687,1.0,15.19906084132061,9.681906857968064,233.39694147186665,93.74672890191621,48.818143026405785
40g,row,HIER_CW_V2,14.274818770361978,8.991927759791498,0.6696112488918029,17.300107606772073,12.350045746482767,0.7606173767711679,1.4911867862438208,1.4911867862438208,1.4438572698741095,1.4438572698741095,1.0,15.12724526310264,9.622270489296024,231.02886686808398,92.90261921199559,47.368014377836694
40g,row,JOINT_HIER_LATENT_FULL128,13.80276221516527,8.461984957694861,0.6889689428559717,16.819178975943817,11.662300107792728,0.77321258680994,1.4442105546748956,1.4442105546748956,1.398945651403197,1.398945651403197,1.0,14.670660610379608,9.37869545583099,217.74564242965175,87.73430830018792,44.90893406606584
40g,row,JOINT_HIER_LATENT_PCA16,14.15817513534777,8.800852977314484,0.6744829171946272,17.155913479363285,12.166400372970786,0.7645144783776023,1.4790216379918228,1.4790216379918228,1.4319710820276685,1.4319710820276685,1.0,14.99391272657922,9.601703584477926,227.01915611600748,92.43038948025195,46.39421489411323
40g,row,M3_CENTER_WIDTH_FULL,14.29636990288742,8.890472868237447,0.6658031120288994,17.405772256368508,12.526942914810759,0.7573666305565767,1.4957163475730446,1.4957163475730446,1.448511092382298,1.448511092382298,1.0,15.197274799208142,9.653940193303324,233.50673773589915,93.46136864314362,47.90674603886306
40g,row,paper_style_current_v2,13.109113220539323,7.987240874441571,0.7208965438625763,15.896779294423913,10.642956748434866,0.7971981107993977,1.369921518333949,1.369921518333949,1.3262426764694055,1.3262426764694055,1.0,13.792710239580156,9.460196688232614,191.18372812133433,87.85611623498127,38.366090049292254
