column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,compound,769539383,OLD_HIER_REFERENCE,7.620864596171942,4.630703798680305,0.4319544043386606,9.971376977444779,6.973179147247329,0.7323054033678986,0.8124333862879399,0.8124333862879399,0.7937008943564605,0.7937008943564605,True
25g,compound,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,7.620864596171942,4.630703798680305,0.4319544043386606,9.971376977444779,6.973179147247329,0.7323054033678986,0.8124333862879399,0.8124333862879399,0.7937008943564605,0.7937008943564605,True
25g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,7.669780015659226,4.654936220050589,0.4246388661304855,9.926430549053787,6.909171410262691,0.7347132551310254,0.8150711852304453,0.8150711852304453,0.795406907549209,0.795406907549209,True
25g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,7.6806075512948775,4.665649253465613,0.4230132287653021,9.9500105534189,6.929457476685683,0.7334513931910541,0.8164473064877539,0.8164473064877539,0.7968273319321741,0.7968273319321741,True
25g,compound,769539383,CORRECTED_JOINT_FULL128,8.59083383407243,5.413491292846109,0.2781526874152066,10.154748923639046,7.769727379070936,0.7223691555726839,0.8909652998146765,0.8909652998146765,0.8609529309588471,0.8609529309588471,True
25g,compound,769539383,M3_CENTER_WIDTH_FULL,7.432202185141867,4.642513874201964,0.459731387449292,10.278727466072871,6.969634132149729,0.7155486256165826,0.8057410426463933,0.8057410426463933,0.7912884043129824,0.7912884043129824,True
25g,compound,769539383,conditional_EA,7.662421737110383,4.987177277670784,0.4257423232362104,10.331735614158458,7.0303875241353255,0.7126071875017599,0.8242067910690215,0.8242067910690215,0.8075454971826281,0.8075454971826281,True
25g,compound,769539383,paper_style_current_v2,8.610779832714705,5.96877593478261,0.2747968595115893,12.079870883730772,9.051772358695652,0.6071254298885242,0.9377582676077736,0.9377582676077736,0.9220923488901895,0.9220923488901895,True
25g,compound,769539383,scale_only,8.208417943162745,5.253904901064257,0.34098753643775803,10.402792634399635,7.320271453642575,0.7086404771969992,0.8671501134898181,0.8671501134898181,0.8444013897919587,0.8444013897919587,True
25g,compound,1425370602,OLD_HIER_REFERENCE,6.73070690329157,4.915868809951324,0.5569189118153891,9.036499738790447,7.2074974308212525,0.7361090736751152,0.7230440527498285,0.7230440527498285,0.7081404858666669,0.7081404858666669,True
25g,compound,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,6.73070690329157,4.915868809951324,0.5569189118153891,9.036499738790447,7.2074974308212525,0.7361090736751152,0.7230440527498285,0.7230440527498285,0.7081404858666669,0.7081404858666669,True
25g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,6.73070690329157,4.915868809951324,0.5569189118153891,9.036499738790447,7.2074974308212525,0.7361090736751152,0.7230440527498285,0.7230440527498285,0.7081404858666669,0.7081404858666669,True
25g,compound,1425370602,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,6.739052478430127,4.9185451876612065,0.5558194555340259,9.005816384215974,7.197176315958643,0.73789810977302,0.722929441442069,0.722929441442069,0.7077157587963238,0.7077157587963238,True
25g,compound,1425370602,CORRECTED_JOINT_FULL128,6.867151658749928,4.760803241741162,0.5387725643565439,8.977299940304018,7.112927112536547,0.7395553455373265,0.7318953064423593,0.7318953064423593,0.7149573332294055,0.7149573332294055,True
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,6.734271071264012,4.9098310458661185,0.5564495306421996,9.313509685515168,7.581144861987654,0.7196821729599427,0.7300773258617879,0.7300773258617879,0.7169820119270618,0.7169820119270618,True
25g,compound,1425370602,conditional_EA,7.02756273780406,5.100833363915102,0.5169730991191115,9.269465501397097,7.502570486164221,0.7223271858528748,0.7509547803507873,0.7509547803507873,0.7342228640905534,0.7342228640905534,True
25g,compound,1425370602,paper_style_current_v2,7.771793384440876,5.694917714285714,0.4092491598987703,9.950273927874415,7.420532904761904,0.6800412063686538,0.8233731091588542,0.8233731091588542,0.8026216766980729,0.8026216766980729,True
25g,compound,1425370602,scale_only,7.7650245195305185,5.828696730167336,0.41027774393071914,9.209304587109056,7.385605842299219,0.7259198073700361,0.805997403001826,0.805997403001826,0.7791470678245223,0.7791470678245223,True
25g,compound,536279090,OLD_HIER_REFERENCE,5.856513927725508,3.9645216032254242,0.5511595467590892,7.7115967995452515,6.156229188613793,0.7650343168203396,0.6255023642724443,0.6255023642724443,0.611462812974258,0.611462812974258,True
