column,protocol,method,seed,evaluation_split,best_epoch,epochs_run,selection,column_spec_flag,combined_normalized_rmse,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae
4g,source_reference,source_reference,42,test,91,191,existing_source_validation_best,not_applicable,,0.8669438947363368,2.971252918243408,1.6040033102035522,0.9028746170992146,4.969061374664307,2.868246078491211
8g,existing_8g_no_threshold,paper_transfer,42,test,83,183,existing_g0_4_validation_only,repository_original_8g_spec,,0.6708521670573387,12.000335693359375,5.094461441040039,0.8036699374591786,15.946842193603516,7.180902004241943
8g,existing_8g_no_threshold,paper_transfer,525,test,90,190,existing_g0_4_validation_only,repository_original_8g_spec,,0.7662734664530344,10.261408805847168,4.509485721588135,0.7654973883075156,19.860069274902344,7.89543342590332
8g,existing_8g_no_threshold,paper_transfer,1101,test,174,274,existing_g0_4_validation_only,repository_original_8g_spec,,0.8464943539243102,7.443922519683838,4.108717918395996,0.8478404961164694,13.058753967285156,7.4031147956848145
25g,legacy_filtered,direct,42,valid,205,305,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.642080833392826,0.6355837553593342,6.596956253051758,5.02648401260376,0.6088883260249757,11.258001327514648,7.571402549743652
25g,legacy_filtered,direct,42,test,205,305,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.7974914109115341,-0.09621980203620706,8.98071002960205,6.17773962020874,0.3282996054870334,12.363724708557129,8.702482223510742
25g,legacy_filtered,paper_transfer,42,valid,121,221,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.5565250510039441,0.7094862194392101,5.890173435211182,4.177271366119385,0.7256473064751818,9.428997993469238,6.124936103820801
25g,legacy_filtered,paper_transfer,42,test,121,221,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.5183373641427195,0.5050941126779659,6.034247875213623,3.8946735858917236,0.7487000014610456,7.562366962432861,5.2713823318481445
25g,legacy_filtered,direct,525,valid,175,275,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.7403111002634104,0.640919507442987,5.2152814865112305,4.090360164642334,-0.2064081543195575,16.528919219970703,10.404623031616211
25g,legacy_filtered,direct,525,test,175,275,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.9828632534609686,0.7004957189704133,5.472200393676758,4.2837677001953125,-1.0313813780891143,23.206331253051758,15.018105506896973
25g,legacy_filtered,paper_transfer,525,valid,74,174,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.4514874485107498,0.6820515392809544,4.907499313354492,3.6452720165252686,0.7465680034937967,7.57579231262207,5.7936530113220215
25g,legacy_filtered,paper_transfer,525,test,74,174,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.5300898892714,0.6599026817800953,5.8312554359436035,3.7630844116210938,0.7111754093457747,8.750398635864258,5.660401344299316
25g,legacy_filtered,direct,1101,valid,208,308,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,1.1300723228102136,0.1851572412208501,10.510854721069336,6.385124206542969,-0.04083456857038281,20.01886749267578,14.662347793579102
25g,legacy_filtered,direct,1101,test,208,308,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.8597558519489398,0.4852781723648324,7.418147563934326,5.0996012687683105,0.33999943201450256,16.105140686035156,12.30511474609375
