column,protocol,seed,budget,actual_budget,method,target,n,rmse,mae,median_absolute_error
8g,row,769539383,30,30,scale_only,center,115,12.90183395165165,8.18136184277897,5.274940539873864
8g,row,769539383,30,30,scale_only,width,115,9.655664321707555,5.917791906225391,3.0021805756787856
8g,row,769539383,30,30,local_identity_shrinkage,center,115,11.447950286430306,6.248217704710099,3.52671200172864
8g,row,769539383,30,30,local_identity_shrinkage,width,115,10.130745849500082,6.1221364454567615,3.1033837573582623
8g,row,769539383,30,30,conditional_EA,center,115,11.458610883114396,5.945238575002605,3.275364433077355
8g,row,769539383,30,30,conditional_EA,width,115,9.982367951600661,6.3594834928189625,3.60453784426527
8g,row,769539383,30,30,conditional_policy,center,115,11.447950286430306,6.248217704710099,3.52671200172864
8g,row,769539383,30,30,conditional_policy,width,115,10.130745849500082,6.1221364454567615,3.1033837573582623
8g,row,769539383,30,30,target_head_only,center,115,8.419889373770618,4.87748649826087,2.7168593333333355
8g,row,769539383,30,30,target_head_only,width,115,8.57345818363325,5.107927791884059,2.547681666666664
8g,row,769539383,30,30,standard_shallow_finetune,center,115,8.351993463327682,4.813410182318841,3.213397999999998
8g,row,769539383,30,30,standard_shallow_finetune,width,115,7.404250993338716,4.35369951826087,2.2885563333333323
8g,row,769539383,30,30,packing_mass_physical_scale,center,115,8.867526549210309,4.48632720173269,2.4263033866882324
8g,row,769539383,30,30,packing_mass_physical_scale,width,115,11.501567496643387,7.742316641323809,4.839278316497801
8g,row,769539383,30,30,physics_scale_residual,center,115,12.436813984186399,6.209567448932492,3.034242698249523
8g,row,769539383,30,30,physics_scale_residual,width,115,10.331859309385,6.015013831408919,2.8454414465498843
8g,row,769539383,30,30,raw_column_conditioned,center,115,11.120658554518545,7.005055448550725,4.425949583333333
8g,row,769539383,30,30,raw_column_conditioned,width,115,8.633731774378298,5.059495417101449,2.8228363666666674
8g,row,769539383,30,30,mass_normalized_column_conditioned,center,115,12.323102880673972,7.126135281884058,3.4563688333333324
8g,row,769539383,30,30,mass_normalized_column_conditioned,width,115,12.049148354451015,7.342295062318841,3.8249249999999986
8g,row,769539383,50,50,scale_only,center,115,11.533390818315027,6.918674892152768,4.435164046755663
8g,row,769539383,50,50,scale_only,width,115,9.553206883321755,5.930631731228729,3.063917875062238
8g,row,769539383,50,50,local_identity_shrinkage,center,115,10.528309299460497,5.5084540370952295,2.773414517288021
8g,row,769539383,50,50,local_identity_shrinkage,width,115,9.994063259659871,6.070494588371932,3.2602899080994945
8g,row,769539383,50,50,conditional_EA,center,115,10.594807985420772,5.351952558655425,2.8294955845328307
8g,row,769539383,50,50,conditional_EA,width,115,9.891591605319427,6.055019519658334,3.2826246246110156
8g,row,769539383,50,50,conditional_policy,center,115,10.528309299460497,5.5084540370952295,2.773414517288021
8g,row,769539383,50,50,conditional_policy,width,115,9.994063259659871,6.070494588371932,3.2602899080994945
8g,row,769539383,50,50,target_head_only,center,115,8.436802790424519,4.889202377391303,2.799576166666668
8g,row,769539383,50,50,target_head_only,width,115,8.623619633509549,5.142633270144926,2.6052930000000014
8g,row,769539383,50,50,standard_shallow_finetune,center,115,8.37080151487108,4.770643933623188,3.2837098333333365
8g,row,769539383,50,50,standard_shallow_finetune,width,115,7.478826856931588,4.311619484637681,2.3671626666666654
8g,row,769539383,50,50,packing_mass_physical_scale,center,115,8.867526549210309,4.48632720173269,2.4263033866882324
8g,row,769539383,50,50,packing_mass_physical_scale,width,115,11.501567496643387,7.742316641323809,4.839278316497801
8g,row,769539383,50,50,physics_scale_residual,center,115,12.695352701477564,6.408031826544177,3.361691565434267
8g,row,769539383,50,50,physics_scale_residual,width,115,9.401693365455987,5.402842704297311,2.399886459013807
8g,row,769539383,50,50,raw_column_conditioned,center,115,10.989979258964034,7.173734584927536,4.940471333333335
8g,row,769539383,50,50,raw_column_conditioned,width,115,7.979063460516011,4.714330112463768,2.5612966999999998
8g,row,769539383,50,50,mass_normalized_column_conditioned,center,115,10.824108889421867,5.496154366666666,2.7069849999999995
8g,row,769539383,50,50,mass_normalized_column_conditioned,width,115,8.89904293692481,5.842738936231886,3.6522229999999993
8g,row,769539383,70,70,scale_only,center,115,9.76659287130864,5.276954240259531,3.304108962738386
8g,row,769539383,70,70,scale_only,width,115,8.690900447087266,5.297199544996616,2.760458448121824
8g,row,769539383,70,70,local_identity_shrinkage,center,115,9.390179668203155,4.720154559568551,2.6736503752847156
8g,row,769539383,70,70,local_identity_shrinkage,width,115,9.251863720294935,5.63337786324363,2.9100163999543867
8g,row,769539383,70,70,conditional_EA,center,115,9.456235195847036,4.679916168889755,2.560734450328587
8g,row,769539383,70,70,conditional_EA,width,115,9.089065732523748,5.614436661844467,2.986448106158168
8g,row,769539383,70,70,conditional_policy,center,115,9.390179668203155,4.720154559568551,2.6736503752847156
8g,row,769539383,70,70,conditional_policy,width,115,9.251863720294935,5.63337786324363,2.9100163999543867
8g,row,769539383,70,70,target_head_only,center,115,8.403866641246035,4.840223633478262,2.6988891666666657
8g,row,769539383,70,70,target_head_only,width,115,8.450132501372519,4.992757502318841,2.3235926666666646
8g,row,769539383,70,70,standard_shallow_finetune,center,115,8.472090211386648,4.759810166666666,3.041265499999998
8g,row,769539383,70,70,standard_shallow_finetune,width,115,7.553369844080926,4.3274876266666675,2.530292000000003
8g,row,769539383,70,70,packing_mass_physical_scale,center,115,8.867526549210309,4.48632720173269,2.4263033866882324
8g,row,769539383,70,70,packing_mass_physical_scale,width,115,11.501567496643387,7.742316641323809,4.839278316497801
8g,row,769539383,70,70,physics_scale_residual,center,115,12.434403095948287,6.201021530636482,3.1176668275148174
8g,row,769539383,70,70,physics_scale_residual,width,115,9.506161494215032,5.604658114071926,2.6832760111223575
8g,row,769539383,70,70,raw_column_conditioned,center,115,11.216426424716513,7.33640393710145,5.069449999999996
8g,row,769539383,70,70,raw_column_conditioned,width,115,8.025308976324196,4.692776137391304,2.5226475000000033
8g,row,769539383,70,70,mass_normalized_column_conditioned,center,115,8.125238080934608,4.443341741594203,2.736141
8g,row,769539383,70,70,mass_normalized_column_conditioned,width,115,7.056121944723774,4.683512358550724,3.410300666666668
8g,row,769539383,100,100,scale_only,center,115,9.24026032478086,4.8083204327523745,2.873894754373209
8g,row,769539383,100,100,scale_only,width,115,8.204277784575075,4.8903595377448985,2.545506691932065
8g,row,769539383,100,100,local_identity_shrinkage,center,115,9.061723006000925,4.489212306621266,2.340106053420911
8g,row,769539383,100,100,local_identity_shrinkage,width,115,8.854979663151003,5.327422805194893,2.595297377786183
8g,row,769539383,100,100,conditional_EA,center,115,9.115416157548916,4.463638075125038,2.4586900694796796
8g,row,769539383,100,100,conditional_EA,width,115,8.647372037290625,5.2763081330311845,3.0314909231118534
8g,row,769539383,100,100,conditional_policy,center,115,9.061723006000925,4.489212306621266,2.340106053420911
8g,row,769539383,100,100,conditional_policy,width,115,8.854979663151003,5.327422805194893,2.595297377786183
8g,row,769539383,100,100,target_head_only,center,115,8.406412957440066,4.82835145173913,2.656051333333334
8g,row,769539383,100,100,target_head_only,width,115,8.5031706958531,5.045412869275363,2.4806979999999985
8g,row,769539383,100,100,standard_shallow_finetune,center,115,8.235505838649466,4.618271673478262,3.029901333333335
8g,row,769539383,100,100,standard_shallow_finetune,width,115,7.2912604863813195,4.111117273333333,2.3438416666666715
8g,row,769539383,100,100,packing_mass_physical_scale,center,115,8.867526549210309,4.48632720173269,2.4263033866882324
8g,row,769539383,100,100,packing_mass_physical_scale,width,115,11.501567496643387,7.742316641323809,4.839278316497801
8g,row,769539383,100,100,physics_scale_residual,center,115,11.062705741770648,5.674820031745172,2.8438525449172296
8g,row,769539383,100,100,physics_scale_residual,width,115,8.178451880570899,4.6967866241160445,2.6590070077136225
8g,row,769539383,100,100,raw_column_conditioned,center,115,11.046906972845788,7.183730836666667,4.951258183333332
8g,row,769539383,100,100,raw_column_conditioned,width,115,8.317981388315186,4.911898008985508,2.4551241666666668
8g,row,769539383,100,100,mass_normalized_column_conditioned,center,115,8.063453778347872,4.227732326376812,2.2669266666666665
8g,row,769539383,100,100,mass_normalized_column_conditioned,width,115,7.0626858799399805,4.385067831304348,2.689994333333333
8g,row,1425370602,30,30,scale_only,center,115,7.121759950412379,4.021270186529518,2.7309985970354713
8g,row,1425370602,30,30,scale_only,width,115,5.777356508781307,3.6901259429714566,1.9617415621263987
8g,row,1425370602,30,30,local_identity_shrinkage,center,115,8.923626380693166,4.1985729020895555,2.3994582477691253
