column,target,normalization,raw_rows,usable_time_rows,excluded_rows,mean,median,std
4g,V1,raw,4243,4221,22,9.666863894811657,5.791666666666667,12.372497711800778
4g,V1,mass_normalized,4243,4221,22,2.4167159737029142,1.4479166666666667,3.0931244279501944
4g,V2,raw,4243,4221,22,20.225205914870095,12.608333333333333,23.972571943604855
4g,V2,mass_normalized,4243,4221,22,5.056301478717524,3.152083333333333,5.993142985901214
8g,V1,raw,574,572,2,17.362572843822843,10.783333333333335,17.7422942574005
8g,V1,mass_normalized,574,572,2,2.1703216054778554,1.3479166666666669,2.2177867821750623
8g,V2,raw,574,572,2,31.133173076923082,21.8375,29.23644598170798
8g,V2,mass_normalized,574,572,2,3.8916466346153853,2.7296875,3.6545557477134976
25g,V1,raw,569,488,81,38.63839651639344,23.725,35.15631573911149
25g,V1,mass_normalized,569,488,81,1.5455358606557377,0.949,1.40625262956446
25g,V2,raw,569,488,81,64.00023053278689,42.56875,55.783542923281075
25g,V2,mass_normalized,569,488,81,2.5600092213114753,1.70275,2.2313417169312433
40g,V1,raw,531,527,4,76.24321631878558,44.8,75.39990392013803
40g,V1,mass_normalized,531,527,4,1.9060804079696394,1.1199999999999999,1.8849975980034503
40g,V2,raw,531,527,4,112.38145161290322,72.425,105.4060552753769
40g,V2,mass_normalized,531,527,4,2.8095362903225807,1.810625,2.6351513818844223
