column,protocol,seed,budget,target,scale,train_rows,compounds,q50_min,q50_max,q50_q90,upper10_x2_leverage,without_upper10_scale,without_upper10_relative_change,leave_compound_min_scale,leave_compound_max_scale,leave_compound_max_relative_change,packing_mass_ratio,absolute_difference,relative_difference
25g,compound,536279090,30,V1,5.956374262059152,26,4,4.272993,23.030262,10.6771135,0.5244603825673678,5.606184991196194,-0.0587923551234162,5.705750235967204,6.253169830780895,0.0498282269823553,6.25,0.29362573794084756,0.04698011807053561
25g,compound,536279090,30,V2,4.049650429600818,26,4,7.9826307,46.31017,24.7588175,0.4351877154840048,3.9114328446714266,-0.0341307446981332,3.7260561529754375,4.370644431398421,0.0799067184318123,6.25,2.200349570399182,0.35205593126386914
25g,compound,536279090,50,V1,4.980899777345744,41,6,4.272993,31.897373,12.544195,0.5946394733796407,5.206513867109866,0.0452958501173352,4.672914063777123,5.62744838723123,0.1298055850925037,6.25,1.2691002226542558,0.20305603562468094
25g,compound,536279090,50,V2,3.82786327426156,41,6,7.420563,69.369545,27.649807,0.5672026845691749,3.843202960619693,0.0040073757234946,3.66397448765616,4.059666861351459,0.0605569139965209,6.25,2.42213672573844,0.3875418761181504
25g,compound,536279090,70,V1,5.712051322386887,64,10,4.17361,31.897373,13.534325550000002,0.5517775067674533,5.357909222187412,-0.0619991103391364,5.2494949642602196,6.208601139195915,0.0869302092687667,6.25,0.5379486776131133,0.08607178841809812
25g,compound,536279090,70,V2,4.3358002561365305,64,10,7.420563,69.369545,31.4842838,0.5274208895346761,3.9930371085053618,-0.0790541831686204,4.005363197773844,4.524193091657085,0.0762113194432823,6.25,1.9141997438634695,0.3062719590181551
25g,compound,536279090,100,V1,5.8126904298058015,91,14,3.8192286,31.897373,13.156048,0.5327529179833698,5.201755308162167,-0.1051036742832433,5.484535684581087,6.19208837832677,0.0652706269330163,6.25,0.43730957019419847,0.06996953123107176
25g,compound,536279090,100,V2,4.290523154376779,91,14,7.420563,69.369545,32.409653,0.4830447389359456,3.902553182725296,-0.0904248637501731,4.062236220771157,4.416977788066495,0.0532072489511553,6.25,1.9594768456232208,0.3135162952997153
25g,compound,769539383,30,V1,6.3835006573805035,22,4,4.372101,24.012196,13.6395505,0.5842126328081242,4.891560176930525,-0.2337182308777583,4.881453719495036,7.0637483060574,0.2353014464169945,6.25,0.13350065738050354,0.021360105180880565
25g,compound,769539383,30,V2,4.667479533109385,22,4,7.8166337,52.568775,33.72660200000001,0.5210968070477869,3.8947164480912497,-0.1655632509015708,3.6564272299100375,5.198556943051357,0.2166163335109053,6.25,1.5825204668906148,0.25320327470249837
25g,compound,769539383,50,V1,6.557142083147155,44,8,2.5635707,24.012196,12.577470400000005,0.552622983787092,5.119106847398264,-0.2193082317744583,5.7940824722016355,7.0224134216844405,0.1163707605035275,6.25,0.30714208314715474,0.04914273330354476
25g,compound,769539383,50,V2,4.600658000921927,44,8,7.8166337,52.568775,29.833172900000015,0.4866881242337988,3.848287959440175,-0.1635353119773267,4.0683196037296545,4.891239789411897,0.1157091870522861,6.25,1.6493419990780733,0.26389471985249174
25g,compound,769539383,70,V1,5.625712503121736,62,10,2.5635707,24.012196,11.4009781,0.5289590966543262,5.053155980865737,-0.1017749346306418,4.8624320397693,6.395098587247135,0.1367624249725634,6.25,0.6242874968782637,0.09988599950052218
25g,compound,769539383,70,V2,4.28198073783791,62,10,7.420563,52.568775,26.279177599999997,0.4864504111418093,3.8017726455612153,-0.1121462523250781,3.7819604310313304,4.539625968114781,0.1167731331409616,6.25,1.9680192621620902,0.31488308194593445
25g,compound,769539383,100,V1,5.582919229645413,90,15,2.5635707,24.3803,12.727330300000004,0.4856791285209065,5.2927708764324235,-0.0519707237877088,5.138234054575461,6.016765612358324,0.0796510135250864,6.25,0.6670807703545867,0.10673292325673386
25g,compound,769539383,100,V2,4.196993148630177,90,15,7.420563,60.416653,31.0955843,0.4840121683169295,3.94583995139386,-0.0598412216418052,3.9002445553460863,4.341903298374859,0.0707050459162516,6.25,2.0530068513698234,0.32848109621917176
25g,compound,1362771960,30,V1,5.069317623650122,24,4,3.755535,12.696358,7.570647179999999,0.3571624271933278,4.900981415212588,-0.0332068773225389,4.824846243798018,5.299053333759347,0.0482256978161241,6.25,1.1806823763498784,0.18890918021598055
25g,compound,1362771960,30,V2,3.6256330974896622,24,4,9.237143,25.838587,21.9425062,0.2882465690067913,3.422463208839732,-0.0560370790940215,3.2728006056791132,3.8256557033749137,0.0973161051665281,6.25,2.6243669025103378,0.41989870440165405
25g,compound,1362771960,50,V1,6.7254600209667394,44,7,3.755535,12.696358,8.781850200000004,0.3343133129231772,5.7334304698684155,-0.1475035979703476,5.85594799986529,7.013341085708767,0.1292866240213651,6.25,0.47546002096673945,0.07607360335467832
25g,compound,1362771960,50,V2,4.460086834695725,44,7,8.957339,33.079792,25.408152800000003,0.3110238628921461,3.6614007783912337,-0.1790741045872439,4.031716226135862,4.650315997591451,0.0960453516795906,6.25,1.7899131653042746,0.28638610644868395
25g,compound,1362771960,70,V1,6.74332017749266,62,11,3.755535,12.813852,9.043021499999998,0.3370420023928771,6.037351872487993,-0.1046915000953082,6.162104029186743,6.941495731168678,0.0861913913335831,6.25,0.49332017749266033,0.07893122839882566
25g,compound,1362771960,70,V2,4.485457528311589,62,11,8.957339,33.079792,24.728855799999995,0.3054715394590596,3.8222465906163072,-0.1478580353306627,4.184424093966564,4.6271101845658205,0.0671132058312766,6.25,1.7645424716884106,0.2823267954701457
25g,compound,1362771960,100,V1,6.373560696537875,90,16,3.755535,31.033888,9.254862400000007,0.4778935664011581,5.4863653377610095,-0.1391993268784261,6.08306987215662,6.521363766363745,0.0455774783064433,6.25,0.12356069653787483,0.019769711446059973
25g,compound,1362771960,100,V2,4.444694305122486,90,16,7.557915,51.772438,25.077575700000004,0.3790225756877133,3.778243186730145,-0.149943072040806,4.264470192812658,4.542948038469679,0.0405481457075959,6.25,1.8053056948775144,0.2888489111804023
25g,compound,1425370602,30,V1,5.482303434854514,25,4,4.1564574,39.051468,9.369805800000002,0.7304657759731112,4.430097691389806,-0.1919276734620638,4.4855823881909895,5.603076704744835,0.1818069828690492,6.25,0.7676965651454859,0.12283145042327774
25g,compound,1425370602,30,V2,4.177821419594906,25,4,5.802376,73.57818,23.840445200000016,0.7600786249127025,3.492325633125739,-0.1640797242443251,3.6013719885311204,4.2470276400462526,0.1379784756620066,6.25,2.072178580405094,0.33154857286481504
25g,compound,1425370602,50,V1,5.428138266459872,39,6,3.9646108,39.051468,8.885146600000004,0.6563974307293385,4.616071129422332,-0.1496032520128036,4.777463073290226,5.52168730982381,0.119870784646391,6.25,0.8218617335401284,0.13149787736642055
25g,compound,1425370602,50,V2,4.064772692598666,39,6,5.802376,73.57818,19.599019800000026,0.657781370206701,3.4889316404883375,-0.1416662371204293,3.6128287069960288,4.176479867380442,0.1111855495451341,6.25,2.185227307401334,0.3496363691842134
25g,compound,1425370602,70,V1,5.541930023983877,64,10,3.5878193,39.051468,9.490970600000002,0.6538220994339674,4.898674599368706,-0.1160706508078135,5.270247438426711,5.686743403997204,0.0490230992418528,6.25,0.7080699760161231,0.1132911961625797
25g,compound,1425370602,70,V2,4.077157714104902,64,10,5.802376,73.57818,25.531712700000003,0.5795847672480888,3.3555399973726088,-0.1769903857866133,3.9165131209856816,4.158933508227632,0.0394011231313107,6.25,2.172842285895098,0.3476547657432157
25g,compound,1425370602,100,V1,5.822931442557158,91,15,3.5878193,39.051468,10.023971,0.6101148254578749,5.111826865233805,-0.1221214064321988,5.649182751781649,5.968248705894763,0.0298386976541846,6.25,0.42706855744284233,0.06833096919085477
25g,compound,1425370602,100,V2,4.203838989224504,91,15,5.802376,73.57818,26.590567,0.5654564749941381,3.6139793132139033,-0.1403145262039197,4.130825131362753,4.265971642176227,0.0173683763933166,6.25,2.0461610107754957,0.3273857617240793
25g,compound,2767143051,30,V1,6.350067931824832,22,4,4.2883625,39.051468,20.981574200000008,0.6505889773395306,5.438665961379735,-0.1435263339274521,5.7722627109987545,6.8777494462058,0.09099197473625,6.25,0.10006793182483165,0.016010869091973065
25g,compound,2767143051,30,V2,4.831092616144457,22,4,9.225402,73.57818,44.2379875,0.5943552452200943,4.265039493395922,-0.1171687582342986,4.217000101466454,5.331778451919813,0.1271125526813209,6.25,1.4189073838555428,0.22702518141688685
25g,compound,2767143051,50,V1,5.649836005585462,40,6,3.8515,39.051468,17.981821600000004,0.5855829357608003,5.080139361602756,-0.100834191190594,5.047923010345743,6.256850921977829,0.1074393868764098,6.25,0.6001639944145376,0.09602623910632602
25g,compound,2767143051,50,V2,4.426169485878268,40,6,7.420563,73.57818,35.217449500000015,0.5679964363036806,3.5368383342575704,-0.200925688557141,3.846285723844103,4.709409526439479,0.1310125524755184,6.25,1.823830514121732,0.2918128822594771
