column,protocol,method,strongest_frozen_aulc_reference,gain_percent,seed_wins,median_paired_delta
25g,compound,packing_mass_physical_scale,conditional_EA,-58.15222017150845,0,0.7834565663039337
25g,compound,physics_scale_residual,conditional_EA,-17.134333227037608,1,0.294502126386472
25g,compound,raw_column_conditioned,conditional_EA,-126.5815357898476,0,1.9203349531119844
25g,compound,mass_normalized_column_conditioned,conditional_EA,-109.61407916727055,0,1.4851295297883458
25g,row,packing_mass_physical_scale,conditional_policy,-36.31846166765062,0,0.7099225426359141
25g,row,physics_scale_residual,conditional_policy,-3.52335238849974,3,-0.0636048243685225
25g,row,raw_column_conditioned,conditional_policy,-75.10711286389527,0,1.4578103999393346
25g,row,mass_normalized_column_conditioned,conditional_policy,-25.882193091428118,0,0.5517072864617374
40g,compound,packing_mass_physical_scale,conditional_EA,-26.72616123243412,0,0.8897616118119878
40g,compound,physics_scale_residual,conditional_EA,-8.63692792111732,2,0.2922496497681135
40g,compound,raw_column_conditioned,conditional_EA,-91.64269102680848,0,3.035442759592588
40g,compound,mass_normalized_column_conditioned,conditional_EA,-36.75769691341382,0,0.9184426653792532
40g,row,packing_mass_physical_scale,conditional_EA,-41.49770896530358,0,1.4035512439784017
40g,row,physics_scale_residual,conditional_EA,0.9418764045083501,3,-0.0092639897211523
40g,row,raw_column_conditioned,conditional_EA,-94.308557752916,0,2.834989732926964
40g,row,mass_normalized_column_conditioned,conditional_EA,-26.30450792603163,0,0.8527457406081957
8g,compound,packing_mass_physical_scale,target_head_only,5.87631563125864,3,-0.0455175023556176
8g,compound,physics_scale_residual,target_head_only,-26.6105252844689,2,0.0801003057718418
8g,compound,raw_column_conditioned,target_head_only,-166.37217023601013,0,1.2611824646551186
8g,compound,mass_normalized_column_conditioned,target_head_only,-34.473598473664204,0,0.0901405595774939
8g,row,packing_mass_physical_scale,target_head_only,-8.47705377918091,1,0.0566842854002531
8g,row,physics_scale_residual,target_head_only,-28.017338583940287,0,0.1219277988727269
8g,row,raw_column_conditioned,target_head_only,-124.78182246166409,0,0.791679806290321
8g,row,mass_normalized_column_conditioned,target_head_only,-38.7436860886067,0,0.1399329426048366
