column,matching,dimension,level,target,rows,compounds,ratio_rows,median_ratio,ratio_q25,ratio_q75,packing_mass_ratio
8g,exact,overall,all,V1,52,10,52,1.9790228940738306,1.6610600322004734,2.304476629806185,2.0
8g,exact,overall,all,V2,52,10,52,1.7642771214895734,1.5761890641975063,1.989435107376284,2.0
8g,exact,overall,all,center,52,10,52,1.8700096675838478,1.6619831940394174,2.0584267596258274,2.0
8g,exact,overall,all,width,52,10,50,1.5882922043040226,1.3197608009137936,1.8161796611180026,2.0
8g,exact,EA_bin,high,V1,8,7,8,1.7132328747724896,1.6446973418481523,1.9185196812699248,2.0
8g,exact,EA_bin,high,V2,8,7,8,1.8041771793607957,1.635744416873449,2.0794247787610622,2.0
8g,exact,EA_bin,high,center,8,7,8,1.8508382940582004,1.707544431985956,1.9897351854834286,2.0
8g,exact,EA_bin,high,width,8,7,8,1.7096331236084064,1.3737838674489222,2.35240464344942,2.0
8g,exact,EA_bin,low,V1,17,8,17,2.1420612813370474,1.6408839779005526,2.555555555555556,2.0
8g,exact,EA_bin,low,V2,17,8,17,1.7053399923165582,1.6089328332765092,1.8974719101123594,2.0
8g,exact,EA_bin,low,center,17,8,17,1.8763025210084034,1.7473506743737957,2.049696686887541,2.0
8g,exact,EA_bin,low,width,17,8,17,1.4662447257383968,1.1292194092827001,1.5982711555959968,2.0
8g,exact,EA_bin,mid,V1,27,10,27,1.9776536312849162,1.6991550785763003,2.2089615132503044,2.0
8g,exact,EA_bin,mid,V2,27,10,27,1.7611650485436892,1.5605063584261205,1.9977777777777779,2.0
8g,exact,EA_bin,mid,center,27,10,27,1.8290788013318535,1.6489424636022296,2.0644413691623162,2.0
8g,exact,EA_bin,mid,width,27,10,25,1.6705559368565543,1.3278236914600545,1.8753894080996896,2.0
8g,exact,Flow mL/min,10,V1,52,10,52,1.9790228940738306,1.6610600322004734,2.304476629806185,2.0
8g,exact,Flow mL/min,10,V2,52,10,52,1.7642771214895734,1.5761890641975063,1.989435107376284,2.0
8g,exact,Flow mL/min,10,center,52,10,52,1.8700096675838478,1.6619831940394174,2.0584267596258274,2.0
8g,exact,Flow mL/min,10,width,52,10,50,1.5882922043040226,1.3197608009137936,1.8161796611180026,2.0
8g,exact,loading_bin,50-100,V1,12,2,12,2.0014621728519733,1.9394487258476671,2.307882004476432,2.0
8g,exact,loading_bin,50-100,V2,12,2,12,1.7250442800538868,1.6390959040959039,1.9380323404914308,2.0
8g,exact,loading_bin,50-100,center,12,2,12,1.83426916275883,1.7763510939042095,2.053198525570608,2.0
8g,exact,loading_bin,50-100,width,12,2,12,1.534141756384793,1.3334826214005666,1.7929478293895145,2.0
8g,exact,loading_bin,>100,V1,40,8,40,1.9056720792515454,1.6408670650580675,2.304476629806185,2.0
8g,exact,loading_bin,>100,V2,40,8,40,1.7709192668212532,1.5693715495259082,1.989435107376284,2.0
8g,exact,loading_bin,>100,center,40,8,40,1.910477248982515,1.644992599405061,2.0584267596258274,2.0
8g,exact,loading_bin,>100,width,40,8,38,1.5986401450684737,1.282905289953621,1.8161796611180026,2.0
8g,relaxed,overall,all,V1,57,11,57,2.0085106382978726,1.6774193548387095,2.3328631875881523,2.0
8g,relaxed,overall,all,V2,57,11,57,1.771406431615653,1.6089328332765092,2.0,2.0
8g,relaxed,overall,all,center,57,11,57,1.916911045943304,1.6784506609283738,2.1045891141942366,2.0
8g,relaxed,overall,all,width,57,11,55,1.5783132530120483,1.251237033638318,1.8288662638442936,2.0
8g,relaxed,EA_bin,high,V1,9,8,9,1.7291242362525459,1.6774193548387095,2.0360531309297913,2.0
8g,relaxed,EA_bin,high,V2,9,8,9,1.8140900195694714,1.6607646907877853,2.076847932269619,2.0
8g,relaxed,EA_bin,high,center,9,8,9,1.904043452021726,1.7569721115537846,2.208207604103802,2.0
8g,relaxed,EA_bin,high,width,9,8,9,1.5783132530120483,1.333333333333333,2.3001658374792706,2.0
8g,relaxed,EA_bin,low,V1,19,9,19,2.1420612813370474,1.7372872525593634,2.663953585441189,2.0
8g,relaxed,EA_bin,low,V2,19,9,19,1.7673891944354578,1.646355976603742,1.9479556293575313,2.0
8g,relaxed,EA_bin,low,center,19,9,19,1.9228874106922882,1.7489852033247262,2.1198571828056574,2.0
8g,relaxed,EA_bin,low,width,19,9,19,1.5284260921603832,1.14923359844666,1.6325729297506029,2.0
8g,relaxed,EA_bin,mid,V1,29,11,29,1.980392156862745,1.7359307359307359,2.3031423290203326,2.0
8g,relaxed,EA_bin,mid,V2,29,11,29,1.7611650485436892,1.5779220779220777,1.9955555555555557,2.0
8g,relaxed,EA_bin,mid,center,29,11,29,1.9222156747200942,1.6548828988068933,2.0524121500893386,2.0
8g,relaxed,EA_bin,mid,width,29,11,27,1.6446360153256703,1.2925028300915917,1.8771079693559671,2.0
8g,relaxed,Flow mL/min,10,V1,57,11,57,2.0085106382978726,1.6774193548387095,2.3328631875881523,2.0
8g,relaxed,Flow mL/min,10,V2,57,11,57,1.771406431615653,1.6089328332765092,2.0,2.0
8g,relaxed,Flow mL/min,10,center,57,11,57,1.916911045943304,1.6784506609283738,2.1045891141942366,2.0
8g,relaxed,Flow mL/min,10,width,57,11,55,1.5783132530120483,1.251237033638318,1.8288662638442936,2.0
8g,relaxed,loading_bin,50-100,V1,16,3,16,2.29044501205166,1.9642738169315959,2.803875684887578,2.0
8g,relaxed,loading_bin,50-100,V2,16,3,16,1.7580774997034343,1.6553896818091878,2.0885557751810833,2.0
8g,relaxed,loading_bin,50-100,center,16,3,16,1.9271481898798415,1.7954667191148532,2.15450528703773,2.0
8g,relaxed,loading_bin,50-100,width,16,3,16,1.433689265225285,1.074623007484023,1.7098407922713825,2.0
8g,relaxed,loading_bin,>100,V1,41,8,41,1.9284332688588006,1.6408839779005526,2.3031423290203326,2.0
8g,relaxed,loading_bin,>100,V2,41,8,41,1.7744493392070486,1.5709900230237914,1.9955555555555557,2.0
8g,relaxed,loading_bin,>100,center,41,8,41,1.916911045943304,1.6548828988068933,2.076470588235294,2.0
8g,relaxed,loading_bin,>100,width,41,8,39,1.599009134540951,1.2978780904557656,1.846084470791756,2.0
25g,exact,overall,all,V1,0,0,0,,,,6.25
25g,exact,overall,all,V2,0,0,0,,,,6.25
25g,exact,overall,all,center,0,0,0,,,,6.25
25g,exact,overall,all,width,0,0,0,,,,6.25
25g,relaxed,overall,all,V1,40,8,40,4.599012366611209,3.975124968645859,7.301168173340798,6.25
25g,relaxed,overall,all,V2,40,8,40,3.733603652259034,3.005130014435337,4.379003898820844,6.25
25g,relaxed,overall,all,center,40,8,40,3.8816850642036496,3.4128497604655745,5.202884312061528,6.25
25g,relaxed,overall,all,width,40,8,39,2.830607476635514,2.2769083905822716,3.2419042359211723,6.25
25g,relaxed,EA_bin,high,V1,7,7,7,4.274714828897339,3.9090368975787415,4.612224596985062,6.25
25g,relaxed,EA_bin,high,V2,7,7,7,3.0769576957695772,2.9347256743740364,3.339650379022741,6.25
25g,relaxed,EA_bin,high,center,7,7,7,3.4547703180212013,3.286305647519998,3.5760201646581553,6.25
25g,relaxed,EA_bin,high,width,7,7,7,2.083072100313479,1.9750076085732984,2.604030278232406,6.25
25g,relaxed,EA_bin,low,V1,16,7,16,7.785264853679423,4.626940731828525,9.315345174627353,6.25
25g,relaxed,EA_bin,low,V2,16,7,16,4.498487378861613,3.45597305218285,5.340126867519586,6.25
25g,relaxed,EA_bin,low,center,16,7,16,5.312333315837989,3.815989119259767,6.242969722444983,6.25
25g,relaxed,EA_bin,low,width,16,7,16,2.8270189849545284,2.6927571123710963,3.524351967279705,6.25
25g,relaxed,EA_bin,mid,V1,17,7,17,4.332116788321168,3.817524115755627,5.251141552511416,6.25
25g,relaxed,EA_bin,mid,V2,17,7,17,3.7353420195439746,3.0308219178082187,4.104631217838765,6.25
25g,relaxed,EA_bin,mid,center,17,7,17,3.847826086956522,3.436909394107838,4.4590163934426235,6.25
25g,relaxed,EA_bin,mid,width,17,7,16,3.0020527880930903,2.675584588826114,3.2234005715688334,6.25
25g,relaxed,Flow mL/min,15,V1,40,8,40,4.599012366611209,3.975124968645859,7.301168173340798,6.25
25g,relaxed,Flow mL/min,15,V2,40,8,40,3.733603652259034,3.005130014435337,4.379003898820844,6.25
25g,relaxed,Flow mL/min,15,center,40,8,40,3.8816850642036496,3.4128497604655745,5.202884312061528,6.25
25g,relaxed,Flow mL/min,15,width,40,8,39,2.830607476635514,2.2769083905822716,3.2419042359211723,6.25
25g,relaxed,loading_bin,>100,V1,40,8,40,4.599012366611209,3.975124968645859,7.301168173340798,6.25
25g,relaxed,loading_bin,>100,V2,40,8,40,3.733603652259034,3.005130014435337,4.379003898820844,6.25
25g,relaxed,loading_bin,>100,center,40,8,40,3.8816850642036496,3.4128497604655745,5.202884312061528,6.25
25g,relaxed,loading_bin,>100,width,40,8,39,2.830607476635514,2.2769083905822716,3.2419042359211723,6.25
40g,exact,overall,all,V1,0,0,0,,,,10.0
40g,exact,overall,all,V2,0,0,0,,,,10.0
40g,exact,overall,all,center,0,0,0,,,,10.0
40g,exact,overall,all,width,0,0,0,,,,10.0
40g,relaxed,overall,all,V1,54,10,54,8.067858971441574,6.985796178343949,11.20784507894592,10.0
40g,relaxed,overall,all,V2,54,10,54,6.089573860936821,4.750001639236771,6.906836131762789,10.0
40g,relaxed,overall,all,center,54,10,54,7.050755954927972,5.271525309355159,7.912777763650043,10.0
40g,relaxed,overall,all,width,54,10,53,3.7387116195063226,2.732009925558313,4.923236514522821,10.0
40g,relaxed,EA_bin,high,V1,8,8,8,6.630681818181818,6.349909167668807,7.346079760144571,10.0
40g,relaxed,EA_bin,high,V2,8,8,8,6.018391878158058,4.911803560887413,6.939255564757693,10.0
40g,relaxed,EA_bin,high,center,8,8,8,6.188798057411146,5.475257480349684,7.125937188040294,10.0
40g,relaxed,EA_bin,high,width,8,8,8,5.68140332543166,3.5465067460307607,6.614686358023922,10.0
40g,relaxed,EA_bin,low,V1,22,10,22,11.159982395334765,9.375349101293718,14.468784270719098,10.0
40g,relaxed,EA_bin,low,V2,22,10,22,6.800844837998644,5.78647777108403,8.076536789475707,10.0
40g,relaxed,EA_bin,low,center,22,10,22,7.868413834426496,7.073534940291907,9.505385580664019,10.0
40g,relaxed,EA_bin,low,width,22,10,22,3.9197120932088514,2.540479904383762,4.893609757801825,10.0
40g,relaxed,EA_bin,mid,V1,24,10,24,7.609434654919237,6.656476365868631,8.623303167420815,10.0
40g,relaxed,EA_bin,mid,V2,24,10,24,5.471874412975663,4.223536591801091,6.590173285465612,10.0
40g,relaxed,EA_bin,mid,center,24,10,24,6.321415610643088,4.81490992414665,7.132438414153118,10.0
40g,relaxed,EA_bin,mid,width,24,10,23,3.2843723313407343,2.47355643426179,4.305565627266136,10.0
40g,relaxed,Flow mL/min,30,V1,54,10,54,8.067858971441574,6.985796178343949,11.20784507894592,10.0
40g,relaxed,Flow mL/min,30,V2,54,10,54,6.089573860936821,4.750001639236771,6.906836131762789,10.0
40g,relaxed,Flow mL/min,30,center,54,10,54,7.050755954927972,5.271525309355159,7.912777763650043,10.0
40g,relaxed,Flow mL/min,30,width,54,10,53,3.7387116195063226,2.732009925558313,4.923236514522821,10.0
40g,relaxed,loading_bin,50-100,V1,11,2,11,7.716666666666667,6.942673494138257,9.383846489941089,10.0
40g,relaxed,loading_bin,50-100,V2,11,2,11,5.164698570540709,4.470338869143875,6.27751554007671,10.0
40g,relaxed,loading_bin,50-100,center,11,2,11,5.766863905325444,5.116393092716782,7.200521798637051,10.0
40g,relaxed,loading_bin,50-100,width,11,2,11,2.9332803812549644,2.590905909818359,4.357887760139528,10.0
40g,relaxed,loading_bin,>100,V1,43,8,43,8.130882352941176,6.994340309372157,11.393161338768504,10.0
40g,relaxed,loading_bin,>100,V2,43,8,43,6.351428571428571,5.058697113082276,7.373696682041469,10.0
40g,relaxed,loading_bin,>100,center,43,8,43,7.117669172932332,5.799155769623323,8.042669079096932,10.0
40g,relaxed,loading_bin,>100,width,43,8,42,3.8556152583704995,2.776661114612407,4.893609757801825,10.0
