column,target,normalization,dimension,level,n,mean,median,std,cv
4g,V1,raw,overall,all,3330,8.658909409409409,5.825,7.880842433156792,0.9101426127166647
4g,V1,raw,EA_bin,low,1305,11.552213920817369,6.858333333333333,10.094132699132981,0.8737833949683973
4g,V1,raw,EA_bin,mid,1548,7.430983527131783,5.7,5.766813680674449,0.7760498539148731
4g,V1,raw,EA_bin,high,477,4.728232005590496,4.35,1.9523790055069632,0.41291945978931205
4g,V1,raw,Flow mL/min,4,7,6.3809523809523805,6.173333333333333,1.2835883069734397,0.2011593615406137
4g,V1,raw,Flow mL/min,5,299,7.994843924191751,5.7875,5.347686268242105,0.6688918906922547
4g,V1,raw,Flow mL/min,6,11,6.618636363636364,6.07,1.1330006418998422,0.17118339483412215
4g,V1,raw,Flow mL/min,8,11,6.807272727272727,6.766666666666667,0.7475854736443455,0.10982158400224093
4g,V1,raw,Flow mL/min,10,3002,8.744623029091715,5.808333333333334,8.12129558118494,0.9287187742875729
4g,V1,mass_normalized,overall,all,3330,2.1647273523523523,1.45625,1.970210608289198,0.9101426127166647
4g,V1,mass_normalized,EA_bin,low,1305,2.8880534802043423,1.7145833333333333,2.5235331747832452,0.8737833949683973
4g,V1,mass_normalized,EA_bin,mid,1548,1.8577458817829458,1.425,1.4417034201686123,0.7760498539148731
4g,V1,mass_normalized,EA_bin,high,477,1.182058001397624,1.0875,0.4880947513767408,0.41291945978931205
4g,V1,mass_normalized,Flow mL/min,4,7,1.5952380952380951,1.5433333333333332,0.32089707674335993,0.2011593615406137
4g,V1,mass_normalized,Flow mL/min,5,299,1.9987109810479378,1.446875,1.3369215670605263,0.6688918906922547
4g,V1,mass_normalized,Flow mL/min,6,11,1.654659090909091,1.5175,0.28325016047496054,0.17118339483412215
4g,V1,mass_normalized,Flow mL/min,8,11,1.7018181818181817,1.6916666666666667,0.18689636841108637,0.10982158400224093
4g,V1,mass_normalized,Flow mL/min,10,3002,2.1861557572729287,1.4520833333333334,2.030323895296235,0.9287187742875729
4g,V2,raw,overall,all,3330,18.272832582582584,12.625,16.078923987691372,0.8799360424840528
4g,V2,raw,EA_bin,low,1305,24.44499297573436,17.391666666666666,20.01186525705805,0.8186488446498262
4g,V2,raw,EA_bin,mid,1548,15.480773578811366,11.702083333333334,12.3991826396487,0.8009407654291605
4g,V2,raw,EA_bin,high,477,10.447755066387142,9.141666666666667,4.492766495265057,0.43002218818464955
4g,V2,raw,Flow mL/min,4,7,12.569999999999997,12.09,3.799102720575146,0.3022356977386752
4g,V2,raw,Flow mL/min,5,299,16.447784280936457,12.620833333333334,12.881417770456846,0.7831703985433982
4g,V2,raw,Flow mL/min,6,11,14.393181818181818,14.09,5.134784451526312,0.3567511698518202
4g,V2,raw,Flow mL/min,8,11,13.764848484848484,12.846666666666666,3.862051373050442,0.28057347505870156
4g,V2,raw,Flow mL/min,10,3002,18.498639795691762,12.625,16.418183224478707,0.8875346190752045
4g,V2,mass_normalized,overall,all,3330,4.568208145645646,3.15625,4.019730996922843,0.8799360424840528
4g,V2,mass_normalized,EA_bin,low,1305,6.11124824393359,4.347916666666666,5.002966314264513,0.8186488446498262
4g,V2,mass_normalized,EA_bin,mid,1548,3.8701933947028415,2.9255208333333336,3.099795659912175,0.8009407654291605
4g,V2,mass_normalized,EA_bin,high,477,2.6119387665967855,2.285416666666667,1.1231916238162643,0.43002218818464955
4g,V2,mass_normalized,Flow mL/min,4,7,3.142499999999999,3.0225,0.9497756801437865,0.3022356977386752
4g,V2,mass_normalized,Flow mL/min,5,299,4.111946070234114,3.1552083333333334,3.2203544426142114,0.7831703985433982
4g,V2,mass_normalized,Flow mL/min,6,11,3.5982954545454544,3.5225,1.283696112881578,0.3567511698518202
4g,V2,mass_normalized,Flow mL/min,8,11,3.441212121212121,3.2116666666666664,0.9655128432626106,0.28057347505870156
4g,V2,mass_normalized,Flow mL/min,10,3002,4.6246599489229405,3.15625,4.104545806119677,0.8875346190752045
4g,center,raw,overall,all,3330,13.465870995995996,9.1875,11.737719352924092,0.8716643250491736
4g,center,raw,EA_bin,low,1305,17.998603448275862,12.233333333333334,14.76523220297463,0.8203543261235101
4g,center,raw,EA_bin,mid,1548,11.455878552971576,8.702083333333334,8.849321115198832,0.77246987861122
4g,center,raw,EA_bin,high,477,7.587993535988819,6.841666666666667,2.776535075971603,0.36591162904961316
4g,center,raw,Flow mL/min,4,7,9.47547619047619,9.174999999999999,2.5133076763879263,0.2652434163587529
4g,center,raw,Flow mL/min,5,299,12.221314102564103,9.454166666666666,8.882636733227189,0.7268151901409325
4g,center,raw,Flow mL/min,6,11,10.50590909090909,10.0,2.9401790491242354,0.2798595555779569
4g,center,raw,Flow mL/min,8,11,10.286060606060605,9.806666666666667,2.1887859740970654,0.21279147167453208
4g,center,raw,Flow mL/min,10,3002,13.621631412391737,9.166666666666668,12.027265304666898,0.8829533659034094
4g,center,mass_normalized,overall,all,3330,3.366467748998999,2.296875,2.934429838231023,0.8716643250491736
4g,center,mass_normalized,EA_bin,low,1305,4.4996508620689655,3.0583333333333336,3.6913080507436575,0.8203543261235101
4g,center,mass_normalized,EA_bin,mid,1548,2.863969638242894,2.1755208333333336,2.212330278799708,0.77246987861122
4g,center,mass_normalized,EA_bin,high,477,1.8969983839972047,1.7104166666666667,0.6941337689929008,0.36591162904961316
4g,center,mass_normalized,Flow mL/min,4,7,2.3688690476190475,2.2937499999999997,0.6283269190969816,0.2652434163587529
4g,center,mass_normalized,Flow mL/min,5,299,3.0553285256410256,2.3635416666666664,2.2206591833067972,0.7268151901409325
4g,center,mass_normalized,Flow mL/min,6,11,2.6264772727272727,2.5,0.7350447622810589,0.2798595555779569
4g,center,mass_normalized,Flow mL/min,8,11,2.5715151515151513,2.4516666666666667,0.5471964935242664,0.21279147167453208
4g,center,mass_normalized,Flow mL/min,10,3002,3.4054078530979344,2.291666666666667,3.0068163261667245,0.8829533659034094
4g,width,raw,overall,all,3330,9.613923173173173,6.591666666666667,9.496458586460966,0.9877818259417775
4g,width,raw,EA_bin,low,1305,12.892779054916987,9.516666666666666,11.518862964618918,0.8934352256836287
4g,width,raw,EA_bin,mid,1548,8.049790051679587,5.783333333333331,7.794216029745637,0.96825084625895
