column,protocol,seed,method,normalized_aulc,actual_budget_normalized_aulc,actual_budget_start,actual_budget_end
25g,compound,536279090,affine,0.9685413198874377,0.9687401857608939,33,98
25g,compound,536279090,linear_policy,0.9685413340800474,0.9687401967164752,33,98
25g,compound,536279090,local_identity_shrinkage,0.9568541036523446,0.9567832609712099,33,98
25g,compound,536279090,monotone_spline,0.9629406589298437,0.9632625701257762,33,98
25g,compound,536279090,nonlinear_policy,0.9628381774442886,0.9631577236828622,33,98
25g,compound,536279090,scale_only,1.0761216001167522,1.0768740434994832,33,98
25g,compound,536279090,shared_column_affine,0.9568383783543997,0.9569212291102112,33,98
25g,compound,536279090,target_head_only,2.031680441471284,2.0310669961842964,33,98
25g,compound,769539383,affine,1.6750417974937115,1.6796563060998826,30,98
25g,compound,769539383,linear_policy,1.8034533050094297,1.8035843754115517,30,98
25g,compound,769539383,local_identity_shrinkage,1.6356305850629906,1.6371753378674168,30,98
25g,compound,769539383,monotone_spline,1.6739305101116826,1.6788753568009187,30,98
25g,compound,769539383,nonlinear_policy,1.804021498855747,1.8042277713845876,30,98
25g,compound,769539383,scale_only,1.8101313643503076,1.8111462953925779,30,98
25g,compound,769539383,shared_column_affine,1.6652265898357508,1.6695524151118577,30,98
25g,compound,769539383,target_head_only,3.5026756633950105,3.5017852093024486,30,98
25g,compound,1362771960,affine,2.6113890918111924,2.603923862972806,32,98
25g,compound,1362771960,linear_policy,1.8827253550471152,1.8831992812184735,32,98
25g,compound,1362771960,local_identity_shrinkage,1.904817221254355,1.9028940703014507,32,98
25g,compound,1362771960,monotone_spline,2.639026523238368,2.6313219740442593,32,98
25g,compound,1362771960,nonlinear_policy,1.8827253550471152,1.8831992812184735,32,98
25g,compound,1362771960,scale_only,1.882725351982246,1.8831992780999032,32,98
25g,compound,1362771960,shared_column_affine,1.9773286583289669,1.9759908153724295,32,98
25g,compound,1362771960,target_head_only,3.2241848845646466,3.225072118699746,32,98
25g,compound,1425370602,affine,1.491025462126942,1.489922909587332,33,99
25g,compound,1425370602,linear_policy,1.5217564033010815,1.5192569935519147,33,99
25g,compound,1425370602,local_identity_shrinkage,1.4910254401173697,1.489922892331099,33,99
25g,compound,1425370602,monotone_spline,1.4902450921020045,1.489130445127197,33,99
25g,compound,1425370602,nonlinear_policy,1.4902450921020045,1.489130445127197,33,99
25g,compound,1425370602,scale_only,1.6153037094859863,1.6155099969963307,33,99
25g,compound,1425370602,shared_column_affine,1.4910254401173697,1.489922892331099,33,99
25g,compound,1425370602,target_head_only,3.0056163691187487,3.005017068149333,33,99
25g,compound,2767143051,affine,1.6305672676158751,1.6289027784327994,30,102
25g,compound,2767143051,linear_policy,1.63056726076201,1.6289027716627962,30,102
25g,compound,2767143051,local_identity_shrinkage,1.6305672607620103,1.6289027716627966,30,102
25g,compound,2767143051,monotone_spline,1.6342828314448206,1.6327345686392087,30,102
25g,compound,2767143051,nonlinear_policy,1.6342828314448206,1.6327345686392087,30,102
25g,compound,2767143051,scale_only,1.6528882895805332,1.6522910260606676,30,102
25g,compound,2767143051,shared_column_affine,1.6305672607620103,1.6289027716627966,30,102
25g,compound,2767143051,target_head_only,3.4858973091240704,3.486531968828224,30,102
25g,row,536279090,affine,2.2263484242972766,2.2263484242972766,30,100
25g,row,536279090,linear_policy,2.2263484201884913,2.2263484201884913,30,100
25g,row,536279090,local_identity_shrinkage,2.2263484201884913,2.2263484201884913,30,100
25g,row,536279090,monotone_spline,2.2202867912065773,2.2202867912065773,30,100
25g,row,536279090,nonlinear_policy,2.2202867912065773,2.2202867912065773,30,100
25g,row,536279090,scale_only,2.299389297839229,2.299389297839229,30,100
25g,row,536279090,shared_column_affine,2.2263484201884913,2.2263484201884913,30,100
25g,row,536279090,target_head_only,3.7013582867683357,3.7013582867683357,30,100
25g,row,769539383,affine,1.8789969769480077,1.8789969769480077,30,100
25g,row,769539383,linear_policy,1.8719456024414947,1.8719456024414947,30,100
25g,row,769539383,local_identity_shrinkage,1.8518346257251974,1.8518346257251974,30,100
25g,row,769539383,monotone_spline,1.8742919545231769,1.8742919545231769,30,100
25g,row,769539383,nonlinear_policy,1.867886738660437,1.867886738660437,30,100
25g,row,769539383,scale_only,1.9383260704387801,1.9383260704387801,30,100
25g,row,769539383,shared_column_affine,1.8727413382132823,1.8727413382132823,30,100
25g,row,769539383,target_head_only,3.0487600549444447,3.0487600549444447,30,100
25g,row,1362771960,affine,1.5546903371129157,1.5546903371129157,30,100
25g,row,1362771960,linear_policy,1.554690342762753,1.554690342762753,30,100
25g,row,1362771960,local_identity_shrinkage,1.502327274440154,1.502327274440154,30,100
25g,row,1362771960,monotone_spline,1.5487914102411846,1.5487914102411846,30,100
25g,row,1362771960,nonlinear_policy,1.548971991143679,1.548971991143679,30,100
25g,row,1362771960,scale_only,1.6735982602070831,1.6735982602070831,30,100
25g,row,1362771960,shared_column_affine,1.4981856365526631,1.4981856365526631,30,100
25g,row,1362771960,target_head_only,2.913370636663604,2.913370636663604,30,100
25g,row,1425370602,affine,2.9019943212249912,2.9019943212249912,30,100
25g,row,1425370602,linear_policy,2.421731342927742,2.421731342927742,30,100
25g,row,1425370602,local_identity_shrinkage,2.5623178651827727,2.5623178651827727,30,100
25g,row,1425370602,monotone_spline,2.947799253953892,2.947799253953892,30,100
25g,row,1425370602,nonlinear_policy,2.422406047619506,2.422406047619506,30,100
25g,row,1425370602,scale_only,2.418613035820003,2.418613035820003,30,100
25g,row,1425370602,shared_column_affine,2.736280798376937,2.736280798376937,30,100
25g,row,1425370602,target_head_only,3.9084299393424997,3.9084299393424997,30,100
25g,row,2767143051,affine,1.8793842038990083,1.8793842038990083,30,100
25g,row,2767143051,linear_policy,1.9706737529112965,1.9706737529112965,30,100
25g,row,2767143051,local_identity_shrinkage,1.9616851047932637,1.9616851047932637,30,100
25g,row,2767143051,monotone_spline,1.8785425040879569,1.8785425040879569,30,100
25g,row,2767143051,nonlinear_policy,1.9706737529112965,1.9706737529112965,30,100
25g,row,2767143051,scale_only,1.970673753956549,1.970673753956549,30,100
25g,row,2767143051,shared_column_affine,1.882762156742885,1.882762156742885,30,100
25g,row,2767143051,target_head_only,3.308711620151842,3.308711620151842,30,100
40g,compound,536279090,affine,3.865222130033492,3.8660867714266893,31,100
40g,compound,536279090,linear_policy,3.865222130187918,3.8660867716872693,31,100
40g,compound,536279090,local_identity_shrinkage,3.861530463303953,3.8621543439195682,31,100
40g,compound,536279090,monotone_spline,3.8560100904706505,3.8568400508891827,31,100
40g,compound,536279090,nonlinear_policy,3.8560100904706505,3.8568400508891827,31,100
40g,compound,536279090,scale_only,3.94968791918332,3.9499635670625493,31,100
40g,compound,536279090,shared_column_affine,3.856263716361706,3.8569675550904776,31,100
40g,compound,536279090,target_head_only,7.986357803010227,7.986714024213749,31,100
40g,compound,769539383,affine,3.2064473668035345,3.2251674375154344,28,93
40g,compound,769539383,linear_policy,3.2064474054528818,3.225167481463026,28,93
40g,compound,769539383,local_identity_shrinkage,3.206447405452883,3.2251674814630276,28,93
40g,compound,769539383,monotone_spline,3.202370954410917,3.2213493027999855,28,93
40g,compound,769539383,nonlinear_policy,3.2078728820215034,3.2273773681958056,28,93
40g,compound,769539383,scale_only,3.0428559324595903,3.038244124226178,28,93
40g,compound,769539383,shared_column_affine,3.234375922927229,3.2548024266387623,28,93
40g,compound,769539383,target_head_only,7.986816783968632,7.991069563184891,28,93
40g,compound,1362771960,affine,5.526067696401775,5.608494915806696,28,100
40g,compound,1362771960,linear_policy,5.526067573143881,5.6084947882548555,28,100
40g,compound,1362771960,local_identity_shrinkage,4.618610260591039,4.68213211502383,28,100
40g,compound,1362771960,monotone_spline,5.70324655670993,5.7945996265444,28,100
40g,compound,1362771960,nonlinear_policy,5.70324655670993,5.7945996265444,28,100
40g,compound,1362771960,scale_only,3.8562443317263844,3.8599280328988845,28,100
40g,compound,1362771960,shared_column_affine,3.747137311089678,3.749783193048454,28,100
40g,compound,1362771960,target_head_only,7.474411662059777,7.475694295693671,28,100
40g,compound,1425370602,affine,3.928038108587791,3.949289159613577,29,99
40g,compound,1425370602,linear_policy,3.9280380897307836,3.9492891394310976,29,99
40g,compound,1425370602,local_identity_shrinkage,3.7823155416195213,3.787113985606717,29,99
40g,compound,1425370602,monotone_spline,3.9163373795550065,3.937926811767968,29,99
40g,compound,1425370602,nonlinear_policy,3.9163373795550065,3.937926811767968,29,99
40g,compound,1425370602,scale_only,3.9517933483353676,3.964388612444828,29,99
40g,compound,1425370602,shared_column_affine,3.7932673801840693,3.8061425648045883,29,99
40g,compound,1425370602,target_head_only,7.9984631658258944,7.998806514991276,29,99
40g,compound,2767143051,affine,3.053470694749054,3.0530116866975834,31,99
40g,compound,2767143051,linear_policy,3.0534706977302837,3.053011689610741,31,99
40g,compound,2767143051,local_identity_shrinkage,3.0534706977302837,3.053011689610741,31,99
40g,compound,2767143051,monotone_spline,3.0521018123636745,3.0516339790103664,31,99
40g,compound,2767143051,nonlinear_policy,3.0526173979167317,3.0521508606811873,31,99
40g,compound,2767143051,scale_only,3.2054090640432262,3.204841302202728,31,99
40g,compound,2767143051,shared_column_affine,3.0436766510635254,3.043601723205424,31,99
40g,compound,2767143051,target_head_only,7.148987816108743,7.149088792868965,31,99
40g,row,536279090,affine,2.7018066798714027,2.7018066798714027,30,100
40g,row,536279090,linear_policy,2.701806688595144,2.701806688595144,30,100
40g,row,536279090,local_identity_shrinkage,2.7305749577611422,2.7305749577611422,30,100
40g,row,536279090,monotone_spline,2.677612277726945,2.677612277726945,30,100
40g,row,536279090,nonlinear_policy,2.677612277726945,2.677612277726945,30,100
40g,row,536279090,scale_only,3.205558473625024,3.205558473625024,30,100
40g,row,536279090,shared_column_affine,2.7286211959849362,2.7286211959849362,30,100
40g,row,536279090,target_head_only,6.775436141210098,6.775436141210098,30,100
40g,row,769539383,affine,2.669258602805028,2.669258602805028,30,100
40g,row,769539383,linear_policy,2.669258614764504,2.669258614764504,30,100
40g,row,769539383,local_identity_shrinkage,2.669258614764504,2.669258614764504,30,100
40g,row,769539383,monotone_spline,2.658984798159857,2.658984798159857,30,100
40g,row,769539383,nonlinear_policy,2.659531929171035,2.659531929171035,30,100
40g,row,769539383,scale_only,3.1180657745714058,3.1180657745714058,30,100
40g,row,769539383,shared_column_affine,2.6732198534896336,2.6732198534896336,30,100
40g,row,769539383,target_head_only,8.442559110683485,8.442559110683485,30,100
40g,row,1362771960,affine,4.517427002172536,4.517427002172536,30,100
40g,row,1362771960,linear_policy,4.508138272487225,4.508138272487225,30,100
40g,row,1362771960,local_identity_shrinkage,4.253063982190416,4.253063982190416,30,100
40g,row,1362771960,monotone_spline,4.550498064899924,4.550498064899924,30,100
40g,row,1362771960,nonlinear_policy,4.6523893456971,4.6523893456971,30,100
40g,row,1362771960,scale_only,4.588244089360969,4.588244089360969,30,100
40g,row,1362771960,shared_column_affine,3.9812688368592686,3.9812688368592686,30,100
40g,row,1362771960,target_head_only,9.463065169217405,9.463065169217405,30,100
40g,row,1425370602,affine,2.7330346087179813,2.7330346087179813,30,100
40g,row,1425370602,linear_policy,2.7330346186749,2.7330346186749,30,100
40g,row,1425370602,local_identity_shrinkage,2.799063463966271,2.799063463966271,30,100
40g,row,1425370602,monotone_spline,2.711468391166826,2.711468391166826,30,100
40g,row,1425370602,nonlinear_policy,2.711468391166826,2.711468391166826,30,100
40g,row,1425370602,scale_only,3.1763563726271715,3.1763563726271715,30,100
40g,row,1425370602,shared_column_affine,2.745180777175048,2.745180777175048,30,100
40g,row,1425370602,target_head_only,6.923493013521786,6.923493013521786,30,100
40g,row,2767143051,affine,3.9791347794425627,3.9791347794425627,30,100
40g,row,2767143051,linear_policy,3.9791347450106733,3.9791347450106733,30,100
40g,row,2767143051,local_identity_shrinkage,3.9791347450106733,3.9791347450106733,30,100
40g,row,2767143051,monotone_spline,3.983104151828268,3.983104151828268,30,100
40g,row,2767143051,nonlinear_policy,3.983104151828268,3.983104151828268,30,100
40g,row,2767143051,scale_only,4.086116823368101,4.086116823368101,30,100
40g,row,2767143051,shared_column_affine,3.9791347450106733,3.9791347450106733,30,100
40g,row,2767143051,target_head_only,8.217404878720753,8.217404878720753,30,100
8g,compound,536279090,affine,0.7124782758457107,0.7321018542934412,28,97
8g,compound,536279090,linear_policy,0.6741470958301065,0.6965476587864535,28,97
8g,compound,536279090,local_identity_shrinkage,0.6569715097330745,0.6803418383255353,28,97
8g,compound,536279090,monotone_spline,0.7065904225872223,0.7252310177589253,28,97
8g,compound,536279090,nonlinear_policy,0.6704707824801176,0.6918856672194387,28,97
8g,compound,536279090,scale_only,0.5963892054818972,0.5979416383822993,28,97
8g,compound,536279090,shared_column_affine,0.7016955706685568,0.7214363503053717,28,97
8g,compound,536279090,target_head_only,0.7723091264939904,0.7867930716218068,28,97
8g,compound,769539383,affine,1.339898428274626,1.3454080590665474,31,99
8g,compound,769539383,linear_policy,1.1423387216106746,1.1466728290587946,31,99
8g,compound,769539383,local_identity_shrinkage,1.022085639890671,1.025768333078655,31,99
8g,compound,769539383,monotone_spline,1.4021711660853877,1.409343295997427,31,99
8g,compound,769539383,nonlinear_policy,1.3557251889970623,1.366325754392747,31,99
8g,compound,769539383,scale_only,1.0653369243304462,1.0684920706323733,31,99
8g,compound,769539383,shared_column_affine,1.153934472313378,1.1597113935111936,31,99
8g,compound,769539383,target_head_only,0.7705998064205899,0.7698955037700141,31,99
8g,compound,1362771960,affine,0.5178796983053492,0.5181333100120464,28,97
8g,compound,1362771960,linear_policy,0.5358548533829092,0.5359861087685989,28,97
8g,compound,1362771960,local_identity_shrinkage,0.5427242539754972,0.5428185335631013,28,97
8g,compound,1362771960,monotone_spline,0.5175676628644047,0.5178637548614231,28,97
8g,compound,1362771960,nonlinear_policy,0.538091111209639,0.5382547761290495,28,97
8g,compound,1362771960,scale_only,0.5282931665558824,0.5283148322352093,28,97
8g,compound,1362771960,shared_column_affine,0.5178796986549047,0.5181333104375209,28,97
8g,compound,1362771960,target_head_only,0.5790886146213632,0.5807628662399517,28,97
8g,compound,1425370602,affine,0.8116442772228438,0.8106279568136336,31,97
8g,compound,1425370602,linear_policy,0.6813120171876652,0.6791014744036395,31,97
8g,compound,1425370602,local_identity_shrinkage,0.6441497679532782,0.6434483194078915,31,97
8g,compound,1425370602,monotone_spline,0.8149460423846234,0.8137782263879958,31,97
8g,compound,1425370602,nonlinear_policy,0.6813120171876652,0.6791014744036395,31,97
8g,compound,1425370602,scale_only,0.6813120231430356,0.6791014803089778,31,97
8g,compound,1425370602,shared_column_affine,0.6640767927706615,0.6621909571067652,31,97
8g,compound,1425370602,target_head_only,0.7739658666652007,0.7704622848995797,31,97
8g,compound,2767143051,affine,0.8685526114272771,0.8685149133791661,27,98
8g,compound,2767143051,linear_policy,0.8031170744278499,0.8041951666860518,27,98
8g,compound,2767143051,local_identity_shrinkage,0.7748754054218034,0.7752468126749059,27,98
8g,compound,2767143051,monotone_spline,0.8705335247547344,0.8704039370802762,27,98
8g,compound,2767143051,nonlinear_policy,0.8031170744278499,0.8041951666860518,27,98
8g,compound,2767143051,scale_only,0.8031170649367206,0.8041951571167256,27,98
8g,compound,2767143051,shared_column_affine,0.8613819016992753,0.8614829644998896,27,98
8g,compound,2767143051,target_head_only,0.7290753362990107,0.7290374532225223,27,98
8g,row,536279090,affine,0.7978646818390313,0.7978646818390313,30,100
8g,row,536279090,linear_policy,0.7048045508720842,0.7048045508720842,30,100
8g,row,536279090,local_identity_shrinkage,0.7304559188933202,0.7304559188933202,30,100
8g,row,536279090,monotone_spline,0.8051629817445745,0.8051629817445745,30,100
8g,row,536279090,nonlinear_policy,0.7117322316756406,0.7117322316756406,30,100
8g,row,536279090,scale_only,0.6268265319081385,0.6268265319081385,30,100
8g,row,536279090,shared_column_affine,0.7172311080251392,0.7172311080251392,30,100
8g,row,536279090,target_head_only,0.5382549520604002,0.5382549520604002,30,100
8g,row,769539383,affine,0.953310966571907,0.953310966571907,30,100
8g,row,769539383,linear_policy,0.9552686674964298,0.9552686674964298,30,100
8g,row,769539383,local_identity_shrinkage,0.8909028525330681,0.8909028525330681,30,100
8g,row,769539383,monotone_spline,0.9528066260904475,0.9528066260904475,30,100
8g,row,769539383,nonlinear_policy,0.9552686674964298,0.9552686674964298,30,100
8g,row,769539383,scale_only,0.9552686559917961,0.9552686559917961,30,100
8g,row,769539383,shared_column_affine,0.9310628184704263,0.9310628184704263,30,100
8g,row,769539383,target_head_only,0.7560289977317982,0.7560289977317982,30,100
8g,row,1362771960,affine,0.7736122531641931,0.7736122531641931,30,100
