protocol,seed,method,normalized_aulc,actual_budget_normalized_aulc,actual_total_budget_start,actual_total_budget_end
compound,536279090,affine,1.8487472419222135,1.8504176653403739,92,295
compound,536279090,linear_policy,1.8359701866993572,1.8377247480187335,92,295
compound,536279090,local_identity_shrinkage,1.8251186922297906,1.8267714454587571,92,295
compound,536279090,monotone_spline,1.841847057329239,1.8434522574034367,92,295
compound,536279090,nonlinear_policy,1.8297730167983521,1.8314653041977926,92,295
compound,536279090,scale_only,1.87406624159399,1.8740341599199009,92,295
compound,536279090,shared_column_affine,1.8382658884615541,1.8397068405405357,92,295
compound,536279090,target_head_only,3.596782456991834,3.598032767447827,92,295
compound,769539383,affine,2.073795864190624,2.0853768070601633,89,290
compound,769539383,linear_policy,2.050746477357662,2.057208211774171,89,290
compound,769539383,local_identity_shrinkage,1.954721210135515,1.9623921276732132,89,290
compound,769539383,monotone_spline,2.0928242102026626,2.1065130346369165,89,290
compound,769539383,nonlinear_policy,2.122539856624771,2.1360892689063817,89,290
compound,769539383,scale_only,1.9727747403801146,1.9749862644373926,89,290
compound,769539383,shared_column_affine,2.017845661692119,2.0272217952307483,89,290
compound,769539383,target_head_only,4.086697417928077,4.0866692444128825,89,290
compound,1362771960,affine,2.8851121621727716,2.910157736608686,88,295
compound,1362771960,linear_policy,2.648215927191302,2.670576350331052,88,295
compound,1362771960,local_identity_shrinkage,2.355383911940297,2.367989243128274,88,295
compound,1362771960,monotone_spline,2.9532802476042335,2.980557520260353,88,295
compound,1362771960,nonlinear_policy,2.7080210076555615,2.732498768990996,88,295
compound,1362771960,scale_only,2.0890876167548376,2.0908582561558675,88,295
compound,1362771960,shared_column_affine,2.08078188935785,2.0826240252381436,88,295
compound,1362771960,target_head_only,3.759228387081929,3.7606557808876198,88,295
compound,1425370602,affine,2.0769026159791926,2.0767110576937142,93,295
compound,1425370602,linear_policy,2.0437021700731766,2.0436864158091153,93,295
compound,1425370602,local_identity_shrinkage,1.9724969165633894,1.9725143220231127,93,295
compound,1425370602,monotone_spline,2.0738428380138783,2.0736581497319984,93,295
compound,1425370602,nonlinear_policy,2.0292981629482254,2.029122746401491,93,295
compound,1425370602,scale_only,2.08280302698813,2.0828118014357964,93,295
compound,1425370602,shared_column_affine,1.9827898710240333,1.9827194696406694,93,295
compound,1425370602,target_head_only,3.926015133869948,3.925885369309651,93,295
compound,2767143051,affine,1.850863524597402,1.8508248043984306,88,299
compound,2767143051,linear_policy,1.8290516776400478,1.82884640479556,88,299
compound,2767143051,local_identity_shrinkage,1.819637787971366,1.8194814993052524,88,299
compound,2767143051,monotone_spline,1.8523060561877434,1.8522839151533887,88,299
compound,2767143051,nonlinear_policy,1.830005767929801,1.8298103119174784,88,299
compound,2767143051,scale_only,1.88713813952016,1.8865639563349506,88,299
compound,2767143051,shared_column_affine,1.8452086045082703,1.845224753589697,88,299
compound,2767143051,target_head_only,3.7879868205106084,3.7879711678748684,88,299
row,536279090,affine,1.9086732620025697,1.9086732620025697,90,300
row,536279090,linear_policy,1.8776532198852398,1.8776532198852398,90,300
row,536279090,local_identity_shrinkage,1.895793098947651,1.895793098947651,90,300
row,536279090,monotone_spline,1.9010206835593657,1.9010206835593657,90,300
row,536279090,nonlinear_policy,1.8698771002030543,1.8698771002030543,90,300
row,536279090,scale_only,2.043924767790797,2.043924767790797,90,300
row,536279090,shared_column_affine,1.8907335747328553,1.8907335747328553,90,300
row,536279090,target_head_only,3.6716831266796115,3.6716831266796115,90,300
row,769539383,affine,1.8338555154416472,1.8338555154416472,90,300
row,769539383,linear_policy,1.8321576282341427,1.8321576282341427,90,300
row,769539383,local_identity_shrinkage,1.8039986976742561,1.8039986976742561,90,300
row,769539383,monotone_spline,1.8286944595911607,1.8286944595911607,90,300
row,769539383,nonlinear_policy,1.8275624451093004,1.8275624451093004,90,300
row,769539383,scale_only,2.0038868336673272,2.0038868336673272,90,300
row,769539383,shared_column_affine,1.8256746700577808,1.8256746700577808,90,300
row,769539383,target_head_only,4.082449387786576,4.082449387786576,90,300
row,1362771960,affine,2.281909864149881,2.281909864149881,90,300
row,1362771960,linear_policy,2.2775157546110814,2.2775157546110814,90,300
row,1362771960,local_identity_shrinkage,2.174615214405213,2.174615214405213,90,300
row,1362771960,monotone_spline,2.290872184099749,2.290872184099749,90,300
row,1362771960,nonlinear_policy,2.323693328474681,2.323693328474681,90,300
row,1362771960,scale_only,2.3267597726746123,2.3267597726746123,90,300
row,1362771960,shared_column_affine,2.0785663111637582,2.0785663111637582,90,300
row,1362771960,target_head_only,4.343014804423248,4.343014804423248,90,300
row,1425370602,affine,2.1003179500469646,2.1003179500469646,90,300
row,1425370602,linear_policy,1.9317944143250905,1.9317944143250905,90,300
row,1425370602,local_identity_shrinkage,1.9989531281988864,1.9989531281988864,90,300
row,1425370602,monotone_spline,2.1079607228412307,2.1079607228412307,90,300
row,1425370602,nonlinear_policy,1.9247946745318516,1.9247946745318516,90,300
row,1425370602,scale_only,2.0706612128617983,2.0706612128617983,90,300
row,1425370602,shared_column_affine,2.0491288327444375,2.0491288327444375,90,300
row,1425370602,target_head_only,3.818154190283114,3.818154190283114,90,300
row,2767143051,affine,2.204488196567904,2.204488196567904,90,300
row,2767143051,linear_policy,2.2267807531322497,2.2267807531322497,90,300
row,2767143051,local_identity_shrinkage,2.2288765937221666,2.2288765937221666,90,300
row,2767143051,monotone_spline,2.2056428064489575,2.2056428064489575,90,300
row,2767143051,nonlinear_policy,2.2280952106596974,2.2280952106596974,90,300
row,2767143051,scale_only,2.262505903192802,2.262505903192802,90,300
row,2767143051,shared_column_affine,2.191676724825659,2.191676724825659,90,300
row,2767143051,target_head_only,4.117194769888056,4.117194769888056,90,300
