seed,fold,n_train,n_valid,H_lambda,J_latent_lambda_C,J_latent_lambda_W,BAL_latent_lambda_C,BAL_latent_lambda_W
769539383,0,547,137,0.1,1000.0,1000.0,1.0,10.0
769539383,1,547,137,10.0,1000.0,1000.0,10.0,1.0
769539383,2,547,137,1.0,1000.0,1000.0,1.0,1.0
769539383,3,547,137,10.0,1000.0,1000.0,10.0,1.0
769539383,4,548,136,100.0,100.0,10.0,1.0,1.0
1425370602,0,544,137,100.0,100.0,1000.0,1.0,1.0
1425370602,1,545,136,100.0,100.0,100.0,1.0,1.0
1425370602,2,545,136,10.0,1000.0,1000.0,1.0,1.0
1425370602,3,545,136,100.0,10.0,1000.0,1.0,1.0
1425370602,4,545,136,0.0,100.0,1000.0,1.0,1.0
536279090,0,539,135,10.0,100.0,1000.0,1.0,1.0
536279090,1,539,135,100.0,100.0,1000.0,1.0,1.0
536279090,2,539,135,100.0,100.0,1000.0,1.0,1.0
536279090,3,539,135,100.0,100.0,1000.0,1.0,1.0
536279090,4,540,134,10.0,1000.0,1000.0,1.0,1.0
2767143051,0,543,136,0.01,100.0,1000.0,1.0,1.0
2767143051,1,543,136,100.0,1000.0,1000.0,1.0,1.0
2767143051,2,543,136,100.0,1000.0,100.0,1.0,1.0
2767143051,3,543,136,10.0,100.0,1000.0,1.0,1.0
2767143051,4,544,135,100.0,1000.0,100.0,1.0,1.0
1362771960,0,540,136,10.0,1000.0,10.0,1.0,1.0
1362771960,1,541,135,100.0,1000.0,1000.0,1.0,1.0
1362771960,2,541,135,100.0,100.0,100.0,1.0,1.0
1362771960,3,541,135,0.1,1000.0,1000.0,10.0,10.0
1362771960,4,541,135,100.0,1000.0,1000.0,1.0,1.0
