column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,row,769539383,OLD_HIER_REFERENCE,7.2677545871349905,4.7885183869338785,0.5092712487037443,9.523017377871808,6.862655588773307,0.6456065918529627,0.7751140998492767,0.7751140998492767,0.7573499106620705,0.7573499106620705,True
25g,row,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,7.211193199790533,4.813142321965496,0.5168797312925775,9.428123939913092,6.756730211385598,0.652634208015288,0.7685882371463578,0.7685882371463578,0.7508095276107285,0.7508095276107285,True
25g,row,769539383,CORRECTED_JOINT_FULL128,7.62105163215136,5.0651304749214106,0.4604014130739995,9.519031589316082,7.17431983145988,0.6459031872556333,0.8018821289040778,0.8018821289040778,0.7796442427670673,0.7796442427670673,True
25g,row,769539383,BALANCED_JOINT_FULL128,7.364552804067501,4.8399643806963715,0.49611230074543766,9.396647578520575,7.038332455948395,0.6549497396478438,0.7794758392799866,0.7794758392799866,0.7595619329616058,0.7595619329616058,True
25g,row,769539383,A2_HIER_SHRINK_ORIGINAL,7.262720506432269,4.778422404161477,0.5099508293212069,9.210667157137832,6.688043257034653,0.668473186935532,0.7673934333515449,0.7673934333515449,0.7473159842893633,0.7473159842893633,True
25g,row,769539383,A3_HIER_SHRINK_BALANCED,7.364552804067501,4.8399643806963715,0.49611230074543766,9.396647578520575,7.038332455948395,0.6549497396478438,0.7794758392799866,0.7794758392799866,0.7595619329616058,0.7595619329616058,True
25g,row,769539383,paper_style_current_v2,7.1011461415706005,4.545999385542168,0.5315126196096889,9.190250155537898,6.66714374698795,0.6699413284459579,0.7546365488755138,0.7546365488755138,0.736428365297984,0.736428365297984,True
25g,row,1425370602,OLD_HIER_REFERENCE,10.526361802329081,4.548268541089906,-0.38328750974708625,14.641986236804458,7.923257556555859,0.26156807088052114,1.1432636657046187,1.1432636657046187,1.123329750712052,1.123329750712052,True
25g,row,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,10.280940468713712,4.5013465371128145,-0.3195369566061801,14.124504429713335,7.626886805950842,0.3128415099971976,1.1122637052453548,1.1122637052453548,1.0916623114520787,1.0916623114520787,True
25g,row,1425370602,CORRECTED_JOINT_FULL128,9.994556917464463,4.629711505871777,-0.24704739782354435,14.096611823342458,7.392422523955285,0.3155527862115559,1.0903429277829961,1.0903429277829961,1.072622484293203,1.072622484293203,True
25g,row,1425370602,BALANCED_JOINT_FULL128,9.226760006076907,4.230040673254137,-0.06280678498274117,14.112907192078898,7.498536497821196,0.3139694601806573,1.0348386217212215,1.0348386217212215,1.0244091048512007,1.0244091048512007,True
25g,row,1425370602,A2_HIER_SHRINK_ORIGINAL,10.011482015848093,4.385480810321162,-0.25127455290281353,13.941894475003677,7.3129995753519665,0.3304946359802262,1.0877417781286933,1.0877417781286933,1.0688845509956841,1.0688845509956841,True
25g,row,1425370602,A3_HIER_SHRINK_BALANCED,9.226760006076907,4.230040673254137,-0.06280678498274117,14.112907192078898,7.498536497821196,0.3139694601806573,1.0348386217212215,1.0348386217212215,1.0244091048512007,1.0244091048512007,True
