column,metric,rank,method,mean
25g,V1_rmse,1,P2,7.137096831569534
25g,V1_rmse,2,P0,7.278276395948441
25g,V1_rmse,3,P3,7.330284678168977
25g,V1_rmse,4,P1,7.359090549835178
25g,V1_rmse,5,paper_style_current_v2,7.408778452536362
25g,V1_rmse,6,BALANCED_JOINT_FULL128,7.6940308534859
25g,V1_rmse,7,HIER_CW_SHARED_LAMBDA_CORRECTED,8.008652907527093
25g,V1_mae,1,P0,4.397483203828008
25g,V1_mae,2,P2,4.45662747899972
25g,V1_mae,3,paper_style_current_v2,4.461541322827197
25g,V1_mae,4,P1,4.465860504793531
25g,V1_mae,5,HIER_CW_SHARED_LAMBDA_CORRECTED,4.521092862090997
25g,V1_mae,6,BALANCED_JOINT_FULL128,4.535961291906186
25g,V1_mae,7,P3,4.607023940503434
25g,V1_r2,1,P2,0.4178750981118302
25g,V1_r2,2,P3,0.37998904428893
25g,V1_r2,3,P0,0.37712725231615163
25g,V1_r2,4,P1,0.3582190283978464
25g,V1_r2,5,paper_style_current_v2,0.34896827044561574
25g,V1_r2,6,BALANCED_JOINT_FULL128,0.2842413661795046
25g,V1_r2,7,HIER_CW_SHARED_LAMBDA_CORRECTED,0.19085009704113454
25g,V2_rmse,1,P2,10.354648206071511
25g,V2_rmse,2,P1,10.707509668572806
25g,V2_rmse,3,P0,10.89464701168197
25g,V2_rmse,4,BALANCED_JOINT_FULL128,10.99678166227093
25g,V2_rmse,5,HIER_CW_SHARED_LAMBDA_CORRECTED,11.030658392976019
25g,V2_rmse,6,paper_style_current_v2,11.111435026814735
25g,V2_rmse,7,P3,11.158181594514199
25g,V2_mae,1,P0,6.891243018403974
25g,V2_mae,2,P1,6.915764972390631
25g,V2_mae,3,P2,6.917961050164706
25g,V2_mae,4,paper_style_current_v2,6.967134604367942
25g,V2_mae,5,BALANCED_JOINT_FULL128,7.044621574444477
25g,V2_mae,6,HIER_CW_SHARED_LAMBDA_CORRECTED,7.113326321128009
25g,V2_mae,7,P3,7.124400042841131
25g,V2_r2,1,P2,0.5933716965961099
25g,V2_r2,2,P1,0.5599358498573643
25g,V2_r2,3,P0,0.5460236902592933
25g,V2_r2,4,BALANCED_JOINT_FULL128,0.5339128339619093
25g,V2_r2,5,HIER_CW_SHARED_LAMBDA_CORRECTED,0.5303895131685155
25g,V2_r2,6,paper_style_current_v2,0.5249340692568047
25g,V2_r2,7,P3,0.5160844542936015
25g,combined_nrmse_train_only,1,P2,0.6455173908625833
25g,combined_nrmse_train_only,2,P1,0.6657138981187272
25g,combined_nrmse_train_only,3,P0,0.6663591840537612
25g,combined_nrmse_train_only,4,P3,0.6774077305558567
25g,combined_nrmse_train_only,5,paper_style_current_v2,0.6787632658970104
25g,combined_nrmse_train_only,6,BALANCED_JOINT_FULL128,0.6910031204791311
25g,combined_nrmse_train_only,7,HIER_CW_SHARED_LAMBDA_CORRECTED,0.70874399221372
40g,V1_rmse,1,paper_style_current_v2,13.109113220539323
40g,V1_rmse,2,BALANCED_JOINT_FULL128,13.424520186269191
40g,V1_rmse,3,P1,13.944371812061409
40g,V1_rmse,4,P3,14.064402348310733
40g,V1_rmse,5,HIER_CW_SHARED_LAMBDA_CORRECTED,14.347636790579804
40g,V1_rmse,6,P0,15.533457967345786
40g,V1_rmse,7,P2,15.617440901066345
40g,V1_mae,1,paper_style_current_v2,7.987240874441571
40g,V1_mae,2,BALANCED_JOINT_FULL128,8.16541452422462
40g,V1_mae,3,P3,8.878245806400383
40g,V1_mae,4,HIER_CW_SHARED_LAMBDA_CORRECTED,8.93790154292206
40g,V1_mae,5,P1,8.94838627770594
40g,V1_mae,6,P2,10.159468579560345
40g,V1_mae,7,P0,10.831885958437741
40g,V1_r2,1,paper_style_current_v2,0.7208965438625761
40g,V1_r2,2,BALANCED_JOINT_FULL128,0.7030563937763268
40g,V1_r2,3,P1,0.6857290793858704
40g,V1_r2,4,P3,0.6759627142593553
40g,V1_r2,5,HIER_CW_SHARED_LAMBDA_CORRECTED,0.6635666947102248
40g,V1_r2,6,P0,0.6125585112889926
40g,V1_r2,7,P2,0.6098625300827849
40g,V2_rmse,1,paper_style_current_v2,15.896779294423913
40g,V2_rmse,2,BALANCED_JOINT_FULL128,16.559184285711762
40g,V2_rmse,3,P1,16.605513433306964
40g,V2_rmse,4,P3,16.939538353970754
40g,V2_rmse,5,HIER_CW_SHARED_LAMBDA_CORRECTED,17.43547005500208
40g,V2_rmse,6,P0,18.356241113626304
40g,V2_rmse,7,P2,18.712714182059585
40g,V2_mae,1,paper_style_current_v2,10.642956748434866
40g,V2_mae,2,P1,11.325968241611111
40g,V2_mae,3,BALANCED_JOINT_FULL128,11.444343748242797
40g,V2_mae,4,P3,11.448437430139846
40g,V2_mae,5,HIER_CW_SHARED_LAMBDA_CORRECTED,12.555552825918983
40g,V2_mae,6,P0,13.254001106563218
40g,V2_mae,7,P2,13.304714440229883
40g,V2_r2,1,paper_style_current_v2,0.7971981107993977
40g,V2_r2,2,BALANCED_JOINT_FULL128,0.7796651118437274
40g,V2_r2,3,P1,0.7788611281547471
40g,V2_r2,4,P3,0.7640187531470917
40g,V2_r2,5,HIER_CW_SHARED_LAMBDA_CORRECTED,0.7566239823911433
40g,V2_r2,6,P0,0.7298419129382988
40g,V2_r2,7,P2,0.7198797126496576
40g,combined_nrmse_train_only,1,paper_style_current_v2,0.4590760513933699
40g,combined_nrmse_train_only,2,BALANCED_JOINT_FULL128,0.4738358510932093
40g,combined_nrmse_train_only,3,P1,0.4841440062488195
40g,combined_nrmse_train_only,4,P3,0.4902470207799398
40g,combined_nrmse_train_only,5,HIER_CW_SHARED_LAMBDA_CORRECTED,0.502962258988091
40g,combined_nrmse_train_only,6,P0,0.5374043060378774
40g,combined_nrmse_train_only,7,P2,0.5436479390928974
