column,protocol,target,ratio_partial_source_rho,ratio_partial_source_compound_rho,relative_standardized_contrast
25g,compound,V1,-0.45738813321981225,-0.6184275259188837,-0.3504967607742465
25g,compound,V2,-0.09601761623984814,-0.2999791509990456,-0.011207742647187102
25g,row,V1,-0.5192568634508866,-0.5955966484537899,-0.2884650326530155
25g,row,V2,-0.13301064362972176,-0.16730883383543924,-0.06983059407780315
40g,compound,V1,-0.5939653668168399,-0.7218856455047458,-0.41062634717668345
40g,compound,V2,-0.23751041621402114,-0.2572924801571626,-0.09522723792881926
40g,row,V1,-0.6114194494910494,-0.7915233726112716,-0.4191376735048478
40g,row,V2,-0.18822183210733517,-0.4350831483605299,-0.13527518298113225
8g,compound,V1,-0.40940009614271844,-0.5653064940926423,-0.25446471651975083
8g,compound,V2,0.016678156304760078,-0.2614350649061671,-0.03861506826585692
8g,row,V1,-0.4105582745081103,-0.5829819433356797,-0.19513437696819308
8g,row,V2,0.02119467984012088,-0.4338610596055833,-0.05814258363381817
