column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
25g,compound,536279090,30,33,scale_only,0.822360866985842,10.348993123665016,8.530301619577532,0.8999161104300903,12.950319296987166,10.258237054363239,1.089465163681119,True,1.0594619014085573
25g,compound,536279090,30,33,affine,0.8514810102859336,9.462802350872293,7.23829056331457,0.9228778447428582,11.368102159386385,8.946330400252066,0.9854499294916851,True,0.9540201134942472
25g,compound,536279090,30,33,local_identity_shrinkage,0.8514809677378161,9.46280370633666,7.238291783019065,0.922877832356524,11.368103072282986,8.946330942191146,0.985450054681203,True,0.9540202278968426
25g,compound,536279090,30,33,target_head_only,0.5357914915710598,16.729591019691327,9.743535160377357,0.40667731614242986,31.531444370935635,19.863562018867928,2.0438381719811898,True,2.0422364376359665
25g,compound,536279090,30,33,conditional_EA,0.8675282505139379,8.936972300337382,6.34565939124708,0.9081924257067291,12.403311338717673,9.390582552161064,0.9699509617833644,True,0.9528501477539038
25g,compound,536279090,30,33,additive_EA_control,0.8563647788432021,9.305918605534465,7.084029630269611,0.9106316922533513,12.237428178852815,9.282794208847418,0.9935285059344289,True,0.9711022809640515
25g,compound,536279090,30,33,conditional_policy,0.8514809691853025,9.462803660223784,7.238291652838605,0.9228778335588559,11.368102983668825,8.94633089100112,0.9854500491377364,True,0.9540202222147584
25g,compound,536279090,30,33,additive_policy,0.8514809691853025,9.462803660223784,7.238291652838605,0.9228778335588559,11.368102983668825,8.94633089100112,0.9854500491377364,True,0.9540202222147584
25g,compound,536279090,50,48,scale_only,0.8233657919400414,10.319678885695058,6.557842445210972,0.9097376903046478,12.298484835542281,9.162034063912857,1.0724811364503657,True,1.0373288953578679
25g,compound,536279090,50,48,affine,0.8176922734806866,10.484103834326197,6.843600481383983,0.9253530720908524,11.18418541460798,8.088493655333156,1.061668785181986,True,1.013106265370752
25g,compound,536279090,50,48,local_identity_shrinkage,0.8306768704811431,10.103850678634796,6.5468606524900625,0.9323799105603553,10.644769438272558,7.976554962434043,1.0204496725972911,True,0.9722009565438383
25g,compound,536279090,50,48,target_head_only,0.5178220464597728,17.05031671794091,10.259736349056604,0.40290551482947334,31.631509590428987,20.74078614622642,2.068030025522376,True,2.0657000898644178
25g,compound,536279090,50,48,conditional_EA,0.8422376211346455,9.752826517247662,6.02177319583915,0.9230913902913226,11.35235253206061,8.78575013600513,1.0076201546448347,True,0.9719336248848335
25g,compound,536279090,50,48,additive_EA_control,0.8457575953512886,9.643410842201446,5.99089497291892,0.9320052951197979,10.674214735608633,8.173577987921336,0.9845359709043952,True,0.9438997530622018
25g,compound,536279090,50,48,conditional_policy,0.8422376211346455,9.752826517247662,6.02177319583915,0.9230913902913226,11.35235253206061,8.78575013600513,1.0076201546448347,True,0.9719336248848335
