column,protocol,seed,method,normalized_aulc,actual_budget_aulc
25g,compound,536279090,additive_EA_control,0.9414294313138255,0.9404799809214321
25g,compound,536279090,additive_policy,0.9568541045938815,0.9567832621449287
25g,compound,536279090,affine,0.9685413198874377,0.9687401857608939
25g,compound,536279090,conditional_EA,0.9526725388731825,0.9526820248197185
25g,compound,536279090,conditional_policy,0.9567777247406679,0.9567051196797177
25g,compound,536279090,local_identity_shrinkage,0.9568541036523446,0.9567832609712099
25g,compound,536279090,scale_only,1.0761216001167522,1.0768740434994832
25g,compound,536279090,target_head_only,2.031680441471284,2.0310669961842964
25g,compound,769539383,additive_EA_control,1.6338647004029658,1.6354498370534338
25g,compound,769539383,additive_policy,1.7046180121549102,1.702132357255322
25g,compound,769539383,affine,1.6750417974937115,1.6796563060998826
25g,compound,769539383,conditional_EA,1.635532958378654,1.6356477144785722
25g,compound,769539383,conditional_policy,1.635532958378654,1.6356477144785722
25g,compound,769539383,local_identity_shrinkage,1.6356305850629906,1.6371753378674168
25g,compound,769539383,scale_only,1.8101313643503076,1.8111462953925779
25g,compound,769539383,target_head_only,3.5026756633950105,3.5017852093024486
25g,compound,1362771960,additive_EA_control,1.8260250648693306,1.8245110578352077
25g,compound,1362771960,additive_policy,1.8827253476035335,1.8831992737843555
25g,compound,1362771960,affine,2.6113890918111924,2.603923862972806
25g,compound,1362771960,conditional_EA,1.8327754578842006,1.8301893098878814
25g,compound,1362771960,conditional_policy,1.8547381298143897,1.8554947551647991
25g,compound,1362771960,local_identity_shrinkage,1.904817221254355,1.9028940703014507
25g,compound,1362771960,scale_only,1.882725351982246,1.8831992780999032
25g,compound,1362771960,target_head_only,3.2241848845646466,3.225072118699746
25g,compound,1425370602,additive_EA_control,1.4553569916240574,1.4543949348081007
25g,compound,1425370602,additive_policy,1.4585797870632407,1.4577275982736198
25g,compound,1425370602,affine,1.491025462126942,1.489922909587332
25g,compound,1425370602,conditional_EA,1.3967534126298629,1.3953763992694777
25g,compound,1425370602,conditional_policy,1.3967534126298629,1.3953763992694777
25g,compound,1425370602,local_identity_shrinkage,1.4910254401173697,1.489922892331099
25g,compound,1425370602,scale_only,1.6153037094859863,1.6155099969963307
25g,compound,1425370602,target_head_only,3.0056163691187487,3.005017068149333
25g,compound,2767143051,additive_EA_control,1.5935505789692055,1.5909994054897028
25g,compound,2767143051,additive_policy,1.6115921350424796,1.6092600752532864
25g,compound,2767143051,affine,1.6305672676158751,1.6289027784327994
25g,compound,2767143051,conditional_EA,1.575712457239144,1.571671663587301
25g,compound,2767143051,conditional_policy,1.575712457239144,1.571671663587301
25g,compound,2767143051,local_identity_shrinkage,1.6305672607620103,1.6289027716627966
25g,compound,2767143051,scale_only,1.6528882895805332,1.6522910260606676
25g,compound,2767143051,target_head_only,3.4858973091240704,3.486531968828224
25g,row,536279090,additive_EA_control,2.1540907445931485,2.1540907445931485
