column,protocol,seed,budget,actual_budget,gradient_train_rows,validation_rows,test_rows,test_labels_used_for_fit_or_selection
25g,compound,536279090,30,33,26,7,106,0
25g,compound,536279090,50,48,41,7,106,0
25g,compound,536279090,70,71,64,7,106,0
25g,compound,536279090,100,98,91,7,106,0
25g,compound,769539383,30,30,22,8,111,0
25g,compound,769539383,50,52,44,8,111,0
25g,compound,769539383,70,70,62,8,111,0
25g,compound,769539383,100,98,90,8,111,0
25g,compound,1362771960,30,32,24,8,107,0
25g,compound,1362771960,50,52,44,8,107,0
25g,compound,1362771960,70,70,62,8,107,0
25g,compound,1362771960,100,98,90,8,107,0
25g,compound,1425370602,30,33,25,8,101,0
25g,compound,1425370602,50,47,39,8,101,0
25g,compound,1425370602,70,72,64,8,101,0
25g,compound,1425370602,100,99,91,8,101,0
25g,compound,2767143051,30,30,22,8,87,0
25g,compound,2767143051,50,48,40,8,87,0
25g,compound,2767143051,70,69,61,8,87,0
25g,compound,2767143051,100,102,94,8,87,0
25g,row,536279090,30,30,22,8,98,0
25g,row,536279090,50,50,42,8,98,0
25g,row,536279090,70,70,62,8,98,0
25g,row,536279090,100,100,92,8,98,0
25g,row,769539383,30,30,22,8,98,0
25g,row,769539383,50,50,42,8,98,0
25g,row,769539383,70,70,62,8,98,0
25g,row,769539383,100,100,92,8,98,0
25g,row,1362771960,30,30,22,8,98,0
25g,row,1362771960,50,50,42,8,98,0
25g,row,1362771960,70,70,62,8,98,0
25g,row,1362771960,100,100,92,8,98,0
25g,row,1425370602,30,30,22,8,98,0
25g,row,1425370602,50,50,42,8,98,0
25g,row,1425370602,70,70,62,8,98,0
25g,row,1425370602,100,100,92,8,98,0
25g,row,2767143051,30,30,22,8,98,0
25g,row,2767143051,50,50,42,8,98,0
25g,row,2767143051,70,70,62,8,98,0
25g,row,2767143051,100,100,92,8,98,0
40g,compound,536279090,30,31,24,7,105,0
40g,compound,536279090,50,52,45,7,105,0
40g,compound,536279090,70,72,65,7,105,0
40g,compound,536279090,100,100,93,7,105,0
40g,compound,769539383,30,28,21,7,96,0
40g,compound,769539383,50,49,42,7,96,0
40g,compound,769539383,70,69,62,7,96,0
40g,compound,769539383,100,93,86,7,96,0
40g,compound,1362771960,30,28,21,7,109,0
40g,compound,1362771960,50,49,42,7,109,0
40g,compound,1362771960,70,72,65,7,109,0
40g,compound,1362771960,100,100,93,7,109,0
40g,compound,1425370602,30,29,22,7,100,0
40g,compound,1425370602,50,52,45,7,100,0
40g,compound,1425370602,70,72,65,7,100,0
40g,compound,1425370602,100,99,92,7,100,0
40g,compound,2767143051,30,31,24,7,99,0
40g,compound,2767143051,50,50,43,7,99,0
40g,compound,2767143051,70,71,64,7,99,0
40g,compound,2767143051,100,99,92,7,99,0
40g,row,536279090,30,30,22,8,106,0
40g,row,536279090,50,50,42,8,106,0
40g,row,536279090,70,70,62,8,106,0
40g,row,536279090,100,100,92,8,106,0
40g,row,769539383,30,30,22,8,106,0
40g,row,769539383,50,50,42,8,106,0
40g,row,769539383,70,70,62,8,106,0
40g,row,769539383,100,100,92,8,106,0
40g,row,1362771960,30,30,22,8,106,0
40g,row,1362771960,50,50,42,8,106,0
40g,row,1362771960,70,70,62,8,106,0
40g,row,1362771960,100,100,92,8,106,0
40g,row,1425370602,30,30,22,8,106,0
40g,row,1425370602,50,50,42,8,106,0
40g,row,1425370602,70,70,62,8,106,0
40g,row,1425370602,100,100,92,8,106,0
40g,row,2767143051,30,30,22,8,106,0
40g,row,2767143051,50,50,42,8,106,0
40g,row,2767143051,70,70,62,8,106,0
40g,row,2767143051,100,100,92,8,106,0
8g,compound,536279090,30,28,21,7,121,0
8g,compound,536279090,50,53,46,7,121,0
8g,compound,536279090,70,67,60,7,121,0
8g,compound,536279090,100,97,90,7,121,0
8g,compound,769539383,30,31,24,7,114,0
8g,compound,769539383,50,51,44,7,114,0
8g,compound,769539383,70,72,65,7,114,0
8g,compound,769539383,100,99,92,7,114,0
8g,compound,1362771960,30,28,21,7,115,0
8g,compound,1362771960,50,48,41,7,115,0
8g,compound,1362771960,70,69,62,7,115,0
8g,compound,1362771960,100,97,90,7,115,0
8g,compound,1425370602,30,31,24,7,117,0
8g,compound,1425370602,50,52,45,7,117,0
8g,compound,1425370602,70,63,56,7,117,0
8g,compound,1425370602,100,97,90,7,117,0
8g,compound,2767143051,30,27,20,7,109,0
8g,compound,2767143051,50,47,40,7,109,0
8g,compound,2767143051,70,71,64,7,109,0
8g,compound,2767143051,100,98,91,7,109,0
8g,row,536279090,30,30,22,8,115,0
8g,row,536279090,50,50,42,8,115,0
8g,row,536279090,70,70,62,8,115,0
8g,row,536279090,100,100,92,8,115,0
8g,row,769539383,30,30,22,8,115,0
8g,row,769539383,50,50,42,8,115,0
8g,row,769539383,70,70,62,8,115,0
8g,row,769539383,100,100,92,8,115,0
8g,row,1362771960,30,30,22,8,115,0
8g,row,1362771960,50,50,42,8,115,0
8g,row,1362771960,70,70,62,8,115,0
8g,row,1362771960,100,100,92,8,115,0
8g,row,1425370602,30,30,22,8,115,0
8g,row,1425370602,50,50,42,8,115,0
8g,row,1425370602,70,70,62,8,115,0
8g,row,1425370602,100,100,92,8,115,0
8g,row,2767143051,30,30,22,8,115,0
8g,row,2767143051,50,50,42,8,115,0
8g,row,2767143051,70,70,62,8,115,0
8g,row,2767143051,100,100,92,8,115,0
