column,protocol,method,reference,relative_gain,mean_delta,median_delta,std_delta,wins,seeds,material
25g,compound,conditional_EA,scale_only,0.0800932996614575,-0.12874469810215627,-0.12344906124356969,0.06903553598795344,5,5,True
25g,compound,conditional_EA,affine,0.11736530679306001,-0.19662362278602297,-0.05485481037673101,0.326589950039204,5,5,True
25g,compound,conditional_EA,local_identity_shrinkage,0.029590616140429904,-0.04508955716880525,-0.0548548035228662,0.04164863290732322,5,5,False
25g,compound,conditional_EA,target_head_only,0.5151855526998684,-1.5713215685337434,-1.6088629564888859,0.34586447846527946,5,5,True
25g,compound,conditional_EA,additive_policy,0.029013901249117957,-0.044184512290600275,-0.049949889719332896,0.025659880422434802,5,5,False
25g,compound,additive_EA_control,scale_only,0.07302863138327942,-0.11738870966728812,-0.13469216880292667,0.05619210439041041,5,5,True
25g,compound,additive_EA_control,affine,0.11058687881115292,-0.18526763435115481,-0.03701668864666963,0.33550307598336554,5,5,True
25g,compound,additive_EA_control,local_identity_shrinkage,0.022138099066170036,-0.03373356873393709,-0.0356684484933123,0.029163107792289932,5,5,False
25g,compound,additive_EA_control,target_head_only,0.51146229115021,-1.559965580098875,-1.5502593774946913,0.3364408533200851,5,5,True
25g,compound,additive_EA_control,additive_policy,0.021556955139395262,-0.032828523855732115,-0.018041556073274068,0.029181321059279064,5,5,False
25g,compound,conditional_policy,scale_only,0.07684988726949282,-0.12353112654262137,-0.11934387537608426,0.07571574108357174,5,5,True
25g,compound,conditional_policy,affine,0.11425330826052205,-0.19141005122648808,-0.05485481037673101,0.31738274993093774,5,5,True
25g,compound,conditional_policy,local_identity_shrinkage,0.02616914109330759,-0.039875985609270345,-0.05007909143996536,0.04016753744861601,5,5,False
25g,compound,conditional_policy,target_head_only,0.5134761911030912,-1.5661079969742082,-1.6088629564888859,0.3502845399195588,5,5,True
25g,compound,conditional_policy,additive_policy,0.02559039281727915,-0.03897094073106537,-0.03587967780333545,0.02771378536150149,5,5,False
25g,compound,additive_policy,scale_only,0.05260569484779476,-0.084560185811556,-0.10551335219539748,0.06299491665322134,5,5,True
25g,compound,additive_policy,affine,0.09099142166669638,-0.1524391104954227,-0.01897513257339556,0.32294990363873255,4,5,True
25g,compound,additive_policy,local_identity_shrinkage,0.0005939476291718648,-0.0009050448782049747,-0.01897512571953075,0.04079214460282108,3,5,False
25g,compound,additive_policy,target_head_only,0.500698879290015,-1.527137056243143,-1.547036582055508,0.32915831676582125,5,5,True
25g,row,conditional_EA,scale_only,0.04550567054985022,-0.09374714581981318,-0.11392158910904993,0.1277888316617999,4,5,False
25g,row,conditional_EA,affine,0.05837806631726694,-0.12190991486392422,-0.046031375334051106,0.14846891814810634,5,5,True
25g,row,conditional_EA,local_identity_shrinkage,0.02698285343720863,-0.05452972023346012,-0.046031371225265794,0.03770305801184559,5,5,False
25g,row,conditional_EA,target_head_only,0.4175653174148114,-1.4097531697416295,-1.451959455304343,0.1258433681820927,5,5,True
25g,row,conditional_EA,additive_policy,0.0024221575475268375,-0.004774429473007169,-0.028817442457238274,0.07375667593834104,3,5,False
25g,row,additive_EA_control,scale_only,0.038699735717311,-0.07972610278326978,-0.10913701991308544,0.12613312157610815,4,5,False
25g,row,additive_EA_control,affine,0.051663916929678644,-0.1078888718273808,-0.07225767970412811,0.15831021189832212,4,5,True
25g,row,additive_EA_control,local_identity_shrinkage,0.02004484334524248,-0.04050867719691671,-0.031203347782804425,0.02027559357527365,5,5,False
25g,row,additive_EA_control,target_head_only,0.4134123199882379,-1.3957321267050862,-1.3773154219425314,0.12131988665498639,5,5,True
25g,row,additive_EA_control,additive_policy,-0.004690980348250662,0.009246613563536243,0.0,0.06861802272955712,1,5,False
25g,row,conditional_policy,scale_only,0.053179149926575575,-0.10955543479529709,-0.09376870865539777,0.08562743882581246,5,5,True
25g,row,conditional_policy,affine,0.065948060465843,-0.1377182038394081,-0.03443961516462535,0.20938504512911849,4,5,True
25g,row,conditional_policy,local_identity_shrinkage,0.03480524355203607,-0.07033800920894402,-0.07752939405542203,0.0681275647907011,4,5,False
25g,row,conditional_policy,target_head_only,0.42224769256069794,-1.4255614587171137,-1.4750098573315111,0.12541785366346742,5,5,True
25g,row,conditional_policy,additive_policy,0.010441998802264263,-0.020582718448491067,-0.012256356905889998,0.035565777497746365,3,5,False
25g,row,additive_policy,scale_only,0.04318812143662454,-0.08897271634680601,-0.07304086840240442,0.08282720021300677,5,5,False
25g,row,additive_policy,affine,0.05609177187834935,-0.11713548539091705,-0.04980792642231302,0.21596033593668332,3,5,False
25g,row,additive_policy,local_identity_shrinkage,0.02462033020831844,-0.04975529076045295,-0.027724835808749848,0.058490857703881884,4,5,False
25g,row,additive_policy,target_head_only,0.41615114350042604,-1.4049787402686225,-1.459755313821634,0.11340654385888488,5,5,True
40g,compound,conditional_EA,scale_only,0.05116054845697471,-0.18423927087791786,-0.23631581685348824,0.1116685524096822,5,5,True
40g,compound,conditional_EA,affine,0.12740285073560143,-0.4988903510434695,-0.1927272336782182,0.8233909529317078,5,5,True
40g,compound,conditional_EA,local_identity_shrinkage,0.07761316658024442,-0.2875160254678762,-0.10105509232872256,0.4354211400568935,5,5,True
40g,compound,conditional_EA,target_head_only,0.5573318367562704,-4.302048597922995,-4.196572210707182,0.39923183924052397,5,5,True
40g,compound,conditional_EA,additive_policy,0.07761316432232623,-0.28751601639966207,-0.10105513456039006,0.4354211358061647,5,5,True
40g,compound,additive_EA_control,scale_only,-0.008220976652401735,0.029605365658201953,-0.11985808374194562,0.3149252322665502,4,5,False
40g,compound,additive_EA_control,affine,0.07279282219478822,-0.28504571450734967,-0.09610284399436919,0.4523028877162909,5,5,True
40g,compound,additive_EA_control,local_identity_shrinkage,0.019887134193837253,-0.07367138893175636,-0.04576390893649318,0.0993612725252032,4,5,False
40g,compound,additive_EA_control,target_head_only,0.5296281924695245,-4.088203961386875,-4.166527901232472,0.6827927640482025,5,5,True
40g,compound,additive_EA_control,additive_policy,0.0198871317946111,-0.07367137986354226,-0.04576388918236329,0.09936125935955761,4,5,False
40g,compound,conditional_policy,scale_only,-0.0286784403703213,0.10327674552174422,-0.08815747563349685,0.39185878826380593,3,5,False
40g,compound,conditional_policy,affine,0.0539791814967685,-0.21137433464380742,-0.00369168648366891,0.39412313358652884,3,5,False
40g,compound,conditional_policy,local_identity_shrinkage,2.447907987424003e-09,-9.068214090746097e-09,-1.5095459993119675e-08,3.0297540546399914e-08,4,5,False
40g,compound,conditional_policy,target_head_only,0.5200840405332725,-4.014532581523333,-4.124827359460404,0.7050773058236447,5,5,True
40g,compound,conditional_policy,additive_policy,0.0,0.0,0.0,0.0,0,5,False
40g,compound,additive_policy,scale_only,-0.0286784403703213,0.10327674552174422,-0.08815747563349685,0.39185878826380593,3,5,False
40g,compound,additive_policy,affine,0.0539791814967685,-0.21137433464380742,-0.00369168648366891,0.39412313358652884,3,5,False
40g,compound,additive_policy,local_identity_shrinkage,2.447907987424003e-09,-9.068214090746097e-09,-1.5095459993119675e-08,3.0297540546399914e-08,4,5,False
40g,compound,additive_policy,target_head_only,0.5200840405332725,-4.014532581523333,-4.124827359460404,0.7050773058236447,5,5,True
40g,row,conditional_EA,scale_only,0.15004089529835285,-0.5453788950304563,-0.5913058844980741,0.1933772556238248,5,5,True
40g,row,conditional_EA,affine,0.06946799093460798,-0.23064292292182403,-0.14249871273169612,0.2098334409921307,5,5,True
40g,row,conditional_EA,local_identity_shrinkage,0.059865070439558576,-0.19672974105852337,-0.166924984089031,0.08849925390413789,5,5,True
40g,row,conditional_EA,target_head_only,0.6120872073430808,-4.874902250990628,-4.3494565343556,0.7925443248443231,5,5,True
40g,row,conditional_EA,additive_policy,0.04498367239832424,-0.1455227262157061,-0.16269124148440106,0.07066449599166749,5,5,False
40g,row,additive_EA_control,scale_only,0.11538867923155027,-0.41942265309195037,-0.4396283711292073,0.14068855963673474,5,5,True
40g,row,additive_EA_control,affine,0.03153087601126303,-0.10468668098331806,-0.06548053165093393,0.15223189853644883,4,5,False
40g,row,additive_EA_control,local_identity_shrinkage,0.021536451414397306,-0.07077349912001737,-0.07467369239416666,0.05737336476403322,4,5,False
40g,row,additive_EA_control,target_head_only,0.5962722842110522,-4.748946009052122,-4.312943826104247,0.7368394657182281,5,5,True
40g,row,additive_EA_control,additive_policy,0.006048349571240674,-0.019566484277200136,0.0,0.04375198892450034,1,5,False
40g,row,conditional_policy,scale_only,0.1408562445734668,-0.511993899202362,-0.5913058844980741,0.2075197649997242,5,5,True
40g,row,conditional_policy,affine,0.05941267010291684,-0.1972579270937298,-0.14249871273169612,0.2458289102985473,4,5,True
40g,row,conditional_policy,local_identity_shrinkage,0.0497059805321578,-0.16334474523042913,-0.1424987246911722,0.12606540719605866,5,5,False
40g,row,conditional_policy,target_head_only,0.6078954250648974,-4.841517255162533,-4.3494565343556,0.8260772614276979,5,5,True
40g,row,conditional_policy,additive_policy,0.03466377423256051,-0.11213773038761188,-0.16269124148440106,0.10766029158579511,4,5,False
40g,row,additive_policy,scale_only,0.11000568248278841,-0.3998561688147502,-0.428614643013673,0.13166394314644553,5,5,True
40g,row,additive_policy,affine,0.025637591555917272,-0.08512019670611792,-0.03466039125153131,0.16433686052759253,3,5,False
40g,row,additive_policy,local_identity_shrinkage,0.015582349339100743,-0.05120701484281724,-0.06342866914127088,0.04727546970641679,4,5,False
40g,row,additive_policy,target_head_only,0.5938155385980872,-4.729379524774922,-4.312943826104247,0.7542961438394646,5,5,True
8g,compound,conditional_EA,scale_only,-0.023696358310979937,0.01741420910261615,0.0005411183579521195,0.03706170408900295,2,5,False
8g,compound,conditional_EA,affine,0.11503099260996541,-0.09778677222294878,-0.07071146368447156,0.09949925748925635,4,5,True
8g,compound,conditional_EA,local_identity_shrinkage,-0.03315552486368456,0.024142570597347722,0.022163759832641627,0.03153391180189997,1,5,False
8g,compound,conditional_EA,target_head_only,-0.03764944014517835,0.027296135892181606,-0.05025432970752863,0.18081428280078468,3,5,False
8g,compound,conditional_EA,additive_policy,-0.019421482063889384,0.01433249807411483,-0.0025489414900019547,0.0353087802749811,3,5,False
8g,compound,additive_EA_control,scale_only,0.00733053782757187,-0.005387136575531293,-0.026722171498574476,0.05012142732081863,3,5,False
8g,compound,additive_EA_control,affine,0.14185324439899316,-0.12058811790109622,-0.09215771798913097,0.13015383564369964,4,5,True
8g,compound,additive_EA_control,local_identity_shrinkage,-0.0018419337732504815,0.001341224919200279,0.0013990973576665233,0.008933036067107884,2,5,False
8g,compound,additive_EA_control,target_head_only,-0.006199644367131274,0.004494790214034161,-0.04285920077374572,0.15504157357834975,3,5,False
8g,compound,additive_EA_control,additive_policy,0.011475848173361003,-0.008468847604032614,0.0,0.019212980892456637,2,5,False
8g,compound,conditional_policy,scale_only,-0.024417432564118435,0.017944119127518608,0.007561677351692886,0.03798531756890328,2,5,False
8g,compound,conditional_policy,affine,0.11440763553647992,-0.09725686219804633,-0.08088935949132336,0.1006138437222831,4,5,True
8g,compound,conditional_policy,local_identity_shrinkage,-0.03388326199239344,0.024672480622250182,0.017175575872613202,0.02999775947379047,1,5,False
8g,compound,conditional_policy,target_head_only,-0.03838034271115687,0.027826045917084062,-0.04323377071378787,0.17851500341568458,3,5,False
8g,compound,conditional_policy,additive_policy,-0.0201395451671178,0.014862408099017288,0.0011173657231383638,0.03315545912743498,2,5,False
8g,compound,additive_policy,scale_only,-0.004193433552563297,0.0030817110285013215,2.8543383989720894e-08,0.04679986286949287,2,5,False
8g,compound,additive_policy,affine,0.13189095682155572,-0.11211927029706362,-0.09352550103063495,0.1271457994894939,4,5,True
8g,compound,additive_policy,local_identity_shrinkage,-0.013472389037741062,0.009810072523232894,0.0013990973576665233,0.018037375691021686,1,5,False
8g,compound,additive_policy,target_head_only,-0.017880688608195028,0.012963637818066776,-0.04435113643692623,0.14593274021770997,3,5,False
8g,row,conditional_EA,scale_only,-0.03463404189297514,0.0252708915770679,0.009128566455637865,0.07740590357489086,2,5,False
8g,row,conditional_EA,affine,0.043346492003108916,-0.03420609030043233,-0.030944378034906017,0.028166408270616356,4,5,False
8g,row,conditional_EA,local_identity_shrinkage,-0.0009352259926100892,0.0007053663622796691,-0.0004605414886055259,0.024538824257845437,3,5,False
8g,row,conditional_EA,target_head_only,-0.11185248232529821,0.07594559813509458,0.12121310463110002,0.1263896046478751,2,5,False
8g,row,conditional_EA,additive_policy,-0.0068542669163769165,0.005139235838192202,0.0035653518244264104,0.024425082074016977,1,5,False
8g,row,additive_EA_control,scale_only,-0.030573216497962852,0.022307891226491638,0.025361745580906647,0.0589638099806407,1,5,False
8g,row,additive_EA_control,affine,0.047101252335944754,-0.037169090651008596,-0.023548944478794964,0.03328543664714963,5,5,False
8g,row,additive_EA_control,local_identity_shrinkage,0.0029933352376356748,-0.0022576339882965923,-0.001634395295788349,0.006574986653114147,4,5,False
8g,row,additive_EA_control,target_head_only,-0.10748858300155928,0.07298259778451832,0.11475482832360273,0.10408634096366945,1,5,False
8g,row,additive_EA_control,additive_policy,-0.0029024740982228625,0.0021762354876159406,0.0,0.007139331108871046,2,5,False
8g,row,conditional_policy,scale_only,-0.03191819229236237,0.02328925914130462,0.01445699901942854,0.06225035036683547,1,5,False
8g,row,conditional_policy,affine,0.04585764758316746,-0.03618772273619562,-0.03445369104027307,0.02899528626471967,4,5,False
8g,row,conditional_policy,local_identity_shrinkage,0.0016921663255256014,-0.0012762660734836118,7.354898245992558e-09,0.004915658763562097,2,5,False
8g,row,conditional_policy,target_head_only,-0.10893393915177318,0.07396396569933131,0.12121310463110002,0.11201555401745698,1,5,False
8g,row,conditional_policy,additive_policy,-0.00421133748629865,0.003157603402428921,0.004025900667930182,0.00225028906770907,0,5,False
8g,row,additive_policy,scale_only,-0.02759066122019549,0.0201316557388757,0.01445699901942854,0.06162564192232091,1,5,False
