column,protocol,method,reference,relative_gain,mean_delta,median_delta,std_delta,wins,seeds,material
25g,compound,conditional_EA,scale_only,0.10020081756920618,-0.16034329699428698,-0.14721972617692658,0.058761651716380876,5,5,True
25g,compound,conditional_EA,affine,0.05491896585071099,-0.08367167080597189,-0.08350224372950077,0.11992129535155188,4,5,True
25g,compound,conditional_EA,local_identity_shrinkage,0.03996256495525008,-0.0599363546851686,-0.0835022384977584,0.08147026029140417,4,5,False
25g,compound,conditional_EA,target_head_only,0.5264462846199002,-1.6007000377512484,-1.6464237340257724,0.34383229126875303,5,5,True
25g,compound,conditional_EA,additive_policy,0.03283404216376529,-0.04888194613803019,-0.058308296018274364,0.06631753926445838,4,5,False
25g,compound,additive_EA_control,scale_only,0.0892760831371634,-0.1428613244903111,-0.14965414687433576,0.04475614553289072,5,5,True
25g,compound,additive_EA_control,affine,0.04344445074062919,-0.06618969830199602,-0.04449708898434279,0.0905879905321917,4,5,False
25g,compound,additive_EA_control,local_identity_shrinkage,0.028306459651453397,-0.042454382181192726,-0.04449708375260042,0.04313840696457363,4,5,False
25g,compound,additive_EA_control,target_head_only,0.5206967255173249,-1.5832180652472725,-1.588115438007498,0.3419066981773721,5,5,True
25g,compound,additive_EA_control,additive_policy,0.021091387305456566,-0.031399973634054314,-0.022945197093999337,0.03740736154106945,3,5,False
25g,compound,conditional_policy,scale_only,0.09828969146722277,-0.1572850758380354,-0.14272783972240966,0.05930823086130553,5,5,True
25g,compound,conditional_policy,affine,0.052911663479116355,-0.08061344964972031,-0.08350224372950077,0.12227300563647826,3,5,False
25g,compound,conditional_policy,local_identity_shrinkage,0.03792349597539313,-0.05687813352891702,-0.0835022384977584,0.08381828283562502,3,5,False
25g,compound,conditional_policy,target_head_only,0.5254404814542324,-1.5976418165949968,-1.6464237340257724,0.34965286168128146,5,5,True
25g,compound,conditional_policy,additive_policy,0.030779832576713573,-0.0458237249817786,-0.058308296018274364,0.06856821525957986,3,5,False
25g,compound,additive_policy,scale_only,0.06965379091314938,-0.11146135085625679,-0.14272783972240966,0.07936264811735651,5,5,True
25g,compound,additive_policy,affine,0.022834678483054316,-0.0347897246679417,-1.1129901889006533e-08,0.06058226279991148,3,5,False
25g,compound,additive_policy,local_identity_shrinkage,0.00737052698528895,-0.011054408547138416,-5.8981595163487555e-09,0.02785537519036601,3,5,False
25g,compound,additive_policy,target_head_only,0.5103697441548245,-1.5518180916132185,-1.588115438007498,0.35023461696246494,5,5,True
25g,row,conditional_EA,scale_only,0.05764836724845035,-0.11715995597775689,-0.11107885051379718,0.047951857111539674,5,5,True
25g,row,conditional_EA,affine,0.02547821973694553,-0.050070589517131434,-0.053031970687566155,0.05162662906007143,4,5,False
25g,row,conditional_EA,local_identity_shrinkage,0.030266907897756323,-0.05977519682131276,-0.05303196978003788,0.023544038272733596,5,5,False
25g,row,conditional_EA,target_head_only,0.43011912897190663,-1.4454725675460582,-1.4491779024956868,0.1457310689732668,5,5,True
