canonical_smiles,MolWt,MolLogP,TPSA,HBD,HBA,RotatableBonds,RingCount
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,335.2440000000001,5.998100000000004,0.0,0,0,3,3
BrCCCc1ccccc1,199.09100000000004,3.014100000000001,0.0,0,0,3,1
BrCc1ccccc1CBr,263.96,3.4764000000000017,0.0,0,0,2,1
Brc1ccc(Br)c2ccccc12,285.966,4.364800000000002,0.0,0,0,0,2
Brc1ccc2c(c1)OCO2,201.01899999999995,2.1777999999999995,18.46,0,2,0,2
Brc1ccc2occc2c1,197.03099999999998,3.1953000000000014,13.14,0,1,0,2
Brc1ccccc1-c1ccccc1,233.108,4.116100000000002,0.0,0,0,1,2
C/C(=N\O)c1ccccc1,135.16599999999997,1.8848,32.59,1,2,1,1
C1=Cc2ccccc2C1,116.16299999999997,2.2559000000000005,0.0,0,0,0,2
C=C(C)C(=O)OCCOC(=O)CC(C)=O,214.21699999999996,0.6279999999999999,69.67,0,5,6,0
C=CC(=O)OC1CCCCC1,154.20899999999997,2.0483000000000002,26.3,0,2,2,1
C=CC(=O)OCC(CC)CCCC,184.27899999999994,2.9320000000000013,26.3,0,2,7,0
C=CC(=O)OCCCCCCCCCCCC,240.38699999999992,4.636500000000004,26.3,0,2,12,0
C=CC(=O)OCCOc1ccccc1,192.21400000000003,1.7946,35.53,0,3,5,1
C=CC(=O)OCc1ccccc1,162.188,1.9158,26.3,0,2,3,1
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,208.30099999999996,2.9304000000000014,26.3,0,2,2,2
CC(=O)CC(=O)OC(C)(C)C,158.19699999999997,1.3072,43.370000000000005,0,3,2,0
CC(=O)CC(=O)c1ccccc1,162.188,1.8484,34.14,0,2,3,1
CC(=O)CCCCl,120.57900000000001,1.5944,17.07,0,1,3,0
CC(=O)c1c(C)cc(C)cc1C,162.23199999999997,2.8144600000000013,17.07,0,1,1,1
CC(=O)c1ccc(Br)cc1,199.04699999999997,2.651700000000001,17.07,0,1,1,1
CC(=O)c1ccc(C)cc1,134.17799999999997,2.1976200000000006,17.07,0,1,1,1
CC(=O)c1ccc(C)cc1C,148.20499999999996,2.5060400000000005,17.07,0,1,1,1
CC(=O)c1ccc(F)cc1,138.141,2.0282999999999998,17.07,0,1,1,1
CC(=O)c1ccc(I)cc1,246.04699999999997,2.493800000000001,17.07,0,1,1,1
