column,protocol,target,neighbor_rho,neighbor_scale_residual_rho,condition_halves_rho,condition_halves_compounds,source_error_partial_rho
25g,compound,V1,-0.0782831677406173,-0.22262938554791303,0.29296703296703297,13.8,
25g,compound,V2,0.20245033464722056,-0.15616212251105097,0.3485714285714286,13.8,
25g,row,V1,0.00237993517174106,0.0030968888998062216,,2.0,
25g,row,V2,-0.0931716748544162,-0.13455938195087744,,2.0,
40g,compound,V1,-0.23302145074572297,-0.22366690528963112,0.2512087912087912,13.6,
40g,compound,V2,-0.06393758351328972,-0.2289087310906311,0.2628571428571429,13.6,
40g,row,V1,0.05026809036554396,0.06540516254655254,,1.0,
40g,row,V2,0.1461563923481275,0.02787395378506948,,1.0,
8g,compound,V1,-0.4208601185286752,-0.44433224683816236,0.07736263736263735,13.4,0.2956133553657172
8g,compound,V2,-0.2695619552889729,-0.10993027690502237,0.22571428571428567,13.4,0.1821985631735852
8g,row,V1,-0.011585045479244212,0.027780922628329124,,1.8,0.2336965311666516
8g,row,V2,0.1212778664419735,0.052022439976421364,,1.8,0.2059402209079801
