column,protocol,target,dimension,level,seeds_with_observations,mean_rows_when_present,mean_compounds_when_present,ratio_median,scale_rmse,scale_mae,affine_rmse,affine_mae
25g,compound,V1,pair_status,same_compound_condition_different,5,87.2,15.2,4.835223175667902,15.209919864446857,10.44476332483141,14.7794020423791,9.169244509059682
25g,compound,V1,pair_status,source_absent,4,19.0,1.0,4.0004440818577525,11.278330515119341,9.879346787121547,9.164385927003032,6.943376176065916
25g,compound,V1,relaxed_pair_status,relaxed_paired,5,54.4,9.4,5.069810666481667,15.704237292681011,10.258031223606931,15.046985954760448,8.987808177809852
25g,compound,V1,relaxed_pair_status,same_compound_condition_different,5,32.8,7.0,4.698162939838802,14.53433007615607,11.036269670962662,14.35678841789194,9.685436301523143
25g,compound,V1,relaxed_pair_status,source_absent,4,19.0,1.0,4.0004440818577525,11.278330515119341,9.879346787121547,9.164385927003032,6.943376176065916
25g,compound,V2,pair_status,same_compound_condition_different,5,87.2,15.2,3.627902219092473,22.10967487728309,15.136110771344594,21.466908736936404,13.537262361006222
25g,compound,V2,pair_status,source_absent,4,19.0,1.0,2.9194236284018578,15.607976189430184,14.672620099313356,8.574869775297845,7.383096130230794
25g,compound,V2,relaxed_pair_status,relaxed_paired,5,54.4,9.4,3.709546666086291,22.384715565984205,14.936399314063454,20.597741357485326,13.122418310625912
25g,compound,V2,relaxed_pair_status,same_compound_condition_different,5,32.8,7.0,3.59738541871321,21.413954507128885,15.438073214191538,22.130498468068787,14.022417013712332
25g,compound,V2,relaxed_pair_status,source_absent,4,19.0,1.0,2.9194236284018578,15.607976189430184,14.672620099313356,8.574869775297845,7.383096130230794
25g,row,V1,pair_status,same_compound_condition_different,5,93.8,58.4,4.785797678245766,19.191740171258978,10.80450507822704,18.937579284866043,9.884052115574923
25g,row,V1,pair_status,source_absent,5,4.2,1.0,4.178305810933443,9.341997841448896,8.064677566854954,7.202889507721784,5.612423511039442
25g,row,V1,relaxed_pair_status,relaxed_paired,5,61.6,38.8,4.940770005345155,20.53887058453277,11.159986758366326,19.7510528983771,10.093069966884219
25g,row,V1,relaxed_pair_status,same_compound_condition_different,5,32.2,20.8,4.643637412371822,15.379154160127689,10.05309465423897,16.09117815208881,9.41838344776723
25g,row,V1,relaxed_pair_status,source_absent,5,4.2,1.0,4.178305810933443,9.341997841448896,8.064677566854954,7.202889507721784,5.612423511039442
25g,row,V2,pair_status,same_compound_condition_different,5,93.8,58.4,3.63648570350095,27.28370289269431,15.982837721804794,25.7478392604997,14.75564589768214
25g,row,V2,pair_status,source_absent,5,4.2,1.0,2.937707474730184,13.129527352510399,12.51533460717396,6.473478381886807,5.5656166995701195
25g,row,V2,relaxed_pair_status,relaxed_paired,5,61.6,38.8,3.6541912030562536,28.906185871892212,15.925357484463678,26.427802153537186,14.58284866476772
25g,row,V2,relaxed_pair_status,same_compound_condition_different,5,32.2,20.8,3.606760218769435,22.931031251777295,15.890178964752616,23.455120607048713,14.981218389320821
25g,row,V2,relaxed_pair_status,source_absent,5,4.2,1.0,2.937707474730184,13.129527352510399,12.51533460717396,6.473478381886807,5.5656166995701195
40g,compound,V1,pair_status,same_compound_condition_different,5,101.8,16.0,8.534834952520708,34.73907024976175,24.33405967164422,33.574458247136974,20.075574241892436
40g,compound,V1,relaxed_pair_status,relaxed_paired,5,83.2,14.2,8.425861103497173,32.801966641608466,23.953332652724292,31.560928695036164,19.56776549724254
40g,compound,V1,relaxed_pair_status,same_compound_condition_different,5,18.6,4.8,8.968801930895237,42.93252925094232,29.348772079122604,44.5658792214818,28.40252780008064
40g,compound,V2,pair_status,same_compound_condition_different,5,101.8,16.0,5.882982058199429,42.7094037569786,28.5145868485187,40.965248892126695,23.082902055603803
40g,compound,V2,relaxed_pair_status,relaxed_paired,5,83.2,14.2,5.898289782145331,41.06628416834132,27.753391618481174,38.60397964265604,22.006623993887935
40g,compound,V2,relaxed_pair_status,same_compound_condition_different,5,18.6,4.8,5.906525900516746,54.01509857308813,38.46558847303918,60.163696412973465,39.08598454940774
40g,row,V1,pair_status,same_compound_condition_different,5,106.0,61.6,8.378297299966983,35.42788985779862,24.639379901972706,32.01105513296346,18.86134855825657
40g,row,V1,relaxed_pair_status,relaxed_paired,5,85.0,50.4,8.241690540072499,33.625385063115786,24.50172218524303,29.603810661192206,18.393620122760325
40g,row,V1,relaxed_pair_status,same_compound_condition_different,5,21.0,13.2,9.261051619273669,39.94169130044393,24.999362294295462,38.043886981059224,20.57435131211175
40g,row,V2,pair_status,same_compound_condition_different,5,106.0,61.6,5.78454637237737,42.66069472672417,28.527949889547095,37.023854678608565,20.680415861524402
40g,row,V2,relaxed_pair_status,relaxed_paired,5,85.0,50.4,5.7674006654055034,41.163819145642165,28.309639931225934,34.51929533841145,19.864323608998358
40g,row,V2,relaxed_pair_status,same_compound_condition_different,5,21.0,13.2,6.164835631016529,47.28936735365399,29.30914092138415,44.45541051815602,23.89900002082176
8g,compound,V1,pair_status,exact_paired,5,82.0,14.2,1.9672461064025075,7.007591947901585,4.133440834518141,7.996425927778816,4.218835088429509
8g,compound,V1,pair_status,same_compound_condition_different,5,31.8,6.4,2.096458304874388,5.031715642007812,2.9149492853224084,5.371361272306276,3.1050227856555965
8g,compound,V1,pair_status,source_absent,1,7.0,1.0,2.160581623432186,1.356293194064957,1.1747441915956924,1.2882263520061747,0.8879920122220659
8g,compound,V1,relaxed_pair_status,relaxed_paired,5,83.6,14.2,1.9722717472583668,6.958298617072288,4.089577400019392,7.945061312769759,4.175768337125321
8g,compound,V1,relaxed_pair_status,same_compound_condition_different,5,30.2,6.4,2.09780031570953,5.124501089666671,2.9985461564942164,5.469784711940589,3.191921562247411
8g,compound,V1,relaxed_pair_status,source_absent,1,7.0,1.0,2.160581623432186,1.356293194064957,1.1747441915956924,1.2882263520061747,0.8879920122220659
8g,compound,V2,pair_status,exact_paired,5,82.0,14.2,1.6696789157466614,8.313749838767237,4.362327987015513,8.892259848807857,4.547458411988626
8g,compound,V2,pair_status,same_compound_condition_different,5,31.8,6.4,1.753190173039318,8.972820694359005,5.231135393146445,9.210470518009704,5.4264687399474045
8g,compound,V2,pair_status,source_absent,1,7.0,1.0,1.6731392621278658,1.4190283107418606,1.265075638279831,2.735797961674752,2.3984514979362115
8g,compound,V2,relaxed_pair_status,relaxed_paired,5,83.6,14.2,1.673262170854898,8.243375902055226,4.30945096312634,8.823130546617088,4.500919091800338
8g,compound,V2,relaxed_pair_status,same_compound_condition_different,5,30.2,6.4,1.7425394900147975,9.137501905425342,5.38988171473152,9.37299824662711,5.569368142842738
8g,compound,V2,relaxed_pair_status,source_absent,1,7.0,1.0,1.6731392621278658,1.4190283107418606,1.265075638279831,2.735797961674752,2.3984514979362115
8g,row,V1,pair_status,exact_paired,5,83.2,51.6,2.0110612037718227,5.753281181499295,3.8207169593160506,6.2897611148277,3.5467283899136985
8g,row,V1,pair_status,same_compound_condition_different,5,30.8,19.6,2.087893320502631,6.831116389528191,3.845238554832066,6.774469042313233,3.617471132031669
8g,row,V1,pair_status,source_absent,4,1.25,1.0,2.019752030812624,1.8283578842978194,1.6673693699833059,1.155582909289024,1.150819247076658
8g,row,V1,relaxed_pair_status,relaxed_paired,5,86.2,53.0,2.0149326309964204,5.727444232098081,3.7950293672309656,6.266898289803665,3.5235253744064474
8g,row,V1,relaxed_pair_status,same_compound_condition_different,5,27.8,17.8,2.094598611227246,7.0591402653818545,3.9434457743321274,6.997229628579838,3.7199844495484684
8g,row,V1,relaxed_pair_status,source_absent,4,1.25,1.0,2.019752030812624,1.8283578842978194,1.6673693699833059,1.155582909289024,1.150819247076658
8g,row,V2,pair_status,exact_paired,5,83.2,51.6,1.6879515921442256,7.426090604895204,4.887161559023932,7.530946038871818,4.8659206304705425
8g,row,V2,pair_status,same_compound_condition_different,5,30.8,19.6,1.762892764948991,12.474518414296288,7.260072230065818,12.968016829732752,7.763496280441681
8g,row,V2,pair_status,source_absent,4,1.25,1.0,1.6558256762635009,2.9222727914755975,2.7426547798329866,3.7486179783620237,3.71450697270578
8g,row,V2,relaxed_pair_status,relaxed_paired,5,86.2,53.0,1.6903181700124172,7.340600005443726,4.8353827009344155,7.445098928465041,4.816632013270388
8g,row,V2,relaxed_pair_status,same_compound_condition_different,5,27.8,17.8,1.7663974313123578,13.085752352548255,7.667159161749025,13.608555576803884,8.225021093195952
8g,row,V2,relaxed_pair_status,source_absent,4,1.25,1.0,1.6558256762635009,2.9222727914755975,2.7426547798329866,3.7486179783620237,3.71450697270578
