column,protocol,target,upper10_x2_leverage,leave_compound_max_relative_change,without_upper10_relative_change
25g,compound,V1,0.5487048363752219,0.05930877530514815,-0.10042150737769776
25g,compound,V2,0.49890676931215994,0.0537992341712882,-0.10953935599688402
25g,row,V1,0.5179960205101827,0.04314823622197914,-0.07403697355145819
25g,row,V2,0.46107540388774293,0.0342256273470051,-0.11616418522067154
40g,compound,V1,0.5838140284718986,0.04849532572478442,-0.09194406304658917
40g,compound,V2,0.5244427854643354,0.04103634725297134,-0.13095479878539965
40g,row,V1,0.5480669427875288,0.03545753993610732,-0.09146791192646422
40g,row,V2,0.5135146024151427,0.03455548134388188,-0.12188925964093969
8g,compound,V1,0.6103842206305723,0.0628350337408459,-0.062097210651946774
8g,compound,V2,0.588046702835056,0.03817370305864316,0.00012040123545241986
8g,row,V1,0.7033602925212402,0.06139892693710201,-0.12067919157391165
8g,row,V2,0.7000724021392523,0.05420466904485603,-0.056060711858337275
