column,protocol,seed,budget,target,feature,ratio_spearman,scale_residual_spearman,ratio_partial_source_rho,ratio_partial_source_compound_rho,common_source_bins,relative_standardized_contrast
25g,compound,536279090,100,V1,source,0.41194457716196853,0.17746456442108619,,,,
25g,compound,536279090,100,V1,EA_fraction,-0.5488893452483327,-0.391142627344178,-0.40429378888226414,-0.5403595707022232,3.0,-0.3156555932008819
25g,compound,536279090,100,V1,solvent_DCM,0.28232985128663995,0.37087875919017704,0.35941043276230905,,0.0,
25g,compound,536279090,100,V1,loading_ul,0.0056952037398661825,-0.02349711893499429,-8.843657396045478e-05,0.0018684833856226159,3.0,0.053449148509911754
25g,compound,536279090,100,V1,amount_density_ul,0.1453876358080712,0.20057983306539504,0.18291886018292944,-0.0006317462787586932,4.0,0.13112223496176875
25g,compound,536279090,100,V1,loading_volume_ul,-0.026689209637448523,0.05023851225872662,0.04586165273598553,,0.0,
25g,compound,536279090,100,V1,MolWt,-0.17362637362637365,-0.15604395604395604,,,,
25g,compound,536279090,100,V1,MolLogP,-0.410989010989011,-0.18681318681318684,,,,
25g,compound,536279090,100,V1,TPSA,0.21646459621867817,0.016470132320986382,,,,
25g,compound,536279090,100,V1,HBD,-0.15191090506254998,-0.10127393670836667,,,,
25g,compound,536279090,100,V1,HBA,0.38968552943984447,0.15484193222775278,,,,
25g,compound,536279090,100,V1,RotatableBonds,0.08985841174587207,-0.13363558669898926,,,,
25g,compound,536279090,100,V1,RingCount,-0.2252077091419692,-0.14012924124389195,,,,
25g,compound,536279090,100,V2,source,0.4103360407708234,0.0869246695333652,,,,
25g,compound,536279090,100,V2,EA_fraction,-0.3569930189058302,-0.051369319058250144,-0.0395457430839966,-0.37678007084338533,1.0,
25g,compound,536279090,100,V2,solvent_DCM,0.05518265275147963,-0.008983222540938545,-0.02541270227468278,,0.0,
25g,compound,536279090,100,V2,loading_ul,0.25695350151701407,0.3092319490425486,0.30940213228861957,0.04300539791936161,3.0,0.2659610692482413
25g,compound,536279090,100,V2,amount_density_ul,0.12072644276356016,0.12561395900165626,0.07757840188544324,0.03529343170686548,4.0,0.010279561585280653
25g,compound,536279090,100,V2,loading_volume_ul,-0.19467423500256567,-0.3045709805685302,-0.2652829521263353,,0.0,
25g,compound,536279090,100,V2,MolWt,-0.42857142857142855,-0.44175824175824174,,,,
25g,compound,536279090,100,V2,MolLogP,-0.6527472527472528,-0.45054945054945056,,,,
25g,compound,536279090,100,V2,TPSA,0.4988097217213019,0.26822786922749253,,,,
25g,compound,536279090,100,V2,HBD,0.0,0.05063696835418333,,,,
25g,compound,536279090,100,V2,HBA,0.5703344503722226,0.40516972266261975,,,,
25g,compound,536279090,100,V2,RotatableBonds,0.23271024580341235,0.10368278278369855,,,,
25g,compound,536279090,100,V2,RingCount,-0.31278848491940164,-0.270249250970363,,,,
25g,compound,769539383,100,V1,source,0.24973453512779356,0.05081285755443058,,,,
25g,compound,769539383,100,V1,EA_fraction,-0.527183015131475,-0.3630018060986305,-0.4999291472313382,-0.6040873667485454,1.0,
25g,compound,769539383,100,V1,solvent_DCM,0.257263972561278,0.3375380692627294,0.3048632554365308,,4.0,0.31764673627363804
25g,compound,769539383,100,V1,loading_ul,-0.12989684713310354,-0.3036755731702129,-0.17832043967245254,0.025941831727812337,4.0,-0.2614935357740121
25g,compound,769539383,100,V1,amount_density_ul,0.1620123093661554,0.025445404465533877,0.14694932764098215,0.026715519464884985,4.0,-0.11608341187777889
25g,compound,769539383,100,V1,loading_volume_ul,,,,,0.0,
25g,compound,769539383,100,V1,MolWt,-0.017857142857142853,-0.11428571428571425,,,,
25g,compound,769539383,100,V1,MolLogP,-0.039285714285714285,0.07857142857142857,,,,
25g,compound,769539383,100,V1,TPSA,-0.16961561028666636,-0.2273967522524538,,,,
25g,compound,769539383,100,V1,HBD,0.18557687223952254,0.0,,,,
25g,compound,769539383,100,V1,HBA,-0.1499778155733461,-0.24227185592617448,,,,
25g,compound,769539383,100,V1,RotatableBonds,-0.19621450514839903,-0.2380009275411136,,,,
25g,compound,769539383,100,V1,RingCount,-0.04128614119223852,0.07077624204383746,,,,
25g,compound,769539383,100,V2,source,0.4022142651356135,0.1831254887434663,,,,
25g,compound,769539383,100,V2,EA_fraction,-0.3827981206245459,-0.21785103230810823,-0.10312494250904407,-0.41753904170911166,1.0,
25g,compound,769539383,100,V2,solvent_DCM,0.13540209082172527,0.11799325057321773,0.07084357405416988,,3.0,0.020910044098840265
25g,compound,769539383,100,V2,loading_ul,0.036759325321012,-0.04715941169097696,0.0747997238046343,0.06268836726843882,3.0,-0.1356153458898545
25g,compound,769539383,100,V2,amount_density_ul,0.19663258081147972,0.13004878897073444,0.20158931144302522,0.06874991707127699,4.0,-0.09107662564934975
25g,compound,769539383,100,V2,loading_volume_ul,,,,,0.0,
25g,compound,769539383,100,V2,MolWt,-0.35357142857142854,-0.2607142857142857,,,,
25g,compound,769539383,100,V2,MolLogP,-0.5357142857142856,-0.2178571428571428,,,,
25g,compound,769539383,100,V2,TPSA,0.38582891570703226,0.07642022001926727,,,,
25g,compound,769539383,100,V2,HBD,0.18557687223952254,0.06185895741317418,,,,
25g,compound,769539383,100,V2,HBA,0.30572400866874394,0.028841887610258864,,,,
25g,compound,769539383,100,V2,RotatableBonds,-0.5595746998676565,-0.4287650297687238,,,,
25g,compound,769539383,100,V2,RingCount,-0.2634449009409505,-0.08453828910791697,,,,
25g,compound,1362771960,100,V1,source,0.2812610610363419,0.09132814750792279,,,,
25g,compound,1362771960,100,V1,EA_fraction,-0.6387436913821265,-0.4957904570981667,-0.6048267942590736,-0.8162097096307529,3.0,-0.5605077284630163
25g,compound,1362771960,100,V1,solvent_DCM,0.07080360326817636,0.08378426386734203,0.030886566958858993,,2.0,0.09671692380815508
25g,compound,1362771960,100,V1,loading_ul,0.12473866628433312,0.12473866628433312,0.14832764901674647,,2.0,0.35700656980040757
25g,compound,1362771960,100,V1,amount_density_ul,-0.02665606467369785,-0.028116331912089843,-0.016164166273825706,,3.0,-0.034134485603605415
25g,compound,1362771960,100,V1,loading_volume_ul,-0.16802957580824243,-0.07887102537937911,-0.10789806918009846,,0.0,
25g,compound,1362771960,100,V1,MolWt,-0.04123715812387671,0.04565542506572064,,,,
25g,compound,1362771960,100,V1,MolLogP,-0.22663729461652518,-0.1898455260099464,,,,
25g,compound,1362771960,100,V1,TPSA,0.3424355994274411,0.4256882910313603,,,,
25g,compound,1362771960,100,V1,HBD,0.1215783580010781,0.19105170543026556,,,,
25g,compound,1362771960,100,V1,HBA,0.2903732236218412,0.3956547432975965,,,,
