column,protocol,seed,target,dimension,level,rows,compounds,ratio_defined_rows,ratio_median,ratio_q25,ratio_q75,ratio_mean,ratio_std,scale_rmse,scale_mae,scale_signed_mean,scale_signed_median,scale_r2,scale_nrmse,scale_sse,affine_rmse,affine_mae,affine_signed_mean,affine_signed_median,affine_r2,affine_nrmse,affine_sse
25g,compound,536279090,V1,source_bin,extreme_tail,10,8,10,6.397522648680328,5.854671814006734,8.525004490759555,6.486907988833421,2.45681711534124,52.0482375132623,39.241535306762216,12.489818326166922,11.60938427950908,0.053034049776190306,6.605392096854202,27090.19028236965,53.57681139511871,39.87746058738553,2.8217000757328945,1.8511548919103973,-0.0034044765991170234,6.799381947828489,28704.74719268122
25g,compound,536279090,V1,source_bin,high,21,11,21,5.418841145246865,4.908747312349518,6.402603293606204,5.429622997274891,1.9287348846198995,19.81272307895758,14.819049349509019,-4.172454683759889,-4.869930504911331,0.22204939428488635,2.51441375722973,8243.423911872624,19.43069138455702,14.218407608294516,-2.758408063359601,-4.326869408688772,0.2517612560707594,2.4659304798795936,7928.587121319866
25g,compound,536279090,V1,source_bin,low,30,12,30,4.244265574371884,3.9424341730163683,4.774273054158315,4.4236720880628555,0.8536077876733573,7.755129124480247,6.833825667655244,-6.0885640548431805,-7.153461160928254,-1.6045881528521395,0.9841960280763198,1804.2608321208527,4.789449804428091,3.7987718220206004,-0.09499434566279502,-1.1877398182454364,0.006581493521734205,0.6078244989254067,688.1648828740882
25g,compound,536279090,V1,source_bin,medium,30,14,30,4.384552166833894,3.5386586984874944,5.6064759919441345,5.012962891504113,2.2778802589118916,14.59618269544095,11.691939730080373,-4.849759445937382,-8.620452561164628,-0.2078623268022215,1.8523876009468867,6391.456478360696,13.834267436012487,9.601223255234805,0.3986207036588189,-2.8274086038171315,-0.08505359065692852,1.7556936632930134,5741.608664733465
25g,compound,536279090,V1,PE/EA,0/1,15,13,15,3.532033558116217,3.1570265519377614,3.8811495582951085,3.5590253520775805,0.49676943455716327,12.476976047097395,11.751917499002845,-11.751917499002845,-11.64187085432479,-16.11796466499126,1.5834411098576824,2335.1239691976325,7.331119896834092,6.3074784529952925,-6.10868893135231,-5.3400464493140625,-4.9098177400178855,0.9303854220865683,806.1797841263505
25g,compound,536279090,V1,PE/EA,1/1,15,14,15,4.273670382809811,3.895042795390421,4.818234742129748,4.402557662404224,0.6983675227388288,8.661213542541622,7.2359346627092975,-7.222322105954578,-6.671989285999395,0.08092336899880015,1.0991863359156644,1125.2493004425958,4.847226946433595,3.7662610216929484,-1.7040705283952737,-0.6369108894411646,0.7121402534652146,0.6151569408180785,352.4341360534792
25g,compound,536279090,V1,PE/EA,10/1,14,13,14,5.767095067930617,5.01851654655084,7.833715234761905,6.330828629682213,1.8852802165953872,20.544807429883537,13.67146715358575,6.702135145779716,0.8713619933513019,0.6988144760586339,2.6073218827854663,5909.24757263397,20.467001375616682,13.786057306897893,9.607598949248965,4.4159219434194465,0.7010914195906367,2.5974475907729704,5864.574034332933
25g,compound,536279090,V1,PE/EA,2/1,13,13,13,4.292303858496371,3.824388102453742,4.801910454819597,4.427534017921553,0.847658984435758,11.449488403758036,9.08478308060434,-8.875079781753463,-7.527912536468367,0.45597210787486575,1.453043634684776,1704.180201201266,8.988205501001323,6.77566731076828,-4.530062945388233,-3.4299494897222402,0.6647297719346392,1.1406845729615243,1050.2418956669958
25g,compound,536279090,V1,PE/EA,20/1,12,11,12,5.644141421777415,4.855911061850422,7.800539375046778,6.294218561015202,3.0239506012028308,23.99302784566274,18.996124927853902,5.084886316093428,-1.9437352893213529,0.6065996665790179,3.0449322413839788,6907.984622432971,23.885247618507723,18.901910117603652,6.487147166999915,1.5765246709082774,0.6101261528809522,3.031253955727034,6846.060645569146
25g,compound,536279090,V1,PE/EA,5/1,13,13,13,5.564116490407731,4.963645468428493,6.246281281032191,5.575747271384017,1.1068399851535977,10.266257216939477,7.448202919216329,-2.6239444461992067,-2.556461885339168,0.9206483903478208,1.3028808952035165,1370.1484841767049,17.833954971896254,9.472203072779653,-1.1418990722088012,1.1569192666341017,0.7605434119027639,2.2632901872421862,4134.649349215101
