column,protocol,seed,target,rows,tail_rows,tail_row_fraction,tail_sse_fraction,tail_rmse,rest_rmse,tail_signed_mean,rest_signed_mean
25g,compound,536279090,V1,91,10,0.10989010989010989,0.6223433566727256,52.0482375132623,14.246134941443051,12.489818326166922,-5.13297843681944
25g,compound,536279090,V2,91,10,0.10989010989010989,0.6377897650890346,66.45956329207102,17.59772634568606,15.66525978354169,-7.690136776067184
25g,compound,769539383,V1,90,9,0.1,0.5945016394930214,52.07873668365676,14.33696446871559,5.699092962474345,-2.944813638454118
25g,compound,769539383,V2,90,9,0.1,0.736474507554113,71.23810828788983,14.204422482814044,9.300451666525381,-4.818559520254832
25g,compound,1362771960,V1,90,9,0.1,0.4885543457808786,44.88820115959273,15.309261916624385,22.685235946793675,-5.304871350761205
25g,compound,1362771960,V2,90,9,0.1,0.5010416193409892,61.34107522382329,20.40447331760658,39.06830339616928,-10.709531927484308
25g,compound,1425370602,V1,91,10,0.10989010989010989,0.5289555994378256,31.05912301233576,10.298358181600449,10.792491122429567,-4.331694025758698
25g,compound,1425370602,V2,91,10,0.10989010989010989,0.4225811162950357,38.53570210362382,15.827459649256788,15.383970959479154,-7.41634942301403
25g,compound,2767143051,V1,94,10,0.10638297872340426,0.7359034724944991,52.582092889418185,10.868488353892225,8.29513287799264,-3.05036529863329
25g,compound,2767143051,V2,94,10,0.10638297872340426,0.8075727149732396,80.98251030358801,13.639363363631402,17.65303579382961,-7.103974075648265
25g,row,536279090,V1,92,10,0.10869565217391304,0.357499924443182,25.803904168771915,12.080283001463343,2.671391975208588,-1.8329628680386374
25g,row,536279090,V2,92,10,0.10869565217391304,0.2873821176720697,28.663534957763936,15.762362486482372,9.758594047503477,-3.7064927377203873
25g,row,769539383,V1,92,10,0.10869565217391304,0.614778752505805,49.95752807801048,13.80987370741905,5.135004933727326,-2.957254821025646
25g,row,769539383,V2,92,10,0.10869565217391304,0.4005222413495078,50.25908594256568,21.472414305363344,33.28149925262245,-10.774879633928537
25g,row,1362771960,V1,92,10,0.10869565217391304,0.5639283964028206,31.390263131767355,9.639509852393724,9.888993422577412,-3.277581637479809
25g,row,1362771960,V2,92,10,0.10869565217391304,0.399376032443588,31.642378263454503,13.551036712448367,23.35115688803858,-7.3621352463916265
