column,protocol,seed,method,normalized_aulc,actual_budget_aulc
25g,compound,536279090,conditional_EA,0.9526725388731825,0.9526820248197185
25g,compound,536279090,conditional_policy,0.9567777247406679,0.9567051196797177
25g,compound,536279090,local_identity_shrinkage,0.9568541044099957,0.95678326175343
25g,compound,536279090,scale_only,1.0761216118729813,1.076874052539214
25g,compound,536279090,source_anchored_full,3.0116407165709633,3.004953477625136
25g,compound,536279090,source_anchored_shallow,2.28270810164351,2.2721897573140835
25g,compound,536279090,standard_full_finetune,2.2824635620272447,2.2837197245891256
25g,compound,536279090,standard_shallow_finetune,1.5310259368775336,1.5266238492198023
25g,compound,536279090,target_head_only,2.031680441471284,2.0310669961842964
25g,compound,769539383,conditional_EA,1.635532958378654,1.6356477144785722
25g,compound,769539383,conditional_policy,1.635532958378654,1.6356477144785722
25g,compound,769539383,local_identity_shrinkage,1.6356305816039247,1.6371753348388078
25g,compound,769539383,scale_only,1.8101313468027471,1.8111462775245404
25g,compound,769539383,source_anchored_full,4.979202978056503,4.990682841699496
25g,compound,769539383,source_anchored_shallow,3.601013187740011,3.6039158347935056
25g,compound,769539383,standard_full_finetune,4.24712827006198,4.252431385339768
25g,compound,769539383,standard_shallow_finetune,2.436011090734052,2.4322612494237617
25g,compound,769539383,target_head_only,3.5026756633950105,3.5017852093024486
25g,compound,1362771960,conditional_EA,1.8327754578842006,1.8301893098878814
25g,compound,1362771960,conditional_policy,1.8547381298143897,1.8554947551647991
25g,compound,1362771960,local_identity_shrinkage,1.904817220316651,1.9028940692501246
25g,compound,1362771960,scale_only,1.8827253476035335,1.8831992737843555
25g,compound,1362771960,source_anchored_full,4.553557825954253,4.554338343455963
25g,compound,1362771960,source_anchored_shallow,3.2265071095454245,3.233797131465491
25g,compound,1362771960,standard_full_finetune,3.1039643312092458,3.098248155137885
25g,compound,1362771960,standard_shallow_finetune,2.1008448099145425,2.1022758594536604
25g,compound,1362771960,target_head_only,3.2241848845646466,3.225072118699746
25g,compound,1425370602,conditional_EA,1.3967534126298629,1.3953763992694777
25g,compound,1425370602,conditional_policy,1.3967534126298629,1.3953763992694777
25g,compound,1425370602,local_identity_shrinkage,1.4910254456040546,1.4899228977870889
25g,compound,1425370602,scale_only,1.6153037093912124,1.6155099968336601
25g,compound,1425370602,source_anchored_full,4.2415268981967955,4.24524719540908
25g,compound,1425370602,source_anchored_shallow,3.4422389886009697,3.4490977816469433
25g,compound,1425370602,standard_full_finetune,2.521288116897521,2.5035467705168983
25g,compound,1425370602,standard_shallow_finetune,2.0106837955252814,2.0137867327285317
25g,compound,1425370602,target_head_only,3.0056163691187487,3.005017068149333
25g,compound,2767143051,conditional_EA,1.575712457239144,1.571671663587301
25g,compound,2767143051,conditional_policy,1.575712457239144,1.571671663587301
25g,compound,2767143051,local_identity_shrinkage,1.6305672505694,1.628902761367594
25g,compound,2767143051,scale_only,1.6528882691259272,1.65229100632363
25g,compound,2767143051,source_anchored_full,5.225892234123407,5.243777049404835
25g,compound,2767143051,source_anchored_shallow,3.9316315916077995,3.952341258786559
25g,compound,2767143051,standard_full_finetune,3.7047099266733183,3.6759611667209406
25g,compound,2767143051,standard_shallow_finetune,2.2581922197092905,2.25443504894915
25g,compound,2767143051,target_head_only,3.4858973091240704,3.486531968828224
25g,row,536279090,conditional_EA,2.1803170489632255,2.1803170489632255
25g,row,536279090,conditional_policy,2.2263484294368245,2.2263484294368245
25g,row,536279090,local_identity_shrinkage,2.2263484305414294,2.2263484305414294
25g,row,536279090,scale_only,2.299389304900091,2.299389304900091
25g,row,536279090,source_anchored_full,4.8477022304257815,4.8477022304257815
25g,row,536279090,source_anchored_shallow,3.244138186350448,3.244138186350448
25g,row,536279090,standard_full_finetune,3.237141578942277,3.237141578942277
25g,row,536279090,standard_shallow_finetune,2.7235496389719924,2.7235496389719924
25g,row,536279090,target_head_only,3.7013582867683357,3.7013582867683357
25g,row,769539383,conditional_EA,1.8445573617833824,1.8445573617833824
25g,row,769539383,conditional_policy,1.8445573617833824,1.8445573617833824
25g,row,769539383,local_identity_shrinkage,1.8518346214435053,1.8518346214435053
25g,row,769539383,scale_only,1.938326064258171,1.938326064258171
25g,row,769539383,source_anchored_full,4.07305047634698,4.07305047634698
25g,row,769539383,source_anchored_shallow,2.5520065935212313,2.5520065935212313
25g,row,769539383,standard_full_finetune,2.532332330312734,2.532332330312734
25g,row,769539383,standard_shallow_finetune,1.8761698277039176,1.8761698277039176
25g,row,769539383,target_head_only,3.0487600549444447,3.0487600549444447
25g,row,1362771960,conditional_EA,1.4247978803847319,1.4247978803847319
25g,row,1362771960,conditional_policy,1.4247978803847319,1.4247978803847319
25g,row,1362771960,local_identity_shrinkage,1.5023272661706963,1.5023272661706963
25g,row,1362771960,scale_only,1.673598265284239,1.673598265284239
25g,row,1362771960,source_anchored_full,3.918764911635739,3.918764911635739
25g,row,1362771960,source_anchored_shallow,2.7570666301245157,2.7570666301245157
25g,row,1362771960,standard_full_finetune,2.2908852448468067,2.2908852448468067
25g,row,1362771960,standard_shallow_finetune,1.646016023551179,1.646016023551179
25g,row,1362771960,target_head_only,2.913370636663604,2.913370636663604
25g,row,1425370602,conditional_EA,2.5254402331837396,2.5254402331837396
25g,row,1425370602,conditional_policy,2.400367407832721,2.400367407832721
25g,row,1425370602,local_identity_shrinkage,2.562317875134083,2.562317875134083
25g,row,1425370602,scale_only,2.41861303571662,2.41861303571662
25g,row,1425370602,source_anchored_full,5.512440419526776,5.512440419526776
25g,row,1425370602,source_anchored_shallow,3.3533087933135075,3.3533087933135075
25g,row,1425370602,standard_full_finetune,3.992549011396883,3.992549011396883
25g,row,1425370602,standard_shallow_finetune,2.4836466734955067,2.4836466734955067
25g,row,1425370602,target_head_only,3.9084299393424997,3.9084299393424997
25g,row,2767143051,conditional_EA,1.8567521648474992,1.8567521648474992
25g,row,2767143051,conditional_policy,1.8567521648474992,1.8567521648474992
25g,row,2767143051,local_identity_shrinkage,1.9616851046274786,1.9616851046274786
25g,row,2767143051,scale_only,1.9706737460043866,1.9706737460043866
25g,row,2767143051,source_anchored_full,4.233084930306208,4.233084930306208
25g,row,2767143051,source_anchored_shallow,2.7888830062155887,2.7888830062155887
25g,row,2767143051,standard_full_finetune,2.6822385590807083,2.6822385590807083
25g,row,2767143051,standard_shallow_finetune,1.853761239060791,1.853761239060791
25g,row,2767143051,target_head_only,3.308711620151842,3.308711620151842
40g,compound,536279090,conditional_EA,3.8426413848005274,3.8419727449429395
40g,compound,536279090,conditional_policy,3.861530443549823,3.8621543240678298
40g,compound,536279090,local_identity_shrinkage,3.861530443549823,3.8621543240678298
40g,compound,536279090,scale_only,3.949687901201084,3.9499635491176024
40g,compound,536279090,source_anchored_full,9.455823114586721,9.45036006160581
40g,compound,536279090,source_anchored_shallow,6.273561598041213,6.283615674464663
40g,compound,536279090,standard_full_finetune,10.679689201674611,10.63706734023069
40g,compound,536279090,standard_shallow_finetune,4.254771747187194,4.248973929711285
40g,compound,536279090,target_head_only,7.986357803010227,7.986714024213749
40g,compound,769539383,conditional_EA,3.0137201331253163,3.010338262922014
40g,compound,769539383,conditional_policy,3.2064473670196705,3.2251674431016286
40g,compound,769539383,local_identity_shrinkage,3.2064473662400594,3.2251674422200693
40g,compound,769539383,scale_only,3.042855897514548,3.038244089800608
40g,compound,769539383,source_anchored_full,9.537599744476685,9.491475643364977
40g,compound,769539383,source_anchored_shallow,6.7880017100185315,6.851972780251
40g,compound,769539383,standard_full_finetune,6.843035522494904,6.7353635886235885
40g,compound,769539383,standard_shallow_finetune,4.3266004792638855,4.321450678633374
40g,compound,769539383,target_head_only,7.986816783968632,7.991069563184891
40g,compound,1362771960,conditional_EA,3.560539586549015,3.560872024386359
40g,compound,1362771960,conditional_policy,4.618610245495579,4.682132100825283
40g,compound,1362771960,local_identity_shrinkage,4.618610231138498,4.682132085637814
40g,compound,1362771960,scale_only,3.856244295379424,3.8599279960997013
40g,compound,1362771960,source_anchored_full,8.952099690000873,8.947861207008511
40g,compound,1362771960,source_anchored_shallow,6.204752729105831,6.241616246443396
40g,compound,1362771960,standard_full_finetune,7.351992930325915,7.237781214790512
40g,compound,1362771960,standard_shallow_finetune,3.8182717838297484,3.817763376339411
40g,compound,1362771960,target_head_only,7.474411662059777,7.475694295693671
40g,compound,1425370602,conditional_EA,3.7154775314818793,3.7353557612924315
40g,compound,1425370602,conditional_policy,3.782315527329586,3.787113971448441
40g,compound,1425370602,local_identity_shrinkage,3.782315527329586,3.787113971448441
40g,compound,1425370602,scale_only,3.9517933125004627,3.9643885748086687
40g,compound,1425370602,source_anchored_full,9.248375796277625,9.236020925444924
40g,compound,1425370602,source_anchored_shallow,6.695384825181146,6.709170731904804
40g,compound,1425370602,standard_full_finetune,5.335305430531572,5.359119913404231
40g,compound,1425370602,standard_shallow_finetune,4.021507949814553,4.0251801528658575
40g,compound,1425370602,target_head_only,7.9984631658258944,7.998806514991276
40g,compound,2767143051,conditional_EA,2.952415605401561,2.9500322037099123
40g,compound,2767143051,conditional_policy,3.053470739961951,3.0530117318241614
40g,compound,2767143051,local_identity_shrinkage,3.0534707402058117,3.053011732058459
40g,compound,2767143051,scale_only,3.2054090950507192,3.2048413330618954
40g,compound,2767143051,source_anchored_full,8.394394174561846,8.391856483904057
40g,compound,2767143051,source_anchored_shallow,5.094291492380447,5.0951119820421225
40g,compound,2767143051,standard_full_finetune,5.96956422795441,5.964390113694122
40g,compound,2767143051,standard_shallow_finetune,3.373384413992817,3.372659317918471
40g,compound,2767143051,target_head_only,7.148987816108743,7.149088792868965
40g,row,536279090,conditional_EA,2.502920973773699,2.502920973773699
40g,row,536279090,conditional_policy,2.502920973773699,2.502920973773699
40g,row,536279090,local_identity_shrinkage,2.730574954522319,2.730574954522319
40g,row,536279090,scale_only,3.2055584590202337,3.2055584590202337
40g,row,536279090,source_anchored_full,7.216304963489184,7.216304963489184
40g,row,536279090,source_anchored_shallow,5.079192497261127,5.079192497261127
40g,row,536279090,standard_full_finetune,4.46783215644618,4.46783215644618
40g,row,536279090,standard_shallow_finetune,3.1209819153910927,3.1209819153910927
40g,row,536279090,target_head_only,6.775436141210098,6.775436141210098
40g,row,769539383,conditional_EA,2.5267598900733317,2.5267598900733317
40g,row,769539383,conditional_policy,2.5267598900733317,2.5267598900733317
40g,row,769539383,local_identity_shrinkage,2.6692586198975414,2.6692586198975414
40g,row,769539383,scale_only,3.1180657761562647,3.1180657761562647
40g,row,769539383,source_anchored_full,9.471645786348946,9.471645786348946
40g,row,769539383,source_anchored_shallow,5.646511091696843,5.646511091696843
40g,row,769539383,standard_full_finetune,5.929003446024658,5.929003446024658
40g,row,769539383,standard_shallow_finetune,3.414104081192415,3.414104081192415
40g,row,769539383,target_head_only,8.442559110683485,8.442559110683485
40g,row,1362771960,conditional_EA,3.9176793703109656,3.9176793703109656
40g,row,1362771960,conditional_policy,3.9176793703109656,3.9176793703109656
40g,row,1362771960,local_identity_shrinkage,4.253063950574229,4.253063950574229
40g,row,1362771960,scale_only,4.588244066789928,4.588244066789928
40g,row,1362771960,source_anchored_full,10.59107309986995,10.59107309986995
40g,row,1362771960,source_anchored_shallow,7.4990288647464,7.4990288647464
40g,row,1362771960,standard_full_finetune,6.007891525089888,6.007891525089888
