column,protocol,method,reference,endpoint,relative_gain,mean_delta,median_delta,std_delta,wins,ties,seeds,no_output_regression,material,stronger_10pct
25g,compound,standard_shallow_finetune,scale_only,aulc,-0.2861190551498378,0.4599175135928597,0.45490432500455236,0.16683613754686505,0,0,5,True,False,False
25g,compound,standard_shallow_finetune,local_identity_shrinkage,aulc,-0.3567267158891294,0.5435726500513348,0.5741718324675379,0.22096993098023415,0,0,5,True,False,False
25g,compound,standard_shallow_finetune,conditional_EA,aulc,-0.3980972741700415,0.5886622055511312,0.6139303828954186,0.19823738980206554,0,0,5,True,False,False
25g,compound,standard_shallow_finetune,conditional_policy,aulc,-0.39318517378497786,0.5834486339915963,0.6139303828954186,0.20719697524434086,0,0,5,True,False,False
25g,compound,standard_shallow_finetune,target_head_only,aulc,0.3221822427514308,-0.9826593629826121,-1.0666645726609585,0.28256621398364695,5,0,5,True,True,True
25g,compound,standard_shallow_finetune,standard_full_finetune,aulc,0.34823150020928706,-1.104559270821722,-1.0031195212947033,0.5253396642942797,5,0,5,True,True,True
25g,compound,standard_shallow_finetune,source_anchored_shallow,aulc,0.3729255165330597,-1.229468225275403,-1.1650020970059591,0.34682870163044277,5,0,5,True,True,True
25g,compound,standard_shallow_finetune,source_anchored_full,aulc,0.5303996877060708,-2.3350125600282445,-2.4527130160397106,0.5473418236080412,5,0,5,True,True,True
25g,compound,standard_full_finetune,scale_only,aulc,-0.9732758725879189,1.5644767844145817,1.2212389836057123,0.6477810926384401,0,0,5,True,False,False
25g,compound,standard_full_finetune,local_identity_shrinkage,aulc,-1.0816082954680732,1.6481319208730567,1.325609457617249,0.6702479530369401,0,0,5,True,False,False
25g,compound,standard_full_finetune,conditional_EA,aulc,-1.1450826092684436,1.693221476372853,1.3297910231540622,0.6455441647635346,0,0,5,True,False,False
25g,compound,standard_full_finetune,conditional_policy,aulc,-1.1375460370244013,1.6880079048133183,1.3256858372865767,0.6497680751310783,0,0,5,True,False,False
25g,compound,standard_full_finetune,target_head_only,aulc,-0.03996703962560444,0.12189990783910991,0.21881261754924797,0.4581783818614249,2,0,5,True,False,False
25g,compound,standard_full_finetune,standard_shallow_finetune,aulc,-0.5342870978286101,1.104559270821722,1.0031195212947033,0.5253396642942797,0,0,5,True,False,False
25g,compound,standard_full_finetune,source_anchored_shallow,aulc,0.03788771063913343,-0.124908954453681,-0.12254277833617877,0.5599362034018514,4,0,5,True,False,False
25g,compound,standard_full_finetune,source_anchored_full,aulc,0.2794982997111385,-1.2304532892065225,-1.4495934947450073,0.46693002510821224,5,0,5,True,True,True
25g,compound,source_anchored_shallow,scale_only,aulc,-1.0509829199861596,1.6893857388682627,1.790881840937264,0.4269370328113064,0,0,5,True,False,False
25g,compound,source_anchored_shallow,local_identity_shrinkage,aulc,-1.1635814431295652,1.7730408753267377,1.951213542996915,0.4333715028263758,0,0,5,True,False,False
25g,compound,source_anchored_shallow,conditional_EA,aulc,-1.2295553575076221,1.818130430826534,1.9654802293613571,0.44186251786876246,0,0,5,True,False,False
25g,compound,source_anchored_shallow,conditional_policy,aulc,-1.2217219971739248,1.812916859266999,1.9654802293613571,0.44832536908868187,0,0,5,True,False,False
25g,compound,source_anchored_shallow,target_head_only,aulc,-0.08092064837510504,0.24680886229279092,0.2510276601722259,0.19839092562929855,0,0,5,True,False,False
25g,compound,source_anchored_shallow,standard_shallow_finetune,aulc,-0.5947068910717694,1.229468225275403,1.1650020970059591,0.34682870163044277,0,0,5,True,False,False
25g,compound,source_anchored_shallow,standard_full_finetune,aulc,-0.039379717999759034,0.124908954453681,0.12254277833617877,0.5599362034018514,1,0,5,True,False,False
25g,compound,source_anchored_shallow,source_anchored_full,aulc,0.25112514593541635,-1.1055443347528415,-1.2942606425156074,0.3141034271658146,5,0,5,True,True,True
25g,compound,source_anchored_full,scale_only,aulc,-1.7387525550554548,2.7949300736211042,2.67083247835072,0.6180271687455965,0,0,5,True,False,False
25g,compound,source_anchored_full,local_identity_shrinkage,aulc,-1.8891094838964588,2.8785852100795792,2.750501452592741,0.6078254493328982,0,0,5,True,False,False
25g,compound,source_anchored_full,conditional_EA,aulc,-1.9772068662828182,2.9236747655793756,2.8447734855669324,0.6122323425377143,0,0,5,True,False,False
25g,compound,source_anchored_full,conditional_policy,aulc,-1.966746693543433,2.9184611940198404,2.8447734855669324,0.61556655828586,0,0,5,True,False,False
25g,compound,source_anchored_full,target_head_only,aulc,-0.44339290137506127,1.3523531970456326,1.3293729413896065,0.28215633792521905,0,0,5,True,False,False
25g,compound,source_anchored_full,standard_shallow_finetune,aulc,-1.1294704748281483,2.3350125600282445,2.4527130160397106,0.5473418236080412,0,0,5,True,False,False
25g,compound,source_anchored_full,standard_full_finetune,aulc,-0.3879217767273595,1.2304532892065225,1.4495934947450073,0.46693002510821224,0,0,5,True,False,False
25g,compound,source_anchored_full,source_anchored_shallow,aulc,-0.3353365980609613,1.1055443347528415,1.2942606425156074,0.3141034271658146,0,0,5,True,False,False
25g,row,standard_shallow_finetune,scale_only,aulc,-0.027429758965945128,0.0565085973239758,-0.02758224173306001,0.21590968439753447,3,0,5,True,False,False
25g,row,standard_shallow_finetune,local_identity_shrinkage,aulc,-0.04736795239458491,0.09572602097323876,0.0243352062604123,0.24518720714760256,2,0,5,True,False,False
25g,row,standard_shallow_finetune,conditional_EA,aulc,-0.07641263761989348,0.15025574272416162,0.03161246592053524,0.24182130172699268,2,0,5,True,False,False
25g,row,standard_shallow_finetune,conditional_policy,aulc,-0.08513638950493307,0.1660640316996455,0.08327926566278565,0.20384057878371006,1,0,5,True,False,False
25g,row,standard_shallow_finetune,target_head_only,aulc,0.3730599470771717,-1.259497427017468,-1.2673546131124251,0.1952462745221771,5,0,5,True,True,True
25g,row,standard_shallow_finetune,standard_full_finetune,aulc,0.2817754990433958,-0.8304006643592045,-0.6561625026088163,0.3954481133718169,5,0,5,True,True,True
25g,row,standard_shallow_finetune,source_anchored_shallow,aulc,0.27983307079838504,-0.8224519613483808,-0.8696621198180008,0.22958113951447204,5,0,5,True,True,True
25g,row,standard_shallow_finetune,source_anchored_full,aulc,0.5314091977746009,-2.4003799130916192,-2.2727488880845597,0.3637823773573303,5,0,5,True,True,True
25g,row,standard_full_finetune,scale_only,aulc,-0.43051338070131284,0.8869092616831802,0.7115648130763217,0.4073772002618567,0,0,5,True,False,False
25g,row,standard_full_finetune,local_identity_shrinkage,aulc,-0.4582737723366359,0.9261266853324432,0.7885579786761103,0.3093577232751313,0,0,5,True,False,False
25g,row,standard_full_finetune,conditional_EA,aulc,-0.49871333571358,0.9806564070833661,0.8660873644620748,0.30225023895266856,0,0,5,True,False,False
25g,row,standard_full_finetune,conditional_policy,aulc,-0.5108596101353247,0.9964646960588499,0.8660873644620748,0.35235107302148777,0,0,5,True,False,False
25g,row,standard_full_finetune,target_head_only,aulc,0.1270973740274719,-0.42909676265826346,-0.5164277246317108,0.2952148224304543,4,0,5,True,True,True
25g,row,standard_full_finetune,standard_shallow_finetune,aulc,-0.39232231519267113,0.8304006643592045,0.6561625026088163,0.3954481133718169,0,0,5,True,False,False
25g,row,standard_full_finetune,source_anchored_shallow,aulc,-0.002704486191189126,0.007948703010823533,-0.01967426320849741,0.39920117054239684,4,0,5,True,False,False
25g,row,standard_full_finetune,source_anchored_full,aulc,0.34757056936754127,-1.569979248732415,-1.5508463712254996,0.046718250099390145,5,0,5,True,True,True
25g,row,source_anchored_shallow,scale_only,aulc,-0.42665501192197897,0.8789605586723568,0.9346957575968875,0.17558628424853434,0,0,5,True,False,False
25g,row,source_anchored_shallow,local_identity_shrinkage,aulc,-0.45434052846012873,0.9181779823216196,0.8271979015881101,0.22089398696055962,0,0,5,True,False,False
25g,row,source_anchored_shallow,conditional_EA,aulc,-0.4946710185834504,0.9727077040725426,0.9321308413680895,0.24008994139803932,0,0,5,True,False,False
25g,row,source_anchored_shallow,conditional_policy,aulc,-0.50678453217496,0.9885159930480265,0.9529413854807864,0.2249812621814127,0,0,5,True,False,False
25g,row,source_anchored_shallow,target_head_only,aulc,0.12945175972206757,-0.43704546566908703,-0.4967534614232134,0.16092136546162936,5,0,5,True,True,True
25g,row,source_anchored_shallow,standard_shallow_finetune,aulc,-0.3885669550372315,0.8224519613483808,0.8696621198180008,0.22958113951447204,0,0,5,True,False,False
25g,row,source_anchored_shallow,standard_full_finetune,aulc,0.00269719167355309,-0.007948703010823533,0.01967426320849741,0.39920117054239684,1,0,5,True,False,False
25g,row,source_anchored_shallow,source_anchored_full,aulc,0.34933029659542414,-1.5779279517432385,-1.5210438828257486,0.36497277521663696,5,0,5,True,True,True
25g,row,source_anchored_full,scale_only,aulc,-1.1925948057165154,2.4568885104155953,2.262411184301821,0.3874554285544355,0,0,5,True,False,False
25g,row,source_anchored_full,local_identity_shrinkage,aulc,-1.2351440690267443,2.4961059340648584,2.4164376454650425,0.2975829873000675,0,0,5,True,False,False
25g,row,source_anchored_full,conditional_EA,aulc,-1.2971271149750891,2.550635655815781,2.4939670312510067,0.2921528293215413,0,0,5,True,False,False
25g,row,source_anchored_full,conditional_policy,aulc,-1.31574410840221,2.566443944791265,2.4939670312510067,0.33776178666035006,0,0,5,True,False,False
25g,row,source_anchored_full,target_head_only,aulc,-0.33792650206834596,1.1408824860741515,1.0242904214025352,0.2708063674458567,0,0,5,True,False,False
25g,row,source_anchored_full,standard_shallow_finetune,aulc,-1.1340581062429504,2.4003799130916192,2.2727488880845597,0.3637823773573303,0,0,5,True,False,False
25g,row,source_anchored_full,standard_full_finetune,aulc,-0.5327328183687388,1.569979248732415,1.5508463712254996,0.046718250099390145,0,0,5,True,False,False
