column,protocol,method,reference,endpoint,gain_percent,wins,median_delta,material,stronger_10pct
25g,compound,standard_shallow_finetune,scale_only,aulc,-28.611905514983782,0,0.4549043250045523,False,False
25g,compound,standard_shallow_finetune,local_identity_shrinkage,aulc,-35.67267158891294,0,0.5741718324675379,False,False
25g,compound,standard_shallow_finetune,conditional_EA,aulc,-39.80972741700415,0,0.6139303828954186,False,False
25g,compound,standard_shallow_finetune,conditional_policy,aulc,-39.31851737849778,0,0.6139303828954186,False,False
25g,compound,standard_full_finetune,scale_only,aulc,-97.32758725879188,0,1.2212389836057125,False,False
25g,compound,standard_full_finetune,local_identity_shrinkage,aulc,-108.16082954680732,0,1.325609457617249,False,False
25g,compound,standard_full_finetune,conditional_EA,aulc,-114.50826092684436,0,1.3297910231540622,False,False
25g,compound,standard_full_finetune,conditional_policy,aulc,-113.75460370244012,0,1.3256858372865767,False,False
25g,compound,source_anchored_shallow,scale_only,aulc,-105.09829199861596,0,1.790881840937264,False,False
25g,compound,source_anchored_shallow,local_identity_shrinkage,aulc,-116.35814431295653,0,1.951213542996915,False,False
25g,compound,source_anchored_shallow,conditional_EA,aulc,-122.9555357507622,0,1.9654802293613571,False,False
25g,compound,source_anchored_shallow,conditional_policy,aulc,-122.17219971739249,0,1.9654802293613571,False,False
25g,compound,source_anchored_shallow,standard_shallow_finetune,aulc,-59.470689107176945,0,1.1650020970059591,False,False
25g,compound,source_anchored_full,scale_only,aulc,-173.87525550554548,0,2.67083247835072,False,False
25g,compound,source_anchored_full,local_identity_shrinkage,aulc,-188.91094838964588,0,2.750501452592741,False,False
25g,compound,source_anchored_full,conditional_EA,aulc,-197.72068662828184,0,2.8447734855669324,False,False
25g,compound,source_anchored_full,conditional_policy,aulc,-196.6746693543433,0,2.8447734855669324,False,False
25g,compound,source_anchored_full,standard_full_finetune,aulc,-38.79217767273595,0,1.449593494745007,False,False
25g,row,standard_shallow_finetune,scale_only,aulc,-2.74297589659451,3,-0.02758224173306,False,False
25g,row,standard_shallow_finetune,local_identity_shrinkage,aulc,-4.736795239458489,2,0.0243352062604123,False,False
25g,row,standard_shallow_finetune,conditional_EA,aulc,-7.64126376198934,2,0.0316124659205352,False,False
25g,row,standard_shallow_finetune,conditional_policy,aulc,-8.5136389504933,1,0.0832792656627856,False,False
25g,row,standard_full_finetune,scale_only,aulc,-43.05133807013128,0,0.7115648130763217,False,False
25g,row,standard_full_finetune,local_identity_shrinkage,aulc,-45.82737723366359,0,0.7885579786761103,False,False
25g,row,standard_full_finetune,conditional_EA,aulc,-49.871333571358,0,0.8660873644620748,False,False
25g,row,standard_full_finetune,conditional_policy,aulc,-51.08596101353247,0,0.8660873644620748,False,False
