column,protocol,seed,budget,actual_budget,method,best_epoch,epochs_run,validation_score,source_replay_draws,source_replay_unique_rows,target_train_count,target_validation_count,wall_seconds,fit_success,checkpoint_sha256,trainable_parameters,total_parameters,backbone_l2_drift,condition_branch_l2_drift,target_head_l2_drift,source_head_l2_drift,best_target_train_loss,best_source_train_loss,best_validation_loss,best_validation_score,initial_epoch,initial_target_train_loss,initial_source_train_loss,initial_validation_loss,initial_validation_score,final_epoch,final_target_train_loss,final_source_train_loss,final_validation_loss,final_validation_score,target_purchased_labels,other_target_labels_used
8g,row,769539383,30,30,standard_shallow_finetune,48,148,0.48870159766099525,0,0,22,8,6.261256375000812,True,83648955887dabfc6d4e8ab1b42d66982b595ee2357336df9fad1a821e129706,36387,459726,0.8032617019302241,0.1978379596065297,0.13063703685352174,0.0,630.8568725585938,0.0,84.98157501220703,0.48870159766099525,1,3048.05224609375,0.0,781.477783203125,1.8399225830258894,148,16.31633186340332,0.0,841.2846069335938,1.4408427840780702,30,0
8g,row,769539383,30,30,standard_full_finetune,57,157,0.5173885333950345,0,0,22,8,8.622405875008553,True,b11867daccbad959ebe12d49bd40359399408541d5a5bd8c6687079bacd96c9c,458952,459726,1.880545781771008,0.2429666006146258,0.15308126544848333,0.0,105.17855834960938,0.0,97.63667297363281,0.5173885333950345,1,3613.64990234375,0.0,502.3199768066406,1.503436486305012,157,0.8058798313140869,0.0,552.6465454101562,1.290699954888894,30,0
8g,row,769539383,30,30,source_anchored_shallow,96,196,0.45369736530065435,4312,2418,22,8,15.261603207996814,True,250396c2e22f4c6bce16761020579f4487b97ba50a5ced95116bf91402a5c6e3,36387,459726,1.225052411190063,0.22197249955820955,0.23587647255971764,0.0,179.92239379882812,77.17822265625,83.07882690429688,0.45369736530065435,1,3048.05224609375,28.024742126464844,780.42724609375,1.8376803604038658,196,116.18081665039062,126.88231658935547,123.1858139038086,0.601937165219254,30,0
8g,row,769539383,30,30,source_anchored_full,52,152,0.5266377750508704,3344,2105,22,8,17.410732958000153,True,ad613e2752f61b3292162dc88de97edb61dd64f0b2488942403284c5952a9dcb,458952,459726,1.5985990567357873,0.19715596779639882,0.14199450214522188,0.0,182.04544067382812,72.63349151611328,79.29499816894531,0.5266377750508704,1,3613.64990234375,26.766834259033203,1522.9677734375,2.406035223565922,152,4.605884552001953,178.78131103515625,845.9090576171875,1.7508715334927294,30,0
8g,row,769539383,50,50,standard_shallow_finetune,42,142,0.45991378501250674,0,0,42,8,17.3867370839871,True,b5b8d9ed10e1f73c18b3560c43b0ab365008f850ff33f1369ecf9a635a3d34c5,36387,459726,0.7059049378887333,0.17492906015500004,0.11611347603161973,0.0,551.263427734375,0.0,75.61241149902344,0.45991378501250674,1,2137.622802734375,0.0,764.7860107421875,1.826872583387701,142,23.97205352783203,0.0,824.5883178710938,1.5582647228828808,50,0
8g,row,769539383,50,50,standard_full_finetune,7,107,0.750953433442177,0,0,42,8,14.842638083006022,True,6ec6670ec73215447674d74567d5a51e10c2703ba12fe54eafd9a9b926abc19c,458952,459726,0.3702104372724077,0.031661246171512364,0.019082104575052713,0.0,1375.2974853515625,0.0,188.98365783691406,0.750953433442177,1,2293.3466796875,0.0,563.2635498046875,1.5900827661367278,107,1.678952932357788,0.0,664.1483154296875,1.7792795429817412,50,0
8g,row,769539383,50,50,source_anchored_shallow,87,187,0.40902663843975595,7854,3021,42,8,40.12071845799801,True,71e05e376de53ad3f009cd9238b5018b0ec84748e04742faf40aa13e33d12e4b,36387,459726,1.136913663912858,0.18483323678103256,0.20409557839145762,0.0,209.25318908691406,98.6041030883789,73.4634780883789,0.40902663843975595,1,2137.622802734375,16.314655303955078,766.3804321289062,1.824469213968646,187,126.32815551757812,204.426513671875,92.856201171875,0.47118015034463423,50,0
8g,row,769539383,50,50,source_anchored_full,87,187,1.254421541628329,7854,3021,42,8,46.173098208004376,True,4b99a71be555d9df9706dc63c6b25c864362d6be9df3a932cc716c7908103a1d,458952,459726,2.4077201680649587,0.248053292386513,0.2143536188433317,0.0,8.952030181884766,40.52145004272461,479.7532653808594,1.254421541628329,1,2293.3466796875,16.94378662109375,1566.2470703125,2.45242012458349,187,2.8668594360351562,162.7302703857422,1550.048828125,2.317505697764209,50,0
8g,row,769539383,70,70,standard_shallow_finetune,41,141,0.45405516750838154,0,0,62,8,24.580698625009973,True,740ec9ec3047a6291abe8749700c347fdfb620acdbc368f9a866f9fcdae1ae21,36387,459726,0.6795562952133624,0.17070985233060149,0.11280966403209833,0.0,383.55096435546875,0.0,74.60355377197266,0.45405516750838154,1,1597.1900634765625,0.0,759.263671875,1.8208788980566109,141,35.4703369140625,0.0,689.935791015625,1.3846406088692123,70,0
8g,row,769539383,70,70,standard_full_finetune,13,113,0.8455648332422048,0,0,62,8,22.349398084013956,True,83c9a5e7232c7d0b46d04c186ec54978e0f3dc51dc56b19ceee8c21bae9026ed,458952,459726,0.618551111427593,0.05876853751763511,0.035692324026121526,0.0,648.6683959960938,0.0,226.68307495117188,0.8455648332422048,1,1667.6201171875,0.0,501.0518493652344,1.538479521366611,113,1.4712469577789307,0.0,550.216552734375,1.6984908291284788,70,0
