column,outer_seed,method,inner_fold,stage,n_inner_train,n_inner_validation,inner_train_group_hash,inner_validation_group_hash,best_epoch,epochs_run,validation_score,last_20_validation_slope,train_loss,parameter_drift,bn_buffer_drift,trainable_parameter_count,quantile_crossing_count,runtime_seconds,inner_validation_combined_nrmse,epoch_150_validation_score,epoch_300_validation_score,epoch_500_validation_score
25g,769539383,P0,1,B,256,64,11d91469cc8b37144c2194db1dd36c3c3c29b2c31ad39c4a7b02335e69dbf2ac,9e8564835eea2efd85601fee960a0c2087ee4475ea8c02849e10b1ab67bffb74,185,265,0.4871343448364325,7.021952155378879e-05,64.8839111328125,1.4626976764109694,185.06958421200488,36387,0,234.4629662036896,0.4871343448364325,0.4875067310313553,,
25g,769539383,P1,1,A,256,64,11d91469cc8b37144c2194db1dd36c3c3c29b2c31ad39c4a7b02335e69dbf2ac,9e8564835eea2efd85601fee960a0c2087ee4475ea8c02849e10b1ab67bffb74,500,500,0.9029622627142692,-0.0012789843203885,521.231201171875,1.2082260616208436,0.0,774,1,809.4710092544556,0.9029622627142692,1.536945191257623,1.21635094251598,0.9029622627142692
25g,769539383,P1,1,B,256,64,11d91469cc8b37144c2194db1dd36c3c3c29b2c31ad39c4a7b02335e69dbf2ac,9e8564835eea2efd85601fee960a0c2087ee4475ea8c02849e10b1ab67bffb74,55,135,0.5014649024195944,0.0002598185102245,68.79590606689453,1.307739875713977,55.125603086498536,36387,0,255.01206398010257,0.5014649024195944,,,
25g,769539383,P0,2,B,256,64,f0c31768bbd49ed3dbdf8f21c4af6ac515501c11a20b92644b54dca8782c6724,d80bf18de8de720fbce18e5e173e6710ba2599e01d0709e3613b17c759ca786f,160,240,0.5161377707022164,0.0002930216302551,67.6356201171875,1.3819286171227545,160.06687746091026,36387,0,444.3596081733704,0.5161377707022164,0.5163573397712342,,
25g,769539383,P1,2,A,256,64,f0c31768bbd49ed3dbdf8f21c4af6ac515501c11a20b92644b54dca8782c6724,d80bf18de8de720fbce18e5e173e6710ba2599e01d0709e3613b17c759ca786f,500,500,1.0476091653554642,-0.0013007444460026,494.49810791015625,1.2023335216755162,0.0,774,3,914.1984388828278,1.0476091653554642,1.6920112111427192,1.3656402474706315,1.0476091653554642
25g,769539383,P1,2,B,256,64,f0c31768bbd49ed3dbdf8f21c4af6ac515501c11a20b92644b54dca8782c6724,d80bf18de8de720fbce18e5e173e6710ba2599e01d0709e3613b17c759ca786f,52,132,0.5042913512318659,0.0005178259216655,69.37637329101562,1.3002331579547808,52.12724752634949,36387,0,241.84068512916565,0.5042913512318659,,,
25g,769539383,P0,3,B,256,64,e83a95955241a178278d27103fb35450eeb93a55dd1f513572a697306dd660ae,24e239e87fe7b5a60e23f8c4612f519fabc4c94c5028e8408cd5af42fd276bfa,157,237,0.9065390681141968,0.0001480595650697,42.54387664794922,1.315093498077407,157.064732251469,36387,1,426.3779261112213,0.9065390681141968,0.90664835641021,,
25g,769539383,P1,3,A,256,64,e83a95955241a178278d27103fb35450eeb93a55dd1f513572a697306dd660ae,24e239e87fe7b5a60e23f8c4612f519fabc4c94c5028e8408cd5af42fd276bfa,500,500,1.1634907042566456,-0.0010428741954541,460.0552978515625,1.2170788165069408,0.0,774,7,900.2559909820557,1.1634907042566456,1.7275755989600958,1.432111149358724,1.1634907042566456
25g,769539383,P1,3,B,256,64,e83a95955241a178278d27103fb35450eeb93a55dd1f513572a697306dd660ae,24e239e87fe7b5a60e23f8c4612f519fabc4c94c5028e8408cd5af42fd276bfa,35,115,0.896808137676367,0.0002514004970831,46.4990234375,1.2628220213935788,35.17967846264809,36387,0,206.60246300697327,0.896808137676367,,,
25g,769539383,P0,4,B,256,64,bed90a12daa24d80d2b270d5e1e29b4b06008629b40261e90ed4543dbd1f6790,81cfc436479d41e395817d34744f8d06a312774f5d66dad58fbece557c89e8f5,355,435,0.5050302561514306,4.8465861873365656e-05,41.984649658203125,2.1602384032415545,355.0509633998696,36387,1,817.0069739818573,0.5050302561514306,0.5107000673326888,0.5051955666534416,
