method,stage,parameter,numel,trainable
P0,direct,backbone.atom_encoder.atom_embedding_list.0.weight,15872,False
P0,direct,backbone.atom_encoder.atom_embedding_list.1.weight,1792,False
P0,direct,backbone.atom_encoder.atom_embedding_list.2.weight,2176,False
P0,direct,backbone.atom_encoder.atom_embedding_list.3.weight,2432,False
P0,direct,backbone.atom_encoder.atom_embedding_list.4.weight,2816,False
P0,direct,backbone.atom_encoder.atom_embedding_list.5.weight,1792,False
P0,direct,backbone.atom_encoder.atom_embedding_list.6.weight,2432,False
P0,direct,backbone.atom_encoder.atom_embedding_list.7.weight,896,False
P0,direct,backbone.atom_encoder.atom_embedding_list.8.weight,1920,False
P0,direct,backbone.bond_encoder.bond_embedding_list.0.weight,1664,False
P0,direct,backbone.bond_encoder.bond_embedding_list.1.weight,3584,False
P0,direct,backbone.bond_encoder.bond_embedding_list.2.weight,1024,False
P0,direct,backbone.bond_float_encoder.linear_list.0.weight,2560,False
P0,direct,backbone.bond_float_encoder.linear_list.0.bias,128,False
P0,direct,backbone.bond_float_encoder.linear_list.1.weight,2560,False
P0,direct,backbone.bond_float_encoder.linear_list.1.bias,128,False
P0,direct,backbone.bond_float_encoder.linear_list.2.weight,2560,False
P0,direct,backbone.bond_float_encoder.linear_list.2.bias,128,False
P0,direct,backbone.bond_float_encoder.linear_list.3.weight,2560,False
P0,direct,backbone.bond_float_encoder.linear_list.3.bias,128,False
P0,direct,backbone.bond_float_encoder.linear_list.4.weight,2560,False
P0,direct,backbone.bond_float_encoder.linear_list.4.bias,128,False
P0,direct,backbone.bond_float_encoder.rbf_list.0.gamma,1,False
P0,direct,backbone.bond_float_encoder.rbf_list.1.gamma,1,False
P0,direct,backbone.bond_float_encoder.rbf_list.2.gamma,1,False
P0,direct,backbone.bond_float_encoder.rbf_list.3.gamma,1,False
P0,direct,backbone.bond_float_encoder.rbf_list.4.gamma,1,False
P0,direct,backbone.convs.0.eps,1,False
P0,direct,backbone.convs.0.mlp.0.weight,16384,False
P0,direct,backbone.convs.0.mlp.0.bias,128,False
P0,direct,backbone.convs.0.mlp.1.weight,128,False
P0,direct,backbone.convs.0.mlp.1.bias,128,False
P0,direct,backbone.convs.0.mlp.3.weight,16384,False
P0,direct,backbone.convs.0.mlp.3.bias,128,False
P0,direct,backbone.convs.1.eps,1,False
P0,direct,backbone.convs.1.mlp.0.weight,16384,False
P0,direct,backbone.convs.1.mlp.0.bias,128,False
P0,direct,backbone.convs.1.mlp.1.weight,128,False
P0,direct,backbone.convs.1.mlp.1.bias,128,False
P0,direct,backbone.convs.1.mlp.3.weight,16384,False
P0,direct,backbone.convs.1.mlp.3.bias,128,False
P0,direct,backbone.convs.2.eps,1,False
P0,direct,backbone.convs.2.mlp.0.weight,16384,False
P0,direct,backbone.convs.2.mlp.0.bias,128,False
P0,direct,backbone.convs.2.mlp.1.weight,128,False
P0,direct,backbone.convs.2.mlp.1.bias,128,False
P0,direct,backbone.convs.2.mlp.3.weight,16384,False
P0,direct,backbone.convs.2.mlp.3.bias,128,False
P0,direct,backbone.convs.3.eps,1,False
P0,direct,backbone.convs.3.mlp.0.weight,16384,False
P0,direct,backbone.convs.3.mlp.0.bias,128,False
P0,direct,backbone.convs.3.mlp.1.weight,128,False
P0,direct,backbone.convs.3.mlp.1.bias,128,False
P0,direct,backbone.convs.3.mlp.3.weight,16384,False
P0,direct,backbone.convs.3.mlp.3.bias,128,False
P0,direct,backbone.convs.4.eps,1,True
P0,direct,backbone.convs.4.mlp.0.weight,16384,True
P0,direct,backbone.convs.4.mlp.0.bias,128,True
P0,direct,backbone.convs.4.mlp.1.weight,128,True
P0,direct,backbone.convs.4.mlp.1.bias,128,True
P0,direct,backbone.convs.4.mlp.3.weight,16384,True
P0,direct,backbone.convs.4.mlp.3.bias,128,True
P0,direct,backbone.convs_bond_angle.0.eps,1,False
P0,direct,backbone.convs_bond_angle.0.mlp.0.weight,16384,False
P0,direct,backbone.convs_bond_angle.0.mlp.0.bias,128,False
P0,direct,backbone.convs_bond_angle.0.mlp.1.weight,128,False
P0,direct,backbone.convs_bond_angle.0.mlp.1.bias,128,False
P0,direct,backbone.convs_bond_angle.0.mlp.3.weight,16384,False
P0,direct,backbone.convs_bond_angle.0.mlp.3.bias,128,False
P0,direct,backbone.convs_bond_angle.1.eps,1,False
P0,direct,backbone.convs_bond_angle.1.mlp.0.weight,16384,False
P0,direct,backbone.convs_bond_angle.1.mlp.0.bias,128,False
P0,direct,backbone.convs_bond_angle.1.mlp.1.weight,128,False
P0,direct,backbone.convs_bond_angle.1.mlp.1.bias,128,False
P0,direct,backbone.convs_bond_angle.1.mlp.3.weight,16384,False
P0,direct,backbone.convs_bond_angle.1.mlp.3.bias,128,False
P0,direct,backbone.convs_bond_angle.2.eps,1,False
P0,direct,backbone.convs_bond_angle.2.mlp.0.weight,16384,False
P0,direct,backbone.convs_bond_angle.2.mlp.0.bias,128,False
P0,direct,backbone.convs_bond_angle.2.mlp.1.weight,128,False
P0,direct,backbone.convs_bond_angle.2.mlp.1.bias,128,False
P0,direct,backbone.convs_bond_angle.2.mlp.3.weight,16384,False
P0,direct,backbone.convs_bond_angle.2.mlp.3.bias,128,False
P0,direct,backbone.convs_bond_angle.3.eps,1,False
P0,direct,backbone.convs_bond_angle.3.mlp.0.weight,16384,False
P0,direct,backbone.convs_bond_angle.3.mlp.0.bias,128,False
P0,direct,backbone.convs_bond_angle.3.mlp.1.weight,128,False
P0,direct,backbone.convs_bond_angle.3.mlp.1.bias,128,False
P0,direct,backbone.convs_bond_angle.3.mlp.3.weight,16384,False
P0,direct,backbone.convs_bond_angle.3.mlp.3.bias,128,False
P0,direct,backbone.convs_bond_float.0.linear_list.0.weight,2560,False
P0,direct,backbone.convs_bond_float.0.linear_list.0.bias,128,False
P0,direct,backbone.convs_bond_float.0.linear_list.1.weight,2560,False
P0,direct,backbone.convs_bond_float.0.linear_list.1.bias,128,False
P0,direct,backbone.convs_bond_float.0.linear_list.2.weight,2560,False
P0,direct,backbone.convs_bond_float.0.linear_list.2.bias,128,False
P0,direct,backbone.convs_bond_float.0.linear_list.3.weight,2560,False
P0,direct,backbone.convs_bond_float.0.linear_list.3.bias,128,False
P0,direct,backbone.convs_bond_float.0.linear_list.4.weight,2560,False
P0,direct,backbone.convs_bond_float.0.linear_list.4.bias,128,False
P0,direct,backbone.convs_bond_float.0.rbf_list.0.gamma,1,False
P0,direct,backbone.convs_bond_float.0.rbf_list.1.gamma,1,False
P0,direct,backbone.convs_bond_float.0.rbf_list.2.gamma,1,False
P0,direct,backbone.convs_bond_float.0.rbf_list.3.gamma,1,False
P0,direct,backbone.convs_bond_float.0.rbf_list.4.gamma,1,False
P0,direct,backbone.convs_bond_float.1.linear_list.0.weight,2560,False
P0,direct,backbone.convs_bond_float.1.linear_list.0.bias,128,False
P0,direct,backbone.convs_bond_float.1.linear_list.1.weight,2560,False
P0,direct,backbone.convs_bond_float.1.linear_list.1.bias,128,False
P0,direct,backbone.convs_bond_float.1.linear_list.2.weight,2560,False
P0,direct,backbone.convs_bond_float.1.linear_list.2.bias,128,False
P0,direct,backbone.convs_bond_float.1.linear_list.3.weight,2560,False
P0,direct,backbone.convs_bond_float.1.linear_list.3.bias,128,False
P0,direct,backbone.convs_bond_float.1.linear_list.4.weight,2560,False
P0,direct,backbone.convs_bond_float.1.linear_list.4.bias,128,False
P0,direct,backbone.convs_bond_float.1.rbf_list.0.gamma,1,False
P0,direct,backbone.convs_bond_float.1.rbf_list.1.gamma,1,False
P0,direct,backbone.convs_bond_float.1.rbf_list.2.gamma,1,False
P0,direct,backbone.convs_bond_float.1.rbf_list.3.gamma,1,False
P0,direct,backbone.convs_bond_float.1.rbf_list.4.gamma,1,False
P0,direct,backbone.convs_bond_float.2.linear_list.0.weight,2560,False
P0,direct,backbone.convs_bond_float.2.linear_list.0.bias,128,False
P0,direct,backbone.convs_bond_float.2.linear_list.1.weight,2560,False
P0,direct,backbone.convs_bond_float.2.linear_list.1.bias,128,False
P0,direct,backbone.convs_bond_float.2.linear_list.2.weight,2560,False
P0,direct,backbone.convs_bond_float.2.linear_list.2.bias,128,False
P0,direct,backbone.convs_bond_float.2.linear_list.3.weight,2560,False
P0,direct,backbone.convs_bond_float.2.linear_list.3.bias,128,False
P0,direct,backbone.convs_bond_float.2.linear_list.4.weight,2560,False
P0,direct,backbone.convs_bond_float.2.linear_list.4.bias,128,False
P0,direct,backbone.convs_bond_float.2.rbf_list.0.gamma,1,False
P0,direct,backbone.convs_bond_float.2.rbf_list.1.gamma,1,False
P0,direct,backbone.convs_bond_float.2.rbf_list.2.gamma,1,False
P0,direct,backbone.convs_bond_float.2.rbf_list.3.gamma,1,False
P0,direct,backbone.convs_bond_float.2.rbf_list.4.gamma,1,False
P0,direct,backbone.convs_bond_float.3.linear_list.0.weight,2560,False
P0,direct,backbone.convs_bond_float.3.linear_list.0.bias,128,False
P0,direct,backbone.convs_bond_float.3.linear_list.1.weight,2560,False
P0,direct,backbone.convs_bond_float.3.linear_list.1.bias,128,False
P0,direct,backbone.convs_bond_float.3.linear_list.2.weight,2560,False
P0,direct,backbone.convs_bond_float.3.linear_list.2.bias,128,False
P0,direct,backbone.convs_bond_float.3.linear_list.3.weight,2560,False
P0,direct,backbone.convs_bond_float.3.linear_list.3.bias,128,False
P0,direct,backbone.convs_bond_float.3.linear_list.4.weight,2560,False
P0,direct,backbone.convs_bond_float.3.linear_list.4.bias,128,False
P0,direct,backbone.convs_bond_float.3.rbf_list.0.gamma,1,False
P0,direct,backbone.convs_bond_float.3.rbf_list.1.gamma,1,False
P0,direct,backbone.convs_bond_float.3.rbf_list.2.gamma,1,False
P0,direct,backbone.convs_bond_float.3.rbf_list.3.gamma,1,False
P0,direct,backbone.convs_bond_float.3.rbf_list.4.gamma,1,False
P0,direct,backbone.convs_bond_embeding.0.bond_embedding_list.0.weight,1664,False
P0,direct,backbone.convs_bond_embeding.0.bond_embedding_list.1.weight,3584,False
P0,direct,backbone.convs_bond_embeding.0.bond_embedding_list.2.weight,1024,False
P0,direct,backbone.convs_bond_embeding.1.bond_embedding_list.0.weight,1664,False
P0,direct,backbone.convs_bond_embeding.1.bond_embedding_list.1.weight,3584,False
P0,direct,backbone.convs_bond_embeding.1.bond_embedding_list.2.weight,1024,False
P0,direct,backbone.convs_bond_embeding.2.bond_embedding_list.0.weight,1664,False
P0,direct,backbone.convs_bond_embeding.2.bond_embedding_list.1.weight,3584,False
P0,direct,backbone.convs_bond_embeding.2.bond_embedding_list.2.weight,1024,False
P0,direct,backbone.convs_bond_embeding.3.bond_embedding_list.0.weight,1664,False
P0,direct,backbone.convs_bond_embeding.3.bond_embedding_list.1.weight,3584,False
P0,direct,backbone.convs_bond_embeding.3.bond_embedding_list.2.weight,1024,False
P0,direct,backbone.convs_angle_float.0.linear_list.0.weight,4096,False
P0,direct,backbone.convs_angle_float.0.linear_list.0.bias,128,False
P0,direct,backbone.convs_angle_float.0.linear_list.1.weight,2048,False
P0,direct,backbone.convs_angle_float.0.linear_list.1.bias,128,False
P0,direct,backbone.convs_angle_float.0.rbf_list.0.gamma,1,False
P0,direct,backbone.convs_angle_float.1.linear_list.0.weight,4096,False
P0,direct,backbone.convs_angle_float.1.linear_list.0.bias,128,False
P0,direct,backbone.convs_angle_float.1.linear_list.1.weight,2048,False
P0,direct,backbone.convs_angle_float.1.linear_list.1.bias,128,False
P0,direct,backbone.convs_angle_float.1.rbf_list.0.gamma,1,False
P0,direct,backbone.convs_angle_float.2.linear_list.0.weight,4096,False
P0,direct,backbone.convs_angle_float.2.linear_list.0.bias,128,False
P0,direct,backbone.convs_angle_float.2.linear_list.1.weight,2048,False
P0,direct,backbone.convs_angle_float.2.linear_list.1.bias,128,False
P0,direct,backbone.convs_angle_float.2.rbf_list.0.gamma,1,False
P0,direct,backbone.convs_angle_float.3.linear_list.0.weight,4096,False
P0,direct,backbone.convs_angle_float.3.linear_list.0.bias,128,False
P0,direct,backbone.convs_angle_float.3.linear_list.1.weight,2048,False
P0,direct,backbone.convs_angle_float.3.linear_list.1.bias,128,False
P0,direct,backbone.convs_angle_float.3.rbf_list.0.gamma,1,False
P0,direct,head.0.weight,768,True
P0,direct,head.0.bias,6,True
P0,direct,condition_branch.solvent_embedding.weight,12,True
P0,direct,condition_branch.hidden.weight,128,True
P0,direct,condition_branch.hidden.bias,16,True
P0,direct,condition_branch.output.weight,2048,True
P0,direct,condition_branch.output.bias,128,True
P1,B,backbone.atom_encoder.atom_embedding_list.0.weight,15872,False
P1,B,backbone.atom_encoder.atom_embedding_list.1.weight,1792,False
P1,B,backbone.atom_encoder.atom_embedding_list.2.weight,2176,False
P1,B,backbone.atom_encoder.atom_embedding_list.3.weight,2432,False
P1,B,backbone.atom_encoder.atom_embedding_list.4.weight,2816,False
P1,B,backbone.atom_encoder.atom_embedding_list.5.weight,1792,False
P1,B,backbone.atom_encoder.atom_embedding_list.6.weight,2432,False
P1,B,backbone.atom_encoder.atom_embedding_list.7.weight,896,False
P1,B,backbone.atom_encoder.atom_embedding_list.8.weight,1920,False
P1,B,backbone.bond_encoder.bond_embedding_list.0.weight,1664,False
P1,B,backbone.bond_encoder.bond_embedding_list.1.weight,3584,False
P1,B,backbone.bond_encoder.bond_embedding_list.2.weight,1024,False
P1,B,backbone.bond_float_encoder.linear_list.0.weight,2560,False
P1,B,backbone.bond_float_encoder.linear_list.0.bias,128,False
P1,B,backbone.bond_float_encoder.linear_list.1.weight,2560,False
P1,B,backbone.bond_float_encoder.linear_list.1.bias,128,False
P1,B,backbone.bond_float_encoder.linear_list.2.weight,2560,False
P1,B,backbone.bond_float_encoder.linear_list.2.bias,128,False
P1,B,backbone.bond_float_encoder.linear_list.3.weight,2560,False
P1,B,backbone.bond_float_encoder.linear_list.3.bias,128,False
P1,B,backbone.bond_float_encoder.linear_list.4.weight,2560,False
P1,B,backbone.bond_float_encoder.linear_list.4.bias,128,False
P1,B,backbone.bond_float_encoder.rbf_list.0.gamma,1,False
P1,B,backbone.bond_float_encoder.rbf_list.1.gamma,1,False
P1,B,backbone.bond_float_encoder.rbf_list.2.gamma,1,False
P1,B,backbone.bond_float_encoder.rbf_list.3.gamma,1,False
P1,B,backbone.bond_float_encoder.rbf_list.4.gamma,1,False
P1,B,backbone.convs.0.eps,1,False
P1,B,backbone.convs.0.mlp.0.weight,16384,False
P1,B,backbone.convs.0.mlp.0.bias,128,False
P1,B,backbone.convs.0.mlp.1.weight,128,False
P1,B,backbone.convs.0.mlp.1.bias,128,False
P1,B,backbone.convs.0.mlp.3.weight,16384,False
P1,B,backbone.convs.0.mlp.3.bias,128,False
P1,B,backbone.convs.1.eps,1,False
P1,B,backbone.convs.1.mlp.0.weight,16384,False
P1,B,backbone.convs.1.mlp.0.bias,128,False
P1,B,backbone.convs.1.mlp.1.weight,128,False
P1,B,backbone.convs.1.mlp.1.bias,128,False
P1,B,backbone.convs.1.mlp.3.weight,16384,False
P1,B,backbone.convs.1.mlp.3.bias,128,False
P1,B,backbone.convs.2.eps,1,False
P1,B,backbone.convs.2.mlp.0.weight,16384,False
P1,B,backbone.convs.2.mlp.0.bias,128,False
P1,B,backbone.convs.2.mlp.1.weight,128,False
P1,B,backbone.convs.2.mlp.1.bias,128,False
P1,B,backbone.convs.2.mlp.3.weight,16384,False
P1,B,backbone.convs.2.mlp.3.bias,128,False
P1,B,backbone.convs.3.eps,1,False
P1,B,backbone.convs.3.mlp.0.weight,16384,False
P1,B,backbone.convs.3.mlp.0.bias,128,False
P1,B,backbone.convs.3.mlp.1.weight,128,False
P1,B,backbone.convs.3.mlp.1.bias,128,False
P1,B,backbone.convs.3.mlp.3.weight,16384,False
P1,B,backbone.convs.3.mlp.3.bias,128,False
P1,B,backbone.convs.4.eps,1,True
P1,B,backbone.convs.4.mlp.0.weight,16384,True
P1,B,backbone.convs.4.mlp.0.bias,128,True
P1,B,backbone.convs.4.mlp.1.weight,128,True
P1,B,backbone.convs.4.mlp.1.bias,128,True
P1,B,backbone.convs.4.mlp.3.weight,16384,True
P1,B,backbone.convs.4.mlp.3.bias,128,True
P1,B,backbone.convs_bond_angle.0.eps,1,False
P1,B,backbone.convs_bond_angle.0.mlp.0.weight,16384,False
P1,B,backbone.convs_bond_angle.0.mlp.0.bias,128,False
P1,B,backbone.convs_bond_angle.0.mlp.1.weight,128,False
P1,B,backbone.convs_bond_angle.0.mlp.1.bias,128,False
P1,B,backbone.convs_bond_angle.0.mlp.3.weight,16384,False
P1,B,backbone.convs_bond_angle.0.mlp.3.bias,128,False
P1,B,backbone.convs_bond_angle.1.eps,1,False
P1,B,backbone.convs_bond_angle.1.mlp.0.weight,16384,False
P1,B,backbone.convs_bond_angle.1.mlp.0.bias,128,False
P1,B,backbone.convs_bond_angle.1.mlp.1.weight,128,False
P1,B,backbone.convs_bond_angle.1.mlp.1.bias,128,False
P1,B,backbone.convs_bond_angle.1.mlp.3.weight,16384,False
P1,B,backbone.convs_bond_angle.1.mlp.3.bias,128,False
P1,B,backbone.convs_bond_angle.2.eps,1,False
P1,B,backbone.convs_bond_angle.2.mlp.0.weight,16384,False
P1,B,backbone.convs_bond_angle.2.mlp.0.bias,128,False
P1,B,backbone.convs_bond_angle.2.mlp.1.weight,128,False
P1,B,backbone.convs_bond_angle.2.mlp.1.bias,128,False
P1,B,backbone.convs_bond_angle.2.mlp.3.weight,16384,False
P1,B,backbone.convs_bond_angle.2.mlp.3.bias,128,False
