method,stage,epoch,reported_step_loss,post_step_train_loss,train_loss,validation_score
P0,B,1.0,1041.24462890625,1643.1319580078125,1643.1319580078125,2.2512107348839523
P0,B,2.0,1013.942138671875,1576.52490234375,1576.52490234375,2.2099647482527778
P0,B,3.0,986.9357299804688,1511.008056640625,1511.008056640625,2.1674360633614973
P0,B,4.0,960.237548828125,1446.798583984375,1446.798583984375,2.124185307953152
P0,B,5.0,933.856201171875,1384.16748046875,1384.16748046875,2.0807450148059754
P0,B,6.0,907.80859375,1323.2734375,1323.2734375,2.037149968204356
P0,B,7.0,882.107666015625,1264.3121337890625,1264.3121337890625,1.99352015946024
P0,B,8.0,856.7688598632812,1207.38232421875,1207.38232421875,1.9498203158047105
P0,B,9.0,831.7970581054688,1152.5728759765625,1152.5728759765625,1.9060877210753786
P0,B,10.0,807.2066650390625,1099.983642578125,1099.983642578125,1.862604973943899
P0,B,11.0,783.004638671875,1049.6226806640625,1049.6226806640625,1.8194444206986673
P0,B,12.0,759.2044677734375,1001.49560546875,1001.49560546875,1.7766465559099702
P0,B,13.0,735.818115234375,955.608642578125,955.608642578125,1.734287584670119
P0,B,14.0,712.8599243164062,911.9390258789062,911.9390258789062,1.692534328037155
P0,B,15.0,690.3409423828125,870.4508666992188,870.4508666992188,1.6513869750936994
P0,B,16.0,668.2724609375,831.088134765625,831.088134765625,1.6109059565452108
P0,B,17.0,646.6610107421875,793.7909545898438,793.7909545898438,1.5710829978714782
P0,B,18.0,625.513671875,758.471923828125,758.471923828125,1.5319119516539803
P0,B,19.0,604.8449096679688,725.0645751953125,725.0645751953125,1.4934452033225816
P0,B,20.0,584.6609497070312,693.4962158203125,693.4962158203125,1.4556772909324764
P0,B,21.0,564.9688720703125,663.6890869140625,663.6890869140625,1.4186009781318716
P0,B,22.0,545.7785034179688,635.5595703125,635.5595703125,1.3822016545794897
P0,B,23.0,527.0927734375,609.0325927734375,609.0325927734375,1.3465277007430498
P0,B,24.0,508.9158020019531,584.0166625976562,584.0166625976562,1.3115404217524773
P0,B,25.0,491.249755859375,560.42578125,560.42578125,1.2772669192226478
P0,B,26.0,474.0968017578125,538.1815795898438,538.1815795898438,1.2436388155083828
P0,B,27.0,457.46112060546875,517.2040405273438,517.2040405273438,1.210694432254706
P0,B,28.0,441.33935546875,497.41717529296875,497.41717529296875,1.1784155483163727
P0,B,29.0,425.7302551269531,478.7470703125,478.7470703125,1.1468326377089102
P0,B,30.0,410.6317443847656,461.1180419921875,461.1180419921875,1.115909036178196
P0,B,31.0,396.0434875488281,444.4455871582031,444.4455871582031,1.0856133630982063
P0,B,32.0,381.9560546875,428.66259765625,428.66259765625,1.055932975481616
P0,B,33.0,368.36480712890625,413.7108154296875,413.7108154296875,1.0268777671894342
P0,B,34.0,355.2640075683594,399.5334777832031,399.5334777832031,0.9984522893041888
P0,B,35.0,342.6461181640625,386.0700988769531,386.0700988769531,0.9706152422971254
P0,B,36.0,330.50482177734375,373.26861572265625,373.26861572265625,0.9433542760781961
P0,B,37.0,318.83367919921875,361.08544921875,361.08544921875,0.9166999414135208
P0,B,38.0,307.6236572265625,349.4796447753906,349.4796447753906,0.8906531509753481
P0,B,39.0,296.8623352050781,338.4154052734375,338.4154052734375,0.8652158783514231
P0,B,40.0,286.5404968261719,327.8492736816406,327.8492736816406,0.840365846635055
P1,A,1.0,1710.4869384765625,1706.3310546875,1706.3310546875,2.287234505520717
P1,A,2.0,1706.3310546875,1702.181884765625,1702.181884765625,2.2834428301839305
P1,A,3.0,1702.1817626953125,1698.038330078125,1698.038330078125,2.279651898512856
P1,A,4.0,1698.0384521484375,1693.901611328125,1693.901611328125,2.2758622121345007
P1,A,5.0,1693.901611328125,1689.77099609375,1689.77099609375,2.27207347247392
P1,A,6.0,1689.77099609375,1685.6468505859375,1685.6468505859375,2.2682860815938266
P1,A,7.0,1685.64697265625,1681.5294189453125,1681.5294189453125,2.2645001414840635
P1,A,8.0,1681.529541015625,1677.418701171875,1677.418701171875,2.2607154530388556
P1,A,9.0,1677.418701171875,1673.31494140625,1673.31494140625,2.256932519536263
P1,A,10.0,1673.31494140625,1669.2178955078125,1669.2178955078125,2.2531513407372348
P1,A,11.0,1669.2177734375,1665.1278076171875,1665.1278076171875,2.249371719269484
P1,A,12.0,1665.127685546875,1661.044677734375,1661.044677734375,2.2455943566484704
P1,A,13.0,1661.0445556640625,1656.9688720703125,1656.9688720703125,2.2418186531344375
P1,A,14.0,1656.96875,1652.9002685546875,1652.9002685546875,2.238045210607621
P1,A,15.0,1652.9002685546875,1648.8388671875,1648.8388671875,2.234273930339101
P1,A,16.0,1648.8388671875,1644.784912109375,1644.784912109375,2.2305049134305666
